Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Team,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,O_Sh,O_SoT,O_SoT%,O_G/Sh,O_G/SoT,O_Dist,O_FK,O_PK,O_PKatt,O_xG,O_npxG,O_npxG/Sh,O_G-xG,O_np:G-xG,O_SoTA,O_Saves,O_Save%,O_CS,O_PSxG,O_PSxG+/-,O_PKatt,O_PKA,O_PKsv,O_PKm,O_Cmp,O_Att,O_Cmp%,O_Att (GK),O_Thr,O_Launch%,O_AvgLen,O_Att.1,O_Launch%.1,O_AvgLen.1,O_Opp,O_Stp,O_Stp%,O_#OPA,O_AvgDist,O_Cmp,O_Att,O_Cmp%,O_TotDist,O_PrgDist,O_Cmp.1,O_Att.1,O_Cmp%.1,O_Cmp.2,O_Att.2,O_Cmp%.2,O_Cmp.3,O_Att.3,O_Cmp%.3,O_Ast,O_xAG,O_xA,O_KP,O_1/3,O_PPA,O_CrsPA,O_PrgP,O_Att,O_Live,O_Dead,O_FK,O_TB,O_Sw,O_Crs,O_TI,O_CK,O_In,O_Out,O_Str,O_Cmp,O_Off,O_Blocks,O_SCA,O_PassLive,O_PassDead,O_TO,O_Sh,O_Fld,O_Def,O_GCA,O_PassLive.1,O_PassDead.1,O_TO.1,O_Sh.1,O_Fld.1,O_Def.1,O_Tkl,O_TklW,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Tkl.1,O_Att,O_Tkl%,O_Lost,O_Blocks,O_Sh,O_Pass,O_Int,O_Tkl+Int,O_Clr,O_Err,O_Poss,O_Touches,O_Def Pen,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Att Pen,O_Live,O_Att,O_Succ,O_Succ%,O_Tkld,O_Tkld%,O_Carries,O_TotDist,O_PrgDist,O_PrgC,O_1/3,O_CPA,O_Mis,O_Dis,O_Rec,O_PrgR,O_CrdY,O_CrdR,O_2CrdY,O_Fls,O_Fld,O_Off,O_Crs,O_Int,O_TklW,O_PKwon,O_PKcon,O_OG,O_Recov,O_Won,O_Lost,O_Won%
2023-08-12,15:30,DFB-Pokal,Round of 64,Sat,Away,W,8.0,0.0,Leverkusen,FC Teutonia Ottensen,,,66.0,11035.0,Lukáš Hrádecký,4-2-3-1,Tom Bauer,22.0,11.0,50.0,0.32,0.64,,,1.0,1.0,,,,,,1.0,1.0,100.0,1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,6.0,0.0,,,66.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,12.0,9.0,2.0,18.0,6.0,10.0,,,0.0,,,,,5.0,1.0,20.0,0.0,0.0,,,0.0,0.0,,,,,,10.0,3.0,30.0,0.0,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,15.0,0.0,,,34.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,9.0,11.0,4.0,8.0,15.0,8.0,,,0.0,,,,
2023-08-19,15:30,Bundesliga,Matchweek 1,Sat,Home,W,3.0,2.0,Leverkusen,RB Leipzig,1.4,1.6,44.0,29464.0,Lukáš Hrádecký,3-4-3,Felix Brych,11.0,7.0,63.6,0.27,0.43,19.0,0.0,0.0,0.0,1.4,1.4,0.13,1.6,1.6,6.0,4.0,66.7,0.0,1.5,-0.5,0.0,0.0,0.0,0.0,7.0,13.0,53.8,19.0,4.0,52.6,40.9,6.0,50.0,43.2,11.0,2.0,18.2,1.0,12.4,380.0,475.0,80.0,6130.0,2150.0,191.0,214.0,89.3,144.0,177.0,81.4,28.0,52.0,53.8,3.0,1.3,1.5,8.0,31.0,8.0,3.0,26.0,475.0,438.0,35.0,10.0,1.0,3.0,15.0,12.0,4.0,3.0,0.0,0.0,380.0,2.0,8.0,18.0,12.0,1.0,4.0,1.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,15.0,11.0,5.0,6.0,4.0,8.0,17.0,47.1,9.0,14.0,4.0,10.0,8.0,23.0,15.0,0.0,44.0,574.0,47.0,147.0,289.0,146.0,14.0,574.0,22.0,11.0,50.0,9.0,40.9,307.0,1965.0,1104.0,29.0,21.0,3.0,9.0,7.0,375.0,26.0,1.0,0.0,0.0,13.0,9.0,2.0,15.0,8.0,11.0,0.0,0.0,0.0,61.0,12.0,13.0,48.0,14.0,6.0,42.9,0.14,0.33,15.5,0.0,0.0,0.0,1.6,1.6,0.11,0.4,0.4,7.0,4.0,57.1,0.0,2.8,-0.2,0.0,0.0,0.0,0.0,1.0,6.0,16.7,44.0,6.0,13.6,26.7,6.0,0.0,17.5,13.0,1.0,7.7,5.0,21.9,509.0,599.0,85.0,8967.0,2911.0,217.0,241.0,90.0,252.0,278.0,90.6,36.0,64.0,56.3,2.0,1.2,1.5,11.0,29.0,8.0,2.0,41.0,599.0,546.0,53.0,15.0,1.0,3.0,13.0,23.0,5.0,3.0,2.0,0.0,509.0,0.0,12.0,22.0,17.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,9.0,9.0,7.0,0.0,9.0,20.0,45.0,11.0,8.0,1.0,7.0,8.0,24.0,12.0,0.0,56.0,691.0,71.0,257.0,331.0,105.0,18.0,691.0,19.0,9.0,47.4,8.0,42.1,515.0,2192.0,1234.0,21.0,12.0,3.0,13.0,7.0,503.0,41.0,2.0,0.0,0.0,10.0,12.0,0.0,13.0,8.0,9.0,0.0,0.0,0.0,47.0,13.0,12.0,52.0
2023-08-26,18:30,Bundesliga,Matchweek 2,Sat,Away,W,3.0,0.0,Leverkusen,M'Gladbach,2.7,0.9,60.0,54042.0,Lukáš Hrádecký,3-4-3,Christian Dingert,24.0,11.0,45.8,0.13,0.27,15.8,0.0,0.0,0.0,2.7,2.7,0.11,0.3,0.3,2.0,2.0,100.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,4.0,11.0,36.4,26.0,5.0,38.5,32.2,10.0,20.0,21.8,15.0,1.0,6.7,1.0,8.8,649.0,740.0,87.7,9491.0,3417.0,364.0,385.0,94.5,197.0,222.0,88.7,43.0,63.0,68.3,3.0,2.4,3.1,22.0,43.0,21.0,0.0,54.0,740.0,693.0,45.0,8.0,4.0,4.0,10.0,18.0,8.0,2.0,1.0,0.0,649.0,2.0,7.0,43.0,39.0,2.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,16.0,11.0,9.0,6.0,1.0,9.0,9.0,100.0,0.0,9.0,2.0,7.0,9.0,25.0,11.0,0.0,60.0,854.0,58.0,197.0,437.0,232.0,46.0,854.0,16.0,7.0,43.8,7.0,43.8,435.0,2587.0,1487.0,31.0,24.0,7.0,21.0,13.0,644.0,53.0,3.0,0.0,0.0,8.0,6.0,2.0,10.0,9.0,11.0,0.0,0.0,0.0,64.0,5.0,7.0,41.7,12.0,2.0,16.7,0.0,0.0,19.4,0.0,0.0,0.0,0.9,0.9,0.08,-0.9,-0.9,11.0,8.0,72.7,0.0,3.3,0.3,0.0,0.0,0.0,0.0,6.0,12.0,50.0,34.0,10.0,32.4,33.5,7.0,14.3,18.7,7.0,1.0,14.3,1.0,15.3,402.0,494.0,81.4,7080.0,2624.0,177.0,192.0,92.2,193.0,223.0,86.5,30.0,64.0,46.9,0.0,0.8,1.3,10.0,35.0,11.0,1.0,42.0,494.0,456.0,37.0,9.0,2.0,1.0,18.0,12.0,5.0,3.0,2.0,0.0,402.0,1.0,7.0,22.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,12.0,4.0,4.0,7.0,14.0,50.0,7.0,14.0,7.0,7.0,16.0,36.0,22.0,0.0,40.0,624.0,89.0,213.0,265.0,153.0,20.0,624.0,10.0,0.0,0.0,9.0,90.0,258.0,1487.0,825.0,18.0,17.0,4.0,13.0,7.0,399.0,42.0,2.0,0.0,0.0,7.0,8.0,1.0,18.0,16.0,12.0,0.0,0.0,0.0,57.0,7.0,5.0,58.3
2023-09-02,15:30,Bundesliga,Matchweek 3,Sat,Home,W,5.0,1.0,Leverkusen,Darmstadt 98,2.8,0.4,72.0,29653.0,Lukáš Hrádecký,3-4-3,Sven Jablonski,25.0,13.0,52.0,0.2,0.38,17.3,1.0,0.0,0.0,2.8,2.8,0.11,2.2,2.2,1.0,0.0,0.0,0.0,0.3,-0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,5.0,5.0,20.4,1.0,0.0,12.0,4.0,0.0,0.0,3.0,30.3,727.0,812.0,89.5,10511.0,3807.0,443.0,472.0,93.9,236.0,257.0,91.8,27.0,36.0,75.0,5.0,2.4,2.8,20.0,79.0,17.0,2.0,86.0,812.0,775.0,36.0,11.0,1.0,3.0,14.0,18.0,4.0,1.0,3.0,0.0,727.0,1.0,15.0,46.0,38.0,0.0,5.0,2.0,1.0,0.0,10.0,8.0,0.0,2.0,0.0,0.0,0.0,7.0,4.0,2.0,4.0,1.0,5.0,7.0,71.4,2.0,10.0,4.0,6.0,4.0,11.0,3.0,0.0,72.0,913.0,26.0,104.0,474.0,345.0,35.0,913.0,26.0,15.0,57.7,8.0,30.8,577.0,2980.0,1725.0,27.0,30.0,6.0,20.0,14.0,722.0,83.0,3.0,0.0,0.0,8.0,10.0,1.0,14.0,4.0,4.0,0.0,0.0,0.0,66.0,7.0,6.0,53.8,5.0,1.0,20.0,0.2,1.0,17.8,0.0,0.0,0.0,0.4,0.4,0.07,0.6,0.6,13.0,8.0,61.5,0.0,4.5,-0.5,0.0,0.0,0.0,0.0,4.0,27.0,14.8,34.0,4.0,64.7,52.0,6.0,83.3,57.3,10.0,0.0,0.0,0.0,6.0,224.0,317.0,70.7,4296.0,1697.0,81.0,99.0,81.8,121.0,135.0,89.6,21.0,73.0,28.8,1.0,0.4,0.7,5.0,13.0,2.0,0.0,15.0,317.0,282.0,34.0,9.0,0.0,1.0,4.0,11.0,2.0,0.0,2.0,0.0,224.0,1.0,6.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,15.0,13.0,7.0,2.0,8.0,23.0,34.8,15.0,21.0,7.0,14.0,14.0,36.0,23.0,0.0,28.0,427.0,86.0,236.0,143.0,51.0,9.0,427.0,8.0,2.0,25.0,5.0,62.5,167.0,1030.0,508.0,8.0,4.0,4.0,11.0,2.0,222.0,15.0,2.0,0.0,0.0,11.0,7.0,1.0,4.0,14.0,15.0,0.0,0.0,0.0,55.0,6.0,7.0,46.2
2023-09-15,20:30,Bundesliga,Matchweek 4,Fri,Away,D,2.0,2.0,Leverkusen,Bayern Munich,2.1,2.1,49.0,75000.0,Lukáš Hrádecký,3-4-3,Daniel Schlager,12.0,4.0,33.3,0.08,0.25,20.7,1.0,1.0,1.0,2.1,1.3,0.11,-0.1,-0.3,9.0,7.0,77.8,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,8.0,37.5,21.0,6.0,28.6,30.6,7.0,28.6,32.1,18.0,2.0,11.1,1.0,14.2,512.0,601.0,85.2,8322.0,3157.0,275.0,296.0,92.9,192.0,213.0,90.1,36.0,55.0,65.5,0.0,1.1,0.9,10.0,42.0,12.0,0.0,50.0,601.0,561.0,37.0,5.0,1.0,2.0,9.0,18.0,4.0,0.0,3.0,0.0,512.0,3.0,19.0,23.0,14.0,1.0,5.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,23.0,12.0,12.0,8.0,3.0,9.0,20.0,45.0,11.0,9.0,2.0,7.0,21.0,44.0,19.0,0.0,49.0,744.0,79.0,246.0,355.0,151.0,28.0,743.0,33.0,16.0,48.5,17.0,51.5,465.0,2191.0,1065.0,18.0,5.0,4.0,21.0,6.0,511.0,50.0,3.0,0.0,0.0,6.0,6.0,3.0,9.0,21.0,12.0,1.0,0.0,0.0,63.0,7.0,13.0,35.0,16.0,9.0,56.3,0.13,0.22,13.1,0.0,0.0,0.0,2.1,2.1,0.13,-0.1,-0.1,5.0,3.0,80.0,0.0,2.1,0.1,1.0,1.0,0.0,0.0,6.0,14.0,42.9,31.0,2.0,38.7,31.8,4.0,50.0,37.3,5.0,0.0,0.0,0.0,9.0,539.0,634.0,85.0,8552.0,2752.0,284.0,309.0,91.9,208.0,236.0,88.1,29.0,57.0,50.9,1.0,1.1,1.6,9.0,38.0,13.0,1.0,56.0,634.0,598.0,35.0,9.0,1.0,3.0,20.0,12.0,7.0,2.0,5.0,0.0,539.0,1.0,7.0,26.0,18.0,2.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,23.0,16.0,9.0,11.0,3.0,17.0,33.0,51.5,16.0,21.0,3.0,18.0,9.0,32.0,14.0,1.0,51.0,766.0,61.0,189.0,405.0,182.0,39.0,766.0,21.0,11.0,52.4,9.0,42.9,561.0,2919.0,1386.0,21.0,17.0,9.0,12.0,14.0,537.0,55.0,0.0,0.0,0.0,6.0,6.0,1.0,20.0,9.0,16.0,0.0,1.0,0.0,68.0,13.0,7.0,65.0
2023-09-21,18:45,Europa Lg,Group stage,Thu,Home,W,4.0,0.0,Leverkusen,se Häcken,3.0,0.4,64.0,25402.0,Jonathan Tah,4-4-2,Manfredas Lukjančukas,22.0,10.0,45.5,0.18,0.4,20.2,0.0,0.0,0.0,3.0,3.0,0.14,1.0,1.0,6.0,6.0,100.0,1.0,0.9,0.9,0.0,0.0,0.0,0.0,2.0,4.0,50.0,29.0,5.0,10.3,23.2,6.0,16.7,27.7,11.0,0.0,0.0,0.0,13.5,634.0,688.0,92.2,9813.0,3162.0,319.0,335.0,95.2,242.0,255.0,94.9,38.0,48.0,79.2,4.0,2.7,2.0,18.0,38.0,12.0,0.0,51.0,688.0,650.0,34.0,9.0,2.0,7.0,11.0,12.0,6.0,0.0,4.0,0.0,634.0,4.0,4.0,40.0,32.0,2.0,2.0,3.0,0.0,1.0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,22.0,11.0,13.0,6.0,3.0,11.0,25.0,44.0,14.0,11.0,2.0,9.0,9.0,31.0,13.0,1.0,64.0,794.0,76.0,207.0,424.0,173.0,34.0,794.0,16.0,8.0,50.0,6.0,37.5,420.0,2317.0,1407.0,25.0,16.0,8.0,16.0,4.0,633.0,51.0,1.0,0.0,0.0,10.0,8.0,4.0,11.0,9.0,11.0,0.0,0.0,0.0,50.0,4.0,1.0,80.0,11.0,6.0,54.5,0.0,0.0,21.8,0.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,10.0,6.0,60.0,0.0,3.8,-0.2,0.0,0.0,0.0,0.0,2.0,4.0,50.0,16.0,5.0,18.8,25.6,7.0,14.3,23.1,8.0,0.0,0.0,0.0,12.0,343.0,385.0,89.1,6072.0,2385.0,166.0,179.0,92.7,128.0,144.0,88.9,44.0,51.0,86.3,0.0,0.2,0.5,5.0,42.0,9.0,0.0,44.0,385.0,357.0,28.0,12.0,0.0,4.0,17.0,5.0,0.0,0.0,0.0,0.0,343.0,0.0,7.0,13.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,2.0,3.0,3.0,4.0,11.0,36.4,7.0,9.0,5.0,4.0,8.0,12.0,8.0,0.0,36.0,453.0,59.0,133.0,192.0,132.0,19.0,453.0,18.0,10.0,55.6,8.0,44.4,204.0,1152.0,616.0,13.0,12.0,4.0,8.0,10.0,333.0,45.0,0.0,0.0,0.0,9.0,8.0,0.0,17.0,8.0,7.0,0.0,0.0,0.0,34.0,1.0,3.0,25.0
2023-09-24,15:30,Bundesliga,Matchweek 5,Sun,Home,W,4.0,1.0,Leverkusen,Heidenheim,3.4,0.5,71.0,29557.0,Lukáš Hrádecký,3-4-3,Christian Dingert,20.0,9.0,45.0,0.15,0.33,16.7,0.0,1.0,1.0,3.4,2.7,0.14,0.6,0.3,2.0,1.0,50.0,0.0,1.2,0.2,0.0,0.0,0.0,0.0,2.0,2.0,100.0,25.0,5.0,8.0,24.5,2.0,0.0,22.0,7.0,2.0,28.6,0.0,10.0,779.0,865.0,90.1,12531.0,3803.0,421.0,447.0,94.2,269.0,293.0,91.8,65.0,77.0,84.4,3.0,2.5,1.6,16.0,71.0,15.0,1.0,64.0,865.0,822.0,41.0,9.0,3.0,7.0,15.0,21.0,7.0,1.0,3.0,0.0,779.0,2.0,14.0,38.0,25.0,0.0,6.0,5.0,1.0,1.0,8.0,5.0,0.0,1.0,1.0,1.0,0.0,14.0,10.0,3.0,7.0,4.0,6.0,10.0,60.0,4.0,11.0,0.0,11.0,4.0,18.0,12.0,0.0,71.0,964.0,40.0,177.0,515.0,276.0,38.0,963.0,23.0,14.0,60.9,6.0,26.1,661.0,3172.0,1668.0,31.0,23.0,11.0,17.0,10.0,776.0,64.0,1.0,0.0,0.0,9.0,10.0,2.0,15.0,4.0,10.0,1.0,0.0,0.0,57.0,14.0,6.0,70.0,2.0,2.0,100.0,0.5,0.5,13.8,0.0,0.0,0.0,0.5,0.5,0.26,0.5,0.5,10.0,6.0,70.0,0.0,3.8,-0.2,1.0,1.0,0.0,0.0,5.0,16.0,31.3,33.0,5.0,36.4,33.1,8.0,50.0,40.9,10.0,0.0,0.0,0.0,8.7,264.0,357.0,73.9,4651.0,1735.0,122.0,140.0,87.1,107.0,134.0,79.9,28.0,62.0,45.2,1.0,0.1,0.4,1.0,9.0,1.0,0.0,15.0,357.0,309.0,48.0,11.0,2.0,2.0,9.0,22.0,2.0,2.0,0.0,0.0,264.0,0.0,11.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,8.0,5.0,3.0,6.0,20.0,30.0,14.0,17.0,5.0,12.0,14.0,30.0,23.0,0.0,29.0,464.0,88.0,244.0,174.0,51.0,5.0,464.0,10.0,4.0,40.0,6.0,60.0,222.0,1276.0,630.0,10.0,8.0,2.0,11.0,8.0,261.0,15.0,1.0,0.0,0.0,10.0,8.0,0.0,9.0,14.0,7.0,0.0,1.0,0.0,48.0,6.0,14.0,30.0
2023-09-30,15:30,Bundesliga,Matchweek 6,Sat,Away,W,3.0,0.0,Leverkusen,Mainz 05,1.1,0.5,55.0,33305.0,Lukáš Hrádecký,3-4-3,Benjamin Brand,6.0,3.0,50.0,0.33,0.67,20.6,2.0,0.0,0.0,1.1,1.1,0.19,0.9,0.9,3.0,3.0,100.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,2.0,6.0,33.3,24.0,6.0,16.7,28.2,7.0,71.4,41.6,13.0,2.0,15.4,1.0,14.3,552.0,637.0,86.7,8740.0,2900.0,314.0,339.0,92.6,203.0,222.0,91.4,33.0,53.0,62.3,1.0,0.9,0.8,3.0,26.0,4.0,0.0,31.0,637.0,598.0,38.0,12.0,4.0,1.0,8.0,17.0,1.0,0.0,1.0,0.0,552.0,1.0,12.0,10.0,6.0,0.0,1.0,1.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,15.0,8.0,8.0,6.0,1.0,6.0,16.0,37.5,10.0,16.0,3.0,13.0,7.0,22.0,24.0,1.0,55.0,752.0,57.0,205.0,447.0,107.0,17.0,752.0,20.0,12.0,60.0,7.0,35.0,419.0,2028.0,1070.0,17.0,12.0,5.0,20.0,5.0,546.0,30.0,1.0,0.0,0.0,11.0,12.0,1.0,8.0,7.0,8.0,0.0,0.0,0.0,52.0,18.0,6.0,75.0,10.0,3.0,30.0,0.0,0.0,18.7,1.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,3.0,1.0,0.0,0.0,2.2,0.2,0.0,0.0,0.0,0.0,3.0,8.0,37.5,27.0,4.0,25.9,31.8,6.0,16.7,25.7,4.0,2.0,50.0,0.0,10.8,419.0,523.0,80.1,7900.0,2759.0,172.0,193.0,89.1,190.0,225.0,84.4,52.0,80.0,65.0,0.0,0.3,0.9,6.0,43.0,3.0,1.0,36.0,523.0,477.0,43.0,11.0,0.0,1.0,14.0,19.0,3.0,1.0,2.0,0.0,419.0,3.0,13.0,15.0,6.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,5.0,4.0,3.0,7.0,19.0,36.8,12.0,12.0,1.0,11.0,13.0,25.0,8.0,0.0,45.0,612.0,54.0,191.0,253.0,172.0,23.0,612.0,16.0,10.0,62.5,6.0,37.5,286.0,1343.0,603.0,15.0,5.0,2.0,10.0,9.0,419.0,36.0,4.0,0.0,0.0,13.0,11.0,3.0,14.0,13.0,8.0,0.0,0.0,1.0,53.0,6.0,18.0,25.0
2023-10-05,21:00,Europa Lg,Group stage,Thu,Away,W,2.0,1.0,Leverkusen,no Molde,1.7,1.3,62.0,8190.0,Jonathan Tah,3-4-3,Anastasios Papapetrou,12.0,3.0,25.0,0.17,0.67,16.4,1.0,0.0,0.0,1.7,1.7,0.14,0.3,0.3,5.0,4.0,80.0,0.0,1.7,0.7,0.0,0.0,0.0,0.0,4.0,11.0,36.4,48.0,2.0,18.8,27.9,7.0,42.9,35.1,9.0,0.0,0.0,1.0,20.0,660.0,744.0,88.7,10021.0,2937.0,356.0,383.0,93.0,238.0,260.0,91.5,38.0,56.0,67.9,2.0,1.5,1.3,9.0,31.0,10.0,1.0,41.0,744.0,704.0,39.0,12.0,3.0,2.0,7.0,15.0,3.0,1.0,1.0,0.0,660.0,1.0,8.0,21.0,19.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,7.0,6.0,5.0,2.0,6.0,17.0,35.3,11.0,10.0,3.0,7.0,8.0,21.0,16.0,0.0,62.0,847.0,83.0,225.0,442.0,185.0,21.0,847.0,14.0,5.0,35.7,8.0,57.1,547.0,3188.0,1444.0,22.0,35.0,4.0,16.0,2.0,649.0,41.0,0.0,0.0,0.0,6.0,11.0,1.0,7.0,8.0,7.0,0.0,0.0,0.0,50.0,6.0,11.0,35.3,15.0,5.0,33.3,0.07,0.2,16.9,0.0,0.0,0.0,1.3,1.3,0.09,-0.3,-0.3,3.0,1.0,33.3,0.0,1.6,0.1,0.0,0.0,0.0,0.0,3.0,11.0,27.3,15.0,6.0,33.3,30.5,6.0,16.7,23.2,4.0,1.0,25.0,0.0,8.5,373.0,450.0,82.9,6391.0,2044.0,158.0,172.0,91.9,169.0,193.0,87.6,31.0,55.0,56.4,1.0,1.1,1.0,13.0,21.0,9.0,1.0,30.0,450.0,419.0,30.0,6.0,1.0,1.0,13.0,11.0,4.0,1.0,3.0,0.0,373.0,1.0,9.0,28.0,23.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,7.0,3.0,0.0,8.0,13.0,61.5,5.0,12.0,4.0,8.0,14.0,24.0,15.0,1.0,38.0,550.0,64.0,199.0,225.0,129.0,30.0,550.0,17.0,11.0,64.7,6.0,35.3,313.0,1936.0,1002.0,25.0,9.0,4.0,12.0,7.0,373.0,30.0,2.0,0.0,0.0,12.0,6.0,1.0,13.0,14.0,6.0,0.0,0.0,0.0,47.0,11.0,6.0,64.7
2023-10-08,15:30,Bundesliga,Matchweek 7,Sun,Home,W,3.0,0.0,Leverkusen,Köln,3.2,1.3,64.0,30210.0,Lukáš Hrádecký,3-4-3,Felix Zwayer,23.0,10.0,43.5,0.13,0.3,16.6,0.0,0.0,0.0,3.2,3.2,0.14,-0.2,-0.2,3.0,3.0,100.0,1.0,1.1,1.1,0.0,0.0,0.0,0.0,1.0,1.0,100.0,24.0,2.0,0.0,18.1,5.0,20.0,31.4,11.0,0.0,0.0,1.0,27.0,705.0,775.0,91.0,10832.0,3539.0,388.0,413.0,93.9,242.0,260.0,93.1,46.0,56.0,82.1,3.0,3.1,2.8,21.0,44.0,14.0,0.0,53.0,775.0,732.0,41.0,7.0,3.0,4.0,14.0,17.0,11.0,5.0,2.0,1.0,705.0,2.0,10.0,41.0,28.0,5.0,6.0,1.0,1.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0,0.0,7.0,4.0,1.0,4.0,2.0,3.0,10.0,30.0,7.0,17.0,1.0,16.0,7.0,14.0,8.0,0.0,64.0,886.0,39.0,188.0,489.0,213.0,41.0,886.0,23.0,13.0,56.5,9.0,39.1,481.0,2424.0,1333.0,28.0,18.0,7.0,18.0,7.0,702.0,52.0,3.0,0.0,0.0,8.0,7.0,2.0,14.0,7.0,4.0,0.0,0.0,0.0,54.0,4.0,10.0,28.6,7.0,3.0,42.9,0.0,0.0,11.3,0.0,0.0,0.0,1.3,1.3,0.23,-1.3,-1.3,10.0,7.0,70.0,0.0,3.7,0.7,0.0,0.0,0.0,0.0,5.0,11.0,45.5,42.0,5.0,26.2,31.3,9.0,0.0,18.8,11.0,0.0,0.0,3.0,37.7,353.0,442.0,79.9,6335.0,2175.0,157.0,168.0,93.5,153.0,178.0,86.0,36.0,68.0,52.9,0.0,0.7,0.6,6.0,17.0,3.0,2.0,22.0,442.0,403.0,39.0,10.0,0.0,1.0,12.0,12.0,4.0,4.0,0.0,0.0,353.0,0.0,16.0,12.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,10.0,4.0,2.0,9.0,22.0,40.9,13.0,18.0,9.0,9.0,6.0,22.0,27.0,2.0,36.0,548.0,101.0,282.0,196.0,73.0,7.0,548.0,10.0,7.0,70.0,3.0,30.0,299.0,1186.0,459.0,3.0,7.0,0.0,11.0,4.0,350.0,22.0,0.0,0.0,0.0,7.0,7.0,0.0,12.0,6.0,8.0,0.0,0.0,0.0,49.0,10.0,4.0,71.4
