Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Team,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,O_Sh,O_SoT,O_SoT%,O_G/Sh,O_G/SoT,O_Dist,O_FK,O_PK,O_PKatt,O_xG,O_npxG,O_npxG/Sh,O_G-xG,O_np:G-xG,O_SoTA,O_Saves,O_Save%,O_CS,O_PSxG,O_PSxG+/-,O_PKatt,O_PKA,O_PKsv,O_PKm,O_Cmp,O_Att,O_Cmp%,O_Att (GK),O_Thr,O_Launch%,O_AvgLen,O_Att.1,O_Launch%.1,O_AvgLen.1,O_Opp,O_Stp,O_Stp%,O_#OPA,O_AvgDist,O_Cmp,O_Att,O_Cmp%,O_TotDist,O_PrgDist,O_Cmp.1,O_Att.1,O_Cmp%.1,O_Cmp.2,O_Att.2,O_Cmp%.2,O_Cmp.3,O_Att.3,O_Cmp%.3,O_Ast,O_xAG,O_xA,O_KP,O_1/3,O_PPA,O_CrsPA,O_PrgP,O_Att,O_Live,O_Dead,O_FK,O_TB,O_Sw,O_Crs,O_TI,O_CK,O_In,O_Out,O_Str,O_Cmp,O_Off,O_Blocks,O_SCA,O_PassLive,O_PassDead,O_TO,O_Sh,O_Fld,O_Def,O_GCA,O_PassLive.1,O_PassDead.1,O_TO.1,O_Sh.1,O_Fld.1,O_Def.1,O_Tkl,O_TklW,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Tkl.1,O_Att,O_Tkl%,O_Lost,O_Blocks,O_Sh,O_Pass,O_Int,O_Tkl+Int,O_Clr,O_Err,O_Poss,O_Touches,O_Def Pen,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Att Pen,O_Live,O_Att,O_Succ,O_Succ%,O_Tkld,O_Tkld%,O_Carries,O_TotDist,O_PrgDist,O_PrgC,O_1/3,O_CPA,O_Mis,O_Dis,O_Rec,O_PrgR,O_CrdY,O_CrdR,O_2CrdY,O_Fls,O_Fld,O_Off,O_Crs,O_Int,O_TklW,O_PKwon,O_PKcon,O_OG,O_Recov,O_Won,O_Lost,O_Won%
2023-08-13,16:30,Premier League,Matchweek 1,Sun,Away,D,1.0,1.0,Liverpool,Chelsea,1.3,1.4,35.0,40096.0,Virgil van Dijk,4-3-3,Anthony Taylor,13.0,1.0,7.7,0.08,1.0,17.8,0.0,0.0,0.0,1.3,1.3,0.1,-0.3,-0.3,4.0,3.0,75.0,0.0,1.4,0.4,0.0,0.0,0.0,0.0,1.0,6.0,16.7,21.0,6.0,14.3,25.3,10.0,40.0,36.6,18.0,1.0,5.6,0.0,12.0,316.0,411.0,76.9,5175.0,2083.0,146.0,164.0,89.0,125.0,152.0,82.2,28.0,60.0,46.7,1.0,1.2,0.8,10.0,25.0,8.0,2.0,34.0,411.0,371.0,35.0,8.0,2.0,3.0,12.0,11.0,4.0,3.0,1.0,0.0,316.0,5.0,10.0,24.0,21.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,10.0,6.0,3.0,5.0,15.0,33.3,10.0,19.0,2.0,17.0,10.0,29.0,39.0,0.0,35.0,542.0,80.0,212.0,180.0,156.0,22.0,542.0,17.0,10.0,58.8,6.0,35.3,286.0,1061.0,578.0,14.0,11.0,6.0,14.0,7.0,314.0,33.0,3.0,0.0,0.0,13.0,5.0,5.0,12.0,10.0,9.0,0.0,0.0,0.0,62.0,6.0,11.0,35.3,10.0,4.0,40.0,0.1,0.25,13.2,1.0,0.0,0.0,1.4,1.4,0.14,-0.4,-0.4,1.0,0.0,0.0,0.0,0.8,-0.2,0.0,0.0,0.0,0.0,4.0,9.0,44.4,29.0,5.0,17.2,25.2,6.0,66.7,41.5,9.0,2.0,22.2,3.0,18.8,645.0,755.0,85.4,10545.0,3694.0,331.0,364.0,90.9,236.0,265.0,89.1,53.0,75.0,70.7,1.0,1.3,1.2,9.0,51.0,13.0,4.0,57.0,755.0,700.0,52.0,17.0,4.0,3.0,26.0,23.0,4.0,1.0,1.0,0.0,645.0,3.0,20.0,19.0,15.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,6.0,5.0,2.0,6.0,16.0,37.5,10.0,14.0,5.0,9.0,7.0,20.0,18.0,0.0,65.0,862.0,57.0,234.0,401.0,232.0,32.0,862.0,19.0,10.0,52.6,5.0,26.3,631.0,2843.0,1360.0,22.0,18.0,6.0,25.0,14.0,640.0,57.0,3.0,0.0,0.0,5.0,13.0,3.0,26.0,7.0,9.0,0.0,0.0,0.0,63.0,11.0,6.0,64.7
2023-08-19,15:00,Premier League,Matchweek 2,Sat,Home,W,3.0,1.0,Liverpool,Bournemouth,3.0,1.3,64.0,53145.0,Virgil van Dijk,4-3-3,Thomas Bramall,25.0,9.0,36.0,0.12,0.33,16.8,1.0,0.0,1.0,3.0,2.1,0.09,0.0,0.9,5.0,4.0,80.0,0.0,1.3,0.3,0.0,0.0,0.0,0.0,4.0,12.0,33.3,46.0,6.0,15.2,25.2,10.0,60.0,44.5,6.0,1.0,16.7,2.0,22.0,540.0,640.0,84.4,9454.0,3511.0,233.0,265.0,87.9,240.0,261.0,92.0,53.0,87.0,60.9,0.0,0.9,1.0,15.0,30.0,10.0,0.0,40.0,640.0,586.0,54.0,14.0,3.0,8.0,16.0,18.0,10.0,2.0,6.0,0.0,540.0,0.0,11.0,40.0,21.0,5.0,4.0,7.0,2.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,15.0,11.0,6.0,9.0,0.0,8.0,21.0,38.1,13.0,13.0,0.0,13.0,11.0,26.0,15.0,1.0,64.0,766.0,64.0,225.0,356.0,194.0,38.0,765.0,30.0,17.0,56.7,11.0,36.7,429.0,1911.0,1074.0,28.0,11.0,6.0,19.0,7.0,537.0,40.0,1.0,1.0,0.0,11.0,13.0,0.0,16.0,11.0,11.0,1.0,0.0,0.0,58.0,19.0,11.0,63.3,13.0,5.0,38.5,0.08,0.2,19.7,1.0,0.0,0.0,1.3,1.3,0.1,-0.3,-0.3,10.0,6.0,70.0,0.0,3.8,0.8,1.0,0.0,1.0,0.0,4.0,10.0,40.0,15.0,4.0,33.3,28.0,10.0,50.0,45.5,14.0,1.0,7.1,1.0,9.3,259.0,363.0,71.3,4399.0,1632.0,126.0,147.0,85.7,106.0,137.0,77.4,22.0,54.0,40.7,1.0,0.8,0.5,8.0,16.0,6.0,1.0,35.0,363.0,313.0,47.0,10.0,1.0,0.0,10.0,21.0,2.0,1.0,0.0,0.0,259.0,3.0,13.0,21.0,11.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,8.0,9.0,1.0,11.0,28.0,39.3,17.0,19.0,8.0,11.0,14.0,32.0,27.0,0.0,36.0,500.0,82.0,189.0,218.0,102.0,20.0,500.0,25.0,13.0,52.0,8.0,32.0,228.0,1659.0,1009.0,17.0,10.0,8.0,12.0,7.0,256.0,34.0,3.0,0.0,0.0,13.0,10.0,3.0,10.0,14.0,11.0,0.0,1.0,0.0,61.0,11.0,19.0,36.7
2023-08-27,16:30,Premier League,Matchweek 3,Sun,Away,W,2.0,1.0,Liverpool,Newcastle Utd,0.9,2.0,41.0,52214.0,Virgil van Dijk,4-3-3,John Brooks,9.0,4.0,44.4,0.22,0.5,17.2,1.0,0.0,0.0,0.9,0.9,0.1,1.1,1.1,8.0,7.0,87.5,0.0,1.3,0.3,0.0,0.0,0.0,0.0,1.0,14.0,7.1,35.0,6.0,22.9,28.6,14.0,50.0,41.7,11.0,0.0,0.0,0.0,5.0,336.0,427.0,78.7,5965.0,2091.0,151.0,164.0,92.1,149.0,171.0,87.1,33.0,79.0,41.8,1.0,0.8,0.7,7.0,19.0,6.0,0.0,26.0,427.0,366.0,60.0,15.0,4.0,3.0,16.0,20.0,9.0,6.0,3.0,0.0,336.0,1.0,7.0,16.0,10.0,2.0,1.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,6.0,4.0,2.0,5.0,15.0,33.3,10.0,12.0,4.0,8.0,8.0,20.0,19.0,1.0,41.0,528.0,78.0,217.0,219.0,98.0,17.0,528.0,21.0,10.0,47.6,11.0,52.4,279.0,1488.0,866.0,15.0,7.0,5.0,12.0,8.0,334.0,26.0,2.0,1.0,0.0,10.0,15.0,1.0,16.0,8.0,7.0,0.0,0.0,0.0,42.0,8.0,9.0,47.1,23.0,8.0,34.8,0.04,0.13,18.3,1.0,0.0,0.0,2.0,2.0,0.09,-1.0,-1.0,4.0,2.0,50.0,0.0,1.8,-0.2,0.0,0.0,0.0,0.0,4.0,10.0,40.0,25.0,7.0,32.0,27.9,6.0,33.3,29.3,13.0,1.0,7.7,10.0,26.8,533.0,623.0,85.6,8665.0,2655.0,265.0,291.0,91.1,222.0,243.0,91.4,34.0,62.0,54.8,0.0,1.0,0.6,14.0,33.0,8.0,2.0,44.0,623.0,586.0,37.0,10.0,1.0,4.0,13.0,13.0,5.0,2.0,1.0,0.0,533.0,0.0,9.0,41.0,30.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,10.0,6.0,3.0,11.0,21.0,52.4,10.0,8.0,2.0,6.0,5.0,24.0,15.0,1.0,59.0,721.0,55.0,209.0,348.0,167.0,29.0,721.0,18.0,10.0,55.6,5.0,27.8,467.0,2209.0,1303.0,29.0,20.0,8.0,9.0,7.0,530.0,43.0,1.0,0.0,0.0,16.0,10.0,0.0,13.0,5.0,12.0,0.0,0.0,0.0,53.0,9.0,8.0,52.9
2023-09-03,14:00,Premier League,Matchweek 4,Sun,Home,W,3.0,0.0,Liverpool,Aston Villa,2.5,0.7,63.0,50109.0,Trent Alexander-Arnold,4-3-3,Simon Hooper,17.0,4.0,23.5,0.12,0.5,14.7,0.0,0.0,0.0,2.5,2.5,0.15,-0.5,-0.5,3.0,3.0,100.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,3.0,4.0,75.0,29.0,3.0,13.8,21.9,7.0,0.0,20.9,9.0,1.0,11.1,2.0,15.2,653.0,727.0,89.8,10587.0,3636.0,345.0,362.0,95.3,263.0,282.0,93.3,36.0,56.0,64.3,2.0,1.7,0.9,13.0,27.0,9.0,1.0,41.0,727.0,687.0,34.0,8.0,6.0,3.0,13.0,11.0,7.0,2.0,5.0,0.0,653.0,6.0,7.0,32.0,22.0,6.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,9.0,3.0,6.0,5.0,8.0,19.0,42.1,11.0,5.0,0.0,5.0,8.0,22.0,11.0,2.0,63.0,817.0,58.0,231.0,474.0,121.0,33.0,817.0,15.0,3.0,20.0,10.0,66.7,598.0,2693.0,1302.0,23.0,12.0,10.0,14.0,5.0,652.0,41.0,0.0,0.0,0.0,12.0,7.0,6.0,13.0,8.0,9.0,0.0,0.0,0.0,56.0,8.0,2.0,80.0,9.0,3.0,33.3,0.0,0.0,12.5,0.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7,4.0,2.0,25.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,4.0,10.0,40.0,34.0,7.0,23.5,27.9,8.0,25.0,31.3,8.0,1.0,12.5,1.0,14.3,343.0,422.0,81.3,5980.0,2187.0,174.0,193.0,90.2,128.0,149.0,85.9,38.0,69.0,55.1,0.0,0.7,0.5,9.0,24.0,8.0,4.0,29.0,422.0,372.0,49.0,18.0,0.0,5.0,10.0,16.0,3.0,3.0,0.0,0.0,343.0,1.0,6.0,17.0,13.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,9.0,5.0,1.0,10.0,13.0,76.9,3.0,10.0,3.0,7.0,9.0,24.0,17.0,0.0,37.0,512.0,81.0,222.0,215.0,77.0,17.0,512.0,21.0,11.0,52.4,8.0,38.1,307.0,1562.0,792.0,14.0,5.0,4.0,9.0,6.0,339.0,29.0,1.0,0.0,0.0,7.0,12.0,1.0,10.0,9.0,6.0,0.0,0.0,1.0,39.0,2.0,8.0,20.0
2023-09-16,12:30,Premier League,Matchweek 5,Sat,Away,W,3.0,1.0,Liverpool,Wolves,2.5,0.6,65.0,31257.0,Andrew Robertson,4-3-3,Michael Oliver,16.0,5.0,31.3,0.13,0.4,15.8,0.0,0.0,0.0,2.5,2.5,0.16,-0.5,-0.5,2.0,1.0,50.0,0.0,0.1,-0.9,0.0,0.0,0.0,0.0,2.0,4.0,50.0,33.0,5.0,9.1,23.9,8.0,12.5,23.0,11.0,0.0,0.0,2.0,25.7,673.0,778.0,86.5,10997.0,3413.0,336.0,364.0,92.3,279.0,318.0,87.7,46.0,71.0,64.8,2.0,2.2,2.7,13.0,58.0,13.0,4.0,73.0,778.0,727.0,51.0,11.0,1.0,4.0,18.0,26.0,4.0,2.0,2.0,0.0,673.0,0.0,9.0,30.0,28.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,24.0,16.0,10.0,9.0,5.0,15.0,33.0,45.5,18.0,9.0,2.0,7.0,9.0,33.0,20.0,0.0,65.0,884.0,65.0,205.0,456.0,228.0,38.0,884.0,19.0,7.0,36.8,12.0,63.2,538.0,2412.0,1451.0,21.0,21.0,7.0,11.0,10.0,664.0,71.0,3.0,0.0,0.0,4.0,9.0,0.0,18.0,9.0,16.0,0.0,0.0,0.0,57.0,11.0,7.0,61.1,11.0,2.0,18.2,0.09,0.5,18.7,0.0,0.0,0.0,0.6,0.6,0.06,0.4,0.4,5.0,3.0,40.0,0.0,2.3,0.3,0.0,0.0,0.0,0.0,2.0,14.0,14.3,19.0,8.0,42.1,34.4,7.0,85.7,60.0,13.0,3.0,23.1,0.0,6.0,330.0,414.0,79.7,5837.0,1955.0,156.0,168.0,92.9,143.0,169.0,84.6,24.0,59.0,40.7,1.0,0.5,1.1,8.0,23.0,5.0,1.0,29.0,414.0,370.0,43.0,4.0,1.0,7.0,15.0,23.0,4.0,2.0,2.0,0.0,330.0,1.0,8.0,18.0,10.0,3.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,22.0,15.0,12.0,9.0,1.0,12.0,19.0,63.2,7.0,13.0,4.0,9.0,13.0,35.0,23.0,0.0,35.0,545.0,64.0,187.0,248.0,117.0,27.0,545.0,35.0,18.0,51.4,15.0,42.9,364.0,1912.0,1002.0,23.0,15.0,9.0,20.0,9.0,328.0,29.0,1.0,0.0,0.0,10.0,4.0,1.0,15.0,13.0,15.0,0.0,0.0,1.0,54.0,7.0,11.0,38.9
2023-09-21,18:45,Europa Lg,Group stage,Thu,Away,W,3.0,1.0,Liverpool,at LASK,2.2,0.3,66.0,18091.0,Virgil van Dijk,4-3-3,Marco Di Bello,13.0,4.0,30.8,0.15,0.5,16.1,0.0,1.0,1.0,2.2,1.4,0.11,0.8,0.6,2.0,1.0,50.0,0.0,0.3,-0.7,0.0,0.0,0.0,0.0,7.0,13.0,53.8,40.0,5.0,27.5,29.4,6.0,33.3,39.0,14.0,1.0,7.1,0.0,10.3,481.0,588.0,81.8,8858.0,3281.0,221.0,257.0,86.0,189.0,216.0,87.5,62.0,93.0,66.7,2.0,1.3,2.1,11.0,44.0,16.0,1.0,49.0,588.0,530.0,57.0,19.0,7.0,7.0,13.0,23.0,7.0,5.0,2.0,0.0,481.0,1.0,8.0,26.0,22.0,1.0,0.0,0.0,1.0,2.0,6.0,4.0,0.0,0.0,0.0,1.0,1.0,17.0,11.0,6.0,7.0,4.0,7.0,17.0,41.2,10.0,11.0,3.0,8.0,7.0,24.0,15.0,0.0,66.0,726.0,53.0,190.0,338.0,203.0,36.0,725.0,34.0,10.0,29.4,15.0,44.1,428.0,2115.0,920.0,21.0,14.0,5.0,23.0,15.0,474.0,49.0,2.0,0.0,0.0,15.0,13.0,1.0,13.0,7.0,11.0,1.0,0.0,0.0,65.0,13.0,11.0,54.2,7.0,2.0,28.6,0.14,0.5,20.6,0.0,0.0,0.0,0.3,0.3,0.04,0.7,0.7,5.0,2.0,60.0,0.0,2.7,-0.3,1.0,1.0,0.0,0.0,4.0,10.0,40.0,18.0,2.0,27.8,31.7,9.0,55.6,46.9,12.0,0.0,0.0,2.0,16.8,194.0,309.0,62.8,3411.0,1601.0,79.0,97.0,81.4,87.0,130.0,66.9,20.0,55.0,36.4,1.0,0.3,0.7,5.0,13.0,7.0,2.0,27.0,309.0,241.0,62.0,16.0,3.0,4.0,17.0,27.0,6.0,2.0,3.0,0.0,194.0,6.0,8.0,14.0,8.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,30.0,20.0,17.0,7.0,6.0,15.0,25.0,60.0,10.0,12.0,4.0,8.0,8.0,38.0,31.0,0.0,34.0,447.0,87.0,189.0,160.0,102.0,11.0,447.0,21.0,10.0,47.6,7.0,33.3,153.0,685.0,295.0,8.0,4.0,1.0,16.0,10.0,194.0,27.0,3.0,0.0,0.0,14.0,13.0,6.0,17.0,8.0,20.0,0.0,1.0,0.0,61.0,11.0,13.0,45.8
2023-09-24,14:00,Premier League,Matchweek 6,Sun,Home,W,3.0,1.0,Liverpool,West Ham,3.0,1.1,63.0,50136.0,Virgil van Dijk,4-3-3,Chris Kavanagh,21.0,6.0,28.6,0.1,0.33,19.3,2.0,1.0,1.0,3.0,2.2,0.11,0.0,-0.2,4.0,3.0,75.0,0.0,1.4,0.4,0.0,0.0,0.0,0.0,2.0,4.0,50.0,36.0,7.0,11.1,23.9,1.0,0.0,7.0,14.0,1.0,7.1,2.0,17.2,600.0,691.0,86.8,9546.0,3391.0,323.0,351.0,92.0,228.0,249.0,91.6,40.0,61.0,65.6,2.0,2.2,1.6,18.0,46.0,10.0,0.0,72.0,691.0,651.0,38.0,11.0,4.0,4.0,20.0,17.0,7.0,1.0,6.0,0.0,600.0,2.0,12.0,41.0,29.0,5.0,2.0,1.0,4.0,0.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,17.0,11.0,6.0,6.0,5.0,6.0,20.0,30.0,14.0,13.0,3.0,10.0,9.0,26.0,20.0,0.0,63.0,817.0,54.0,192.0,395.0,240.0,40.0,816.0,22.0,9.0,40.9,12.0,54.5,566.0,2731.0,1427.0,31.0,19.0,7.0,15.0,12.0,596.0,71.0,0.0,0.0,0.0,12.0,13.0,2.0,20.0,9.0,11.0,1.0,0.0,0.0,58.0,26.0,9.0,74.3,11.0,4.0,36.4,0.09,0.25,13.5,0.0,0.0,0.0,1.1,1.1,0.1,-0.1,-0.1,7.0,4.0,71.4,0.0,3.4,0.4,1.0,1.0,0.0,0.0,4.0,14.0,28.6,22.0,5.0,40.9,31.0,14.0,35.7,31.8,18.0,0.0,0.0,0.0,9.3,304.0,398.0,76.4,4929.0,1924.0,161.0,178.0,90.4,103.0,126.0,81.7,28.0,65.0,43.1,1.0,0.9,0.8,7.0,20.0,3.0,2.0,23.0,398.0,343.0,54.0,13.0,2.0,6.0,17.0,19.0,4.0,2.0,2.0,0.0,304.0,1.0,11.0,20.0,14.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,13.0,9.0,2.0,12.0,21.0,57.1,9.0,17.0,7.0,10.0,8.0,32.0,30.0,0.0,37.0,518.0,99.0,220.0,211.0,92.0,16.0,518.0,22.0,14.0,63.6,6.0,27.3,214.0,1233.0,544.0,8.0,8.0,0.0,12.0,11.0,304.0,23.0,2.0,0.0,0.0,13.0,11.0,1.0,17.0,8.0,18.0,0.0,1.0,0.0,41.0,9.0,26.0,25.7
2023-09-27,19:45,EFL Cup,Third round,Wed,Home,W,3.0,1.0,Liverpool,Leicester City,,,57.0,49732.0,Curtis Jones,4-3-3,Tim Robinson,29.0,10.0,34.5,0.1,0.3,,,0.0,0.0,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,18.0,0.0,,,57.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,18.0,8.0,1.0,23.0,18.0,8.0,,,0.0,,,,,4.0,1.0,25.0,0.25,1.0,,,0.0,0.0,,,,,,8.0,5.0,62.5,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,8.0,0.0,,,43.0,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,8.0,17.0,2.0,9.0,8.0,13.0,,,0.0,,,,
2023-09-30,17:30,Premier League,Matchweek 7,Sat,Away,L,1.0,2.0,Liverpool,Tottenham,1.3,2.2,36.0,62001.0,Virgil van Dijk,4-3-3,Simon Hooper,12.0,4.0,33.3,0.08,0.25,14.9,0.0,0.0,0.0,1.3,1.3,0.11,-0.3,-0.3,8.0,7.0,75.0,0.0,2.2,1.2,0.0,0.0,0.0,0.0,8.0,21.0,38.1,48.0,7.0,39.6,33.4,7.0,28.6,31.3,21.0,1.0,4.8,0.0,11.3,314.0,406.0,77.3,5890.0,2226.0,131.0,141.0,92.9,132.0,158.0,83.5,43.0,75.0,57.3,1.0,1.2,0.9,10.0,13.0,7.0,2.0,25.0,406.0,352.0,53.0,15.0,3.0,6.0,11.0,23.0,5.0,3.0,2.0,0.0,314.0,1.0,15.0,22.0,15.0,4.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,10.0,3.0,2.0,10.0,19.0,52.6,9.0,20.0,11.0,9.0,6.0,21.0,24.0,0.0,36.0,531.0,113.0,271.0,160.0,104.0,19.0,531.0,20.0,7.0,35.0,12.0,60.0,323.0,1651.0,871.0,16.0,11.0,5.0,12.0,11.0,312.0,25.0,6.0,2.0,1.0,17.0,11.0,1.0,11.0,6.0,7.0,0.0,0.0,1.0,48.0,9.0,8.0,52.9,24.0,8.0,33.3,0.04,0.13,19.8,0.0,0.0,0.0,2.2,2.2,0.09,-1.2,-1.2,4.0,3.0,75.0,0.0,0.3,-0.7,0.0,0.0,0.0,0.0,1.0,3.0,33.3,18.0,4.0,16.7,22.4,4.0,0.0,15.0,9.0,1.0,11.1,1.0,18.3,629.0,719.0,87.5,9030.0,2993.0,364.0,388.0,93.8,201.0,231.0,87.0,30.0,44.0,68.2,1.0,1.6,1.5,21.0,48.0,18.0,1.0,86.0,719.0,660.0,55.0,18.0,3.0,1.0,29.0,20.0,11.0,3.0,2.0,0.0,629.0,4.0,10.0,46.0,40.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,19.0,13.0,5.0,5.0,12.0,19.0,63.2,7.0,17.0,3.0,14.0,11.0,34.0,15.0,0.0,64.0,840.0,45.0,197.0,341.0,315.0,49.0,840.0,25.0,9.0,36.0,10.0,40.0,541.0,2934.0,1531.0,30.0,22.0,15.0,11.0,5.0,627.0,86.0,5.0,0.0,0.0,11.0,17.0,4.0,29.0,11.0,19.0,0.0,0.0,0.0,59.0,8.0,9.0,47.1
2023-10-05,20:00,Europa Lg,Group stage,Thu,Home,W,2.0,0.0,Liverpool,be Union SG,2.9,1.1,72.0,49513.0,Trent Alexander-Arnold,4-3-3,Morten Krogh,19.0,9.0,47.4,0.11,0.22,17.2,0.0,0.0,0.0,2.9,2.9,0.15,-0.9,-0.9,1.0,1.0,100.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,2.0,6.0,33.3,34.0,5.0,11.8,24.1,7.0,28.6,40.3,15.0,1.0,6.7,4.0,18.7,609.0,709.0,85.9,11341.0,4058.0,252.0,272.0,92.6,298.0,330.0,90.3,58.0,90.0,64.4,1.0,1.6,1.6,14.0,46.0,13.0,2.0,61.0,709.0,647.0,59.0,18.0,4.0,6.0,17.0,26.0,7.0,1.0,5.0,0.0,609.0,3.0,8.0,29.0,22.0,2.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,13.0,9.0,7.0,3.0,9.0,16.0,56.3,7.0,15.0,1.0,14.0,9.0,28.0,16.0,1.0,72.0,839.0,57.0,217.0,460.0,168.0,27.0,839.0,20.0,9.0,45.0,11.0,55.0,525.0,2591.0,1204.0,26.0,16.0,7.0,23.0,5.0,609.0,61.0,0.0,0.0,0.0,9.0,13.0,3.0,17.0,9.0,13.0,0.0,0.0,0.0,57.0,13.0,14.0,48.1,6.0,1.0,16.7,0.0,0.0,16.9,0.0,0.0,0.0,1.1,1.1,0.18,-1.1,-1.1,9.0,7.0,77.8,0.0,3.4,1.4,0.0,0.0,0.0,0.0,5.0,21.0,23.8,21.0,4.0,57.1,40.4,12.0,75.0,59.9,15.0,0.0,0.0,1.0,10.5,165.0,281.0,58.7,3006.0,1634.0,76.0,100.0,76.0,62.0,96.0,64.6,20.0,59.0,33.9,0.0,0.5,0.3,3.0,12.0,3.0,1.0,19.0,281.0,210.0,67.0,12.0,1.0,0.0,19.0,29.0,11.0,5.0,5.0,0.0,165.0,4.0,16.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,6.0,10.0,0.0,11.0,20.0,55.0,9.0,9.0,1.0,8.0,10.0,26.0,21.0,2.0,28.0,397.0,64.0,161.0,171.0,69.0,10.0,397.0,16.0,7.0,43.8,9.0,56.3,144.0,826.0,398.0,8.0,6.0,3.0,24.0,10.0,162.0,18.0,0.0,0.0,0.0,14.0,8.0,4.0,19.0,10.0,8.0,0.0,0.0,0.0,60.0,14.0,13.0,51.9
