Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Team,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,O_Sh,O_SoT,O_SoT%,O_G/Sh,O_G/SoT,O_Dist,O_FK,O_PK,O_PKatt,O_xG,O_npxG,O_npxG/Sh,O_G-xG,O_np:G-xG,O_SoTA,O_Saves,O_Save%,O_CS,O_PSxG,O_PSxG+/-,O_PKatt,O_PKA,O_PKsv,O_PKm,O_Cmp,O_Att,O_Cmp%,O_Att (GK),O_Thr,O_Launch%,O_AvgLen,O_Att.1,O_Launch%.1,O_AvgLen.1,O_Opp,O_Stp,O_Stp%,O_#OPA,O_AvgDist,O_Cmp,O_Att,O_Cmp%,O_TotDist,O_PrgDist,O_Cmp.1,O_Att.1,O_Cmp%.1,O_Cmp.2,O_Att.2,O_Cmp%.2,O_Cmp.3,O_Att.3,O_Cmp%.3,O_Ast,O_xAG,O_xA,O_KP,O_1/3,O_PPA,O_CrsPA,O_PrgP,O_Att,O_Live,O_Dead,O_FK,O_TB,O_Sw,O_Crs,O_TI,O_CK,O_In,O_Out,O_Str,O_Cmp,O_Off,O_Blocks,O_SCA,O_PassLive,O_PassDead,O_TO,O_Sh,O_Fld,O_Def,O_GCA,O_PassLive.1,O_PassDead.1,O_TO.1,O_Sh.1,O_Fld.1,O_Def.1,O_Tkl,O_TklW,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Tkl.1,O_Att,O_Tkl%,O_Lost,O_Blocks,O_Sh,O_Pass,O_Int,O_Tkl+Int,O_Clr,O_Err,O_Poss,O_Touches,O_Def Pen,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Att Pen,O_Live,O_Att,O_Succ,O_Succ%,O_Tkld,O_Tkld%,O_Carries,O_TotDist,O_PrgDist,O_PrgC,O_1/3,O_CPA,O_Mis,O_Dis,O_Rec,O_PrgR,O_CrdY,O_CrdR,O_2CrdY,O_Fls,O_Fld,O_Off,O_Crs,O_Int,O_TklW,O_PKwon,O_PKcon,O_OG,O_Recov,O_Won,O_Lost,O_Won%
2022-07-22,20:30,Bundesliga,Regular season,Fri,Home,W,3,0,RB Salzburg,Austria Wien,,,56.0,11100,Maximilian Wöber,4-4-2◆,Rene Eisner,19.0,10.0,52.6,0.16,0.3,,,0,0,,,,,,3.0,3.0,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,12.0,0,,,56.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,14.0,7.0,4.0,9.0,12.0,13.0,,,0,,,,,10.0,3.0,30.0,0.0,0.0,,,0,0,,,,,,9.0,6.0,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,21.0,0,,,44.0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,7.0,14.0,1.0,12.0,21.0,5.0,,,0,,,,
2022-07-30,19:30,Bundesliga,Regular season,Sat,Away,L,1,2,RB Salzburg,Sturm Graz,,,60.0,12317,Maximilian Wöber,4-3-1-2,Julian Weinberger,9.0,4.0,44.4,0.11,0.25,,,0,0,,,,,,3.0,1.0,33.3,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,13.0,0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,17.0,8.0,3.0,21.0,13.0,6.0,,,0,,,,,10.0,3.0,30.0,0.2,0.67,,,0,0,,,,,,4.0,3.0,75.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,16.0,0,,,40.0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,9.0,17.0,2.0,19.0,16.0,9.0,,,0,,,,
2022-08-06,19:30,Bundesliga,Regular season,Sat,Away,W,2,0,RB Salzburg,Hartberg,,,65.0,2800,Maximilian Wöber,4-4-2◆,Harald Lechner,10.0,4.0,40.0,0.2,0.5,,,0,0,,,,,,2.0,2.0,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,11.0,0,,,65.0,,,,,,,,,,,,,,,,,,,,,,,4,1,1,15.0,15.0,2.0,7.0,11.0,7.0,,,0,,,,,4.0,2.0,50.0,0.0,0.0,,,0,0,,,,,,4.0,2.0,50.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,16.0,0,,,35.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,15.0,15.0,3.0,6.0,16.0,14.0,,,0,,,,
2022-08-14,17:00,Bundesliga,Regular season,Sun,Home,W,2,1,RB Salzburg,Wolfsberger AC,,,62.0,11769,Maximilian Wöber,4-4-2◆,Alexander Harkam,9.0,3.0,33.3,0.22,0.67,,,0,0,,,,,,4.0,3.0,75.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,14.0,0,,,62.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,15.0,6.0,6.0,22.0,14.0,11.0,,,0,,,,,8.0,3.0,37.5,0.13,0.33,,,0,0,,,,,,3.0,1.0,33.3,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,10.0,0,,,38.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6.0,13.0,2.0,7.0,10.0,11.0,,,0,,,,
2022-08-20,17:00,Bundesliga,Regular season,Sat,Home,W,2,0,RB Salzburg,SK Austria Klagenfurt,,,65.0,10159,Maximilian Wöber,4-4-2◆,Josef Spurny,18.0,12.0,66.7,0.11,0.17,,,0,0,,,,,,4.0,4.0,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,15.0,0,,,65.0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,14.0,11.0,3.0,15.0,15.0,5.0,,,0,,,,,12.0,4.0,33.3,0.0,0.0,,,0,0,,,,,,12.0,10.0,83.3,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,15.0,0,,,35.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,11.0,14.0,2.0,9.0,15.0,15.0,,,0,,,,
2022-08-27,17:00,Bundesliga,Regular season,Sat,Away,W,6,0,RB Salzburg,SC Austria Lustenau,,,54.0,4278,Andreas Ulmer,4-4-2◆,Stefan Ebner,20.0,13.0,65.0,0.25,0.38,,,1,1,,,,,,0.0,0.0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,12.0,0,,,54.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,24.0,10.0,2.0,19.0,12.0,12.0,,,0,,,,,6.0,0.0,0.0,0.0,,,,0,0,,,,,,12.0,7.0,58.3,0,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,14.0,0,,,47.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,11.0,24.0,3.0,9.0,14.0,13.0,,,0,,,,
2022-09-03,17:00,Bundesliga,Regular season,Sat,Home,W,2,0,RB Salzburg,WSG Tirol,,,66.0,10057,Andreas Ulmer,4-4-2◆,Harald Lechner,21.0,12.0,57.1,0.1,0.17,,,0,0,,,,,,1.0,1.0,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,8.0,0,,,66.0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,11.0,14.0,3.0,20.0,8.0,11.0,,,0,,,,,7.0,1.0,14.3,0.0,0.0,,,0,0,,,,,,11.0,9.0,81.8,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,10.0,0,,,34.0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,14.0,11.0,0.0,9.0,10.0,10.0,,,0,,,,
2022-09-06,21:00,Champions Lg,Group stage,Tue,Home,D,1,1,RB Salzburg,it Milan,1.3,0.9,35.0,29520,Andreas Ulmer,4-3-1-2,Srđan Jovanović,16.0,4.0,25.0,0.06,0.25,23.5,1.0,0,0,1.3,1.3,0.08,-0.3,-0.3,3.0,2.0,66.7,0,0.6,-0.4,0,0,0,0,5.0,11.0,45.5,17.0,2.0,41.2,39.2,7.0,57.1,51.6,15.0,0.0,0.0,3.0,18.8,202.0,291.0,69.4,3603.0,1902.0,100.0,124.0,80.6,74.0,98.0,75.5,23.0,54.0,42.6,1,1.0,0.4,9.0,24.0,7.0,2.0,30.0,291.0,242.0,49.0,19.0,0.0,1.0,13.0,18.0,3.0,3.0,0.0,0.0,202.0,0.0,10.0,21.0,14.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,15.0,15.0,8.0,6.0,13.0,26.0,50.0,13.0,24.0,4.0,20.0,7.0,36,22.0,0.0,35.0,447.0,45.0,133.0,192.0,128.0,13.0,447.0,18.0,5.0,27.8,8.0,44.4,166.0,1212.0,624.0,14.0,11.0,4.0,24.0,12.0,198.0,29.0,2,0,0,10.0,18.0,0.0,13.0,7.0,15.0,0.0,0.0,0,62.0,8.0,5.0,61.5,14.0,3.0,21.4,0.07,0.33,22.4,0.0,0,0,0.9,0.9,0.06,0.1,0.1,4.0,3.0,75.0,0,1.1,0.1,0,0,0,0,3.0,5.0,60.0,23.0,8.0,8.7,28.4,9.0,33.3,38.3,8.0,1.0,12.5,1.0,18.3,433.0,544.0,79.6,8371.0,2844.0,165.0,190.0,86.8,188.0,210.0,89.5,67.0,98.0,68.4,1,0.8,1.0,11.0,38.0,7.0,2.0,45.0,544.0,488.0,53.0,10.0,1.0,5.0,17.0,27.0,5.0,3.0,1.0,0.0,433.0,3.0,22.0,26.0,22.0,0.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,14.0,3.0,3.0,8.0,13.0,61.5,5.0,12.0,4.0,8.0,2.0,22,7.0,2.0,65.0,650.0,47.0,220.0,279.0,159.0,18.0,650.0,28.0,13.0,46.4,13.0,46.4,327.0,2221.0,1231.0,23.0,14.0,4.0,15.0,16.0,426.0,44.0,4,0,0,19.0,9.0,3.0,17.0,2.0,10.0,0.0,0.0,0,58.0,4.0,9.0,30.8
2022-09-10,17:00,Bundesliga,Regular season,Sat,Away,W,3,0,RB Salzburg,Ried,,,50.0,5568,Andreas Ulmer,4-4-2◆,Markus Hameter,19.0,8.0,42.1,0.16,0.38,,,0,0,,,,,,0.0,0.0,,1,,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,17.0,0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,17.0,8.0,8.0,8.0,17.0,13.0,,,0,,,,,10.0,1.0,10.0,0.0,0.0,,,0,1,,,,,,8.0,5.0,62.5,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,16.0,0,,,50.0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,8.0,15.0,0.0,9.0,16.0,11.0,,,0,,,,
2022-09-14,20:00,Champions Lg,Group stage,Wed,Away,D,1,1,RB Salzburg,eng Chelsea,0.4,1.2,30.0,38818,Andreas Ulmer,4-3-1-2,Ivan Kružliak,4.0,3.0,75.0,0.25,0.33,18.4,0.0,0,0,0.4,0.4,0.09,0.6,0.6,4.0,3.0,75.0,0,1.3,0.3,0,0,0,0,13.0,23.0,56.5,22.0,0.0,86.4,53.5,7.0,57.1,49.7,20.0,0.0,0.0,2.0,20.7,173.0,296.0,58.4,3176.0,1885.0,91.0,122.0,74.6,52.0,81.0,64.2,22.0,55.0,40.0,1,0.3,0.3,3.0,8.0,5.0,3.0,15.0,296.0,243.0,49.0,9.0,0.0,3.0,8.0,29.0,2.0,1.0,0.0,0.0,173.0,4.0,12.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,11.0,9.0,4.0,15.0,22.0,68.2,7.0,13.0,5.0,8.0,12.0,36,27.0,1.0,30.0,434.0,64.0,154.0,185.0,101.0,7.0,434.0,20.0,4.0,20.0,14.0,70.0,215.0,1095.0,381.0,9.0,8.0,1.0,18.0,12.0,170.0,15.0,4,0,0,16.0,5.0,4.0,8.0,12.0,15.0,0.0,0.0,0,59.0,12.0,8.0,60.0,17.0,4.0,23.5,0.06,0.25,15.0,0.0,0,0,1.2,1.2,0.07,-0.2,-0.2,3.0,2.0,66.7,0,0.4,-0.6,0,0,0,0,2.0,11.0,18.2,36.0,4.0,27.8,29.7,3.0,33.3,38.0,7.0,0.0,0.0,3.0,34.7,575.0,705.0,81.6,10661.0,3340.0,214.0,250.0,85.6,272.0,313.0,86.9,70.0,105.0,66.7,1,0.8,1.2,12.0,47.0,16.0,4.0,66.0,705.0,650.0,51.0,20.0,0.0,4.0,26.0,23.0,3.0,2.0,1.0,0.0,575.0,4.0,10.0,31.0,26.0,2.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,15.0,17.0,7.0,2.0,14.0,18.0,77.8,4.0,11.0,0.0,11.0,12.0,38,12.0,0.0,70.0,841.0,54.0,248.0,387.0,210.0,35.0,841.0,27.0,7.0,25.9,15.0,55.6,624.0,3406.0,1516.0,17.0,25.0,5.0,16.0,9.0,572.0,66.0,1,0,0,6.0,13.0,4.0,26.0,12.0,15.0,0.0,0.0,0,67.0,8.0,12.0,40.0
