Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Team,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,O_Sh,O_SoT,O_SoT%,O_G/Sh,O_G/SoT,O_Dist,O_FK,O_PK,O_PKatt,O_xG,O_npxG,O_npxG/Sh,O_G-xG,O_np:G-xG,O_SoTA,O_Saves,O_Save%,O_CS,O_PSxG,O_PSxG+/-,O_PKatt,O_PKA,O_PKsv,O_PKm,O_Cmp,O_Att,O_Cmp%,O_Att (GK),O_Thr,O_Launch%,O_AvgLen,O_Att.1,O_Launch%.1,O_AvgLen.1,O_Opp,O_Stp,O_Stp%,O_#OPA,O_AvgDist,O_Cmp,O_Att,O_Cmp%,O_TotDist,O_PrgDist,O_Cmp.1,O_Att.1,O_Cmp%.1,O_Cmp.2,O_Att.2,O_Cmp%.2,O_Cmp.3,O_Att.3,O_Cmp%.3,O_Ast,O_xAG,O_xA,O_KP,O_1/3,O_PPA,O_CrsPA,O_PrgP,O_Att,O_Live,O_Dead,O_FK,O_TB,O_Sw,O_Crs,O_TI,O_CK,O_In,O_Out,O_Str,O_Cmp,O_Off,O_Blocks,O_SCA,O_PassLive,O_PassDead,O_TO,O_Sh,O_Fld,O_Def,O_GCA,O_PassLive.1,O_PassDead.1,O_TO.1,O_Sh.1,O_Fld.1,O_Def.1,O_Tkl,O_TklW,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Tkl.1,O_Att,O_Tkl%,O_Lost,O_Blocks,O_Sh,O_Pass,O_Int,O_Tkl+Int,O_Clr,O_Err,O_Poss,O_Touches,O_Def Pen,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Att Pen,O_Live,O_Att,O_Succ,O_Succ%,O_Tkld,O_Tkld%,O_Carries,O_TotDist,O_PrgDist,O_PrgC,O_1/3,O_CPA,O_Mis,O_Dis,O_Rec,O_PrgR,O_CrdY,O_CrdR,O_2CrdY,O_Fls,O_Fld,O_Off,O_Crs,O_Int,O_TklW,O_PKwon,O_PKcon,O_OG,O_Recov,O_Won,O_Lost,O_Won%
2021-08-28,13:00,Bundesliga,Matchweek 1,Sat,Home,W,3,0,Wolfsburg,Turbine Potsdam,,,,1060.0,,,Mirka Derlin,,,,,,,,0.0,0.0,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,,,,,0.0,,,,
2021-09-01,18:00,Champions Lg,Second qualifying round,Wed,Home,W,3,2,Wolfsburg,fr Bordeaux,,,,,Dominique Janssen,4-1-4-1,Lorraine Watson,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,,,,,0.0,,,,
2021-09-04,16:00,Bundesliga,Matchweek 2,Sat,Away,W,2,0,Wolfsburg,Werder Bremen,,,,150.0,,,Riem Hussein,,,,,,,,0.0,0.0,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,,,,,0.0,,,,
2021-09-08,19:00,Champions Lg,Second qualifying round,Wed,Away,L,2 (3),3 (0),Wolfsburg,fr Bordeaux,,,,,Svenja Huth,5-3-2,María Dolores Martínez,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,,,,,0.0,,,,
2021-09-12,13:00,Bundesliga,Matchweek 3,Sun,Home,W,4,0,Wolfsburg,Sand,,,,775.0,,,Nadine Westerhoff,,,,,,,,0.0,0.0,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,1.0,,,,
2021-09-27,18:30,DFB-Pokal,Second round,Mon,Away,W,3,1,Wolfsburg,MSV Duisburg,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,,,,,0.0,,,,
2021-10-02,13:00,Bundesliga,Matchweek 4,Sat,Away,D,2,2,Wolfsburg,Freiburg,,,,250.0,,,Karoline Wacker,12.0,7.0,58.3,0.25,0.43,21.0,1.0,0.0,0.0,0.7,0.7,0.06,2.3,2.3,6.0,3.0,50.0,0.0,1.6,-1.4,0.0,0.0,0.0,0.0,2.0,9.0,22.2,34.0,7.0,17.6,32.2,8.0,37.5,30.0,28.0,1.0,3.6,3.0,14.3,254.0,390.0,65.1,4048.0,1709.0,128.0,154.0,83.1,100.0,144.0,69.4,17.0,60.0,28.3,2.0,0.4,0.4,8.0,15.0,7.0,1.0,17.0,390.0,339.0,51.0,9.0,0.0,2.0,10.0,30.0,0.0,0.0,0.0,0.0,254.0,0.0,13.0,18.0,12.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,12.0,8.0,4.0,2.0,4.0,12.0,33.3,8.0,15.0,4.0,11.0,12.0,26.0,32.0,0.0,40.0,519.0,81.0,256.0,176.0,97.0,11.0,519.0,7.0,3.0,42.9,4.0,57.1,264.0,1265.0,663.0,16.0,8.0,1.0,20.0,11.0,254.0,17.0,3.0,0.0,0.0,9.0,5.0,0.0,10.0,12.0,12.0,0.0,0.0,0.0,59.0,14.0,14.0,50.0,17.0,6.0,35.3,0.18,0.5,14.1,1.0,0.0,0.0,1.7,1.7,0.1,1.3,1.3,7.0,4.0,57.1,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,23.0,7.0,13.0,24.9,6.0,50.0,34.7,6.0,0.0,0.0,5.0,20.0,425.0,576.0,73.8,7497.0,2846.0,207.0,246.0,84.1,164.0,211.0,77.7,48.0,90.0,53.3,2.0,1.4,0.9,12.0,31.0,14.0,6.0,35.0,576.0,507.0,66.0,8.0,1.0,2.0,31.0,38.0,10.0,6.0,1.0,3.0,425.0,3.0,13.0,29.0,19.0,5.0,1.0,2.0,2.0,0.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,15.0,10.0,8.0,4.0,3.0,4.0,7.0,57.1,3.0,13.0,2.0,11.0,9.0,24.0,9.0,3.0,60.0,676.0,42.0,170.0,305.0,205.0,35.0,676.0,12.0,8.0,66.7,4.0,33.3,394.0,1698.0,828.0,8.0,2.0,2.0,18.0,10.0,425.0,35.0,0.0,0.0,0.0,7.0,8.0,3.0,31.0,9.0,10.0,0.0,0.0,0.0,53.0,14.0,14.0,50.0
2021-10-06,20:00,Champions Lg,Group stage,Wed,Away,D,3,3,Wolfsburg,eng Chelsea,0.7,1.7,40.0,1371.0,Svenja Huth,4-2-3-1,Lina Lehtovaara,,,,,,,,0.0,0.0,,,,,,,,,1.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,,,,,0.0,,,,
2021-10-10,16:00,Bundesliga,Matchweek 5,Sun,Home,W,3,0,Wolfsburg,Köln,,,,998.0,,,Franziska Wildfeuer,27.0,14.0,51.9,0.19,0.36,16.8,0.0,0.0,0.0,4.2,4.2,0.16,0.8,0.8,3.0,3.0,100.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,3.0,4.0,75.0,48.0,5.0,8.3,22.6,3.0,0.0,19.3,3.0,0.0,0.0,1.0,21.0,506.0,650.0,77.8,8802.0,3161.0,238.0,273.0,87.2,209.0,250.0,83.6,49.0,76.0,64.5,4.0,3.4,1.3,17.0,37.0,12.0,4.0,56.0,650.0,589.0,59.0,10.0,0.0,1.0,25.0,34.0,11.0,8.0,2.0,0.0,506.0,2.0,24.0,46.0,32.0,3.0,3.0,6.0,0.0,2.0,9.0,8.0,0.0,0.0,1.0,0.0,0.0,17.0,9.0,4.0,10.0,3.0,13.0,17.0,76.5,4.0,7.0,2.0,5.0,12.0,29.0,6.0,0.0,67.0,781.0,46.0,194.0,365.0,228.0,51.0,781.0,21.0,12.0,57.1,9.0,42.9,503.0,2161.0,1022.0,21.0,16.0,9.0,22.0,9.0,503.0,56.0,3.0,0.0,0.0,11.0,9.0,2.0,25.0,12.0,9.0,0.0,0.0,0.0,72.0,15.0,10.0,60.0,6.0,3.0,50.0,0.0,0.0,28.4,1.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,14.0,9.0,64.3,0.0,4.3,-0.7,0.0,0.0,0.0,0.0,6.0,19.0,31.6,36.0,7.0,44.4,35.0,9.0,33.3,31.3,19.0,1.0,5.3,0.0,9.3,200.0,314.0,63.7,3390.0,1508.0,88.0,128.0,68.8,84.0,117.0,71.8,19.0,48.0,39.6,0.0,0.1,0.0,3.0,4.0,0.0,0.0,10.0,314.0,249.0,64.0,12.0,0.0,0.0,3.0,37.0,0.0,0.0,0.0,0.0,200.0,1.0,5.0,8.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,9.0,6.0,3.0,9.0,21.0,42.9,12.0,30.0,9.0,21.0,7.0,25.0,40.0,2.0,33.0,501.0,104.0,230.0,212.0,63.0,3.0,501.0,17.0,4.0,23.5,13.0,76.5,213.0,811.0,293.0,0.0,2.0,0.0,36.0,4.0,200.0,10.0,2.0,0.0,0.0,9.0,11.0,1.0,3.0,7.0,12.0,0.0,0.0,0.0,54.0,10.0,15.0,40.0
2021-10-13,18:45,Champions Lg,Group stage,Wed,Home,W,5,0,Wolfsburg,ch Servette,4.2,0.2,67.0,,Svenja Huth,4-4-2,Frida Nielsen,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,
