Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Team,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,O_Sh,O_SoT,O_SoT%,O_G/Sh,O_G/SoT,O_Dist,O_FK,O_PK,O_PKatt,O_xG,O_npxG,O_npxG/Sh,O_G-xG,O_np:G-xG,O_SoTA,O_Saves,O_Save%,O_CS,O_PSxG,O_PSxG+/-,O_PKatt,O_PKA,O_PKsv,O_PKm,O_Cmp,O_Att,O_Cmp%,O_Att (GK),O_Thr,O_Launch%,O_AvgLen,O_Att.1,O_Launch%.1,O_AvgLen.1,O_Opp,O_Stp,O_Stp%,O_#OPA,O_AvgDist,O_Cmp,O_Att,O_Cmp%,O_TotDist,O_PrgDist,O_Cmp.1,O_Att.1,O_Cmp%.1,O_Cmp.2,O_Att.2,O_Cmp%.2,O_Cmp.3,O_Att.3,O_Cmp%.3,O_Ast,O_xAG,O_xA,O_KP,O_1/3,O_PPA,O_CrsPA,O_PrgP,O_Att,O_Live,O_Dead,O_FK,O_TB,O_Sw,O_Crs,O_TI,O_CK,O_In,O_Out,O_Str,O_Cmp,O_Off,O_Blocks,O_SCA,O_PassLive,O_PassDead,O_TO,O_Sh,O_Fld,O_Def,O_GCA,O_PassLive.1,O_PassDead.1,O_TO.1,O_Sh.1,O_Fld.1,O_Def.1,O_Tkl,O_TklW,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Tkl.1,O_Att,O_Tkl%,O_Lost,O_Blocks,O_Sh,O_Pass,O_Int,O_Tkl+Int,O_Clr,O_Err,O_Poss,O_Touches,O_Def Pen,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Att Pen,O_Live,O_Att,O_Succ,O_Succ%,O_Tkld,O_Tkld%,O_Carries,O_TotDist,O_PrgDist,O_PrgC,O_1/3,O_CPA,O_Mis,O_Dis,O_Rec,O_PrgR,O_CrdY,O_CrdR,O_2CrdY,O_Fls,O_Fld,O_Off,O_Crs,O_Int,O_TklW,O_PKwon,O_PKcon,O_OG,O_Recov,O_Won,O_Lost,O_Won%
2022-09-11,12:45,D1 Fém,Matchweek 1,Sun,Away,W,5,1,Lyon,Stade de Reims,3.6,0.7,70.0,1311,Christiane Endler,4-2-3-1,Silham Benmahammed,29.0,9.0,31.0,0.17,0.56,12.7,0.0,0,0,3.6,3.6,0.14,1.4,1.4,1.0,0.0,0.0,0,0.2,-0.8,0,0,0,0,2.0,2.0,100.0,21.0,1.0,4.8,22.2,7.0,14.3,30.9,5.0,0.0,0.0,0.0,17.0,489.0,588.0,83.2,9128.0,2874.0,174.0,201.0,86.6,249.0,288.0,86.5,54.0,74.0,73.0,5,3.0,2.5,23.0,28.0,16.0,5.0,58.0,588.0,532.0,55.0,18.0,0.0,0.0,29.0,19.0,9.0,6.0,0.0,0.0,489.0,1.0,6.0,49.0,36.0,4.0,2.0,6.0,1.0,0.0,9.0,7.0,1.0,0.0,1.0,0.0,0.0,35.0,17.0,5.0,23.0,7.0,8.0,16.0,50.0,8.0,6.0,0.0,6.0,16.0,51,2.0,1.0,70.0,721.0,35.0,144.0,352.0,228.0,51.0,721.0,28.0,14.0,50.0,14.0,50.0,467.0,2384.0,1270.0,28.0,20.0,6.0,13.0,14.0,483.0,58.0,1,0,0,3.0,16.0,1.0,29.0,16.0,17.0,0.0,0.0,0,65.0,7.0,6.0,53.8,7.0,1.0,14.3,0.14,1.0,19.8,0.0,0,0,0.7,0.7,0.1,0.3,0.3,9.0,4.0,44.4,0,2.6,-2.4,0,0,0,0,2.0,2.0,100.0,9.0,3.0,22.2,30.2,12.0,0.0,19.8,24.0,0.0,0.0,0.0,5.7,172.0,248.0,69.4,3524.0,1677.0,59.0,81.0,72.8,88.0,116.0,75.9,24.0,41.0,58.5,1,0.6,0.1,5.0,8.0,1.0,0.0,17.0,248.0,208.0,38.0,3.0,0.0,1.0,5.0,17.0,0.0,0.0,0.0,0.0,172.0,2.0,6.0,10.0,7.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,16.0,13.0,13.0,2.0,14.0,28.0,50.0,14.0,10.0,5.0,5.0,19.0,47,25.0,0.0,30.0,380.0,70.0,205.0,145.0,35.0,9.0,380.0,16.0,8.0,50.0,8.0,50.0,173.0,1078.0,525.0,12.0,8.0,5.0,16.0,27.0,171.0,17.0,1,0,0,16.0,3.0,2.0,5.0,19.0,16.0,0.0,0.0,0,55.0,6.0,7.0,46.2
2022-09-18,15:00,D1 Fém,Matchweek 2,Sun,Home,W,2,1,Lyon,Soyaux,3.2,0.1,67.0,889,Christiane Endler,4-3-3,Romy Fournier,23.0,10.0,43.5,0.09,0.2,16.2,1.0,0,0,3.2,3.2,0.14,-1.2,-1.2,2.0,1.0,50.0,0,0.4,-0.6,0,0,0,0,1.0,1.0,100.0,9.0,2.0,11.1,24.6,4.0,0.0,24.5,6.0,1.0,16.7,1.0,14.0,514.0,610.0,84.3,9591.0,3212.0,225.0,255.0,88.2,224.0,257.0,87.2,58.0,78.0,74.4,1,3.1,2.3,21.0,50.0,18.0,7.0,61.0,610.0,559.0,48.0,8.0,2.0,8.0,28.0,28.0,6.0,3.0,2.0,0.0,514.0,3.0,8.0,42.0,30.0,4.0,1.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,14.0,9.0,5.0,3.0,6.0,9.0,16.0,56.3,7.0,11.0,1.0,10.0,12.0,26,7.0,0.0,67.0,713.0,20.0,117.0,299.0,303.0,33.0,713.0,11.0,8.0,72.7,3.0,27.3,376.0,2043.0,1016.0,17.0,11.0,5.0,17.0,13.0,509.0,59.0,3,0,0,10.0,9.0,3.0,28.0,12.0,9.0,0.0,0.0,0,56.0,14.0,5.0,73.7,4.0,2.0,50.0,0.25,0.5,31.2,0.0,0,0,0.1,0.1,0.02,0.9,0.9,10.0,8.0,80.0,0,3.2,1.2,0,0,0,0,4.0,20.0,20.0,25.0,2.0,52.0,47.2,14.0,50.0,34.4,24.0,0.0,0.0,0.0,10.0,179.0,299.0,59.9,3353.0,1661.0,68.0,100.0,68.0,78.0,107.0,72.9,27.0,69.0,39.1,1,0.1,0.2,3.0,5.0,1.0,0.0,9.0,299.0,239.0,60.0,13.0,1.0,0.0,8.0,27.0,3.0,1.0,0.0,2.0,179.0,0.0,12.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,12.0,10.0,2.0,4.0,3.0,11.0,27.3,8.0,12.0,6.0,6.0,25.0,41,18.0,0.0,33.0,395.0,83.0,222.0,119.0,56.0,2.0,395.0,16.0,7.0,43.8,9.0,56.3,157.0,852.0,321.0,5.0,3.0,1.0,12.0,5.0,177.0,9.0,1,0,0,9.0,9.0,0.0,8.0,25.0,12.0,0.0,0.0,0,41.0,5.0,14.0,26.3
2022-09-23,21:00,D1 Fém,Matchweek 3,Fri,Away,W,3,1,Lyon,Montpellier,2.1,1.2,57.0,775,Wendie Renard,4-3-3,Alexandra Collin,14.0,6.0,42.9,0.21,0.5,16.6,0.0,0,0,2.1,2.1,0.16,0.9,0.9,5.0,4.0,100.0,0,1.1,0.1,1,1,0,0,3.0,8.0,37.5,27.0,7.0,22.2,29.6,6.0,33.3,33.5,10.0,1.0,10.0,1.0,17.5,318.0,435.0,73.1,5857.0,2476.0,134.0,174.0,77.0,131.0,154.0,85.1,42.0,79.0,53.2,2,1.4,1.4,9.0,28.0,9.0,4.0,37.0,435.0,383.0,52.0,12.0,1.0,4.0,19.0,28.0,4.0,3.0,0.0,0.0,318.0,0.0,6.0,23.0,15.0,4.0,2.0,1.0,1.0,0.0,5.0,2.0,1.0,0.0,1.0,1.0,0.0,24.0,14.0,11.0,10.0,3.0,1.0,6.0,16.7,5.0,4.0,0.0,4.0,22.0,46,17.0,0.0,57.0,575.0,49.0,213.0,223.0,148.0,24.0,575.0,16.0,9.0,56.3,7.0,43.8,268.0,1646.0,774.0,17.0,9.0,7.0,30.0,10.0,317.0,37.0,3,0,0,12.0,7.0,0.0,19.0,22.0,14.0,0.0,1.0,0,70.0,11.0,7.0,61.1,10.0,4.0,40.0,0.0,0.0,21.9,1.0,1,1,1.2,0.4,0.04,-0.2,-0.4,6.0,3.0,50.0,0,0.8,-2.2,0,0,0,0,0.0,7.0,0.0,14.0,5.0,28.6,30.3,9.0,33.3,31.7,15.0,0.0,0.0,0.0,,210.0,322.0,65.2,3943.0,1777.0,80.0,118.0,67.8,102.0,132.0,77.3,26.0,58.0,44.8,0,0.3,0.2,7.0,20.0,4.0,2.0,32.0,322.0,272.0,46.0,10.0,0.0,2.0,11.0,23.0,0.0,0.0,0.0,0.0,210.0,4.0,4.0,18.0,15.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,12.0,11.0,4.0,2.0,7.0,16.0,43.8,9.0,8.0,2.0,6.0,17.0,34,11.0,0.0,43.0,423.0,48.0,173.0,168.0,84.0,8.0,422.0,6.0,5.0,83.3,1.0,16.7,177.0,1061.0,455.0,12.0,8.0,4.0,14.0,23.0,206.0,32.0,3,0,0,8.0,12.0,4.0,11.0,17.0,12.0,1.0,0.0,0,55.0,7.0,11.0,38.9
2022-10-01,14:30,D1 Fém,Matchweek 4,Sat,Home,W,2,0,Lyon,Rodez,1.6,0.1,66.0,810,Wendie Renard,4-3-3,Victoria Beyer,21.0,6.0,28.6,0.1,0.33,18.1,1.0,0,0,1.6,1.6,0.08,0.4,0.4,1.0,1.0,100.0,1,0.0,0.0,0,0,0,0,0.0,0.0,,10.0,1.0,0.0,25.0,1.0,0.0,36.0,2.0,0.0,0.0,1.0,23.0,454.0,570.0,79.6,8104.0,2800.0,193.0,235.0,82.1,202.0,241.0,83.8,50.0,72.0,69.4,2,1.2,1.0,14.0,52.0,11.0,3.0,61.0,570.0,530.0,37.0,8.0,0.0,0.0,27.0,21.0,6.0,5.0,0.0,0.0,454.0,3.0,7.0,33.0,25.0,3.0,0.0,3.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,4.0,8.0,4.0,7.0,11.0,63.6,4.0,4.0,0.0,4.0,14.0,30,1.0,0.0,66.0,653.0,6.0,74.0,338.0,248.0,38.0,653.0,6.0,2.0,33.3,4.0,66.7,278.0,1532.0,819.0,19.0,18.0,8.0,21.0,7.0,445.0,58.0,1,0,0,13.0,9.0,3.0,27.0,14.0,13.0,0.0,0.0,0,78.0,7.0,4.0,63.6,2.0,1.0,50.0,0.0,0.0,13.3,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,6.0,4.0,66.7,0,1.3,-0.7,0,0,0,0,3.0,11.0,27.3,25.0,7.0,16.0,29.7,17.0,41.2,37.1,23.0,0.0,0.0,0.0,12.0,197.0,300.0,65.7,3045.0,1272.0,100.0,126.0,79.4,73.0,100.0,73.0,15.0,53.0,28.3,0,0.0,0.0,1.0,7.0,1.0,1.0,9.0,300.0,248.0,52.0,16.0,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,197.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,7.0,3.0,1.0,4.0,6.0,66.7,2.0,6.0,1.0,5.0,14.0,25,23.0,0.0,34.0,398.0,90.0,239.0,135.0,28.0,3.0,398.0,11.0,4.0,36.4,7.0,63.6,236.0,1043.0,536.0,4.0,4.0,2.0,23.0,9.0,193.0,9.0,3,0,0,9.0,12.0,0.0,2.0,14.0,7.0,0.0,0.0,0,52.0,4.0,7.0,36.4
2022-10-16,12:45,D1 Fém,Matchweek 5,Sun,Away,W,3,1,Lyon,Bordeaux,2.0,0.6,66.0,1259,Wendie Renard,4-1-4-1,Clémence Goncalves,18.0,9.0,50.0,0.17,0.33,16.9,0.0,0,0,2.0,2.0,0.11,1.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0,0,0,0,3.0,4.0,75.0,19.0,0.0,15.8,23.4,6.0,16.7,30.8,4.0,0.0,0.0,1.0,16.5,506.0,619.0,81.7,9383.0,3181.0,193.0,224.0,86.2,258.0,296.0,87.2,48.0,75.0,64.0,3,1.9,1.8,15.0,49.0,11.0,3.0,62.0,619.0,574.0,44.0,11.0,2.0,10.0,20.0,21.0,4.0,2.0,2.0,0.0,506.0,1.0,15.0,31.0,24.0,5.0,0.0,1.0,1.0,0.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,27.0,19.0,8.0,10.0,9.0,13.0,21.0,61.9,8.0,10.0,0.0,10.0,18.0,45,4.0,0.0,66.0,726.0,26.0,148.0,366.0,218.0,34.0,726.0,20.0,12.0,60.0,8.0,40.0,449.0,2285.0,1190.0,18.0,15.0,6.0,14.0,6.0,503.0,62.0,3,0,0,16.0,10.0,1.0,20.0,18.0,19.0,0.0,0.0,1,74.0,14.0,9.0,60.9,5.0,1.0,20.0,0.0,0.0,11.6,0.0,0,0,0.6,0.6,0.12,-0.6,-0.6,9.0,6.0,66.7,0,3.1,0.1,0,0,0,0,5.0,19.0,26.3,25.0,8.0,36.0,32.2,15.0,66.7,38.1,17.0,1.0,5.9,0.0,7.8,215.0,322.0,66.8,3816.0,1864.0,92.0,118.0,78.0,101.0,130.0,77.7,21.0,58.0,36.2,0,0.6,0.3,5.0,10.0,1.0,0.0,17.0,322.0,262.0,59.0,17.0,0.0,2.0,5.0,21.0,2.0,2.0,0.0,0.0,215.0,1.0,10.0,8.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,12.0,9.0,5.0,0.0,8.0,20.0,40.0,12.0,12.0,0.0,12.0,18.0,32,15.0,0.0,34.0,423.0,68.0,221.0,156.0,50.0,7.0,423.0,21.0,8.0,38.1,13.0,61.9,208.0,1189.0,388.0,8.0,7.0,3.0,18.0,14.0,209.0,17.0,0,0,0,10.0,13.0,1.0,5.0,18.0,12.0,0.0,0.0,0,64.0,9.0,14.0,39.1
2022-10-19,21:00,Champions Lg,Group stage,Wed,Home,L,1,5,Lyon,eng Arsenal,1.7,1.7,56.0,8012,Wendie Renard,4-3-3,Ivana Projkovska,19.0,5.0,26.3,0.05,0.2,16.1,1.0,0,0,1.7,1.7,0.1,-0.7,-0.7,9.0,4.0,44.4,0,2.9,-2.1,0,0,0,0,5.0,7.0,71.4,38.0,6.0,15.8,25.6,4.0,25.0,28.8,8.0,0.0,0.0,0.0,14.5,461.0,551.0,83.7,8968.0,3446.0,151.0,174.0,86.8,239.0,263.0,90.9,57.0,93.0,61.3,1,0.9,1.3,14.0,50.0,12.0,7.0,59.0,551.0,501.0,49.0,12.0,0.0,2.0,25.0,24.0,3.0,2.0,0.0,0.0,461.0,1.0,6.0,34.0,24.0,5.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,8.0,6.0,7.0,0.0,2.0,7.0,28.6,5.0,10.0,3.0,7.0,15.0,28,7.0,1.0,56.0,654.0,63.0,211.0,286.0,162.0,25.0,654.0,12.0,2.0,16.7,8.0,66.7,501.0,2937.0,1086.0,13.0,7.0,4.0,21.0,12.0,456.0,59.0,1,0,0,9.0,9.0,1.0,25.0,15.0,8.0,0.0,0.0,0,60.0,18.0,8.0,69.2,14.0,9.0,64.3,0.36,0.56,17.6,1.0,0,0,1.7,1.7,0.12,3.3,3.3,5.0,4.0,80.0,0,1.9,0.9,0,0,0,0,6.0,15.0,40.0,47.0,2.0,21.3,26.6,12.0,41.7,33.3,20.0,1.0,5.0,0.0,2.0,325.0,427.0,76.1,6062.0,2523.0,113.0,137.0,82.5,166.0,192.0,86.5,35.0,74.0,47.3,3,1.5,0.7,11.0,18.0,7.0,2.0,24.0,427.0,374.0,50.0,9.0,1.0,2.0,12.0,25.0,2.0,0.0,1.0,0.0,325.0,3.0,7.0,23.0,21.0,0.0,0.0,1.0,1.0,0.0,6.0,4.0,0.0,0.0,1.0,1.0,0.0,20.0,14.0,8.0,11.0,1.0,8.0,10.0,80.0,2.0,12.0,6.0,6.0,9.0,29,14.0,1.0,44.0,515.0,86.0,244.0,190.0,89.0,21.0,515.0,8.0,5.0,62.5,2.0,25.0,361.0,2083.0,907.0,23.0,8.0,8.0,14.0,11.0,322.0,24.0,1,0,0,10.0,9.0,3.0,12.0,9.0,14.0,0.0,0.0,0,58.0,8.0,18.0,30.8
2022-10-27,18:45,Champions Lg,Group stage,Thu,Away,D,1,1,Lyon,it Juventus,2.9,0.4,53.0,7331,Wendie Renard,4-3-3,Marta Huerta,24.0,4.0,16.7,0.04,0.25,15.6,1.0,0,0,2.9,2.9,0.12,-1.9,-1.9,0.0,0.0,,0,0.0,0.0,0,0,0,0,5.0,9.0,55.6,14.0,1.0,50.0,32.6,8.0,25.0,32.4,6.0,0.0,0.0,1.0,12.7,358.0,472.0,75.8,6409.0,2757.0,170.0,209.0,81.3,143.0,175.0,81.7,41.0,70.0,58.6,1,2.8,2.0,22.0,33.0,14.0,4.0,57.0,472.0,422.0,48.0,7.0,0.0,0.0,34.0,21.0,10.0,7.0,3.0,0.0,358.0,2.0,7.0,46.0,31.0,8.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,9.0,10.0,5.0,8.0,16.0,50.0,8.0,17.0,3.0,14.0,10.0,34,10.0,0.0,53.0,599.0,42.0,129.0,269.0,211.0,33.0,599.0,23.0,11.0,47.8,11.0,47.8,406.0,2282.0,1081.0,15.0,22.0,3.0,17.0,15.0,353.0,57.0,4,0,0,15.0,6.0,2.0,34.0,10.0,9.0,0.0,0.0,1,70.0,18.0,13.0,58.1,9.0,0.0,0.0,0.0,,18.5,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,4.0,3.0,75.0,0,0.8,-0.2,0,0,0,0,3.0,12.0,25.0,29.0,10.0,20.7,27.3,12.0,50.0,31.3,28.0,2.0,7.1,0.0,6.0,309.0,427.0,72.4,5258.0,2342.0,134.0,162.0,82.7,139.0,182.0,76.4,24.0,59.0,40.7,0,0.3,0.6,6.0,17.0,6.0,1.0,29.0,427.0,365.0,61.0,17.0,1.0,0.0,6.0,28.0,2.0,1.0,1.0,0.0,309.0,1.0,13.0,14.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,13.0,14.0,10.0,2.0,11.0,22.0,50.0,11.0,18.0,11.0,7.0,7.0,33,22.0,1.0,47.0,557.0,84.0,255.0,225.0,82.0,13.0,557.0,21.0,8.0,38.1,8.0,38.1,350.0,1868.0,848.0,13.0,12.0,2.0,18.0,16.0,307.0,28.0,0,0,0,7.0,15.0,1.0,6.0,7.0,13.0,0.0,0.0,0,55.0,13.0,18.0,41.9
2022-10-30,12:45,D1 Fém,Matchweek 6,Sun,Home,W,1,0,Lyon,Fleury,1.8,0.1,73.0,1480,Wendie Renard,4-3-3,Émeline Rochebilière,25.0,8.0,32.0,0.04,0.13,18.2,2.0,0,0,1.8,1.8,0.07,-0.8,-0.8,1.0,1.0,100.0,1,0.2,0.2,0,0,0,0,3.0,3.0,100.0,15.0,4.0,13.3,26.3,3.0,33.3,38.3,2.0,0.0,0.0,0.0,3.0,504.0,618.0,81.6,9578.0,3489.0,208.0,246.0,84.6,218.0,249.0,87.6,73.0,111.0,65.8,1,1.5,2.2,16.0,56.0,17.0,8.0,86.0,618.0,560.0,58.0,11.0,1.0,5.0,42.0,33.0,10.0,6.0,3.0,0.0,504.0,0.0,5.0,38.0,32.0,3.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,4.0,6.0,3.0,5.0,10.0,50.0,5.0,2.0,1.0,1.0,4.0,17,3.0,0.0,73.0,697.0,19.0,132.0,251.0,316.0,40.0,697.0,10.0,1.0,10.0,9.0,90.0,423.0,2227.0,1367.0,35.0,25.0,5.0,18.0,11.0,500.0,85.0,0,0,0,12.0,7.0,0.0,42.0,4.0,11.0,0.0,0.0,0,59.0,3.0,8.0,27.3,2.0,1.0,50.0,0.0,0.0,19.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,8.0,7.0,87.5,0,1.0,0.0,0,0,0,0,6.0,31.0,19.4,22.0,1.0,86.4,57.1,14.0,85.7,51.6,36.0,4.0,11.1,2.0,11.4,120.0,225.0,53.3,2174.0,1384.0,62.0,81.0,76.5,37.0,64.0,57.8,17.0,69.0,24.6,0,0.0,0.1,1.0,5.0,2.0,0.0,7.0,225.0,173.0,49.0,12.0,1.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,120.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,12.0,15.0,4.0,1.0,9.0,10.0,90.0,1.0,11.0,7.0,4.0,17.0,37,35.0,0.0,27.0,337.0,94.0,223.0,81.0,40.0,2.0,337.0,10.0,5.0,50.0,5.0,50.0,143.0,919.0,413.0,6.0,7.0,0.0,19.0,8.0,115.0,6.0,3,1,1,10.0,10.0,3.0,3.0,17.0,12.0,0.0,0.0,0,59.0,8.0,3.0,72.7
2022-11-05,14:30,D1 Fém,Matchweek 7,Sat,Away,D,0,0,Lyon,Guingamp,1.6,0.3,65.0,871,Wendie Renard,4-3-3,Aurélie Efe,19.0,5.0,26.3,0.0,0.0,15.0,0.0,0,0,1.6,1.6,0.09,-1.6,-1.6,2.0,2.0,100.0,1,0.2,0.2,0,0,0,0,1.0,2.0,50.0,31.0,3.0,6.5,23.2,5.0,0.0,20.4,5.0,0.0,0.0,0.0,6.0,433.0,547.0,79.2,8395.0,3180.0,149.0,183.0,81.4,233.0,267.0,87.3,48.0,82.0,58.5,0,1.1,1.6,15.0,40.0,15.0,6.0,61.0,547.0,478.0,68.0,20.0,0.0,2.0,29.0,40.0,2.0,0.0,0.0,2.0,433.0,1.0,9.0,34.0,23.0,3.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,4.0,8.0,3.0,4.0,7.0,57.1,3.0,7.0,0.0,7.0,13.0,28,7.0,0.0,65.0,648.0,41.0,169.0,286.0,196.0,34.0,648.0,16.0,7.0,43.8,9.0,56.3,315.0,1703.0,859.0,10.0,6.0,2.0,17.0,12.0,428.0,61.0,3,0,0,17.0,18.0,1.0,29.0,13.0,9.0,0.0,0.0,0,52.0,12.0,12.0,50.0,5.0,2.0,40.0,0.0,0.0,20.0,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,5.0,5.0,100.0,1,1.2,1.2,0,0,0,0,3.0,16.0,18.8,21.0,2.0,57.1,44.0,9.0,44.4,38.7,26.0,1.0,3.8,0.0,8.0,177.0,292.0,60.6,3169.0,1575.0,88.0,112.0,78.6,60.0,84.0,71.4,24.0,75.0,32.0,0,0.3,0.5,5.0,10.0,1.0,1.0,10.0,292.0,237.0,53.0,18.0,0.0,1.0,11.0,24.0,1.0,0.0,1.0,0.0,177.0,2.0,8.0,10.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,15.0,16.0,4.0,1.0,9.0,16.0,56.3,7.0,12.0,4.0,8.0,19.0,40,14.0,0.0,35.0,394.0,64.0,233.0,115.0,53.0,6.0,394.0,7.0,3.0,42.9,4.0,57.1,171.0,938.0,460.0,8.0,6.0,3.0,13.0,11.0,173.0,10.0,2,0,0,19.0,16.0,2.0,11.0,19.0,15.0,0.0,0.0,0,52.0,12.0,12.0,50.0
2022-11-20,16:00,D1 Fém,Matchweek 8,Sun,Home,W,1,0,Lyon,Le Havre,2.0,0.2,69.0,1512,Wendie Renard,4-1-4-1,Audrey Gerbel,26.0,8.0,30.8,0.04,0.13,18.9,2.0,0,0,2.0,2.0,0.08,-1.0,-1.0,1.0,1.0,100.0,1,0.2,0.2,0,0,0,0,0.0,4.0,0.0,22.0,4.0,18.2,26.8,4.0,0.0,24.5,7.0,0.0,0.0,1.0,21.5,546.0,667.0,81.9,10083.0,3507.0,237.0,269.0,88.1,230.0,268.0,85.8,72.0,101.0,71.3,0,1.5,1.9,20.0,58.0,19.0,5.0,82.0,667.0,623.0,43.0,12.0,0.0,4.0,25.0,19.0,7.0,0.0,4.0,0.0,546.0,1.0,12.0,42.0,31.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,5.0,2.0,6.0,6.0,2.0,7.0,28.6,5.0,4.0,0.0,4.0,16.0,30,6.0,0.0,69.0,779.0,30.0,140.0,340.0,308.0,36.0,779.0,33.0,18.0,54.5,15.0,45.5,480.0,2622.0,1372.0,28.0,17.0,4.0,14.0,12.0,541.0,81.0,0,0,0,11.0,10.0,1.0,25.0,16.0,5.0,0.0,0.0,0,88.0,19.0,4.0,82.6,2.0,1.0,50.0,0.0,0.0,27.0,0.0,0,0,0.2,0.2,0.11,-0.2,-0.2,8.0,7.0,87.5,0,1.3,0.3,0,0,0,0,2.0,15.0,13.3,17.0,1.0,41.2,38.6,19.0,42.1,35.0,20.0,0.0,0.0,0.0,10.3,170.0,296.0,57.4,3164.0,1836.0,69.0,104.0,66.3,81.0,110.0,73.6,18.0,68.0,26.5,0,0.2,0.1,2.0,11.0,0.0,0.0,22.0,296.0,244.0,48.0,12.0,0.0,3.0,7.0,14.0,1.0,0.0,0.0,1.0,170.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,20.0,20.0,5.0,2.0,15.0,33.0,45.5,18.0,14.0,4.0,10.0,13.0,40,22.0,0.0,31.0,400.0,84.0,249.0,114.0,42.0,4.0,400.0,7.0,5.0,71.4,2.0,28.6,153.0,894.0,407.0,9.0,5.0,2.0,14.0,12.0,168.0,22.0,2,0,0,10.0,10.0,4.0,7.0,13.0,20.0,0.0,0.0,0,67.0,4.0,19.0,17.4
