Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Team,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,O_Sh,O_SoT,O_SoT%,O_G/Sh,O_G/SoT,O_Dist,O_FK,O_PK,O_PKatt,O_xG,O_npxG,O_npxG/Sh,O_G-xG,O_np:G-xG,O_SoTA,O_Saves,O_Save%,O_CS,O_PSxG,O_PSxG+/-,O_PKatt,O_PKA,O_PKsv,O_PKm,O_Cmp,O_Att,O_Cmp%,O_Att (GK),O_Thr,O_Launch%,O_AvgLen,O_Att.1,O_Launch%.1,O_AvgLen.1,O_Opp,O_Stp,O_Stp%,O_#OPA,O_AvgDist,O_Cmp,O_Att,O_Cmp%,O_TotDist,O_PrgDist,O_Cmp.1,O_Att.1,O_Cmp%.1,O_Cmp.2,O_Att.2,O_Cmp%.2,O_Cmp.3,O_Att.3,O_Cmp%.3,O_Ast,O_xAG,O_xA,O_KP,O_1/3,O_PPA,O_CrsPA,O_PrgP,O_Att,O_Live,O_Dead,O_FK,O_TB,O_Sw,O_Crs,O_TI,O_CK,O_In,O_Out,O_Str,O_Cmp,O_Off,O_Blocks,O_SCA,O_PassLive,O_PassDead,O_TO,O_Sh,O_Fld,O_Def,O_GCA,O_PassLive.1,O_PassDead.1,O_TO.1,O_Sh.1,O_Fld.1,O_Def.1,O_Tkl,O_TklW,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Tkl.1,O_Att,O_Tkl%,O_Lost,O_Blocks,O_Sh,O_Pass,O_Int,O_Tkl+Int,O_Clr,O_Err,O_Poss,O_Touches,O_Def Pen,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Att Pen,O_Live,O_Att,O_Succ,O_Succ%,O_Tkld,O_Tkld%,O_Carries,O_TotDist,O_PrgDist,O_PrgC,O_1/3,O_CPA,O_Mis,O_Dis,O_Rec,O_PrgR,O_CrdY,O_CrdR,O_2CrdY,O_Fls,O_Fld,O_Off,O_Crs,O_Int,O_TklW,O_PKwon,O_PKcon,O_OG,O_Recov,O_Won,O_Lost,O_Won%
2020-08-01,12:30,Premiership,Regular season,Sat,Away,W,1,0,Rangers,Aberdeen,,,60.0,,James Tavernier,4-3-3,Bobby Madden,14.0,4.0,28.6,0.07,0.25,,,0,0,,,,,,0.0,0.0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,6.0,0,,,60.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,14.0,18.0,2.0,15.0,6.0,15.0,,,0,,,,,4.0,0.0,0.0,0.0,,,,0,0,,,,,,3.0,2.0,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,13.0,0,,,40.0,,,,,,,,,,,,,,,,,,,,,,,1,1,0,18.0,14.0,1.0,11.0,13.0,13.0,,,0,,,,
2020-08-09,15:00,Premiership,Regular season,Sun,Home,W,3,0,Rangers,St Mirren,,,74.0,,James Tavernier,4-3-3,Andrew Dallas,28.0,12.0,42.9,0.07,0.17,,,0,0,,,,,,2.0,2.0,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,6.0,0,,,74.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,9.0,8.0,0.0,35.0,6.0,5.0,,,0,,,,,4.0,2.0,50.0,0.0,0.0,,,0,0,,,,,,13.0,10.0,76.9,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,7.0,0,,,27.0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,8.0,9.0,2.0,9.0,7.0,14.0,,,1,,,,
2020-08-12,19:45,Premiership,Regular season,Wed,Home,W,3,0,Rangers,St Johnstone,,,75.0,,James Tavernier,4-3-3,Euan Anderson,15.0,5.0,33.3,0.2,0.6,,,0,0,,,,,,2.0,2.0,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,7.0,0,,,75.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,10.0,10.0,1.0,15.0,7.0,12.0,,,0,,,,,4.0,2.0,50.0,0.0,0.0,,,0,0,,,,,,5.0,2.0,40.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,13.0,0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,10.0,9.0,0.0,13.0,13.0,9.0,,,0,,,,
2020-08-16,16:30,Premiership,Regular season,Sun,Away,D,0,0,Rangers,Livingston,,,78.0,,James Tavernier,4-3-3,Nick Walsh,23.0,3.0,13.0,0.0,0.0,,,0,0,,,,,,1.0,1.0,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,6.0,0,,,78.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,7.0,10.0,1.0,37.0,6.0,5.0,,,0,,,,,2.0,1.0,50.0,0.0,0.0,,,0,0,,,,,,3.0,3.0,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,26.0,0,,,22.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,10.0,7.0,0.0,4.0,26.0,18.0,,,0,,,,
2020-08-22,15:00,Premiership,Regular season,Sat,Home,W,2,0,Rangers,Kilmarnock,,,75.0,,James Tavernier,4-2-3-1,Kevin Clancy,26.0,11.0,42.3,0.08,0.18,,,0,0,,,,,,0.0,0.0,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,8.0,0,,,75.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,18.0,11.0,1.0,40.0,8.0,13.0,,,0,,,,,2.0,0.0,0.0,0.0,,,,0,0,,,,,,9.0,7.0,77.8,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,17.0,0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,9.0,18.0,1.0,10.0,17.0,6.0,,,0,,,,
2020-08-29,17:30,Premiership,Regular season,Sat,Away,W,2,0,Rangers,Hamilton,,,70.0,,James Tavernier,4-2-3-1,William Collum,25.0,6.0,24.0,0.08,0.33,,,0,0,,,,,,2.0,2.0,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,5.0,0,,,70.0,,,,,,,,,,,,,,,,,,,,,,,2,0,0,12.0,11.0,2.0,24.0,5.0,10.0,,,0,,,,,5.0,3.0,60.0,0.0,0.0,,,0,0,,,,,,6.0,4.0,66.7,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,11.0,0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,3,1,1,11.0,11.0,2.0,16.0,11.0,14.0,,,0,,,,
2020-09-12,15:00,Premiership,Regular season,Sat,Home,W,4,0,Rangers,Dundee United,,,61.0,,James Tavernier,4-2-3-1,Kevin Clancy,24.0,9.0,37.5,0.17,0.44,,,0,0,,,,,,1.0,1.0,100.0,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,13.0,0,,,61.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,4.0,16.0,3.0,28.0,13.0,11.0,,,0,,,,,6.0,1.0,16.7,0.0,0.0,,,0,0,,,,,,9.0,5.0,55.6,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,14.0,0,,,39.0,,,,,,,,,,,,,,,,,,,,,,,3,0,0,18.0,5.0,3.0,11.0,14.0,6.0,,,0,,,,
2020-09-17,17:00,Europa Lg,Second qualifying round,Thu,Away,W,5,0,Rangers,gi Red Imps,,,,,James Tavernier,4-2-3-1,Iwan Griffiths,,,,,,,,0,0,,,,,,,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,,,,,,,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,
2020-09-20,12:00,Premiership,Regular season,Sun,Away,D,2,2,Rangers,Hibernian,,,69.0,,James Tavernier,4-3-3,Don Robertson,19.0,7.0,36.8,0.11,0.29,,,0,0,,,,,,5.0,3.0,60.0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,10.0,0,,,69.0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,14.0,17.0,2.0,23.0,10.0,11.0,,,0,,,,,7.0,5.0,71.4,0.29,0.4,,,0,0,,,,,,7.0,5.0,71.4,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,10.0,0,,,31.0,,,,,,,,,,,,,,,,,,,,,,,4,0,0,17.0,14.0,2.0,17.0,10.0,7.0,,,0,,,,
2020-09-24,21:00,Europa Lg,Third qualifying round,Thu,Away,W,4,0,Rangers,nl Willem II,,,,,James Tavernier,4-2-3-1,Maurizio Mariani,,,,,,,,1,1,,,,,,,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,,,,,,,,,0,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,,,,,,0,,,,
