Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Team,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,AvgDist,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,O_Sh,O_SoT,O_SoT%,O_G/Sh,O_G/SoT,O_Dist,O_FK,O_PK,O_PKatt,O_xG,O_npxG,O_npxG/Sh,O_G-xG,O_np:G-xG,O_SoTA,O_Saves,O_Save%,O_CS,O_PSxG,O_PSxG+/-,O_PKatt,O_PKA,O_PKsv,O_PKm,O_Cmp,O_Att,O_Cmp%,O_Att (GK),O_Thr,O_Launch%,O_AvgLen,O_Att.1,O_Launch%.1,O_AvgLen.1,O_Opp,O_Stp,O_Stp%,O_#OPA,O_AvgDist,O_Cmp,O_Att,O_Cmp%,O_TotDist,O_PrgDist,O_Cmp.1,O_Att.1,O_Cmp%.1,O_Cmp.2,O_Att.2,O_Cmp%.2,O_Cmp.3,O_Att.3,O_Cmp%.3,O_Ast,O_xAG,O_xA,O_KP,O_1/3,O_PPA,O_CrsPA,O_PrgP,O_Att,O_Live,O_Dead,O_FK,O_TB,O_Sw,O_Crs,O_TI,O_CK,O_In,O_Out,O_Str,O_Cmp,O_Off,O_Blocks,O_SCA,O_PassLive,O_PassDead,O_TO,O_Sh,O_Fld,O_Def,O_GCA,O_PassLive.1,O_PassDead.1,O_TO.1,O_Sh.1,O_Fld.1,O_Def.1,O_Tkl,O_TklW,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Tkl.1,O_Att,O_Tkl%,O_Lost,O_Blocks,O_Sh,O_Pass,O_Int,O_Tkl+Int,O_Clr,O_Err,O_Poss,O_Touches,O_Def Pen,O_Def 3rd,O_Mid 3rd,O_Att 3rd,O_Att Pen,O_Live,O_Att,O_Succ,O_Succ%,O_Tkld,O_Tkld%,O_Carries,O_TotDist,O_PrgDist,O_PrgC,O_1/3,O_CPA,O_Mis,O_Dis,O_Rec,O_PrgR,O_CrdY,O_CrdR,O_2CrdY,O_Fls,O_Fld,O_Off,O_Crs,O_Int,O_TklW,O_PKwon,O_PKcon,O_OG,O_Recov,O_Won,O_Lost,O_Won%
2021-08-18,15:00,Champions Lg,First qualifying round — Semi-finals,Wed,Neutral,W,12,0,Juventus,mk Sasa,,,,,Sara Gama,4-3-3,Frederikke Lydia Søkjær,,,,,,,,0,0,,,,,,,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,,,,,,,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,
2021-08-21,21:00,Champions Lg,First qualifying round — Final,Sat,Neutral,W,4,1,Juventus,at St. Pölten,,,,,Sara Gama,4-3-3,María Dolores Martínez,,,,,,,,0,0,,,,,,,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,,,,,,,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,
2021-08-28,20:30,Serie A,Matchweek 1,Sat,Home,W,3,0,Juventus,ASD Calcio Pomigliano,3.7,0.2,63.0,,,4-3-3,Stefano Nicolini,25.0,9.0,36.0,0.12,0.33,16.5,1.0,0,0,3.7,3.7,0.15,-0.7,-0.7,2.0,2.0,100.0,1,0.3,0.3,0,0,0,0,4.0,7.0,57.1,31.0,6.0,22.6,28.1,5.0,0.0,20.4,7.0,0.0,0.0,1.0,16.7,454.0,560.0,81.1,9688.0,3914.0,127.0,155.0,81.9,247.0,284.0,87.0,80.0,114.0,70.2,2,3.4,2.1,22.0,61.0,15.0,3.0,76.0,560.0,514.0,44.0,9.0,1.0,4.0,25.0,22.0,8.0,6.0,2.0,0.0,454.0,2.0,4.0,43.0,32.0,4.0,2.0,3.0,2.0,0.0,5.0,3.0,1.0,0.0,1.0,0.0,0.0,16.0,15.0,6.0,9.0,1.0,5.0,17.0,29.4,12.0,9.0,2.0,7.0,9.0,25,7.0,0.0,63.0,680.0,41.0,174.0,287.0,224.0,41.0,680.0,29.0,9.0,31.0,20.0,69.0,350.0,2236.0,1337.0,27.0,19.0,9.0,17.0,2.0,450.0,74.0,0,0,0,10.0,9.0,2.0,25.0,9.0,15.0,0.0,0.0,0,78.0,8.0,6.0,57.1,6.0,2.0,33.3,0.0,0.0,23.2,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,9.0,6.0,66.7,0,4.4,1.4,0,0,0,0,9.0,28.0,32.1,22.0,4.0,50.0,39.1,22.0,77.3,49.8,22.0,0.0,0.0,0.0,3.0,213.0,334.0,63.8,4386.0,2353.0,82.0,106.0,77.4,93.0,122.0,76.2,34.0,88.0,38.6,0,0.2,0.2,6.0,21.0,2.0,1.0,23.0,334.0,277.0,56.0,11.0,0.0,0.0,8.0,19.0,0.0,0.0,0.0,0.0,213.0,1.0,7.0,11.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,13.0,13.0,8.0,1.0,20.0,29.0,69.0,9.0,8.0,4.0,4.0,8.0,30,21.0,0.0,37.0,436.0,87.0,209.0,172.0,59.0,5.0,436.0,17.0,12.0,70.6,5.0,29.4,240.0,1223.0,556.0,8.0,6.0,0.0,14.0,11.0,207.0,23.0,2,0,0,9.0,8.0,1.0,8.0,8.0,13.0,0.0,0.0,0,59.0,6.0,8.0,42.9
2021-09-01,19:00,Champions Lg,Second qualifying round,Wed,Away,W,2,0,Juventus,al Shkodër,,,,,Cecilia Salvai,4-3-3,Sabina Bolić,,,,,,,,0,0,,,,,,,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,,,,,,,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,0,,,,
2021-09-05,17:30,Serie A,Matchweek 2,Sun,Away,W,3,0,Juventus,Fiorentina,1.4,0.5,56.0,,,4-1-4-1,Michele Delrio,19.0,8.0,42.1,0.16,0.38,20.5,3.0,0,0,1.4,1.4,0.08,1.6,1.6,6.0,6.0,100.0,1,1.0,1.0,0,0,0,0,5.0,10.0,50.0,45.0,6.0,20.0,28.2,6.0,16.7,20.0,11.0,0.0,0.0,0.0,,363.0,495.0,73.3,6989.0,2735.0,144.0,179.0,80.4,174.0,213.0,81.7,42.0,76.0,55.3,0,0.5,1.0,8.0,28.0,7.0,0.0,29.0,495.0,429.0,65.0,15.0,2.0,2.0,22.0,32.0,11.0,10.0,1.0,0.0,363.0,1.0,12.0,27.0,18.0,1.0,2.0,2.0,4.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,15.0,11.0,2.0,8.0,5.0,6.0,13.0,46.2,7.0,9.0,0.0,9.0,13.0,28,6.0,0.0,56.0,591.0,47.0,177.0,276.0,142.0,31.0,591.0,18.0,9.0,50.0,9.0,50.0,270.0,1533.0,768.0,14.0,7.0,4.0,13.0,9.0,360.0,29.0,1,0,0,9.0,19.0,1.0,22.0,13.0,11.0,0.0,0.0,0,59.0,16.0,15.0,51.6,9.0,6.0,66.7,0.0,0.0,18.9,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,8.0,5.0,62.5,0,1.9,-1.1,0,0,0,0,1.0,6.0,16.7,21.0,3.0,23.8,30.3,8.0,12.5,22.3,18.0,0.0,0.0,0.0,5.8,271.0,383.0,70.8,4436.0,1852.0,141.0,181.0,77.9,102.0,129.0,79.1,21.0,51.0,41.2,0,0.3,1.0,6.0,13.0,7.0,5.0,16.0,383.0,338.0,45.0,10.0,0.0,1.0,15.0,21.0,2.0,1.0,0.0,0.0,271.0,0.0,8.0,12.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,12.0,6.0,0.0,9.0,18.0,50.0,9.0,17.0,6.0,11.0,11.0,29,31.0,0.0,44.0,517.0,79.0,237.0,208.0,77.0,11.0,517.0,13.0,7.0,53.8,6.0,46.2,217.0,1098.0,541.0,8.0,4.0,0.0,19.0,9.0,269.0,16.0,2,0,0,19.0,9.0,0.0,15.0,11.0,14.0,0.0,0.0,0,59.0,15.0,16.0,48.4
2021-09-09,20:00,Champions Lg,Second qualifying round,Thu,Home,W,1,0,Juventus,al Shkodër,,,,,Sara Gama,4-3-3,Henrikke Nervik,,,,,,,,0,0,,,,,,,,,1,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,,,,,,,,,0,0,,,,,,,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,0,,,,
2021-09-12,17:30,Serie A,Matchweek 3,Sun,Home,W,3,0,Juventus,Hellas Verona,2.1,0.2,58.0,,,4-3-3,Gioiele Iacobellis,26.0,10.0,38.5,0.12,0.3,13.6,0.0,0,0,2.1,2.1,0.09,0.9,0.9,2.0,2.0,100.0,1,0.1,0.1,0,0,0,0,1.0,3.0,33.3,28.0,6.0,3.6,21.4,8.0,25.0,28.5,8.0,0.0,0.0,0.0,8.0,382.0,493.0,77.5,7343.0,2803.0,143.0,170.0,84.1,190.0,227.0,83.7,44.0,76.0,57.9,3,1.8,2.2,21.0,30.0,12.0,3.0,36.0,493.0,439.0,53.0,11.0,2.0,0.0,17.0,23.0,10.0,7.0,1.0,0.0,382.0,1.0,9.0,43.0,22.0,11.0,1.0,6.0,3.0,0.0,6.0,2.0,3.0,1.0,0.0,0.0,0.0,13.0,10.0,6.0,5.0,2.0,2.0,5.0,40.0,3.0,7.0,0.0,7.0,8.0,21,7.0,0.0,58.0,579.0,64.0,200.0,209.0,181.0,38.0,579.0,13.0,6.0,46.2,7.0,53.8,295.0,1736.0,763.0,15.0,5.0,6.0,8.0,6.0,377.0,34.0,0,0,0,10.0,10.0,1.0,17.0,8.0,10.0,0.0,0.0,0,53.0,7.0,4.0,63.6,6.0,2.0,33.3,0.0,0.0,27.8,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,10.0,7.0,70.0,0,1.7,-1.3,0,0,0,0,3.0,8.0,37.5,18.0,6.0,16.7,23.5,14.0,35.7,27.6,17.0,0.0,0.0,0.0,4.0,251.0,351.0,71.5,4541.0,2149.0,131.0,153.0,85.6,86.0,125.0,68.8,32.0,59.0,54.2,0,0.2,0.1,6.0,13.0,2.0,1.0,22.0,351.0,302.0,48.0,11.0,0.0,1.0,9.0,18.0,2.0,2.0,0.0,0.0,251.0,1.0,7.0,10.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,10.0,2.0,1.0,7.0,13.0,53.8,6.0,15.0,6.0,9.0,12.0,25,17.0,0.0,42.0,456.0,83.0,205.0,196.0,57.0,7.0,456.0,5.0,3.0,60.0,2.0,40.0,236.0,910.0,452.0,6.0,5.0,2.0,14.0,11.0,246.0,21.0,0,0,0,10.0,9.0,1.0,9.0,12.0,10.0,0.0,0.0,0,49.0,4.0,7.0,36.4
2021-09-25,12:30,Serie A,Matchweek 4,Sat,Home,W,1,0,Juventus,Empoli,2.0,0.3,55.0,,,4-3-3,Antonio Costanza,16.0,7.0,43.8,0.06,0.14,16.7,2.0,0,0,2.0,2.0,0.12,-1.0,-1.0,4.0,4.0,100.0,1,0.4,0.4,0,0,0,0,1.0,3.0,33.3,35.0,5.0,8.6,23.5,7.0,0.0,18.6,3.0,0.0,0.0,2.0,19.0,423.0,525.0,80.6,8820.0,3326.0,123.0,145.0,84.8,227.0,253.0,89.7,66.0,100.0,66.0,1,1.7,1.9,10.0,36.0,12.0,3.0,54.0,525.0,467.0,55.0,16.0,2.0,1.0,21.0,24.0,7.0,3.0,3.0,1.0,423.0,3.0,14.0,26.0,17.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,14.0,6.0,7.0,6.0,1.0,8.0,12.5,7.0,17.0,2.0,15.0,13.0,32,6.0,0.0,55.0,624.0,40.0,170.0,274.0,188.0,30.0,624.0,12.0,10.0,83.3,2.0,16.7,328.0,2061.0,1222.0,20.0,11.0,7.0,20.0,25.0,417.0,52.0,1,0,0,8.0,14.0,3.0,21.0,13.0,14.0,0.0,0.0,0,59.0,9.0,3.0,75.0,8.0,4.0,50.0,0.0,0.0,28.0,1.0,0,0,0.3,0.3,0.03,-0.3,-0.3,7.0,6.0,85.7,0,2.3,1.3,0,0,0,0,2.0,7.0,28.6,52.0,13.0,11.5,21.6,10.0,10.0,16.6,14.0,0.0,0.0,1.0,11.8,323.0,433.0,74.6,5641.0,2326.0,138.0,166.0,83.1,154.0,183.0,84.2,25.0,56.0,44.6,0,0.1,0.4,3.0,12.0,2.0,0.0,21.0,433.0,395.0,34.0,10.0,0.0,2.0,3.0,11.0,1.0,1.0,0.0,0.0,323.0,4.0,16.0,12.0,6.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,19.0,7.0,1.0,2.0,12.0,16.7,10.0,13.0,1.0,12.0,17.0,44,16.0,0.0,45.0,546.0,114.0,321.0,181.0,49.0,6.0,546.0,8.0,7.0,87.5,1.0,12.5,299.0,1613.0,899.0,12.0,8.0,0.0,15.0,18.0,320.0,21.0,1,0,0,14.0,8.0,4.0,3.0,17.0,19.0,0.0,0.0,0,64.0,3.0,9.0,25.0
2021-10-02,14:30,Serie A,Matchweek 5,Sat,Away,W,2,1,Juventus,AS Roma,0.6,0.8,49.0,,,4-3-3,Alessandro Di Graci,11.0,5.0,45.5,0.18,0.4,16.3,0.0,0,0,0.6,0.6,0.06,1.4,1.4,5.0,4.0,80.0,0,0.9,-0.1,0,0,0,0,3.0,8.0,37.5,42.0,10.0,16.7,29.2,7.0,14.3,29.6,9.0,0.0,0.0,0.0,8.7,309.0,414.0,74.6,6935.0,3128.0,72.0,91.0,79.1,168.0,201.0,83.6,65.0,106.0,61.3,2,0.3,0.5,6.0,27.0,5.0,1.0,31.0,414.0,366.0,48.0,14.0,0.0,5.0,25.0,18.0,7.0,4.0,2.0,0.0,309.0,0.0,7.0,16.0,8.0,3.0,1.0,3.0,1.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,19.0,12.0,11.0,5.0,3.0,6.0,13.0,46.2,7.0,9.0,1.0,8.0,21.0,40,6.0,0.0,49.0,492.0,62.0,210.0,174.0,113.0,25.0,492.0,7.0,6.0,85.7,1.0,14.3,236.0,1148.0,465.0,10.0,4.0,4.0,13.0,14.0,304.0,30.0,0,0,0,16.0,10.0,0.0,25.0,21.0,12.0,0.0,0.0,0,46.0,5.0,5.0,50.0,8.0,5.0,62.5,0.13,0.2,20.6,0.0,0,0,0.8,0.8,0.1,0.2,0.2,5.0,3.0,60.0,0,1.5,-0.5,0,0,0,0,2.0,3.0,66.7,36.0,7.0,8.3,22.8,6.0,0.0,20.0,15.0,0.0,0.0,2.0,13.3,332.0,428.0,77.6,6423.0,2634.0,120.0,141.0,85.1,174.0,206.0,84.5,36.0,63.0,57.1,0,0.4,0.7,6.0,22.0,3.0,2.0,31.0,428.0,374.0,50.0,16.0,0.0,2.0,16.0,24.0,1.0,1.0,0.0,0.0,332.0,4.0,10.0,12.0,9.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,7.0,5.0,6.0,5.0,1.0,7.0,14.3,6.0,9.0,3.0,6.0,9.0,25,15.0,0.0,51.0,520.0,75.0,220.0,214.0,93.0,18.0,520.0,13.0,7.0,53.8,6.0,46.2,275.0,1743.0,865.0,10.0,8.0,6.0,15.0,14.0,324.0,29.0,0,0,0,10.0,15.0,4.0,16.0,9.0,7.0,0.0,0.0,0,60.0,6.0,5.0,54.5
2021-10-06,18:45,Champions Lg,Group stage,Wed,Away,W,3,0,Juventus,ch Servette,3.8,0.3,52.0,5849.0,Cecilia Salvai,4-3-3,Eleni Antoniou,23.0,9.0,39.1,0.13,0.33,19.3,0.0,0,1,3.8,3.0,0.13,-0.8,0.0,1.0,1.0,100.0,1,0.2,0.2,0,0,0,0,1.0,2.0,50.0,38.0,5.0,2.6,21.6,3.0,33.3,43.0,12.0,1.0,8.3,0.0,8.0,331.0,435.0,76.1,5765.0,2371.0,138.0,162.0,85.2,157.0,188.0,83.5,29.0,50.0,58.0,3,2.8,2.0,18.0,26.0,8.0,1.0,38.0,435.0,374.0,58.0,13.0,2.0,1.0,27.0,29.0,12.0,9.0,1.0,0.0,331.0,3.0,11.0,40.0,26.0,4.0,2.0,3.0,1.0,4.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,13.0,9.0,3.0,7.0,3.0,7.0,14.0,50.0,7.0,7.0,2.0,5.0,16.0,29,18.0,0.0,52.0,564.0,59.0,186.0,208.0,178.0,33.0,563.0,22.0,17.0,77.3,5.0,22.7,342.0,2011.0,1150.0,28.0,13.0,6.0,26.0,17.0,328.0,37.0,2,0,0,5.0,14.0,3.0,27.0,16.0,9.0,1.0,0.0,0,67.0,10.0,8.0,55.6,7.0,1.0,14.3,0.0,0.0,21.3,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,10.0,6.0,70.0,0,2.8,-0.2,1,0,1,0,2.0,4.0,50.0,25.0,5.0,12.0,26.0,13.0,7.7,18.6,23.0,1.0,4.3,0.0,4.3,291.0,397.0,73.3,5714.0,2174.0,101.0,125.0,80.8,150.0,192.0,78.1,39.0,62.0,62.9,0,0.2,0.3,6.0,17.0,4.0,2.0,20.0,397.0,349.0,48.0,8.0,1.0,2.0,15.0,19.0,4.0,2.0,0.0,1.0,291.0,0.0,7.0,13.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,14.0,6.0,2.0,5.0,22.0,22.7,17.0,13.0,4.0,9.0,12.0,34,24.0,0.0,48.0,528.0,85.0,231.0,208.0,92.0,9.0,528.0,14.0,7.0,50.0,7.0,50.0,279.0,1237.0,721.0,14.0,4.0,0.0,21.0,6.0,291.0,20.0,2,0,0,14.0,5.0,0.0,15.0,12.0,11.0,0.0,1.0,0,51.0,8.0,10.0,44.4
