match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2018-10-19,A-League,2825233,Adelaide United,Sydney FC,0.3523908523908524,0.3367983367983368,0.3108108108108108,1,1,1,47,5,3,0,0,76,17,4,2,0,0,4,4,470,179,180,35,10,21,6,53,13,0,21,2,50,54,33,43,0,0,53,6,3,1,0,81,18,4,3,0,0,4,5,544,275,163,48,7,20,1,64,8,0,26,2,59,46,67,55,0,0
2018-10-20,A-League,2825234,Melbourne Victory,Melbourne City FC,0.6821705426356589,0.22674418604651161,0.09108527131782945,1,2,2,54,15,7,2,1,78,18,6,8,0,1,10,7,505,179,214,51,23,23,0,56,10,0,15,3,65,52,36,64,0,0,46,7,5,3,2,73,20,0,2,0,0,7,1,428,146,168,32,7,14,3,61,16,0,26,6,73,48,64,67,0,0
2018-10-21,A-League,2825235,Wellington Phoenix,Newcastle Jets,0.3963963963963964,0.35585585585585583,0.24774774774774774,2,1,0,40,9,3,3,2,59,17,10,6,0,0,7,4,234,45,94,40,18,15,3,80,9,0,22,4,54,46,37,36,0,0,60,12,6,1,1,76,17,6,6,0,0,10,6,370,116,167,41,32,25,2,76,9,0,29,2,71,54,63,50,0,0
2018-10-21,A-League,2825236,Brisbane Roar FC,Central Coast Mariners,0.5650793650793651,0.2507936507936508,0.18412698412698414,1,1,1,61,18,5,4,3,75,15,7,13,0,0,15,6,477,183,176,51,33,36,4,60,16,0,14,1,61,57,44,58,0,0,39,5,2,0,0,60,16,2,3,0,0,4,3,311,77,111,40,18,15,1,69,27,0,46,5,58,43,56,33,0,0
2018-10-21,A-League,2825237,Perth Glory,Western Sydney Wanderers FC,0.5729166666666666,0.2777777777777778,0.14930555555555555,1,1,1,57,11,5,3,2,79,10,8,6,0,1,15,2,501,211,184,54,41,19,5,43,14,0,20,3,59,59,60,40,0,0,43,8,4,2,1,73,21,6,4,0,0,5,4,373,143,129,43,12,18,1,57,14,0,31,4,40,41,40,38,0,0
2018-10-26,A-League,2825238,Adelaide United,Newcastle Jets,0.7008797653958945,0.22287390029325513,0.07624633431085044,1,1,1,54,8,3,1,0,78,15,6,5,0,1,4,7,437,218,124,38,20,14,1,68,11,0,18,1,55,45,44,29,0,0,46,7,2,2,1,72,17,4,5,0,0,6,4,377,125,147,41,24,24,1,76,12,0,26,2,68,55,56,60,0,0
2018-10-27,A-League,2825239,Central Coast Mariners,Melbourne City FC,0.35714285714285715,0.35093167701863354,0.2919254658385093,1,1,1,38,4,3,1,0,65,15,4,1,0,0,1,3,321,113,96,45,6,18,0,57,14,0,26,4,51,44,55,33,0,0,62,17,5,2,2,82,11,13,12,0,0,16,7,518,159,265,41,31,15,2,71,9,0,13,2,57,56,45,64,0,0
2018-10-27,A-League,2825240,Sydney FC,Western Sydney Wanderers FC,0.7552742616033755,0.18143459915611815,0.06329113924050633,2,0,0,51,9,5,3,2,81,14,6,4,0,0,11,2,419,149,189,47,9,19,2,76,6,0,19,2,62,49,44,45,0,0,49,11,2,0,0,80,13,12,9,0,1,7,10,394,179,136,57,32,22,2,73,4,0,27,3,70,51,56,80,0,0
2018-10-28,A-League,2825241,Brisbane Roar FC,Wellington Phoenix,0.6020942408376964,0.2513089005235602,0.14659685863874344,0,0,1,60,7,2,0,0,80,15,1,5,0,0,5,6,438,139,213,64,12,25,0,25,8,0,39,3,43,50,38,55,0,0,40,9,3,1,1,68,16,7,6,0,1,9,5,291,63,135,44,5,14,3,67,8,0,34,2,50,50,62,43,0,0
2018-10-28,A-League,2825242,Melbourne Victory,Perth Glory,0.7095709570957096,0.19471947194719472,0.09570957095709572,2,3,2,67,10,6,2,1,84,12,6,4,0,0,8,4,640,264,272,52,26,36,4,55,11,0,14,1,46,52,50,33,0,0,33,7,4,3,0,64,13,2,3,0,0,6,3,308,115,83,33,25,20,2,64,6,0,39,4,44,48,50,33,0,0
