match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-10-14,A-League Women,4309539,Central Coast Mariners,Newcastle Jets,0.39636363636363636,0.3869090909090909,0.21672727272727274,0,1,2,48,7,1,1,1,56,14,3,4,2,0,5,2,293,92,73,31,11,45,3,83,15,6,13,6,55,51,54,22,3,1,52,15,7,1,0,58,14,5,2,6,0,8,7,318,115,71,29,20,48,1,77,16,3,12,0,51,49,46,22,3,1
2023-10-14,A-League Women,4309583,Sydney FC,Western Sydney Wanderers FC,0.5554808338937458,0.3369199731002018,0.10759919300605246,2,0,0,52,17,7,2,2,71,10,11,6,4,0,12,5,379,149,119,37,35,36,1,73,18,4,17,4,40,44,50,25,2,0,48,12,4,0,0,70,6,3,4,4,0,6,6,356,147,101,33,20,29,2,80,12,4,30,5,49,56,50,33,1,0
2023-10-14,A-League Women,4309571,Perth Glory,Western United FC,0.42045454545454547,0.40665584415584416,0.1728896103896104,2,0,0,52,10,3,1,1,80,15,3,3,4,0,7,3,418,224,109,35,29,27,2,77,14,2,25,8,62,55,67,44,3,0,48,14,8,1,1,73,12,7,4,2,1,9,5,376,168,106,47,12,33,1,80,16,3,18,1,47,45,33,32,2,0
2023-10-15,A-League Women,4309637,Wellington Phoenix,Melbourne City FC,0.26368876080691644,0.3414985590778098,0.39481268011527376,0,1,2,38,12,4,1,1,65,10,3,4,4,0,6,6,327,124,89,30,29,18,2,61,11,4,24,4,51,46,75,13,0,0,62,19,5,3,2,77,6,6,10,4,0,11,8,540,203,215,45,7,28,0,78,6,4,10,4,48,54,25,52,0,0
2023-10-15,A-League Women,4309570,Adelaide United,Canberra United FC,0.4112627986348123,0.34812286689419797,0.24061433447098976,4,4,1,56,21,12,4,2,74,15,5,6,3,1,12,9,444,198,132,36,19,24,1,94,17,3,12,0,40,50,62,53,2,0,44,10,4,5,1,73,7,1,3,3,0,7,3,340,157,92,48,0,23,3,85,13,3,11,8,37,50,38,36,0,0
2023-10-15,A-League Women,4309569,Melbourne Victory,Brisbane Roar FC,0.5164319248826291,0.3458528951486698,0.13771517996870108,1,2,2,55,15,5,1,1,75,15,5,5,5,0,9,6,438,188,142,45,14,40,3,68,5,0,9,1,43,44,50,29,1,0,45,8,3,0,0,71,9,1,5,0,0,4,4,372,194,70,25,33,20,1,69,20,5,21,4,52,56,50,44,1,0
2023-10-20,A-League Women,4309568,Adelaide United,Central Coast Mariners,0.46806790622473726,0.3718674211802749,0.16006467259498788,1,2,2,53,11,4,1,1,73,8,2,6,1,0,7,4,415,180,121,44,18,35,3,64,14,2,21,7,38,53,64,50,1,0,47,17,9,6,4,69,9,11,6,2,0,11,6,357,145,101,30,25,25,3,71,15,1,16,3,32,47,36,21,3,0
2023-10-21,A-League Women,4309567,Melbourne City FC,Canberra United FC,0.5466666666666666,0.33925925925925926,0.11407407407407408,2,1,0,62,22,11,5,4,84,8,8,5,6,2,17,5,557,182,286,51,31,30,2,93,12,2,11,1,32,47,67,45,0,0,38,7,2,0,0,67,5,3,3,2,0,3,4,335,155,71,31,10,22,1,65,10,6,21,9,33,53,33,33,2,0
2023-10-21,A-League Women,4309566,Brisbane Roar FC,Sydney FC,0.2607758620689655,0.3254310344827586,0.41379310344827586,1,0,0,45,3,2,0,0,68,8,2,1,0,0,2,1,356,149,93,30,0,27,0,70,18,1,35,6,39,51,25,41,1,0,55,10,6,0,0,74,11,4,3,1,0,3,7,433,148,173,40,0,40,5,77,13,0,8,1,41,49,75,50,1,0
2023-10-22,A-League Women,4309565,Western United FC,Melbourne Victory,0.42528735632183906,0.33793103448275863,0.2367816091954023,2,1,0,54,13,4,2,0,68,6,7,7,2,0,8,5,400,178,94,37,24,34,0,75,12,2,8,2,45,51,90,50,0,0,46,12,3,1,1,72,10,3,7,2,0,7,5,328,152,83,38,16,42,4,72,12,2,8,2,36,49,10,57,0,0
2023-10-22,A-League Women,4309564,Perth Glory,Newcastle Jets,0.4494238156209987,0.4263764404609475,0.12419974391805377,1,0,0,50,6,2,1,1,74,6,7,3,1,0,5,1,438,206,116,45,11,36,0,59,17,2,9,2,47,53,50,36,1,0,50,10,2,1,1,75,14,1,6,2,1,6,4,422,182,133,34,38,40,1,57,12,1,8,1,43,47,50,44,1,0
2023-10-22,A-League Women,4309638,Western Sydney Wanderers FC,Wellington Phoenix,0.4019746121297602,0.45557122708039494,0.14245416078984485,0,3,2,41,13,3,0,0,71,7,2,4,6,1,5,8,337,138,100,38,13,35,1,67,11,2,11,3,28,41,40,7,1,0,59,12,6,1,1,76,9,4,4,2,2,7,5,492,241,132,40,36,34,1,68,13,6,9,3,41,59,60,54,0,0
