match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-07-21,Ekstraklasa,4192749,Warta Poznan,Pogon Szczecin,0.2524271844660194,0.3658661216147164,0.3817066939192642,0,1,2,29,9,1,1,1,67,12,6,3,5,0,5,4,251,65,104,33,22,22,4,75,12,3,21,2,46,44,43,43,1,0,71,12,3,0,0,85,9,5,6,3,0,8,4,647,224,328,56,25,22,1,71,5,5,31,1,59,56,57,53,0,0
2023-07-21,Ekstraklasa,4192705,Legia Warszawa,LKS Lodz,0.5764439411098528,0.2880332200830502,0.135522838807097,3,0,0,59,18,9,5,3,90,8,8,6,3,0,12,6,508,216,239,65,39,20,0,67,13,2,22,1,62,62,58,50,0,0,41,7,1,1,1,81,17,4,4,2,1,4,3,344,170,108,37,20,30,1,67,12,3,11,6,39,38,42,34,0,0
2023-07-22,Ekstraklasa,4192708,Stal Mielec,Cracovia,0.2913096695226438,0.38310893512851896,0.32558139534883723,2,2,1,49,8,4,2,1,77,12,4,4,0,0,6,2,367,173,109,48,21,27,4,50,12,6,29,6,40,43,43,41,2,0,51,20,8,1,1,79,11,8,6,6,0,14,6,378,122,176,45,35,27,0,67,11,0,14,2,53,57,57,77,2,0
2023-07-22,Ekstraklasa,4192707,Rakow Czestochowa,Jagiellonia Bialystok,0.5495081967213115,0.3265573770491803,0.12393442622950819,3,0,0,57,11,6,4,2,85,11,8,3,2,0,9,2,525,258,188,64,23,21,0,60,4,1,13,1,50,50,76,56,0,0,43,7,1,0,0,80,12,4,5,1,0,3,4,404,168,155,35,38,23,2,58,12,2,21,3,41,50,24,50,4,0
2023-07-22,Ekstraklasa,4192706,Piast Gliwice,Lech Poznan,0.2101534828807556,0.2975206611570248,0.4923258559622196,1,2,2,40,15,5,5,4,70,9,4,7,3,0,11,4,358,100,152,33,12,30,2,80,12,3,12,0,52,54,37,50,1,0,60,7,2,0,0,84,20,1,2,3,0,5,2,561,290,182,62,27,20,1,85,11,3,29,4,57,46,63,77,4,0
2023-07-23,Ekstraklasa,4192702,Gornik Zabrze,Radomiak Radom,0.48256467941507314,0.37682789651293586,0.140607424071991,0,2,2,51,4,0,1,1,79,20,2,3,1,0,3,1,434,231,114,48,30,20,2,47,10,3,30,2,66,55,54,73,2,0,49,20,4,3,1,80,17,9,13,3,1,11,9,403,171,152,43,22,23,2,85,6,1,9,0,55,45,46,46,0,0
2023-07-23,Ekstraklasa,4192703,Zaglebie Lubin,Ruch Chorzow,0.37018255578093306,0.38235294117647056,0.24746450304259635,2,1,0,63,16,3,1,0,81,13,4,6,7,1,7,9,537,190,247,60,13,21,2,50,4,0,29,1,64,53,66,61,1,0,37,6,1,1,1,69,15,1,5,0,1,5,1,305,127,84,34,13,21,2,56,10,7,16,1,47,47,34,60,3,0
2023-07-23,Ekstraklasa,4192738,Widzew Lodz,Puszcza Niepolomice,0.5088702147525677,0.30532212885154064,0.1858076563958917,3,2,0,59,12,6,2,1,78,17,5,3,3,0,10,2,489,181,200,45,21,25,3,43,5,4,29,2,59,51,50,78,3,0,41,14,4,2,1,72,9,1,4,6,1,9,5,338,108,135,55,25,23,4,40,17,3,17,3,58,49,50,50,0,0
2023-07-24,Ekstraklasa,4192704,Korona Kielce,Slask Wroclaw,0.38461538461538464,0.4193061840120664,0.19607843137254902,1,1,1,57,11,5,1,1,80,11,2,4,2,0,5,6,462,198,171,52,18,32,2,67,8,1,25,1,34,46,50,56,3,0,43,4,2,0,0,71,11,3,1,1,0,2,2,341,125,117,43,20,23,1,50,9,2,30,5,38,54,50,55,3,0
2023-07-28,Ekstraklasa,4192732,Ruch Chorzow,LKS Lodz,0.46039970392302,0.3404885270170244,0.1991117690599556,2,0,0,40,14,5,5,3,75,19,4,6,3,0,10,4,305,128,101,37,31,23,3,45,10,8,29,1,59,49,57,38,3,0,60,17,2,2,2,81,16,9,8,7,0,8,9,463,181,192,53,14,21,1,43,10,3,17,3,57,51,43,48,1,1
