match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-08-05,Eredivisie,3900341,SC Heerenveen,Sparta Rotterdam,0.4920473773265651,0.32318104906937395,0.1847715736040609,0,0,1,50,11,2,0,0,81,5,3,4,5,0,7,4,522,247,176,44,11,25,0,55,12,4,26,1,48,55,54,57,1,0,50,13,1,0,0,82,8,6,7,5,0,3,10,524,238,193,59,20,18,2,43,11,5,15,2,40,45,46,60,1,0
2022-08-06,Eredivisie,3900342,Fortuna Sittard,Ajax,0.13744343891402716,0.19287330316742082,0.669683257918552,2,3,2,28,13,2,1,0,65,15,3,8,3,0,7,6,214,75,64,36,27,14,3,55,20,7,33,1,46,45,57,54,3,0,72,15,4,2,0,84,12,10,4,7,0,10,5,555,153,311,47,15,25,2,58,4,3,11,0,48,55,43,67,0,0
2022-08-06,Eredivisie,3900343,Cambuur,Excelsior,0.4764179104477612,0.3397014925373134,0.18388059701492537,0,2,2,72,27,8,7,7,84,9,10,12,7,0,19,8,626,295,229,58,34,25,2,70,12,2,9,2,54,49,46,58,1,0,28,7,4,1,0,61,5,2,1,2,0,4,3,257,100,57,33,0,21,1,61,12,6,44,8,58,51,54,64,2,0
2022-08-06,Eredivisie,3900344,PSV Eindhoven,FC Emmen,0.6877769090435236,0.2181391712275215,0.09408391972895491,4,1,0,62,11,6,5,3,89,6,3,2,3,1,9,2,693,308,307,72,25,17,1,71,8,0,12,1,50,58,50,50,0,0,38,6,2,0,0,79,12,6,4,0,0,5,1,422,228,106,42,7,12,0,60,15,3,18,4,38,42,50,36,1,0
2022-08-06,Eredivisie,3900345,RKC Waalwijk,FC Utrecht,0.24528301886792453,0.3220125786163522,0.4327044025157233,2,2,1,38,11,3,3,3,72,8,3,3,5,0,7,4,354,150,104,44,42,19,1,58,11,1,23,1,45,56,42,25,1,0,62,11,3,3,1,82,10,7,7,1,0,7,4,571,199,268,61,25,31,0,57,4,5,8,1,43,44,58,31,0,0
2022-08-07,Eredivisie,3900346,FC Groningen,FC Volendam,0.5343653250773994,0.2891640866873065,0.17647058823529413,2,2,1,58,18,6,2,1,81,7,7,10,2,0,12,6,424,218,124,56,24,23,4,38,7,4,9,1,63,60,50,65,0,0,42,11,3,3,2,71,11,4,4,4,1,6,5,314,131,92,43,25,19,2,59,9,2,30,4,48,40,50,63,1,0
2022-08-07,Eredivisie,3900348,NEC Nijmegen,FC Twente,0.23955296404275997,0.2784256559766764,0.48202137998056366,0,1,2,41,11,4,2,2,71,9,6,5,2,0,6,5,323,109,121,40,27,30,2,50,14,5,28,1,50,43,48,47,1,0,59,13,2,1,0,75,9,9,6,5,0,6,7,471,154,200,41,15,25,0,75,10,2,13,4,61,57,52,53,1,0
2022-08-07,Eredivisie,3900347,Vitesse,Feyenoord,0.21081830790568654,0.26768377253814146,0.521497919556172,2,5,2,48,9,3,1,0,73,9,5,3,3,0,5,4,438,193,128,30,18,14,4,75,6,4,12,3,45,51,53,40,2,0,52,16,8,5,2,79,12,6,4,4,1,13,3,467,164,206,41,23,22,3,82,11,3,10,1,43,51,47,67,1,0
2022-08-07,Eredivisie,3900349,AZ Alkmaar,Go Ahead Eagles,0.6024705221785513,0.3012352610892757,0.09629421673217294,2,0,0,65,19,8,4,2,84,8,7,5,6,0,13,6,574,235,248,53,40,35,5,60,7,3,10,2,47,54,43,68,1,0,35,8,2,2,2,74,11,3,3,3,0,6,2,315,141,92,47,33,13,1,71,17,6,24,6,49,46,57,80,1,0
2022-08-12,Eredivisie,3900350,Excelsior,Vitesse,0.32533659730722153,0.3336597307221542,0.34100367197062426,3,1,0,40,11,6,5,2,72,10,1,4,1,0,8,3,302,120,97,53,25,15,3,50,18,3,32,5,62,60,47,63,0,0,60,22,6,2,1,80,18,8,11,5,1,11,11,453,170,191,49,27,25,1,60,11,0,9,3,47,39,53,57,0,1
2022-08-13,Eredivisie,3900351,Go Ahead Eagles,PSV Eindhoven,0.155832974601808,0.2331037451571244,0.6110632802410676,2,5,2,30,11,4,0,0,71,13,6,5,2,0,10,1,272,114,80,44,35,17,3,53,12,7,24,6,38,43,46,0,1,1,70,23,11,5,3,89,8,6,5,7,2,16,7,647,249,325,58,39,23,2,53,6,1,11,2,49,57,54,70,0,0
2022-08-13,Eredivisie,3900352,FC Emmen,RKC Waalwijk,0.4263124604680582,0.3523086654016445,0.22137887413029728,1,1,1,53,11,5,2,2,82,15,3,4,2,0,8,3,466,217,163,54,30,20,2,47,8,5,14,1,47,53,32,42,3,0,47,12,2,1,0,78,15,4,5,5,0,7,5,400,167,145,43,9,21,3,47,7,2,15,4,50,47,68,35,1,0
2022-08-13,Eredivisie,3900353,FC Utrecht,Cambuur,0.5608034744842563,0.31758957654723124,0.12160694896851248,0,0,1,46,15,6,4,4,70,11,7,6,3,0,10,5,358,130,121,54,29,18,0,54,11,3,26,10,59,46,50,43,3,0,54,21,10,2,2,78,14,4,8,3,0,12,9,416,151,173,65,28,28,1,54,8,3,20,6,66,54,50,63,1,0
2022-08-13,Eredivisie,3900354,Feyenoord,SC Heerenveen,0.6799340555817239,0.23575129533678757,0.08431464908148846,0,0,1,68,19,11,4,4,89,8,7,6,2,1,9,10,695,199,421,67,28,27,1,56,4,2,10,3,39,42,76,38,1,0,32,8,3,0,0,76,6,2,3,2,0,6,2,327,169,79,30,33,16,1,50,14,2,26,11,37,58,24,50,2,0
2022-08-14,Eredivisie,3900355,FC Volendam,NEC Nijmegen,0.3674818241903503,0.3668208856576338,0.2656972901520159,1,4,2,50,16,6,2,1,80,15,6,5,5,1,9,7,392,145,169,52,29,21,2,73,9,1,16,4,46,45,37,50,2,0,50,13,8,5,2,80,13,6,4,1,0,11,2,392,192,122,43,28,18,0,74,7,5,21,5,59,55,63,63,0,0
2022-08-14,Eredivisie,3900356,Ajax,FC Groningen,0.7060006704659738,0.21572242708682535,0.0782769024472008,6,1,0,69,24,11,10,6,89,4,7,8,5,0,18,6,581,173,343,69,40,28,4,57,7,1,4,1,45,59,33,65,1,0,31,4,2,0,0,79,6,3,1,1,0,3,1,260,137,69,57,11,13,2,65,12,4,24,5,36,41,67,22,0,0
2022-08-14,Eredivisie,3900357,FC Twente,Fortuna Sittard,0.5804622764936764,0.30353249018752726,0.11600523331879634,3,0,0,56,19,8,5,4,76,13,10,9,2,0,13,6,372,91,191,45,11,26,0,20,9,2,15,1,47,44,57,43,1,0,44,5,1,1,1,67,12,1,2,2,0,4,1,307,117,88,40,18,25,2,44,18,3,30,4,49,56,43,75,3,0
2022-08-14,Eredivisie,3900358,Sparta Rotterdam,AZ Alkmaar,0.20988805970149255,0.326181592039801,0.4639303482587065,2,3,2,38,8,3,2,0,76,12,2,3,2,0,5,3,340,170,88,50,17,18,0,63,17,11,23,3,53,39,61,36,2,0,62,25,7,5,2,86,7,6,7,11,0,16,9,578,175,322,56,40,24,0,77,8,2,15,1,58,61,39,67,2,0
2022-08-20,Eredivisie,3900359,Vitesse,SC Heerenveen,0.4731471535982814,0.33458646616541354,0.19226638023630505,0,4,2,52,4,2,2,2,76,11,3,1,1,0,3,1,432,175,155,36,9,28,0,52,10,3,16,0,46,46,39,46,3,0,48,13,4,3,0,76,8,4,6,3,1,7,6,390,186,110,45,36,19,1,63,14,1,17,2,56,54,61,52,2,0
2022-08-20,Eredivisie,3900363,Fortuna Sittard,Cambuur,0.4566929133858268,0.35576234788833216,0.1875447387258411,1,4,2,43,19,6,0,0,73,11,6,7,6,0,11,8,318,100,132,54,56,24,1,47,14,4,15,4,45,47,58,44,3,0,57,16,8,0,0,81,4,5,4,4,0,9,7,415,174,164,54,10,21,3,69,11,5,16,5,43,53,42,40,1,0
2022-08-20,Eredivisie,3900362,FC Emmen,FC Utrecht,0.311503416856492,0.33712984054669703,0.35136674259681094,3,2,0,56,13,7,1,0,80,8,6,4,2,0,8,5,552,216,225,43,25,23,1,65,7,3,24,2,46,52,49,42,0,0,44,9,4,3,2,77,6,6,2,3,0,8,1,410,193,121,35,26,26,1,63,11,2,19,4,45,48,51,25,0,0
2022-08-21,Eredivisie,3900360,FC Groningen,Go Ahead Eagles,0.5143570536828964,0.34519350811485644,0.1404494382022472,1,0,0,52,9,2,0,0,82,11,5,6,1,1,6,3,404,179,151,64,27,19,1,56,11,3,15,3,49,60,50,50,2,0,48,8,3,0,0,75,15,4,2,3,0,3,5,380,161,125,48,25,24,2,73,8,1,14,2,37,40,50,21,2,0
2022-08-21,Eredivisie,3900364,Sparta Rotterdam,Ajax,0.14202941613430398,0.20814143515079483,0.6498291487149012,0,1,2,34,9,5,0,0,76,10,2,3,1,0,5,4,329,151,99,48,31,20,1,60,6,4,14,2,46,39,63,33,1,0,66,14,3,3,3,86,9,7,6,5,2,8,6,640,235,313,63,32,17,2,58,6,1,16,5,53,61,37,65,1,0
2022-08-21,Eredivisie,3900366,RKC Waalwijk,Feyenoord,0.16945660571722895,0.2951326294102498,0.5354107648725213,0,1,2,40,10,4,1,1,76,13,6,3,3,0,8,2,349,149,116,48,48,20,2,62,11,4,19,7,40,39,55,18,2,0,60,18,8,2,1,86,5,8,6,4,0,8,10,547,145,326,50,13,15,3,48,8,3,21,4,54,61,45,38,0,0
2022-08-26,Eredivisie,3900368,NEC Nijmegen,FC Groningen,0.440361057382334,0.36363636363636365,0.19600257898130238,1,1,1,56,16,7,1,1,87,11,7,4,5,0,9,7,440,209,172,71,29,25,1,61,10,2,11,5,43,52,42,65,2,0,44,15,6,0,0,82,9,6,7,2,0,8,7,339,165,113,63,33,22,1,80,13,5,16,6,43,49,58,59,2,0
2022-08-27,Eredivisie,3900369,Go Ahead Eagles,Sparta Rotterdam,0.36336779911373707,0.37518463810930575,0.2614475627769572,0,1,2,45,11,6,0,0,79,13,5,2,3,0,6,5,409,124,200,52,10,22,0,65,5,4,16,4,41,47,32,50,1,1,55,16,7,1,0,80,3,7,7,2,0,10,6,496,235,161,56,42,16,1,38,14,3,22,6,59,53,68,36,2,0
2022-08-27,Eredivisie,3900370,Vitesse,RKC Waalwijk,0.4997266265718972,0.34281027884089665,0.15746309458720611,2,2,1,58,25,8,3,2,77,12,10,9,8,0,15,10,422,154,169,46,39,32,0,68,10,1,14,3,59,48,54,52,1,0,42,10,5,2,1,67,6,4,4,1,0,5,5,311,132,75,33,22,22,2,50,18,7,33,6,60,52,46,50,1,0
2022-08-27,Eredivisie,3900371,Feyenoord,FC Emmen,0.679037111334002,0.24348044132397192,0.07748244734202608,4,0,0,61,22,7,5,1,87,7,11,10,5,0,15,7,586,203,308,43,31,25,1,64,9,3,6,1,41,47,67,43,0,0,39,7,1,0,0,77,9,2,3,3,0,5,2,386,222,75,44,0,16,1,56,14,5,20,3,41,53,33,27,0,0
