match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-11-04,FA Cup,4347190,Bromley,Blackpool,0.2702994335041813,0.27002967359050445,0.45967089290531427,0,2,2,50,18,3,5,5,77,10,5,8,7,0,13,5,469,155,208,46,38,20,1,69,1,3,8,3,49,46,60,25,1,0,50,13,5,3,1,79,9,4,5,3,0,6,7,481,190,190,40,17,14,0,83,3,6,14,3,44,54,40,38,2,0
2023-11-04,FA Cup,4347174,Mansfield Town,Wrexham,0.22971014492753622,0.14942028985507247,0.6208695652173913,1,2,2,52,25,6,2,2,75,5,5,14,5,0,10,15,445,158,175,43,17,23,1,73,10,3,20,6,57,57,53,77,1,0,48,17,8,2,1,71,12,7,5,4,1,12,5,414,125,170,32,33,21,1,85,4,5,38,5,46,43,47,50,2,0
2023-11-05,FA Cup,4347163,Chesterfield,Portsmouth,0.29517595887702647,0.23942269671807037,0.4654013444049031,1,0,0,42,11,6,2,1,71,13,4,4,1,0,8,3,342,119,124,41,20,25,4,55,7,2,23,3,54,57,40,55,3,0,58,9,3,1,1,78,14,4,4,2,0,6,3,493,197,187,46,11,26,0,91,8,1,21,5,51,43,60,29,2,0
2023-11-05,FA Cup,4347173,Crewe Alexandra,Derby County,0.22419512195121952,0.2513170731707317,0.5244878048780488,2,2,1,29,7,6,2,1,67,1,1,1,0,0,6,1,278,137,50,29,50,14,0,77,10,14,71,5,29,50,26,50,0,0,71,32,8,1,1,84,3,13,11,13,0,20,12,637,191,346,60,24,30,3,40,4,0,4,4,45,50,74,83,0,0
2023-11-05,FA Cup,4347169,Charlton Athletic,Cray Valley Paper Mills,0.48240447062377284,0.17157529074157982,0.3460202386346473,1,1,1,70,25,6,3,2,84,13,5,12,7,1,16,9,606,245,266,56,45,22,0,78,5,4,12,1,42,47,43,52,0,0,30,8,1,0,0,60,8,3,3,4,0,6,2,264,70,89,25,31,24,0,63,6,7,23,5,51,53,57,29,0,0
2023-11-14,FA Cup,4357955,Horsham,Barnsley,0.28869409431185616,0.2911894554993922,0.42011645018875166,0,3,2,44,8,2,2,2,70,10,3,2,4,0,4,4,415,183,107,43,30,28,0,77,6,1,20,3,51,49,46,71,2,0,56,10,6,3,1,79,9,3,3,1,0,6,4,526,222,193,40,33,24,1,64,10,4,16,2,56,51,54,36,0,0
2023-11-15,FA Cup,4358592,Cray Valley Paper Mills,Charlton Athletic,0.3839705756564879,0.19125823282867163,0.4247711915148405,1,6,2,26,5,2,1,0,54,10,3,2,1,0,3,2,219,66,53,36,25,19,3,78,5,5,34,4,45,52,47,50,1,0,74,17,12,5,2,85,11,2,2,3,0,14,3,621,258,271,55,25,26,2,64,7,1,10,1,45,48,53,50,1,0
2023-12-01,FA Cup,4358416,York City,Wigan Athletic,0.26354815086049066,0.3002563163676309,0.43619553277187845,0,1,2,38,11,2,2,2,71,11,5,7,2,0,7,4,323,94,136,46,38,23,0,61,5,3,6,4,40,42,57,45,3,0,62,13,5,2,1,85,5,2,5,3,0,7,6,545,294,170,34,0,12,3,71,11,2,20,2,47,58,43,58,0,0
2023-12-03,FA Cup,4358413,Eastleigh,Reading,0.26356589147286824,0.25539492981353445,0.4810391787135973,2,1,0,39,9,6,4,2,62,13,1,0,3,0,8,1,299,72,113,37,33,22,2,67,5,7,18,2,58,55,48,50,4,0,61,17,3,1,1,79,14,2,7,7,0,8,9,473,185,187,47,22,17,5,58,7,3,13,4,52,44,52,27,4,0
2023-12-03,FA Cup,4358427,Wrexham,Yeovil Town,0.7415933781686498,0.14963786859803416,0.10876875323331608,3,0,0,52,15,5,3,1,85,10,6,6,4,0,10,5,525,198,247,53,26,12,1,69,7,0,17,2,43,52,67,56,1,0,48,8,2,0,0,83,8,5,6,0,1,4,4,496,225,187,35,13,17,1,85,7,3,19,2,34,48,33,43,2,0
2023-12-04,FA Cup,4358414,AFC Wimbledon,Ramsgate,0.5466602939419285,0.25176245668538655,0.2015772493726849,5,0,0,54,33,17,7,5,85,16,11,10,6,0,20,13,415,169,182,51,24,16,0,68,2,1,21,2,46,45,58,44,3,0,46,6,2,2,2,75,5,2,2,2,0,5,1,369,207,71,34,20,27,0,68,6,6,30,12,49,55,42,44,0,0
2023-12-05,FA Cup,4358422,Alfreton Town,Walsall,0.3014746471098494,0.301711221512499,0.3968141313776516,0,0,1,39,12,3,1,1,39,8,3,5,4,0,8,4,217,39,45,27,56,41,0,36,6,5,28,4,51,41,44,20,1,0,61,17,4,1,1,51,10,7,6,7,0,14,3,325,77,89,25,16,26,1,76,8,4,36,3,69,59,56,89,2,0
2023-12-12,FA Cup,4374871,Barnet,Newport County,0.4479223619464188,0.3700109349371241,0.1820667031164571,1,4,2,70,9,2,1,0,86,10,6,3,4,1,4,5,531,236,219,47,20,31,3,54,2,2,15,3,43,45,35,47,0,0,30,15,6,3,0,67,10,6,6,3,2,12,3,227,67,84,40,38,15,5,52,10,3,29,1,59,55,65,50,3,0
2023-12-13,FA Cup,4374905,Stockport County,Aldershot Town,0.5098128708352351,0.30914346569298645,0.1810436634717785,0,1,2,60,10,2,0,0,78,18,3,2,6,0,7,3,467,170,196,44,29,26,3,70,11,1,16,6,58,48,58,56,2,0,40,11,7,3,2,65,15,2,1,3,0,8,3,318,82,126,39,17,23,3,69,8,5,20,2,54,52,42,46,0,0
2024-01-04,FA Cup,4374883,Crystal Palace,Everton,0.42690622911871706,0.24052763135100355,0.3325661395302794,0,0,1,53,11,3,0,0,77,6,7,4,4,0,6,5,463,204,154,48,33,22,1,57,8,3,25,3,40,57,44,50,2,0,47,13,3,2,2,73,12,7,7,3,0,9,4,403,133,162,44,29,26,3,27,8,4,13,3,38,43,56,60,0,1
2024-01-05,FA Cup,4374893,Brentford,Wolverhampton Wanderers,0.2712821403752606,0.24710447069724345,0.48161338892749594,1,1,1,73,14,3,1,1,89,8,4,7,4,0,9,5,596,194,338,60,14,22,1,56,8,1,9,0,41,59,29,47,3,0,27,7,1,0,0,71,12,7,5,1,0,4,3,216,60,93,35,29,13,2,64,11,4,28,3,43,41,71,31,2,1
2024-01-05,FA Cup,4374878,Fulham,Rotherham United,0.6536937502452038,0.24312448507199183,0.10318176468280435,1,0,0,66,21,5,0,0,91,10,12,8,8,1,14,7,675,245,368,50,21,17,0,50,6,1,8,0,27,41,24,62,0,0,34,3,0,0,0,76,7,0,2,1,0,3,0,357,192,79,37,20,15,2,73,6,9,26,3,51,59,76,80,0,0
2024-01-05,FA Cup,4374877,Tottenham Hotspur,Burnley,0.75777786898703,0.15009850599244787,0.09212362502052208,1,0,0,63,16,7,0,0,85,14,8,7,2,0,13,3,619,250,279,58,17,22,2,41,11,2,10,1,52,51,50,62,1,0,37,10,1,2,2,75,11,3,7,2,0,5,5,353,165,99,43,18,20,2,50,11,2,18,6,51,49,50,33,2,0
2024-01-06,FA Cup,4374880,Millwall,Leicester City,0.14891568706931496,0.2580056749087961,0.593078638021889,2,3,2,49,19,9,1,0,84,8,6,4,6,0,15,4,482,251,153,37,21,15,0,77,6,1,11,5,52,61,38,69,1,0,51,13,8,5,2,87,12,3,4,1,0,12,1,511,340,104,34,42,20,3,67,10,6,36,7,42,39,63,33,1,0
2024-01-06,FA Cup,4374881,Sunderland,Newcastle United,0.26929515672804943,0.16732090284592738,0.5633839404260232,0,3,2,36,5,2,0,0,80,13,0,1,2,1,0,5,311,157,91,41,17,17,1,69,9,2,21,2,40,49,53,36,4,0,64,10,4,3,1,87,16,5,4,2,0,8,2,553,265,218,67,20,22,1,76,3,2,9,2,40,51,47,63,2,0
2024-01-06,FA Cup,4374888,Gillingham,Sheffield United,0.2056786703601108,0.27865304709141275,0.5156682825484764,0,4,2,31,10,1,1,1,74,12,6,4,5,1,7,3,271,103,97,47,32,19,2,64,12,7,25,5,51,53,52,20,1,0,69,23,9,5,3,89,10,7,7,7,0,13,10,656,292,293,52,0,27,1,89,2,4,20,1,46,47,48,48,1,0
