match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-07-21,HNL,4189898,Dinamo Zagreb,Hajduk Split,0.5947368421052631,0.27146814404432135,0.1337950138504155,1,2,2,67,11,3,2,1,89,7,4,5,3,0,7,4,697,255,362,74,38,20,0,64,9,3,16,3,38,48,60,20,1,0,33,11,5,1,0,81,12,4,3,3,0,7,4,328,115,152,60,28,16,0,89,10,3,16,2,37,52,40,63,4,0
2023-07-22,HNL,4189899,Rijeka,Rudes,0.518097941802697,0.3811213626685593,0.10078069552874379,4,0,0,49,17,7,5,2,79,13,10,6,4,2,12,5,396,132,181,60,13,19,1,78,7,2,4,1,48,54,47,56,1,0,51,8,1,2,2,79,14,3,5,2,0,5,3,431,246,94,40,40,12,1,85,8,5,25,2,43,46,53,45,1,0
2023-07-22,HNL,4189900,Osijek,Slaven,0.4952048823016565,0.38099389712292936,0.12380122057541412,6,1,0,53,20,10,4,1,74,7,6,8,2,0,14,6,403,181,118,49,16,18,0,68,12,2,14,0,59,53,69,35,0,0,47,9,1,1,1,72,10,2,6,2,1,3,6,362,157,104,46,20,31,1,75,3,2,16,4,45,47,31,41,4,0
2023-07-23,HNL,4189896,HNK Gorica,NK Varazdin,0.4360587002096436,0.4308176100628931,0.1331236897274633,1,1,1,42,23,7,2,1,80,14,5,9,7,0,16,7,319,134,120,40,50,21,0,100,6,3,20,3,34,46,33,88,2,0,58,15,4,2,1,83,10,5,7,4,1,7,8,442,221,146,38,40,22,3,78,6,7,14,6,45,54,67,71,2,0
2023-07-23,HNL,4189897,NK Lokomotiva,NK Istra 1961,0.46048109965635736,0.41237113402061853,0.12714776632302405,1,1,1,60,16,5,1,0,81,11,9,8,3,0,4,12,538,218,220,55,14,23,1,78,10,0,5,2,39,42,55,38,2,0,40,7,3,1,0,72,13,3,4,0,0,2,5,378,175,99,42,14,24,4,67,7,3,29,4,47,58,45,60,0,0
2023-07-28,HNL,4190714,NK Varazdin,Slaven,0.380718954248366,0.39950980392156865,0.21977124183006536,2,2,1,59,13,6,2,2,80,10,5,5,2,0,7,6,453,210,154,34,21,26,3,76,5,3,17,3,46,61,29,69,2,0,41,14,5,1,0,75,11,5,6,3,0,8,6,300,110,114,45,27,22,2,75,5,2,16,4,42,39,71,31,1,0
2023-07-29,HNL,4190735,HNK Gorica,NK Lokomotiva,0.3734610123119015,0.45143638850889195,0.17510259917920656,1,0,0,48,12,5,2,1,76,11,5,4,3,0,6,6,369,156,125,47,21,31,0,89,8,2,8,1,50,44,42,33,1,0,52,10,1,0,0,79,12,1,6,3,0,4,6,411,176,148,42,29,25,1,79,10,3,14,4,65,55,58,47,1,0
2023-07-29,HNL,4190734,NK Istra 1961,Dinamo Zagreb,0.1627134724857685,0.2703984819734345,0.566888045540797,0,3,2,39,6,3,0,0,86,10,2,1,2,0,4,2,398,237,106,56,14,18,4,60,9,2,10,1,33,48,25,31,1,0,61,9,4,1,0,90,11,4,3,2,0,6,3,637,274,299,72,44,20,1,81,9,1,7,3,40,52,75,47,0,0
2023-07-30,HNL,4190732,Rudes,Osijek,0.21725826193390452,0.37270501835985315,0.41003671970624234,3,4,2,44,12,6,4,3,70,11,2,4,2,0,11,1,383,169,99,35,10,18,1,86,12,1,14,2,58,58,47,75,2,0,56,12,6,3,0,76,12,8,5,1,0,9,3,476,236,127,49,37,32,0,71,5,0,7,3,51,42,53,53,3,0
2023-07-30,HNL,4190733,Hajduk Split,Rijeka,0.5537578288100209,0.2985386221294363,0.1477035490605428,1,0,0,60,15,6,1,0,81,10,2,7,2,1,12,3,524,201,226,69,30,26,2,86,5,2,7,0,39,51,64,42,1,0,40,7,0,0,0,77,13,1,5,2,1,1,6,337,164,94,32,27,18,1,75,9,2,19,5,35,49,36,42,4,0
2023-08-04,HNL,4190736,NK Lokomotiva,NK Varazdin,0.48717948717948717,0.40263340263340264,0.1101871101871102,3,3,1,53,14,6,1,0,76,20,7,6,2,0,11,3,391,131,167,42,24,35,4,65,17,2,11,5,52,46,54,59,2,0,47,16,8,4,3,65,10,7,6,2,1,9,7,361,137,98,35,50,28,1,69,20,2,21,3,57,54,46,67,2,0
