match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2024-01-12,Asian Cup Grp. A,4169711,Qatar,Lebanon,0.6487263058581354,0.16184921519855905,0.1894244789433056,3,0,0,61,16,5,2,0,82,9,4,4,7,1,13,3,487,184,216,52,37,31,4,41,6,2,26,5,63,48,82,38,2,0,39,9,5,1,1,71,9,3,2,2,0,5,4,308,118,101,39,14,20,0,88,11,7,17,2,40,52,18,54,2,0
2024-01-13,Asian Cup Grp. B,4169717,Australia,India,0.6026730637422892,0.11370801919122686,0.2836189170664839,2,0,0,71,28,6,2,1,89,7,14,8,14,0,22,6,693,278,336,66,31,24,0,75,4,1,0,1,52,61,56,50,0,0,29,4,1,0,0,69,16,0,2,1,0,1,3,289,166,32,19,33,11,1,60,7,12,34,4,36,39,44,50,1,0
2024-01-13,Asian Cup Grp. A,4169712,China,Tajikistan,0.5928034371643395,0.17980665950590763,0.22738990332975295,0,0,1,49,10,2,1,1,74,20,4,6,2,0,8,2,396,191,104,43,69,22,2,40,13,3,17,2,42,38,48,50,1,0,51,20,2,0,0,74,12,4,15,3,0,8,12,427,154,163,35,18,22,1,77,11,2,9,2,58,63,52,100,2,0
2024-01-13,Asian Cup Grp. B,4169718,Uzbekistan,Syria,0.49829210226684606,0.12679846806748785,0.3749094296656661,0,0,1,66,14,2,0,0,85,12,5,9,3,0,7,7,596,212,297,62,20,25,4,69,12,2,12,0,48,52,58,57,1,0,34,7,0,0,0,72,11,2,5,2,0,2,5,322,150,82,27,25,18,1,92,8,3,33,2,40,48,42,44,1,0
2024-01-14,Asian Cup Grp. D,4169730,Japan,Vietnam,0.8019640958278601,0.1125914805779696,0.08544442359417026,4,2,0,58,15,7,2,1,86,13,3,3,5,0,10,5,741,319,321,41,0,20,3,67,10,1,3,1,45,46,76,57,1,0,42,6,3,1,0,81,7,1,2,1,0,4,2,533,351,83,30,50,19,1,62,10,5,23,3,42,54,24,50,0,0
2024-01-14,Asian Cup Grp. C,4169723,UAE,Hong Kong,0.6742494226327944,0.17644341801385682,0.14930715935334873,3,1,0,71,21,7,5,2,79,7,5,6,8,1,12,9,519,185,227,51,31,20,2,84,6,4,24,4,79,66,49,60,1,0,29,16,5,1,0,53,21,4,6,5,0,9,7,199,49,56,36,36,31,3,67,12,7,21,4,59,34,51,33,2,0
2024-01-14,Asian Cup Grp. C,4169724,Iran,Palestine,0.7120240258054948,0.08457231841607653,0.20340365577842867,4,1,0,62,12,5,2,0,85,11,3,5,2,0,8,4,574,321,169,61,44,24,0,50,12,0,12,2,63,60,53,50,1,0,38,4,3,1,0,75,21,2,1,0,0,2,2,349,169,93,42,0,23,3,53,9,2,17,1,45,40,47,46,6,0
2024-01-15,Asian Cup Grp. E,4169736,South Korea,Bahrain,0.8107508126536114,0.11349401411242369,0.07575517323396495,3,1,0,71,14,5,6,4,88,17,4,8,1,0,9,5,660,268,315,55,26,29,2,64,7,5,7,1,47,45,36,57,5,0,29,9,2,2,1,68,8,1,2,5,0,6,3,275,89,97,36,33,15,2,54,12,1,19,2,62,55,64,33,2,0
2024-01-15,Asian Cup Grp. D,4169731,Indonesia,Iraq,0.24186631863521954,0.16015661415120724,0.5979770672135732,1,3,2,34,8,1,1,0,70,13,4,5,2,1,5,3,314,139,81,36,33,14,1,56,10,1,21,2,47,47,46,43,2,0,66,15,5,6,3,85,4,4,8,2,0,12,3,592,301,204,58,29,27,4,60,12,2,10,0,54,53,54,48,0,0
2024-01-15,Asian Cup Grp. E,4169737,Malaysia,Jordan,0.3749045857553872,0.21895367271446187,0.4061417415301509,0,4,2,52,8,3,1,1,81,5,4,3,2,0,4,4,422,174,168,56,11,20,3,61,4,1,12,4,72,58,54,53,0,0,48,14,8,3,1,75,15,3,5,1,1,6,8,398,171,127,41,8,19,4,63,10,3,19,2,55,42,46,53,1,0
2024-01-16,Asian Cup Grp. F,4169742,Thailand,Kyrgyzstan,0.5088438561555582,0.2706454257936043,0.22051071805083752,2,0,0,45,12,4,8,6,76,15,3,6,2,2,9,3,404,173,134,53,27,26,1,75,6,4,18,3,46,40,51,39,3,0,55,13,3,1,1,80,11,2,6,4,0,7,6,506,215,188,52,23,27,3,65,13,2,14,2,58,60,49,50,2,0
2024-01-16,Asian Cup Grp. F,4169743,Saudi Arabia,Oman,0.7016553366363252,0.14625340861082306,0.1520912547528517,2,1,0,65,12,4,1,0,87,4,6,4,4,0,8,4,644,157,402,73,13,28,3,57,4,1,5,1,72,59,62,74,1,0,35,4,2,1,0,76,8,0,1,1,0,2,2,359,193,79,46,0,24,1,44,17,4,22,3,49,41,38,74,0,0
