match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2024-04-06,Besta deildin,4389498,Vikingur Reykjavik,Stjarnan,0.6404293381037567,0.16100178890876565,0.19856887298747763,2,0,0,53,20,5,5,4,80,14,6,11,4,1,15,5,445,168,188,50,32,24,0,57,13,6,43,3,42,52,46,86,4,0,47,12,3,3,3,72,9,7,3,6,1,10,2,388,182,98,31,25,28,3,67,4,4,26,3,42,48,54,31,2,0
2024-04-07,Besta deildin,4389488,Fram Reykjavik,Vestri,0.5470383275261324,0.21951219512195122,0.23344947735191637,2,0,0,38,9,4,2,2,69,14,5,3,2,0,5,4,305,114,95,35,23,26,0,71,19,6,18,1,43,51,33,40,3,0,62,14,2,1,1,79,15,3,7,5,0,8,6,498,241,150,40,19,32,2,86,13,2,15,2,49,49,67,47,4,0
2024-04-07,Besta deildin,4389489,KA Akureyri,HK Kopavogs,0.5313807531380753,0.21338912133891214,0.25523012552301255,1,1,1,63,26,10,1,1,84,9,13,11,5,0,15,11,454,190,192,66,28,30,5,44,7,3,13,1,52,54,52,37,2,0,37,7,2,1,0,67,15,1,2,3,1,3,4,282,124,66,31,0,14,1,71,9,5,37,9,45,46,48,47,7,0
2024-04-07,Besta deildin,4389491,Fylkir,KR Reykjavik,0.35609756097560974,0.23658536585365852,0.4073170731707317,3,4,2,44,10,4,2,0,61,13,5,4,2,0,7,3,302,108,75,38,24,29,1,46,12,4,22,4,49,45,45,42,5,0,56,17,8,5,4,71,13,7,5,4,1,10,7,392,139,140,51,16,20,6,69,10,2,21,1,60,55,55,50,5,0
2024-04-07,Besta deildin,4389490,Valur,IA Akranes,0.6306122448979592,0.17959183673469387,0.18979591836734694,2,0,0,64,26,8,6,5,85,11,9,4,14,1,19,7,623,218,314,39,38,32,0,67,7,2,19,2,35,48,64,40,4,0,36,7,2,1,1,75,8,2,3,2,0,4,3,339,128,126,41,40,22,0,75,6,13,30,6,31,52,36,44,3,0
2024-04-08,Besta deildin,4389492,Breidablik,FH Hafnarfjordur,0.5918181818181818,0.26454545454545453,0.14363636363636365,2,0,0,53,13,4,2,0,78,12,3,6,3,1,6,7,454,197,157,44,27,19,4,64,11,5,25,5,66,51,62,38,3,0,47,15,5,1,1,74,17,4,5,5,0,12,3,380,147,135,33,32,17,1,57,10,3,15,2,52,49,38,57,5,0
2024-04-12,Besta deildin,4389493,Stjarnan,KR Reykjavik,0.4007561436672968,0.2495274102079395,0.3497164461247637,1,3,2,56,9,3,3,2,78,8,11,5,1,0,9,0,393,194,114,48,20,30,1,62,9,5,23,5,53,60,42,67,3,0,44,22,8,6,3,73,12,7,8,6,0,8,14,304,70,151,47,24,18,0,88,10,1,35,2,43,40,58,31,2,0
2024-04-13,Besta deildin,4389494,Breidablik,Vestri,0.6778350515463918,0.18041237113402062,0.14175257731958762,4,0,0,66,20,8,4,2,87,4,5,7,5,1,14,6,630,291,259,74,22,27,4,50,11,0,7,0,39,61,45,47,2,0,34,1,0,0,0,75,11,1,1,0,0,1,0,318,173,64,46,0,15,0,69,11,5,24,5,30,39,55,33,6,1
2024-04-13,Besta deildin,4389495,KA Akureyri,FH Hafnarfjordur,0.5177664974619289,0.16243654822335024,0.3197969543147208,2,3,2,54,14,6,2,2,77,15,3,5,3,1,9,5,388,189,111,38,17,26,3,77,11,5,12,3,50,48,41,43,3,0,46,14,6,4,2,73,13,3,3,5,0,6,8,332,125,116,36,13,33,0,85,12,3,27,4,57,52,59,35,4,0
2024-04-14,Besta deildin,4389496,HK Kopavogs,IA Akranes,0.46215139442231074,0.18326693227091634,0.3545816733067729,0,4,2,32,8,5,1,1,67,15,3,3,0,0,6,2,281,104,85,29,33,24,0,67,9,3,42,8,42,39,44,67,1,1,68,23,12,4,1,86,9,7,8,3,1,14,9,605,267,253,54,25,17,2,50,10,0,17,5,59,61,56,68,2,0
