match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2018-07-27,Bundesliga,2786026,Austria Wien,FC Wacker Innsbruck,0.6485148514851485,0.1198019801980198,0.2316831683168317,2,1,0,55,12,7,4,3,78,7,6,5,0,1,10,3,495,221,167,43,18,21,5,90,17,0,24,3,45,45,43,42,0,0,45,6,4,2,1,70,15,1,2,0,0,2,6,402,145,136,45,36,24,4,65,13,0,15,4,56,55,57,67,0,0
2018-07-28,Bundesliga,2786028,Altach,Mattersburg,0.5075075075075075,0.2222222222222222,0.2702702702702703,2,3,2,54,11,3,5,4,74,20,3,8,0,2,8,6,389,140,147,41,15,30,2,63,8,0,29,1,61,42,48,38,0,0,46,7,4,2,1,66,15,9,3,0,0,9,4,331,120,99,43,37,14,2,75,13,0,19,1,74,58,52,75,0,0
2018-07-28,Bundesliga,2786027,Sturm Graz,Hartberg,0.765625,0.11284722222222222,0.12152777777777778,3,2,0,63,12,7,4,2,81,9,7,5,0,0,10,3,480,225,165,64,9,24,3,78,10,0,19,2,46,54,52,25,0,0,37,7,3,1,0,70,21,6,4,0,0,2,9,272,95,95,38,12,12,1,86,14,0,18,4,40,46,48,71,0,0
2018-07-29,Bundesliga,2786030,Admira Moedling,Rapid Wien,0.18328840970350405,0.09029649595687332,0.7264150943396226,0,3,2,25,5,4,1,1,72,9,4,1,0,0,4,3,239,114,58,37,18,17,1,75,23,0,23,5,60,62,67,67,0,0,75,14,8,4,2,91,12,5,6,0,0,7,9,750,307,373,70,17,26,4,81,10,0,13,4,36,38,33,40,0,0
2018-07-29,Bundesliga,2786029,Salzburg,LASK,0.743455497382199,0.1099476439790576,0.14659685863874344,3,1,0,66,16,6,2,1,81,8,4,5,5,1,11,5,540,207,229,55,24,33,3,86,18,0,14,3,58,62,47,31,1,0,34,8,4,1,0,62,19,4,4,0,0,5,3,277,88,84,27,0,24,2,71,12,4,16,4,43,38,53,36,4,0
2018-07-29,Bundesliga,2786031,SKN St. Poelten,Wolfsberger AC,0.49725274725274726,0.19505494505494506,0.3076923076923077,4,3,0,42,19,9,3,1,65,18,5,7,3,0,14,5,296,72,119,35,41,21,0,72,14,5,10,3,68,59,61,57,3,0,58,20,6,2,1,74,18,3,9,5,0,14,6,413,115,190,57,40,32,2,83,11,3,9,5,46,41,39,36,2,0
2018-08-04,Bundesliga,2786032,FC Wacker Innsbruck,Sturm Graz,0.31634819532908703,0.15711252653927812,0.5265392781316348,2,3,2,41,12,3,4,2,70,16,6,9,0,1,7,9,268,62,126,51,16,18,5,71,7,0,11,2,47,48,50,38,0,0,59,8,5,1,0,77,12,3,3,0,0,4,6,422,223,103,43,40,18,1,83,13,0,16,1,50,52,50,45,0,0
2018-08-04,Bundesliga,2786033,Mattersburg,Salzburg,0.1685823754789272,0.16091954022988506,0.6704980842911877,0,2,2,26,2,1,0,0,57,13,3,1,0,1,2,0,193,60,50,40,14,15,1,67,12,2,45,5,52,53,59,25,2,0,74,17,7,3,2,84,12,14,7,3,0,7,10,532,149,297,65,25,30,3,85,6,0,9,1,42,47,41,22,2,0
2018-08-04,Bundesliga,2786034,Rapid Wien,Altach,0.8186915887850468,0.09906542056074766,0.08224299065420561,1,1,1,55,13,5,2,1,79,10,7,8,0,1,10,8,501,206,188,46,28,17,3,67,21,0,15,1,46,50,63,75,0,0,45,4,2,1,0,75,9,4,2,0,0,4,5,419,152,164,42,6,13,3,67,22,0,20,3,38,50,38,80,0,0
2018-08-05,Bundesliga,2786035,Hartberg,Admira Moedling,0.5763239875389408,0.2118380062305296,0.2118380062305296,0,1,2,55,10,5,1,1,73,19,8,5,0,1,10,6,422,161,146,30,21,18,0,74,11,0,28,5,52,44,42,67,0,0,45,11,6,2,2,70,11,7,5,0,0,8,5,342,138,103,42,19,19,3,86,14,0,30,4,69,56,58,63,0,0
