match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2021-02-12,CAF Champions League Grp. D,3510604,Zamalek SC,MC Alger,0.647675180091683,0.22527832351015062,0.12704649639816634,0,0,1,76,24,7,0,0,87,11,14,9,8,0,13,11,726,213,419,72,22,26,1,18,6,0,14,0,55,54,66,52,0,0,24,5,0,0,0,60,12,2,5,0,0,2,3,237,73,70,30,9,10,1,40,10,0,34,6,39,46,34,60,0,0
2021-02-16,CAF Champions League Grp. A,3510602,Al Ahly,Al-Merreikh,0.7286882055274426,0.18100428182172051,0.0903075126508369,3,0,0,70,22,6,6,3,86,19,7,9,7,0,18,4,648,239,316,69,48,19,2,56,19,0,9,4,51,49,72,78,0,0,30,8,4,1,1,63,11,5,4,0,1,5,3,272,90,82,34,33,10,1,75,12,0,18,3,42,51,28,55,0,0
2021-02-23,CAF Champions League Grp. A,3510611,Al-Merreikh,AS Vita Club,0.5306122448979592,0.32653061224489793,0.14285714285714285,1,4,2,46,13,4,2,1,72,20,9,5,4,0,9,4,321,90,140,41,21,12,1,53,13,0,10,1,67,53,58,46,0,0,54,11,5,3,0,78,28,0,5,1,1,6,5,385,145,155,39,7,19,2,50,10,0,21,3,57,47,42,67,0,0
2021-02-23,CAF Champions League Grp. C,3510619,Petro Atletico,Wydad Casablanca,0.2519480519480519,0.35584415584415585,0.3922077922077922,0,1,2,54,14,1,2,2,84,12,7,8,5,0,9,5,334,141,138,43,15,20,3,82,9,0,18,2,44,56,38,58,0,0,46,10,3,2,1,75,14,5,4,3,0,7,3,300,124,102,37,30,12,1,54,3,0,19,2,41,44,62,56,0,0
2021-02-23,CAF Champions League Grp. A,3510603,Simba SC,Al Ahly,0.3240950226244344,0.3009049773755656,0.375,1,0,0,51,9,4,0,0,85,5,4,1,4,0,6,3,451,177,205,40,0,19,8,65,16,0,18,1,55,59,53,75,0,0,49,11,1,0,0,83,13,3,7,3,0,8,3,425,167,186,53,30,16,2,71,10,0,6,3,41,41,47,38,0,0
2021-02-23,CAF Champions League Grp. C,3510618,Kaizer Chiefs,Horoya AC,0.56282722513089,0.2670157068062827,0.17015706806282724,0,0,1,62,10,3,1,1,81,11,8,6,1,0,5,5,498,184,219,45,27,23,6,71,10,0,8,2,46,42,51,69,0,0,38,6,2,1,1,72,7,3,3,1,0,1,5,309,113,111,48,18,17,2,62,10,0,35,3,54,58,49,100,0,0
2021-02-23,CAF Champions League Grp. D,3510616,Teungueth FC,Zamalek SC,0.24539877300613497,0.3067484662576687,0.44785276073619634,0,0,1,47,8,1,0,0,84,18,3,3,4,0,5,3,385,169,153,64,33,15,4,75,14,1,20,4,58,50,71,20,0,0,53,11,5,1,1,81,17,7,6,0,0,7,4,417,128,208,57,26,30,0,88,8,4,16,1,44,50,29,25,1,0
2021-02-23,CAF Champions League Grp. D,3510617,MC Alger,Esperance,0.33814102564102566,0.2916666666666667,0.3701923076923077,1,1,1,45,11,2,0,0,67,17,4,3,6,0,4,7,340,106,123,30,28,21,1,63,9,0,11,4,77,63,51,67,0,0,55,9,5,2,2,75,28,3,2,2,0,7,2,413,148,162,48,35,24,1,67,11,0,16,1,54,37,49,50,0,0
2021-02-24,CAF Champions League Grp. B,3510612,Al Hilal Omdurman,TP Mazembe,0.4720812182741117,0.2969543147208122,0.23096446700507614,0,0,1,58,16,2,1,1,70,18,8,9,5,0,8,8,316,92,129,37,36,28,0,56,17,0,27,2,78,45,69,37,0,0,42,10,2,0,0,58,21,5,6,2,0,5,5,230,45,88,27,6,15,2,54,18,0,20,2,68,55,31,82,0,0
2021-02-28,CAF Champions League Grp. B,3510620,CR Belouizdad,Mamelodi Sundowns FC,0.2878787878787879,0.2916666666666667,0.42045454545454547,1,5,2,36,7,2,1,0,80,4,3,4,1,0,6,1,335,173,94,47,17,11,2,79,12,0,9,0,39,64,40,67,0,0,64,10,6,5,1,92,20,6,3,1,0,9,1,618,262,305,70,29,14,6,67,9,0,7,1,26,36,60,61,0,0
2021-02-28,CAF Champions League Grp. C,3510607,Wydad Casablanca,Kaizer Chiefs,0.7045454545454546,0.18181818181818182,0.11363636363636363,4,0,0,47,10,8,6,3,65,19,3,1,1,0,7,3,288,106,80,38,14,10,3,54,10,0,27,3,54,53,37,50,0,0,53,8,3,0,0,72,27,6,3,2,0,5,3,312,118,107,50,12,19,5,62,11,0,12,4,59,47,63,50,0,0
2021-03-05,CAF Champions League Grp. B,3510613,CR Belouizdad,Al Hilal Omdurman,0.510752688172043,0.260752688172043,0.22849462365591397,1,1,1,70,15,4,4,3,83,4,8,8,3,0,12,3,550,254,200,53,26,29,3,63,4,0,12,1,67,57,53,54,0,0,30,4,2,1,0,55,28,3,2,0,0,4,0,236,60,70,17,40,24,3,57,11,0,29,3,53,43,47,71,0,0
2021-03-06,CAF Champions League Grp. A,3510614,Al-Merreikh,Simba SC,0.22955145118733508,0.2678100263852243,0.5026385224274407,0,0,1,42,15,3,1,1,71,15,4,7,5,1,6,9,293,112,97,40,19,9,0,90,22,0,5,3,67,58,58,88,0,0,58,5,3,0,0,80,22,1,1,1,0,2,3,422,205,131,41,14,24,1,58,9,0,24,3,48,42,42,59,0,0
2021-03-06,CAF Champions League Grp. B,3510621,TP Mazembe,Mamelodi Sundowns FC,0.36303630363036304,0.30363036303630364,0.3333333333333333,1,2,2,48,23,8,3,2,78,12,8,13,2,1,13,10,397,131,177,46,38,17,1,71,11,0,9,6,58,58,81,71,0,0,52,11,8,3,2,80,19,1,2,1,0,5,6,463,233,138,29,29,13,2,31,13,0,17,7,36,42,19,47,0,0
