match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-11-26,CAF Confederation Cup Grp. C,4343116,Club Africain,Dreams FC,0.5801526717557252,0.26564885496183205,0.15419847328244274,2,0,0,57,11,5,4,3,86,18,2,6,0,1,6,5,393,202,137,58,50,17,3,75,3,2,12,3,54,51,64,50,2,0,43,10,4,0,0,79,16,1,5,1,0,1,9,300,135,103,32,17,18,2,46,7,0,10,4,50,49,36,40,0,1
2023-11-26,CAF Confederation Cup Grp. A,4343113,Future FC,SuperSport United,0.5468589083419155,0.33779608650875387,0.11534500514933059,1,0,0,54,12,4,1,1,79,9,3,5,3,1,7,5,437,186,161,50,31,22,3,75,6,1,17,6,49,61,46,47,1,0,46,8,6,1,1,73,23,6,1,1,0,7,1,358,135,128,52,11,27,3,57,10,3,12,3,37,39,54,13,3,0
2023-11-26,CAF Confederation Cup Grp. D,4343139,Diables Noirs,Stade Malien,0.4327731092436975,0.3487394957983193,0.2184873949579832,1,3,2,60,13,2,4,3,68,16,8,7,4,1,9,4,357,95,149,39,8,32,0,82,22,3,15,5,49,41,40,43,2,0,40,14,8,4,2,57,10,5,3,3,0,10,4,249,61,82,37,46,33,5,73,16,4,37,1,72,59,60,64,4,0
2023-11-26,CAF Confederation Cup Grp. C,4343106,Rivers United FC,Academica Petroleos do Lobito,0.5126582278481012,0.35443037974683544,0.13291139240506328,3,0,0,61,13,6,3,2,82,16,5,6,1,0,8,5,571,286,183,43,29,24,2,62,7,4,13,0,64,51,61,56,1,0,39,9,0,1,1,70,17,5,4,5,0,5,4,354,171,77,30,27,11,2,79,15,1,19,3,53,49,39,30,1,0
2023-11-26,CAF Confederation Cup Grp. B,4343131,Sagrada Esperanca,Academie SOAR,0.45652173913043476,0.41304347826086957,0.13043478260869565,2,0,0,54,10,3,2,2,81,15,2,7,0,0,5,5,454,229,138,46,31,22,3,70,10,6,7,1,69,56,62,36,0,0,46,16,1,0,0,78,18,3,9,6,0,3,13,395,152,155,47,29,19,2,62,18,0,11,1,50,44,38,50,3,0
2023-11-26,CAF Confederation Cup Grp. B,4343130,Zamalek SC,Abu Salim,0.740916271721959,0.15323854660347552,0.10584518167456557,1,0,0,80,11,2,1,0,88,9,7,7,2,0,5,6,725,191,449,64,22,22,0,53,5,0,3,0,47,59,39,53,2,0,20,3,0,0,0,61,17,0,3,0,1,2,1,181,55,56,40,25,12,3,62,12,2,41,1,40,41,61,45,1,0
2023-11-26,CAF Confederation Cup Grp. D,4343142,RSB Berkane,Sekhukhune United,0.600924499229584,0.29892141756548535,0.10015408320493066,2,0,0,61,14,6,2,0,85,10,5,6,2,1,13,1,566,301,181,46,60,23,8,69,11,1,8,1,60,51,68,44,2,0,39,3,1,1,1,77,20,1,1,1,0,1,2,366,190,91,50,14,16,0,68,9,2,13,4,49,49,32,38,3,0
2023-11-26,CAF Confederation Cup Grp. A,4343103,USM Alger,Al-Hilal,0.5317195325542571,0.2704507512520868,0.19782971619365608,2,0,0,63,12,6,3,2,82,12,3,6,0,0,9,3,460,185,192,53,37,20,2,69,9,2,17,4,58,51,64,40,2,0,37,9,4,1,1,68,18,5,3,2,1,3,6,271,85,98,33,20,29,4,64,8,0,16,4,47,49,36,60,2,1
2023-12-03,CAF Confederation Cup Grp. B,4343133,Abu Salim,Sagrada Esperanca,0.3941908713692946,0.4107883817427386,0.1950207468879668,1,0,0,53,10,3,0,0,74,16,4,7,0,0,5,5,416,171,137,34,25,30,0,73,8,1,8,0,69,61,37,54,2,0,47,5,0,0,0,72,25,2,4,1,0,1,4,370,162,105,37,10,31,1,56,12,0,33,2,64,39,63,50,2,0
2023-12-03,CAF Confederation Cup Grp. A,4343122,SuperSport United,USM Alger,0.3193863319386332,0.3263598326359833,0.3542538354253835,0,2,2,64,16,5,3,3,77,12,6,9,2,0,11,5,377,122,169,49,21,39,2,70,3,0,11,3,54,51,41,68,2,0,36,13,5,2,2,57,9,3,8,0,3,7,6,221,54,73,29,38,18,3,53,10,2,36,5,63,49,59,40,3,0
2023-12-03,CAF Confederation Cup Grp. C,4343107,Academica Petroleos do Lobito,Club Africain,0.2019704433497537,0.270935960591133,0.5270935960591133,1,3,2,36,6,3,1,0,68,18,1,2,1,0,1,5,257,106,68,35,9,17,1,85,4,3,22,4,50,48,51,60,1,0,64,18,8,5,3,81,17,6,8,2,0,12,6,469,227,154,58,30,32,1,40,9,1,12,2,52,52,49,42,2,0
2023-12-03,CAF Confederation Cup Grp. A,4343123,Al-Hilal,Future FC,0.3963531669865643,0.3416506717850288,0.2619961612284069,1,2,2,44,11,3,3,2,74,16,1,4,4,0,5,6,346,135,120,47,14,21,1,71,11,3,13,4,61,53,57,57,1,0,56,13,6,2,1,80,16,3,4,3,1,8,5,451,166,194,43,10,24,0,71,10,4,17,2,52,47,43,60,3,1
2023-12-03,CAF Confederation Cup Grp. C,4343117,Dreams FC,Rivers United FC,0.45151515151515154,0.3151515151515151,0.23333333333333334,2,1,0,43,10,5,1,0,71,17,6,3,2,0,7,3,340,120,122,39,40,25,3,45,16,2,24,3,47,41,45,25,1,0,57,13,4,1,0,74,17,7,7,2,0,8,5,438,149,177,41,10,19,0,84,8,2,16,3,65,59,55,47,2,0
2023-12-03,CAF Confederation Cup Grp. D,4343149,Stade Malien,RSB Berkane,0.3157894736842105,0.3082706766917293,0.37593984962406013,1,2,2,66,23,6,0,0,78,14,7,12,5,0,13,10,480,153,222,52,17,27,2,75,8,1,12,5,52,48,53,63,1,0,34,10,8,1,0,60,17,3,2,0,0,7,3,256,93,60,34,67,23,3,95,12,4,22,5,53,52,47,71,3,0
2023-12-03,CAF Confederation Cup Grp. B,4343132,Academie SOAR,Zamalek SC,0.13369713506139155,0.12994542974079126,0.7363574351978172,0,4,2,45,9,1,0,0,85,14,3,4,4,0,3,6,396,168,168,56,27,18,4,50,8,5,12,2,34,44,62,64,3,1,55,14,6,4,1,87,9,6,3,5,1,10,4,474,295,118,67,29,9,8,77,8,4,9,1,38,56,38,60,2,0
2023-12-03,CAF Confederation Cup Grp. D,4343148,Sekhukhune United,Diables Noirs,0.42560553633217996,0.3875432525951557,0.18685121107266436,2,1,0,50,8,2,3,2,77,12,5,4,2,0,3,5,437,183,153,45,16,24,2,60,15,4,20,3,60,42,70,45,2,0,50,17,4,0,0,75,13,2,9,4,0,3,14,430,161,163,44,7,30,5,72,14,2,26,0,55,58,30,65,3,0
