match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2019-05-15,Canadian Championship,2995251,AS Blainville,York 9 FC,0.6666666666666666,0.20833333333333334,0.125,0,0,1,30,5,2,2,2,65,18,4,3,0,1,8,1,283,83,102,25,28,20,0,70,12,0,24,2,57,49,37,50,0,0,70,7,3,2,2,85,7,2,4,0,0,5,5,685,358,225,44,8,29,5,75,9,0,18,2,67,51,63,35,0,0
2019-05-15,Canadian Championship,2995249,Vaughan Azzurri,HFX Wanderers FC,,,,2,3,2,41,6,4,1,0,76,19,5,2,0,0,6,3,337,163,94,43,21,21,1,62,13,0,15,0,60,51,38,70,0,0,59,10,3,4,1,84,15,10,7,0,0,9,4,484,252,156,60,21,19,1,72,13,0,21,2,65,49,62,58,0,0
2019-05-16,Canadian Championship,2995250,Pacific FC,Cavalry FC,,,,0,2,2,51,9,2,0,0,78,12,7,7,0,0,6,7,417,190,137,63,25,23,0,73,17,0,20,3,58,49,38,50,0,0,49,11,5,3,2,79,15,6,6,0,1,11,3,403,203,116,56,47,27,2,67,13,0,18,2,68,51,62,65,0,0
2019-05-22,Canadian Championship,2996588,HFX Wanderers FC,Vaughan Azzurri,0.6976744186046512,0.13953488372093023,0.16279069767441862,0,1,2,59,6,2,0,0,78,20,4,4,0,0,3,3,451,214,138,51,25,25,0,62,4,0,21,1,66,51,59,60,0,0,41,6,1,0,0,70,23,5,5,0,0,7,2,302,108,103,29,20,18,0,64,16,0,14,2,60,49,41,50,0,0
2019-05-22,Canadian Championship,2996590,York 9 FC,AS Blainville,0.5185185185185185,0.3333333333333333,0.14814814814814814,1,0,0,61,7,4,2,1,75,14,1,3,0,0,7,2,534,254,149,54,21,18,6,67,16,0,13,4,69,57,59,50,0,0,39,9,4,1,1,63,18,1,5,0,0,7,4,347,87,132,35,63,30,0,81,15,0,14,3,51,43,41,50,0,0
2019-05-23,Canadian Championship,2996589,Cavalry FC,Pacific FC,0.7536231884057971,0.1956521739130435,0.050724637681159424,2,1,0,51,11,4,1,1,81,12,4,7,0,0,9,4,441,209,147,59,33,18,1,85,12,0,12,2,59,57,45,79,0,0,49,6,3,2,1,78,15,4,3,0,0,4,5,419,202,126,46,53,21,2,44,7,0,16,3,49,43,55,75,0,0
2019-06-04,Canadian Championship,3043370,Forge FC,Cavalry FC,0.4782608695652174,0.3,0.2217391304347826,1,1,1,51,10,7,6,5,78,18,5,3,0,1,9,5,422,178,151,43,14,11,0,80,15,0,24,1,62,50,55,68,0,0,49,7,2,3,2,80,17,5,5,0,0,4,5,383,157,151,32,12,15,1,58,12,0,16,6,61,50,45,61,0,0
2019-06-05,Canadian Championship,3043372,HFX Wanderers FC,Valour FC,0.5299539170506913,0.3456221198156682,0.12442396313364056,2,1,0,42,13,4,3,2,75,16,7,9,0,1,7,9,334,153,99,40,22,24,0,81,10,0,12,1,55,45,63,62,0,0,58,6,2,0,0,79,12,2,4,0,0,5,3,466,219,147,51,31,28,1,75,9,0,17,3,60,55,37,56,0,0
2019-06-05,Canadian Championship,3043371,York 9 FC,FC Edmonton,0.5439560439560439,0.34615384615384615,0.10989010989010989,3,1,0,53,13,6,1,1,76,16,5,7,0,0,6,8,440,198,137,46,33,20,1,59,11,0,21,4,57,49,51,50,0,0,47,10,5,2,1,72,14,7,5,0,0,10,4,384,142,136,42,33,18,3,69,14,0,8,3,58,51,49,71,0,0
2019-06-12,Canadian Championship,3043373,Cavalry FC,Forge FC,0.6421052631578947,0.2789473684210526,0.07894736842105263,2,1,0,50,5,3,4,2,72,19,5,2,0,0,6,3,355,159,96,29,36,17,0,71,10,0,21,1,46,46,27,44,0,0,50,6,2,0,0,72,11,6,4,0,0,5,4,336,94,147,31,10,26,3,75,8,0,15,1,65,54,73,56,0,0
2019-06-13,Canadian Championship,3043375,Valour FC,HFX Wanderers FC,0.5503875968992248,0.3333333333333333,0.11627906976744186,0,2,2,61,7,3,0,0,84,14,9,4,0,0,9,2,492,209,205,60,25,24,4,69,9,0,4,3,56,38,69,38,0,0,39,9,5,2,1,71,11,2,4,0,0,7,4,320,143,85,26,29,16,2,74,18,0,13,3,65,62,31,57,0,0
2019-06-13,Canadian Championship,3043374,FC Edmonton,York 9 FC,0.40186915887850466,0.35514018691588783,0.24299065420560748,1,0,0,49,11,3,1,0,73,17,6,8,0,0,9,7,357,137,125,51,21,21,2,82,4,0,5,0,52,49,47,47,0,0,51,1,0,0,0,80,11,3,1,0,0,3,2,374,170,131,46,8,15,0,78,15,0,29,2,55,51,53,38,0,0
2019-07-10,Canadian Championship,3054906,HFX Wanderers FC,Ottawa Fury,0.5080645161290323,0.29838709677419356,0.1935483870967742,2,3,2,42,7,2,1,0,69,13,4,5,0,0,5,3,324,138,87,34,33,27,4,69,19,0,22,3,63,57,69,63,0,0,58,12,6,0,0,77,16,10,6,0,0,9,5,434,159,175,43,10,22,1,81,9,0,18,1,45,43,31,73,0,0
2019-07-10,Canadian Championship,3054907,York 9 FC,Montreal Impact,0.28164556962025317,0.4620253164556962,0.2563291139240506,2,2,1,50,12,2,3,2,81,11,3,10,0,1,8,7,537,291,143,35,17,31,2,57,12,0,14,2,57,55,48,71,0,0,50,9,4,2,0,82,14,4,5,0,1,6,5,527,194,237,52,18,21,1,60,7,0,25,0,50,45,52,92,0,0
2019-07-11,Canadian Championship,3054908,Cavalry FC,Vancouver Whitecaps,0.4646153846153846,0.3292307692307692,0.20615384615384616,0,0,1,45,6,2,0,0,77,13,8,4,0,0,3,4,334,196,62,45,11,15,1,88,9,0,15,3,26,45,36,33,0,0,55,8,3,2,2,78,11,2,5,0,0,4,5,431,205,132,44,22,25,2,64,5,0,32,2,34,55,64,57,0,0
2019-07-24,Canadian Championship,3054910,Montreal Impact,York 9 FC,0.6631578947368421,0.24561403508771928,0.0912280701754386,1,0,0,58,15,7,2,1,87,14,12,8,0,0,9,9,531,215,246,66,23,17,1,67,10,0,11,1,50,37,57,44,0,0,42,6,1,1,1,79,10,5,5,0,0,4,7,385,188,115,50,20,13,0,54,9,0,23,6,69,63,43,73,0,0
2019-07-24,Canadian Championship,3054909,Ottawa Fury,HFX Wanderers FC,0.6538461538461539,0.25,0.09615384615384616,2,2,1,63,8,4,1,0,80,11,3,4,0,1,8,3,534,181,246,41,20,15,2,59,12,0,14,2,71,58,39,57,0,0,37,10,4,5,3,68,17,3,6,0,0,13,1,305,103,104,47,27,15,2,78,13,0,24,2,67,42,61,37,0,0
2019-07-25,Canadian Championship,3054911,Vancouver Whitecaps,Cavalry FC,0.5447154471544715,0.2967479674796748,0.15853658536585366,1,2,2,68,14,3,3,3,85,10,6,11,0,0,13,5,567,218,265,67,32,23,0,56,9,0,5,1,67,52,68,47,0,0,32,5,3,1,1,69,16,4,2,0,0,5,1,271,111,76,27,30,7,2,65,8,0,32,2,50,48,33,50,0,0
2019-08-07,Canadian Championship,3129457,Montreal Impact,Cavalry FC,0.6171875,0.2265625,0.15625,2,1,0,63,15,9,3,1,86,14,6,6,0,0,11,8,576,240,253,50,26,25,0,75,8,0,12,0,44,50,52,30,0,0,37,5,1,2,1,76,12,2,4,0,0,5,1,336,193,62,45,14,12,1,50,10,0,13,7,43,50,48,38,0,0
2019-08-07,Canadian Championship,3129456,Ottawa Fury,Toronto FC,0.24664879356568364,0.39946380697050937,0.353887399463807,0,2,2,58,6,2,0,0,81,12,3,4,0,0,3,3,485,233,162,52,60,26,3,74,13,0,17,2,50,50,48,29,0,0,42,9,4,2,1,74,15,6,5,0,0,11,0,337,102,147,42,15,23,0,71,10,0,10,2,51,50,52,35,0,0
2019-08-14,Canadian Championship,3129459,Toronto FC,Ottawa Fury,0.7989130434782609,0.14673913043478262,0.05434782608695652,3,0,0,51,14,6,2,1,80,10,7,8,0,0,15,7,452,165,196,60,30,22,1,71,8,0,6,4,55,62,55,63,0,0,49,9,4,2,2,83,10,1,5,0,1,4,7,456,230,150,36,0,10,2,54,10,0,23,3,36,38,45,30,0,0
2019-08-15,Canadian Championship,3129460,Cavalry FC,Montreal Impact,0.38345864661654133,0.32706766917293234,0.2894736842105263,0,1,2,60,12,3,1,1,74,10,12,9,0,0,11,7,373,172,104,49,20,19,2,59,14,0,9,2,64,55,41,65,0,0,40,5,3,1,1,62,17,4,2,0,0,6,3,268,83,83,35,50,20,0,81,9,0,34,3,67,45,59,64,0,0
2019-09-18,Canadian Championship,3154817,Montreal Impact,Toronto FC,0.34232365145228216,0.3381742738589212,0.31950207468879666,1,0,0,40,10,4,1,1,83,9,5,4,2,0,3,7,383,150,168,60,29,19,3,54,15,0,19,4,47,55,45,53,0,0,60,9,4,0,0,86,8,6,2,3,0,3,6,575,237,260,40,25,24,2,77,10,0,10,3,40,45,55,29,0,0
2019-09-25,Canadian Championship,3154818,Toronto FC,Montreal Impact,0.6971608832807571,0.20504731861198738,0.09779179810725552,1,0,0,65,15,1,3,2,83,7,8,10,4,1,11,4,582,212,273,56,36,21,1,75,3,0,7,4,45,49,44,47,0,0,35,13,4,0,0,69,7,5,6,3,1,10,3,316,95,123,32,50,16,2,59,16,0,21,0,50,51,56,69,0,0
