match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-07-11,Champions League Qualification,4199681,Urartu FC,Zrinjski Mostar,0.4354919678714859,0.3073544176706827,0.2571536144578313,0,1,2,53,13,3,1,1,82,12,2,7,3,1,5,8,443,198,166,60,8,17,0,58,5,2,16,0,44,49,59,40,2,0,47,8,1,1,0,79,16,7,5,2,1,5,3,390,209,101,45,30,29,0,53,6,3,9,3,41,51,41,17,5,0
2023-07-11,Champions League Qualification,4199680,Hamrun Spartans,Maccabi Haifa,0.1850443599493029,0.2517955217574989,0.5631601182931981,0,4,2,42,19,4,2,2,79,7,4,8,7,2,10,9,380,169,133,42,29,13,1,61,10,1,14,3,62,60,45,40,2,0,58,10,7,3,0,86,17,4,1,2,0,7,3,548,225,249,66,15,14,0,69,6,7,19,4,48,40,55,38,0,0
2023-07-11,Champions League Qualification,4199673,Klaksvik,Ferencvaros,0.24769860211387656,0.2516195022161609,0.5006818956699625,0,0,1,31,7,1,1,1,54,14,5,3,3,1,6,1,243,60,71,26,17,26,0,50,14,3,34,2,63,43,40,21,2,0,69,11,2,1,1,79,7,3,6,3,0,6,5,552,199,237,58,15,35,3,69,5,3,24,1,90,57,60,52,3,0
2023-07-12,Champions League Qualification,4199683,FC Astana,Dinamo Tbilisi,0.53298640255162,0.2816854121201947,0.18532818532818532,1,1,1,50,15,5,3,2,87,9,6,7,3,1,9,6,444,162,224,42,14,26,2,50,8,1,6,4,43,52,64,29,0,0,50,10,5,2,1,85,9,1,4,1,1,4,6,457,210,177,39,17,14,0,76,7,3,30,4,37,48,36,47,1,0
2023-07-12,Champions League Qualification,4199679,FCV Farul Constanta,FC Sheriff,0.25486846600614965,0.24814941350643435,0.496982120487416,1,0,0,52,11,4,1,1,81,15,3,3,4,0,6,5,403,195,132,50,11,22,0,85,9,7,15,4,45,49,65,42,3,0,48,19,4,1,1,75,16,10,8,7,0,11,8,352,138,126,39,26,20,3,56,8,4,14,3,42,51,35,39,3,0
2023-07-12,Champions League Qualification,4199678,Slovan Bratislava,Swift Hesperange,0.5703527546571542,0.27705112960760997,0.15259611573523582,1,1,1,42,7,2,1,1,75,16,5,4,1,0,5,2,345,153,107,46,44,25,3,73,11,3,11,3,55,48,61,10,3,1,58,11,4,1,0,83,21,7,4,3,0,4,7,473,255,136,59,25,14,3,85,6,1,10,1,51,52,39,38,5,0
2023-07-18,Champions League Qualification,4199687,FK Struga,Zalgiris Vilnius,0.37708830548926014,0.3465734742584385,0.2763382202523014,1,2,2,44,17,5,2,1,71,16,1,8,4,0,9,8,322,72,158,25,22,22,0,81,7,2,17,4,52,49,40,56,2,0,56,18,5,2,2,76,11,4,11,2,0,14,4,417,153,164,54,38,21,1,72,11,4,20,4,61,51,60,31,0,0
2023-07-18,Champions League Qualification,4199695,Maccabi Haifa,Hamrun Spartans,0.6352253756260434,0.24707846410684475,0.11769616026711185,2,1,0,68,17,8,7,5,90,9,4,3,6,0,9,8,582,215,308,76,13,18,2,38,9,1,6,2,51,57,55,71,1,0,32,6,2,1,0,76,9,2,3,1,0,3,3,263,133,66,58,44,15,0,71,11,8,22,4,40,43,45,58,2,0
2023-07-19,Champions League Qualification,4199689,Valmiera FC,Olimpija Ljubljana,0.3359223300970874,0.3447680690399137,0.3193096008629989,1,2,2,54,13,8,0,0,79,8,0,4,1,0,5,8,478,235,143,36,17,22,2,79,8,2,20,5,44,43,46,35,0,0,46,21,7,3,2,79,7,5,12,2,0,12,9,399,141,173,53,33,27,0,65,8,1,13,7,57,57,54,60,1,0
2023-07-19,Champions League Qualification,4199688,Ferencvaros,Klaksvik,0.5465260545905707,0.30355665839536805,0.1499172870140612,0,3,2,74,22,3,1,1,84,11,12,14,5,0,14,8,550,140,322,66,23,22,4,74,2,0,10,4,64,52,56,61,3,0,26,9,7,3,0,53,7,3,2,0,0,7,2,202,44,63,30,67,17,0,55,11,5,40,3,56,48,44,35,0,0
