match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2021-07-11,CONCACAF Gold Cup Grp. A,3643375,Mexico,Trinidad and Tobago,0.8109176470588235,0.13524705882352941,0.05383529411764706,0,0,1,82,30,7,2,2,90,8,15,13,10,1,18,12,695,149,477,86,19,24,4,43,4,0,2,0,34,46,52,69,0,0,18,4,0,0,0,48,6,1,3,1,0,2,2,151,46,27,22,20,5,0,58,18,0,42,7,37,54,48,60,0,0
2021-07-11,CONCACAF Gold Cup Grp. B,3592649,Canada,Martinique,0.7391177329827636,0.17893660531697342,0.08194566170026293,4,1,0,65,14,5,4,1,89,22,6,7,2,0,10,4,596,250,283,75,24,14,1,55,21,0,11,1,44,45,61,50,0,0,35,5,2,0,0,73,16,2,2,1,0,3,2,314,158,71,40,25,14,0,77,15,0,19,1,48,55,39,100,0,0
2021-07-12,CONCACAF Gold Cup Grp. B,3643412,USA,Haiti,0.839225453961112,0.12236863249236703,0.03840591354652097,1,0,0,63,13,5,3,2,90,14,5,5,3,2,9,4,594,314,218,56,25,13,4,89,9,2,10,3,40,53,58,42,2,0,37,10,3,0,0,82,14,0,5,2,0,4,6,348,183,101,58,9,13,0,70,15,3,18,4,34,47,42,100,1,0
2021-07-12,CONCACAF Gold Cup Grp. A,3648662,El Salvador,Guatemala,0.6375798481378812,0.2590092804628179,0.10341087139930095,2,0,0,69,21,6,1,1,86,9,10,11,4,0,12,9,574,168,326,73,24,34,2,29,13,0,5,1,63,53,63,61,0,0,31,4,1,0,0,65,11,0,3,0,0,2,2,262,112,59,40,0,10,2,67,13,0,30,4,48,47,37,27,0,0
2021-07-12,CONCACAF Gold Cup Grp. C,3592646,Jamaica,Suriname,0.7446345707656613,0.1769141531322506,0.07845127610208817,2,0,0,47,7,6,1,1,82,15,3,1,0,0,2,5,381,198,116,58,10,20,2,55,8,3,22,3,38,44,48,63,1,0,53,10,3,1,1,84,12,5,4,3,0,4,6,423,213,143,52,7,17,1,36,10,0,15,4,46,56,52,60,3,0
2021-07-13,CONCACAF Gold Cup Grp. C,3643415,Costa Rica,Guadeloupe,0.7196917808219178,0.2095890410958904,0.07071917808219177,3,1,0,62,10,5,2,0,86,19,4,3,2,0,7,3,602,350,168,56,25,15,1,57,11,1,12,2,39,39,50,0,4,0,38,8,3,1,0,80,11,2,4,1,0,3,5,360,162,127,55,9,14,2,75,18,2,14,2,53,61,50,50,2,1
2021-07-14,CONCACAF Gold Cup Grp. D,3592653,Qatar,Panama,0.552361627775899,0.31090068763386314,0.13673768459023786,3,3,1,46,15,6,5,2,86,8,2,5,4,0,11,4,422,232,132,53,25,8,1,69,10,2,21,3,43,54,71,50,1,0,54,11,6,2,0,90,12,5,3,2,0,6,5,500,218,231,63,8,13,1,80,7,4,9,3,30,46,29,58,0,0
2021-07-14,CONCACAF Gold Cup Grp. D,3592654,Honduras,Grenada,0.7779390420899854,0.1643283341396549,0.05773262377035962,4,0,0,57,11,4,4,0,84,13,3,5,2,0,5,6,444,177,196,47,20,15,1,86,7,1,16,2,34,40,53,71,0,0,43,10,3,1,1,75,5,3,7,0,0,3,7,338,150,105,40,29,14,0,67,11,2,10,0,40,60,47,45,0,0
2021-07-14,CONCACAF Gold Cup Grp. A,3643376,Trinidad and Tobago,El Salvador,0.3270996827517115,0.4615127734179329,0.21138754383035566,0,2,2,41,9,2,0,0,73,15,4,4,3,0,5,4,326,137,102,40,14,16,1,86,11,0,14,6,50,51,40,58,0,0,59,19,8,4,3,84,24,4,5,6,0,9,10,477,173,227,61,8,13,2,56,20,0,25,2,54,49,60,69,0,0
2021-07-15,CONCACAF Gold Cup Grp. A,3648664,Guatemala,Mexico,0.25216337833160263,0.5254413291796469,0.22239529248875042,0,3,2,32,4,1,0,0,74,15,3,1,2,0,1,3,303,161,64,39,25,18,1,75,14,0,19,5,45,44,31,40,0,0,68,17,8,9,7,90,13,5,7,2,0,12,5,672,230,376,70,20,17,1,50,13,0,9,1,61,56,69,57,0,0
