match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2021-06-13,Copa America Zona Norte,3231644,Brazil,Venezuela,0.8131926401187762,0.13129010021740284,0.05551725966382099,3,0,0,62,18,7,9,6,89,11,9,9,2,0,14,4,550,194,296,67,20,18,2,42,16,0,6,1,55,55,52,58,0,0,38,3,1,0,0,82,14,4,2,0,0,2,1,336,168,109,60,13,10,1,47,10,2,19,4,46,45,48,58,0,0
2021-06-14,Copa America Zona Norte,3231643,Colombia,Ecuador,0.6949786324786325,0.2297008547008547,0.07532051282051282,1,0,0,41,5,2,1,0,78,19,1,3,0,0,5,0,343,182,85,49,43,10,2,75,16,0,20,2,63,47,53,58,0,0,59,8,2,0,0,83,16,9,6,0,0,2,6,467,205,183,60,15,25,1,77,5,0,5,1,67,53,47,58,0,0
2021-06-14,Copa America Zona Sur,3231628,Argentina,Chile,0.7850514858462864,0.14357307857953877,0.07137543557417486,1,1,1,49,18,5,4,4,81,14,7,8,5,0,12,6,349,125,158,45,24,21,2,69,13,0,13,3,57,63,58,67,2,0,51,5,4,3,2,80,19,1,1,0,0,5,0,381,171,134,40,14,19,7,71,5,5,23,4,36,37,42,40,3,0
2021-06-15,Copa America Zona Sur,3231630,Paraguay,Bolivia,0.6411983944954128,0.2694954128440367,0.08930619266055045,3,1,0,78,34,11,5,3,93,12,7,15,8,0,25,9,647,217,387,76,42,24,1,50,9,1,6,1,59,59,75,63,2,0,22,4,2,1,0,67,10,2,0,2,0,3,1,184,65,59,28,11,14,0,64,6,8,26,8,34,41,25,58,2,1
2021-06-17,Copa America Zona Norte,3231646,Colombia,Venezuela,0.7399609097370291,0.19856076759061833,0.06147832267235252,0,0,1,65,23,8,3,3,89,13,6,9,6,0,17,6,563,194,308,74,32,17,3,45,11,0,10,0,59,48,74,53,0,0,35,2,0,0,0,73,14,3,1,1,0,0,2,301,158,61,33,8,9,0,54,15,0,22,8,45,52,26,60,0,0
2021-06-18,Copa America Zona Norte,3231647,Brazil,Peru,0.7670407560543414,0.16739515652687537,0.06556408741878322,4,0,0,55,17,9,7,4,90,14,2,7,1,0,9,8,529,267,207,68,0,11,2,56,6,2,6,2,63,52,59,63,0,0,45,7,2,2,2,84,20,3,2,3,0,6,1,438,209,157,35,33,12,0,52,5,2,15,4,55,48,41,79,0,0
2021-06-18,Copa America Zona Sur,3231632,Chile,Bolivia,0.7032332563510393,0.23210161662817552,0.06466512702078522,1,0,0,62,18,11,4,3,89,6,6,4,3,0,14,4,660,294,293,63,29,14,1,56,15,0,10,3,37,53,44,60,0,0,38,10,3,1,1,84,7,2,4,3,0,4,6,413,141,206,60,10,16,2,44,12,0,24,10,36,47,56,55,0,0
2021-06-19,Copa America Zona Sur,3231631,Argentina,Uruguay,0.7017077045274027,0.1915011914217633,0.106791104050834,1,0,0,45,9,6,2,2,84,11,8,0,3,0,5,4,457,192,193,41,13,13,1,80,13,1,12,0,59,58,61,56,3,0,55,4,0,0,0,86,21,3,3,1,0,1,3,552,221,256,63,14,17,0,43,6,2,16,5,42,42,39,50,2,0
2021-06-20,Copa America Zona Norte,3231650,Venezuela,Ecuador,0.39400921658986177,0.391156462585034,0.21483432082510423,2,2,1,31,9,3,2,0,64,7,5,3,3,0,8,1,249,78,82,36,27,14,2,57,14,6,20,4,63,53,40,33,0,0,69,19,7,6,4,87,15,5,7,5,0,16,3,551,192,290,54,46,15,1,18,15,3,9,1,65,47,60,44,0,0
2021-06-21,Copa America Zona Norte,3231649,Colombia,Peru,0.6844746471510716,0.2429691583899634,0.07255619445896498,1,2,2,59,12,4,1,0,85,13,4,6,2,0,11,1,516,200,237,51,28,14,1,75,11,3,11,2,69,64,63,71,0,0,41,11,3,1,0,77,12,3,5,3,1,6,5,364,150,132,40,13,16,2,86,11,2,17,3,40,36,38,25,0,0
