match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2024-01-25,Copa de la Liga Profesional,4393555,Instituto,Deportivo Riestra,0.484304932735426,0.3524663677130045,0.16322869955156952,0,0,1,54,11,1,1,1,65,7,5,7,3,0,5,6,313,95,108,36,33,21,1,74,4,1,26,1,63,49,46,22,3,1,46,5,1,0,0,58,18,4,3,1,0,3,2,267,56,98,34,32,29,0,56,9,2,26,1,68,51,54,56,6,0
2024-01-25,Copa de la Liga Profesional,4393560,Tigre,Sarmiento,0.5496921723834652,0.3324538258575198,0.11785400175901495,0,0,1,54,14,3,0,0,80,6,8,6,5,0,5,9,420,145,190,53,15,16,1,62,10,4,22,3,72,65,57,61,0,0,46,12,3,1,1,73,20,7,5,4,0,8,4,364,153,111,49,43,18,2,40,10,5,32,3,43,35,43,38,4,0
2024-01-26,Copa de la Liga Profesional,4393556,Atletico Tucuman,Rosario Central,0.41289023162134947,0.34441087613293053,0.24269889224572003,1,1,1,56,14,6,1,0,75,10,5,6,2,0,6,8,387,159,131,47,36,24,1,62,12,2,13,3,61,48,55,40,3,0,44,12,4,2,1,67,10,5,6,2,0,6,6,302,92,110,25,43,27,4,65,9,2,26,5,60,52,45,57,3,0
2024-01-26,Copa de la Liga Profesional,4393563,Central Cordoba de Santiago,Newell's Old Boys,0.29265770423991727,0.3340227507755946,0.3733195449844881,0,1,2,41,7,1,1,1,70,14,2,5,1,1,1,6,296,133,73,38,10,20,0,50,8,2,22,2,40,40,22,38,3,0,59,11,3,1,0,79,14,5,5,3,0,8,3,408,156,168,31,17,22,2,69,10,1,16,1,68,60,78,62,4,0
2024-01-26,Copa de la Liga Profesional,4393562,Barracas Central,Velez Sarsfield,0.32727272727272727,0.39090909090909093,0.2818181818181818,1,1,1,47,11,5,3,3,79,11,2,3,3,0,6,5,380,184,115,45,20,25,0,53,15,4,17,2,55,51,77,53,1,0,53,9,3,1,1,79,12,8,2,4,0,5,4,428,190,148,34,14,27,1,61,12,3,14,4,46,49,23,25,3,0
2024-01-26,Copa de la Liga Profesional,4393558,Talleres,Gimnasia LP,0.52,0.3456,0.1344,0,1,2,62,21,5,2,2,79,5,11,13,3,1,14,7,428,173,164,54,38,25,4,68,8,0,16,1,65,58,61,70,2,0,38,7,1,0,0,66,8,2,6,0,0,3,4,274,83,97,32,10,27,2,65,7,3,27,5,45,42,39,47,2,1
2024-01-27,Copa de la Liga Profesional,4393557,Banfield,Huracan,0.3635135135135135,0.3635135135135135,0.27297297297297296,0,2,2,35,13,0,1,1,68,19,3,10,3,0,9,4,207,73,67,42,25,19,1,55,8,3,14,4,59,51,49,27,2,0,65,16,6,1,1,83,16,5,7,3,0,9,7,421,196,155,50,33,16,1,73,7,3,19,0,59,49,51,50,4,1
2024-01-27,Copa de la Liga Profesional,4393559,Independiente Rivadavia,Independiente,0.3075933075933076,0.3063063063063063,0.3861003861003861,0,1,2,46,9,3,0,0,70,13,5,2,4,0,4,5,294,89,117,43,28,34,1,46,10,4,13,5,52,56,50,50,3,0,54,20,6,6,5,76,14,5,10,4,1,14,6,350,135,131,47,37,24,1,54,8,4,24,3,45,44,50,33,4,0
2024-01-27,Copa de la Liga Profesional,4393564,San Lorenzo,Lanus,0.4753747323340471,0.35974304068522484,0.16488222698072805,0,2,2,47,9,2,0,0,78,16,5,5,2,0,5,4,322,119,133,49,26,19,1,58,3,1,15,4,54,52,60,53,1,0,53,11,6,1,1,84,13,4,4,1,0,8,3,374,157,158,56,23,18,2,58,6,2,20,2,46,48,40,45,2,0
2024-01-27,Copa de la Liga Profesional,4393561,Club Atletico Platense,Boca Juniors,0.12241521918941274,0.17038875103391232,0.707196029776675,0,0,1,43,8,1,1,1,70,13,3,5,2,0,7,1,334,144,91,42,25,9,1,84,8,1,26,3,55,45,52,59,2,0,57,8,3,2,2,78,12,2,4,1,0,4,4,451,197,154,46,0,28,1,53,11,1,16,1,63,55,48,69,3,0
