match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-11-12,Copa del Rey,4056499,CD Fuentes,Osasuna,0.18521483853749665,0.2908993861756072,0.5238857752868962,1,4,2,35,8,3,0,0,61,9,4,2,3,0,5,3,274,93,74,39,17,24,3,56,16,1,48,5,46,48,46,33,0,0,65,18,9,3,2,74,14,10,8,1,0,12,6,489,174,189,53,39,40,3,67,9,3,13,2,51,52,54,43,0,0
2022-11-12,Copa del Rey,4056500,UD Barbadas,Real Valladolid,0.19921875,0.2767857142857143,0.5239955357142857,0,2,2,31,6,0,0,0,57,19,1,3,3,0,4,2,229,64,66,37,31,22,2,56,11,4,22,4,34,43,67,50,0,0,69,16,5,1,1,83,11,6,7,4,0,10,6,516,201,227,63,27,24,1,55,11,3,19,0,37,57,33,50,0,0
2022-11-12,Copa del Rey,4056514,CD Autol,Mallorca,0.16877828054298644,0.24479638009049773,0.5864253393665159,0,6,2,30,4,2,0,0,73,6,0,2,0,0,1,3,276,159,43,27,33,20,0,48,15,4,16,5,36,52,25,18,0,0,70,26,12,10,4,88,10,9,11,3,2,22,4,609,276,259,65,62,22,7,45,4,0,1,2,37,48,75,45,0,0
2022-11-12,Copa del Rey,4056513,CD L'Alcora,Elche,0.22511574074074073,0.2638888888888889,0.5109953703703703,0,3,2,41,7,2,1,1,76,13,6,3,2,0,7,0,362,196,80,29,31,22,2,55,10,2,11,2,39,52,60,50,3,0,59,9,5,3,0,89,12,2,2,2,0,5,4,538,304,173,77,20,24,6,54,17,2,14,2,35,48,40,37,1,0
2022-11-12,Copa del Rey,4056519,CD Rincon,Espanyol,0.21769815418023888,0.24484256243213898,0.5374592833876222,0,3,2,33,0,0,0,0,76,9,0,0,0,0,0,0,308,211,22,34,50,15,1,47,8,4,20,7,38,59,23,29,0,0,67,19,10,1,0,92,13,8,5,4,1,10,9,613,144,417,67,34,17,4,75,2,0,4,0,40,41,77,20,0,0
2022-11-12,Copa del Rey,4056518,Santa Amalia,Villarreal,0.16446762810678123,0.21571034059527464,0.6198220312979441,0,9,2,25,5,1,0,0,73,13,2,4,0,0,2,3,204,104,45,37,9,9,0,56,13,2,14,6,43,53,40,0,0,0,75,29,15,8,5,92,15,5,11,3,1,23,6,640,278,311,89,63,15,2,85,5,0,8,1,40,47,60,38,0,0
2022-11-12,Copa del Rey,4056520,SD Almazan,Atletico Madrid,0.20208083233293317,0.1332533013205282,0.6646658663465386,0,2,2,19,4,1,0,0,67,8,3,2,1,0,0,4,171,71,44,40,0,15,0,76,9,8,35,4,36,58,13,46,3,0,81,26,6,3,1,92,12,14,12,8,1,17,9,709,175,478,78,27,16,4,77,7,1,4,1,38,42,87,31,1,0
2022-11-13,Copa del Rey,4056522,CFJ Mollerussa,Rayo Vallecano,0.17867603983596952,0.26420620972466313,0.5571177504393673,1,3,2,28,6,2,1,0,61,18,2,3,1,0,1,5,218,70,62,30,14,23,2,64,9,4,17,1,41,52,17,50,0,0,72,17,4,3,2,87,13,3,9,4,0,10,7,569,278,215,65,27,30,0,82,8,1,7,1,42,48,83,32,0,0
2022-11-13,Copa del Rey,4056523,Quintanar Rey,Girona,0.17459016393442622,0.2565573770491803,0.5688524590163935,1,2,2,35,21,9,1,0,59,16,8,9,3,1,9,12,317,79,109,41,13,29,3,73,16,6,31,10,68,52,47,27,0,0,65,23,12,5,5,81,21,8,5,6,1,15,8,595,231,251,50,33,20,2,83,7,3,35,8,68,48,53,50,0,0
2022-11-13,Copa del Rey,4056540,CD Algar,Celta Vigo,0.19904204364023417,0.2613092070250133,0.5396487493347525,1,6,2,21,2,1,1,0,46,11,2,1,0,0,1,1,162,50,24,32,0,21,1,60,9,6,22,4,41,55,29,25,0,0,79,27,10,7,2,87,8,9,11,6,0,18,9,586,199,312,76,43,16,5,57,9,0,1,0,45,45,71,33,0,0
