match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-02-09,Copa Libertadores Qualification,3787007,Montevideo City Torque,Barcelona SC,0.23556280587275694,0.22773246329526917,0.5367047308319739,1,1,1,68,11,1,2,1,85,14,2,9,1,0,6,5,554,267,202,59,15,20,1,68,6,3,13,4,62,61,54,64,0,0,32,12,5,2,1,73,14,2,4,3,1,6,6,257,114,74,44,22,27,2,78,14,1,25,0,43,39,46,28,0,0
2022-02-09,Copa Libertadores Qualification,3787009,Deportivo Lara,Bolivar,0.32465116279069767,0.28930232558139535,0.386046511627907,2,3,2,56,17,8,3,2,85,9,6,6,3,0,12,5,441,189,185,67,21,23,4,53,9,2,13,6,55,55,35,57,0,0,44,16,9,3,3,81,14,3,5,2,0,8,8,345,146,135,47,33,18,1,63,13,3,19,6,53,45,65,28,0,0
2022-02-10,Copa Libertadores Qualification,3787011,Universidad Cesar Vallejo,Olimpia,0.29747530186608123,0.2535675082327113,0.4489571899012075,0,1,2,60,9,4,1,1,81,13,4,5,0,1,6,3,511,262,151,49,21,18,0,60,17,3,17,4,68,59,57,53,0,0,40,19,5,3,2,72,20,3,11,3,0,6,13,346,120,128,35,22,23,2,67,12,0,14,4,49,41,43,56,0,0
2022-02-16,Copa Libertadores Qualification,3787019,Barcelona SC,Montevideo City Torque,0.6735057983942908,0.21454058876003568,0.11195361284567351,0,0,1,60,22,3,2,2,83,20,11,13,6,0,13,9,456,154,225,65,22,24,2,50,8,2,12,4,63,45,51,51,0,0,40,8,4,1,1,71,9,3,2,2,0,5,3,311,152,68,41,23,14,1,61,13,6,20,3,73,55,49,75,0,0
2022-02-16,Copa Libertadores Qualification,3787008,Bolivar,Deportivo Lara,0.5909592061742006,0.2723263506063947,0.13671444321940462,4,0,0,57,25,11,9,5,83,19,11,9,5,0,18,7,391,124,199,67,30,23,2,64,10,1,9,0,47,51,55,48,0,0,43,3,0,0,0,77,12,0,1,2,0,0,3,313,176,64,33,0,23,0,64,10,4,25,7,45,49,45,59,0,0
2022-02-17,Copa Libertadores Qualification,3787010,Olimpia,Universidad Cesar Vallejo,0.6032432432432432,0.2616216216216216,0.13513513513513514,2,0,0,40,33,11,7,5,76,18,5,12,10,0,23,10,335,111,144,59,44,13,5,72,6,3,13,1,62,49,74,91,0,0,60,6,1,0,0,86,10,3,2,3,0,2,4,523,290,162,51,11,16,1,88,13,11,23,8,47,51,26,71,0,0
2022-02-22,Copa Libertadores Qualification,3787017,Everton CD,Monagas SC,0.7478260869565218,0.2,0.05217391304347826,3,0,0,50,17,11,4,3,79,13,4,4,2,1,11,6,469,199,171,37,36,20,1,55,22,4,15,0,57,58,48,39,0,0,50,10,0,0,0,81,19,4,6,4,0,1,9,459,156,214,50,13,19,1,78,10,2,14,8,46,43,52,31,0,0
2022-02-23,Copa Libertadores Qualification,3789247,Millonarios,Fluminense,0.3544366899302094,0.25623130608175476,0.3893320039880359,1,2,2,40,6,3,1,1,79,14,2,2,1,0,3,3,359,135,148,38,25,19,0,50,5,0,13,6,28,40,13,39,0,0,60,14,8,4,2,88,12,6,6,0,0,9,5,525,259,202,68,0,14,4,87,10,1,13,2,53,60,88,63,0,0
2022-02-23,Copa Libertadores Qualification,3787015,Plaza Colonia,The Strongest,0.3640982218458933,0.2938187976291279,0.3420829805249788,2,0,0,62,25,10,5,3,87,9,8,11,4,0,14,11,512,192,252,58,25,21,1,45,3,1,6,1,43,48,53,50,0,0,38,9,1,0,0,77,19,3,7,1,0,5,4,325,178,71,28,50,12,1,60,6,4,28,8,45,52,47,58,0,0
2022-02-23,Copa Libertadores Qualification,3787006,America MG,Guarani,0.5731382978723404,0.3038563829787234,0.12300531914893617,0,1,2,72,24,6,1,1,83,10,12,13,5,1,13,11,465,149,237,67,23,26,1,67,8,0,9,2,65,62,51,62,0,0,28,5,3,0,0,55,17,0,2,0,1,3,2,195,54,53,31,50,16,1,75,14,5,47,6,47,38,49,50,0,0
2022-02-23,Copa Libertadores Qualification,3787254,Bolivar,Universidad Catolica,0.5170660856935366,0.30137981118373275,0.18155410312273057,1,1,1,65,23,5,4,4,79,6,6,15,3,0,11,12,466,165,202,57,26,33,2,36,13,0,11,3,49,56,38,60,0,0,35,11,4,1,0,63,12,5,7,0,0,6,5,253,79,81,33,25,25,5,60,14,2,27,4,46,44,63,43,0,0
2022-02-24,Copa Libertadores Qualification,3787013,Audax Italiano,Estudiantes,0.2777777777777778,0.3001543209876543,0.4220679012345679,1,0,0,50,9,2,1,1,72,22,4,5,2,0,2,7,363,153,110,44,13,18,3,78,7,4,15,3,52,44,39,52,0,0,50,17,3,4,4,76,13,3,10,4,1,10,7,357,123,148,54,29,19,3,48,10,2,11,1,70,56,61,67,0,0
2022-02-24,Copa Libertadores Qualification,3787252,Barcelona SC,Universitario de Deportes,0.5739979445015416,0.23484069886947584,0.19116135662898254,2,0,0,65,26,6,2,0,84,7,9,13,7,0,11,15,522,166,273,51,28,19,1,69,19,1,10,1,46,43,50,30,0,0,35,6,1,1,1,69,10,1,4,1,0,2,4,284,90,105,34,10,26,4,73,14,6,28,4,56,57,50,47,0,0
2022-02-25,Copa Libertadores Qualification,3787250,Olimpia,Atletico Nacional,0.42549261083743845,0.2524630541871921,0.32204433497536944,3,1,0,42,15,5,2,1,80,13,3,7,3,0,8,7,355,116,168,48,35,10,2,39,15,1,15,4,45,40,59,28,0,0,58,16,5,7,6,84,7,2,9,2,1,11,5,504,239,184,66,19,18,3,55,10,3,20,2,54,60,41,56,0,0
2022-03-01,Copa Libertadores Qualification,3787016,Monagas SC,Everton CD,0.6973684210526315,0.2631578947368421,0.039473684210526314,1,0,0,50,18,4,1,1,79,17,5,9,5,0,8,10,443,143,207,51,17,24,0,61,12,2,20,1,56,46,38,53,0,0,50,5,1,0,0,79,14,0,2,2,1,4,1,448,169,186,47,6,20,3,65,12,5,27,3,73,54,62,70,0,0
