match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2024-03-05,Copa Sudamericana Qualification,4385106,Real Tomayapo,Jorge Wilstermann,0.4182242990654206,0.2967289719626168,0.2850467289719626,0,0,1,50,11,2,1,1,82,14,5,6,3,1,2,9,430,173,180,39,5,14,0,54,8,5,15,3,36,43,40,53,1,0,50,17,3,1,1,83,7,4,8,6,0,10,7,436,174,188,50,30,18,1,50,12,3,26,2,49,57,60,59,1,0
2024-03-05,Copa Sudamericana Qualification,4385110,Universidad Catolica,Coquimbo Unido,0.6511627906976745,0.23255813953488372,0.11627906976744186,0,2,2,68,1,0,0,0,84,7,5,0,1,0,0,1,496,263,154,49,5,18,2,62,10,5,25,2,46,50,47,64,2,0,32,14,3,3,2,63,12,6,6,5,2,9,5,230,49,95,45,20,29,3,75,6,1,22,0,48,50,53,36,2,0
2024-03-06,Copa Sudamericana Qualification,4385120,Carabobo FC,Metropolitanos FC,0.551948051948052,0.3203463203463203,0.1277056277056277,1,1,1,69,12,3,1,0,84,7,8,5,4,0,5,7,489,223,186,48,21,24,7,58,9,4,9,0,55,56,59,50,2,0,31,8,1,1,0,61,16,4,3,4,0,6,2,219,69,65,40,20,23,2,36,8,4,25,2,41,44,41,50,1,1
2024-03-06,Copa Sudamericana Qualification,4385114,Deportivo Garcilaso,Asociacion Deportiva Tarma,0.40480961923847697,0.31462925851703405,0.280561122244489,0,0,1,42,16,0,4,4,65,11,4,13,3,0,7,9,256,69,97,37,25,20,1,50,15,6,22,8,58,54,54,33,2,0,58,20,8,1,1,77,14,3,6,6,0,7,13,372,120,168,55,14,18,1,87,5,3,24,0,49,46,46,33,4,0
2024-03-06,Copa Sudamericana Qualification,4385111,Tolima,Independiente Medellin,0.5826446280991735,0.2396694214876033,0.17768595041322313,0,0,1,51,13,2,2,2,80,9,7,8,3,0,7,6,405,175,147,36,26,23,4,50,5,3,15,1,56,57,40,54,1,0,49,13,1,1,1,75,20,4,9,3,0,7,6,392,158,136,46,22,12,0,59,8,3,19,2,53,43,60,50,1,0
2024-03-06,Copa Sudamericana Qualification,4385107,Everton CD,Union La Calera,0.4189473684210526,0.35789473684210527,0.2231578947368421,0,1,2,63,15,1,0,0,72,14,10,6,8,0,7,8,424,159,147,54,15,36,1,25,7,4,17,1,55,41,49,32,2,0,37,10,3,1,1,55,16,3,4,3,1,5,5,258,55,86,23,9,22,1,61,27,8,37,1,71,59,51,33,4,0
2024-03-06,Copa Sudamericana Qualification,4385109,Universitario de Vinto,Nacional Potosi,0.3743718592964824,0.3417085427135678,0.28391959798994976,0,2,2,62,17,6,1,1,79,9,9,4,7,1,10,7,400,156,158,57,30,23,3,64,5,0,4,0,53,55,51,42,0,0,38,6,2,3,1,68,20,4,3,1,0,5,1,253,102,71,38,44,16,1,57,7,6,32,6,46,45,49,42,2,1
2024-03-07,Copa Sudamericana Qualification,4385108,Deportivo Cuenca,Delfin,0.49311926605504586,0.31422018348623854,0.1926605504587156,2,5,2,74,21,4,4,2,87,10,4,12,5,0,12,9,496,164,266,55,31,24,0,53,9,2,14,3,58,51,70,44,2,0,26,14,7,3,0,56,13,4,5,2,0,9,5,177,32,67,36,27,21,0,62,7,4,31,2,45,49,30,47,4,0
2024-03-07,Copa Sudamericana Qualification,4385113,Guarani,Luqueno,0.546875,0.3359375,0.1171875,0,1,2,50,8,3,0,0,71,12,4,4,1,0,2,6,326,114,116,46,24,24,1,69,13,4,35,2,60,61,47,67,3,0,50,8,3,1,0,68,13,5,1,4,0,5,3,329,87,136,42,15,25,2,75,11,1,20,3,51,39,53,44,2,0
2024-03-07,Copa Sudamericana Qualification,4385115,Montevideo Wanderers,Danubio,0.4041916167664671,0.3772455089820359,0.218562874251497,0,1,2,70,17,6,0,0,84,11,2,7,4,0,10,7,608,258,255,40,30,25,1,71,5,1,18,1,40,42,45,31,3,0,30,8,2,0,0,66,12,1,5,1,0,2,6,256,99,70,36,0,16,1,64,7,4,40,6,54,58,55,53,1,0
