match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-08-11,Coppa Italia,4274680,Frosinone,Pisa,0.5093651582960385,0.3752693518978949,0.11536548980606663,1,0,0,45,8,5,3,3,78,8,3,2,1,0,6,2,412,207,113,37,14,19,1,60,8,3,9,0,57,56,43,56,2,0,55,12,0,2,2,82,18,6,9,3,0,6,6,504,260,155,45,17,17,1,70,8,1,15,5,52,44,57,38,2,0
2023-08-11,Coppa Italia,4274677,Udinese,Catanzaro,0.5580034851879512,0.335698282300224,0.10629823251182474,4,1,0,42,17,8,3,0,84,15,3,7,2,0,12,5,387,191,133,57,25,17,2,62,5,2,8,2,39,45,85,35,1,0,58,6,3,0,0,86,10,1,1,2,0,1,5,551,311,164,36,0,17,2,67,7,2,16,5,36,55,15,40,0,0
2023-08-11,Coppa Italia,4274681,Genoa,Modena,0.5614623000761615,0.34424980959634427,0.0942878903274943,4,3,0,51,18,9,3,1,83,11,8,4,5,0,16,2,449,191,180,54,41,18,2,65,10,0,6,1,53,67,48,64,2,0,49,5,4,2,0,83,15,1,1,0,0,5,0,450,262,110,47,17,17,1,71,12,5,27,5,33,33,52,31,4,0
2023-08-11,Coppa Italia,4274676,Bologna,Cesena,0.5864329676210864,0.3227187583623227,0.09084827401659085,2,0,0,68,14,5,3,2,90,13,0,6,3,0,8,6,852,373,393,65,33,10,0,61,8,3,9,0,47,49,36,65,0,0,32,7,0,0,0,80,8,4,3,4,0,3,4,388,198,113,54,13,11,3,39,16,4,8,2,51,51,64,65,1,0
2023-08-12,Coppa Italia,4274682,Empoli,Cittadella,0.5344686089454247,0.37033237587197376,0.09519901518260156,1,2,2,59,9,4,1,0,85,12,2,3,2,0,7,2,465,279,117,52,20,26,2,75,10,9,21,2,47,46,58,35,3,0,41,21,4,1,1,77,17,5,6,11,0,15,6,309,92,147,45,33,19,1,71,5,2,9,3,49,54,42,57,3,0
2023-08-12,Coppa Italia,4274683,Bari,Parma Calcio 1913,0.3089162413689583,0.38126688682077453,0.3098168718102672,0,3,2,55,9,2,1,1,82,12,8,7,0,1,7,2,477,228,163,61,29,28,2,58,3,3,10,1,38,43,33,64,3,0,45,14,4,2,0,80,11,4,7,3,1,8,6,410,177,152,38,44,21,0,43,3,0,25,2,55,57,67,81,2,0
2023-08-12,Coppa Italia,4274684,Hellas Verona,Ascoli,0.5761092150170648,0.336518771331058,0.08737201365187713,3,1,0,55,16,8,3,0,80,17,2,5,3,0,6,10,442,213,141,43,27,24,0,79,11,2,13,3,56,45,44,50,0,0,45,17,4,2,1,74,16,3,10,3,0,12,5,355,152,111,44,42,23,1,73,8,2,11,5,70,55,56,56,2,0
2023-08-12,Coppa Italia,4274685,Cagliari,Palermo,0.5198683877499367,0.32067830928878766,0.15945330296127563,2,1,0,51,18,6,2,1,83,16,8,8,4,1,17,1,545,192,260,55,33,30,2,55,2,6,28,5,50,47,41,42,2,0,49,19,6,3,3,82,19,12,7,6,0,13,6,546,268,182,54,29,19,1,62,6,4,35,4,60,53,59,42,2,0
2023-08-13,Coppa Italia,4274686,Salernitana,Ternana,0.5715586307356154,0.3394027676620539,0.08903860160233067,1,0,0,60,8,3,0,0,89,12,3,4,1,0,4,4,625,249,305,59,11,13,1,75,12,3,7,0,47,56,57,63,2,0,40,7,0,0,0,79,16,0,4,3,1,4,3,417,195,136,44,50,18,3,71,5,1,11,2,37,44,43,42,2,0
2023-08-13,Coppa Italia,4274687,Cosenza,Sassuolo,0.17795801526717558,0.34685114503816794,0.4751908396946565,2,5,2,37,9,2,2,1,74,18,3,6,1,1,6,3,411,185,119,37,29,27,2,59,10,5,23,6,50,42,36,58,2,1,63,21,11,6,1,87,11,12,4,6,0,19,2,701,305,302,51,42,23,0,45,10,1,16,0,73,58,64,61,6,0
