match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2020-08-28,Eerste Divisie,3377969,Jong FC Utrecht,FC Eindhoven,0.3883984867591425,0.46027742749054223,0.15132408575031525,1,2,2,63,17,4,4,3,81,17,4,10,3,1,15,2,439,201,154,59,35,27,1,69,9,0,17,4,68,58,36,88,0,0,37,14,6,3,1,69,18,4,3,5,0,10,4,252,94,79,45,29,30,0,64,18,0,18,3,60,42,64,52,0,0
2020-08-28,Eerste Divisie,3377984,Cambuur,NEC Nijmegen,0.4756258234519104,0.4077733860342556,0.116600790513834,2,0,0,56,15,3,3,2,84,11,11,8,4,0,9,6,453,200,181,62,28,20,6,78,9,9,12,2,49,51,47,33,0,0,44,15,2,0,0,78,10,6,3,10,0,6,9,352,181,92,64,29,25,2,56,7,4,25,1,48,49,53,56,1,0
2020-08-29,Eerste Divisie,3377983,Jong PSV,Excelsior,0.3275217932752179,0.4657534246575342,0.20672478206724781,1,6,2,58,9,2,1,1,80,7,4,2,5,0,4,5,483,238,150,41,45,28,1,73,13,3,15,5,40,59,43,58,2,0,42,19,10,3,1,77,12,7,5,4,0,13,6,325,142,107,55,34,27,0,38,16,4,13,1,32,41,57,56,2,0
2020-08-30,Eerste Divisie,3377979,Jong Ajax,Roda JC Kerkrade,0.5313807531380753,0.37099023709902373,0.09762900976290098,0,4,2,65,10,3,1,1,85,13,3,4,3,0,4,6,597,276,233,51,40,28,2,56,13,3,21,3,35,43,43,83,1,0,35,16,8,4,2,70,13,8,6,2,0,8,8,310,123,93,38,15,30,0,75,16,3,14,3,47,57,57,75,1,0
2020-08-30,Eerste Divisie,3377978,FC Dordrecht,Go Ahead Eagles,0.28703703703703703,0.46111111111111114,0.2518518518518518,0,0,1,38,5,0,0,0,62,22,1,2,3,0,1,4,282,90,85,32,15,28,4,90,13,7,25,4,59,43,49,57,3,0,62,15,4,0,0,73,15,5,4,7,0,10,5,457,199,136,53,26,31,4,53,11,3,10,0,70,57,51,50,2,0
2020-08-30,Eerste Divisie,3377977,Almere City FC,MVV Maastricht,0.4864864864864865,0.3945945945945946,0.11891891891891893,0,0,1,66,15,4,3,3,83,15,4,9,2,0,7,8,514,229,199,56,22,32,0,77,11,2,6,5,55,56,52,52,1,0,34,15,5,1,1,67,18,1,8,2,0,5,10,278,91,96,38,10,19,0,82,13,2,32,4,46,44,48,29,2,0
2020-08-31,Eerste Divisie,3377976,De Graafschap,FC Den Bosch,0.5342368045649073,0.3566333808844508,0.10912981455064194,4,2,0,58,14,6,2,2,83,9,3,6,2,1,11,3,558,277,188,57,35,15,3,71,5,0,19,4,48,54,40,73,1,0,42,8,5,0,0,74,9,2,3,0,1,3,5,390,144,143,53,11,24,1,50,4,2,20,2,50,46,60,80,3,0
2020-09-05,Eerste Divisie,3377974,MVV Maastricht,Cambuur,0.23734729493891799,0.47643979057591623,0.2862129144851658,1,7,2,37,11,2,2,1,68,16,3,5,4,0,6,5,265,92,87,36,20,26,1,64,10,3,21,5,46,44,43,36,2,0,63,18,12,4,2,83,7,9,3,3,0,11,7,451,210,165,67,23,22,4,76,10,4,8,1,59,56,57,44,2,0
2020-09-06,Eerste Divisie,3377972,Excelsior,Almere City FC,0.565377532228361,0.3443830570902394,0.09023941068139964,4,6,2,46,19,11,5,3,81,12,7,5,3,0,15,4,323,133,129,53,21,22,1,69,3,4,28,3,52,51,60,68,1,0,54,20,9,4,1,84,12,8,7,4,1,15,5,409,155,189,58,38,21,0,69,5,4,29,6,46,49,40,63,3,0
2020-09-06,Eerste Divisie,3377970,FC Den Bosch,FC Dordrecht,0.4374295377677565,0.4509582863585118,0.11161217587373168,2,1,0,67,20,5,1,0,85,12,13,10,5,1,10,10,525,181,266,69,16,23,2,71,9,1,11,3,79,58,52,74,1,0,33,10,4,0,0,74,18,3,5,1,1,6,4,268,108,89,52,33,22,1,55,18,5,30,3,60,42,48,55,4,0
