match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2021-06-11,EURO Grp. A,3230637,Türkiye,Italy,0.27054451246780886,0.3890233935263004,0.3404320940058908,0,3,2,37,3,0,1,1,78,10,2,1,2,0,3,0,360,205,77,36,25,12,2,55,17,5,26,6,36,50,52,75,2,0,63,24,8,2,0,87,8,8,11,5,0,15,9,616,212,324,48,24,33,4,80,13,2,4,0,35,50,48,67,0,0
2021-06-12,EURO Grp. A,3230638,Wales,Switzerland,0.45534746943197646,0.3103234793375638,0.2343290512304597,1,1,1,36,9,2,0,0,82,6,4,1,6,0,7,2,283,121,111,55,28,11,0,43,9,6,28,3,35,44,47,40,1,0,64,18,4,4,3,88,9,12,7,7,0,12,6,519,256,202,53,36,17,4,73,6,6,10,1,42,56,53,67,2,0
2021-06-12,EURO Grp. B,3230643,Denmark,Finland,0.7867364374199061,0.15299729460344583,0.06026626797664816,0,1,2,70,22,6,1,1,85,11,9,10,6,0,14,8,633,173,367,49,18,18,0,40,8,0,5,0,51,47,60,30,0,0,30,1,1,1,0,68,12,0,0,0,0,1,0,283,134,58,29,17,19,1,41,22,6,33,6,45,53,40,40,2,0
2021-06-12,EURO Grp. B,3230644,Belgium,Russia,0.8293282359366466,0.11783178590933915,0.0528399781540142,3,0,0,66,9,4,3,0,90,9,2,3,2,0,6,3,721,382,265,54,0,28,0,88,9,1,14,1,47,45,69,48,0,0,34,5,1,0,0,74,11,4,3,1,0,2,3,354,162,101,37,19,20,4,74,7,2,16,1,43,55,31,57,0,0
2021-06-13,EURO Grp. D,3230655,England,Croatia,0.7502461817690332,0.16043327991349848,0.08932053831746829,1,0,0,50,8,2,2,1,84,9,1,4,2,0,4,4,453,218,163,33,20,14,2,27,11,1,7,2,36,44,52,40,1,0,50,8,2,0,0,84,10,1,5,1,0,4,4,457,224,160,51,17,21,2,39,3,2,10,1,42,56,48,67,3,0
2021-06-13,EURO Grp. C,3230650,Austria,North Macedonia,0.7064783788096378,0.20388543162597733,0.08963618956438488,3,1,0,63,10,6,5,2,84,13,4,2,2,0,7,3,556,223,243,62,33,29,1,72,8,2,6,1,57,48,56,30,1,0,37,7,2,1,0,72,16,0,3,2,0,5,2,333,140,101,47,25,28,0,50,8,1,19,3,57,52,44,54,2,0
2021-06-13,EURO Grp. C,3230649,Netherlands,Ukraine,0.7921307081086256,0.14730191147844401,0.0605673804129304,3,2,0,62,15,7,3,2,90,8,5,4,4,0,8,7,661,227,366,54,29,21,2,60,6,1,8,3,41,42,56,48,0,0,38,7,5,1,0,82,8,1,1,1,0,3,4,414,206,133,51,43,10,1,43,14,4,21,4,51,58,44,70,1,0
2021-06-14,EURO Grp. D,3230656,Scotland,Czechia,0.6220406983048397,0.24968373875013555,0.12827556294502476,0,2,2,58,19,4,2,2,76,6,6,4,11,1,14,5,471,203,155,41,37,26,1,56,12,0,10,5,62,53,56,75,0,0,42,10,7,2,2,69,6,6,3,0,0,7,3,348,112,129,31,37,30,2,43,12,11,30,5,52,47,44,64,0,0
2021-06-14,EURO Grp. E,3230662,Poland,Slovakia,0.7746943312337903,0.16569099666543163,0.05961467210077807,1,2,2,57,17,3,1,0,86,15,5,10,4,0,8,9,532,177,280,74,26,25,0,27,6,5,7,1,51,50,53,60,0,1,43,11,2,0,0,82,13,2,4,5,0,5,6,410,216,119,43,50,14,1,60,19,3,31,2,49,50,47,47,1,0
2021-06-14,EURO Grp. E,3230661,Spain,Sweden,0.7702550156498538,0.16001334085894608,0.06973164349120016,0,0,1,85,17,5,5,5,90,7,6,8,4,0,11,6,917,262,567,86,24,17,2,58,3,2,6,0,45,67,55,67,0,0,15,4,1,2,2,55,11,1,2,1,0,2,2,162,57,32,20,0,16,1,40,21,4,37,5,27,33,45,38,1,0
