match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-08-04,Europa League Qualification,3960306,Linfield,FC Zürich,0.30951968094329807,0.27969481532859375,0.4107855037281082,0,2,2,48,4,2,1,1,74,11,7,2,0,0,4,0,396,179,113,48,17,29,2,46,12,2,11,1,55,51,39,60,4,0,52,9,3,2,0,74,17,0,4,2,0,6,3,447,179,150,42,25,19,3,71,8,0,30,2,64,49,61,53,2,0
2022-08-11,Europa League Qualification,3960313,FC Zürich,Linfield,0.5438326668717318,0.3206705629037219,0.1354967702245463,3,0,0,62,14,6,5,3,85,14,4,5,3,0,11,3,553,256,213,62,47,26,2,79,4,0,9,3,36,57,38,50,2,0,38,5,3,1,1,77,9,4,2,0,0,4,1,325,144,107,45,29,22,1,50,8,3,14,3,31,43,62,38,3,0
2022-08-18,Europa League Qualification,3983999,FC Zürich,Hearts,0.458174719375305,0.2838457784285017,0.25797950219619326,2,1,0,46,18,6,4,3,79,13,7,7,5,0,12,6,399,170,146,49,44,23,4,71,9,2,8,1,44,45,42,36,2,0,54,6,2,1,0,82,12,0,2,2,0,4,2,469,269,116,42,0,18,3,74,14,5,18,4,56,55,58,55,2,0
2022-08-18,Europa League Qualification,3983998,Austria Wien,Fenerbahçe,0.23210517773088785,0.25799383217010224,0.5099009900990099,0,2,2,38,10,2,0,0,71,10,6,4,4,0,6,4,291,115,93,43,14,27,3,55,14,3,12,1,34,55,50,0,1,1,62,10,3,2,0,83,10,3,4,3,0,6,4,485,202,199,52,23,26,1,45,14,4,11,2,29,45,50,26,2,0
2022-08-25,Europa League Qualification,3984004,Fenerbahçe,Austria Wien,0.6214308292066167,0.2705721209566958,0.10799704983668738,4,1,0,65,17,9,1,0,87,7,6,6,2,0,9,8,554,296,185,70,28,20,2,55,13,1,13,1,32,57,54,38,0,0,35,6,2,0,0,70,12,0,3,1,0,3,3,301,128,83,43,0,23,8,55,10,2,18,4,25,43,46,50,2,0
2022-08-25,Europa League Qualification,3984005,Hearts,FC Zürich,0.44566765962958166,0.28558476881233,0.2687475715580883,0,1,2,57,14,4,1,1,82,12,7,3,7,0,8,6,524,255,173,51,23,24,4,75,7,1,7,3,43,53,44,44,2,1,43,11,4,2,1,78,12,3,5,2,1,4,7,395,166,141,50,11,18,3,75,10,7,20,4,43,47,56,46,2,0
2022-09-08,Europa League Grp. B,4010293,AEK Larnaca,Rennes,0.21780712038008268,0.3097427037699759,0.47245017584994137,1,2,2,48,7,2,1,0,79,12,3,4,1,0,4,3,417,201,130,56,33,20,0,38,10,3,21,6,41,44,60,20,1,0,52,18,8,1,1,85,14,9,6,4,1,10,8,439,182,191,60,21,19,3,77,10,1,15,1,41,56,40,44,1,0
2022-09-08,Europa League Grp. A,4010254,FC Zürich,Arsenal,0.13234919363646291,0.1710473624813426,0.6966034438821945,1,2,2,30,10,4,1,0,67,11,5,3,3,0,5,5,267,107,71,34,0,16,5,62,8,2,18,6,46,55,56,60,1,0,70,18,8,4,2,88,7,8,8,2,0,14,4,648,195,376,69,32,18,0,63,7,4,17,2,37,45,44,33,0,0
2022-09-08,Europa League Grp. B,4010294,Fenerbahçe,Dynamo Kyiv,0.5393994735993984,0.2848471826824945,0.1757533437181071,2,1,0,65,9,6,2,1,80,19,8,2,1,0,9,0,415,162,172,51,27,37,1,75,14,1,8,2,49,43,61,38,5,0,35,5,3,2,2,63,16,2,1,1,0,3,2,224,99,42,15,57,26,2,68,8,1,33,4,52,57,39,60,3,0
2022-09-08,Europa League Grp. C,4010532,HJK,Real Betis,0.1863905325443787,0.2865067624683009,0.5271027049873204,0,2,2,48,4,1,1,1,84,12,4,0,3,0,3,1,481,248,158,47,7,31,3,38,6,7,14,3,30,36,31,38,1,0,52,20,5,3,1,85,12,6,7,8,1,16,4,512,249,184,43,21,18,1,75,11,3,16,1,55,64,69,76,3,0
