match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-06-21,EURO U21 Grp. A,4051088,Belgium U21,Netherlands U21,0.3538998835855646,0.28948389600310437,0.356616220411331,0,0,1,47,19,6,4,4,84,11,11,9,4,0,12,7,419,207,145,51,25,16,2,71,6,5,13,3,40,61,39,58,3,0,53,14,5,3,3,87,10,10,6,3,1,11,3,490,276,152,46,20,11,2,100,10,4,18,6,34,39,61,33,2,0
2023-06-21,EURO U21 Grp. A,4051087,Georgia U21,Portugal U21,0.17044967880085654,0.25438972162740897,0.5751605995717345,2,0,0,31,4,2,2,0,76,15,1,2,0,0,2,2,298,163,63,33,17,10,0,59,12,6,37,4,46,55,50,50,2,0,69,17,4,0,0,90,10,6,7,6,0,5,12,657,225,367,57,15,32,1,100,3,0,3,0,40,45,50,36,0,1
2023-06-21,EURO U21 Grp. B,4051098,Ukraine U21,Croatia U21,0.26852531181217903,0.31988261188554656,0.4115920763022744,2,0,0,42,10,3,2,0,81,15,2,4,3,0,5,5,402,209,116,50,38,14,1,46,6,13,15,3,58,59,53,71,0,0,58,22,3,1,1,88,12,8,6,13,1,8,14,548,189,292,61,32,19,0,50,8,3,8,1,42,41,47,36,2,0
2023-06-21,EURO U21 Grp. B,4051097,Romania U21,Spain U21,0.20198675496688742,0.24685430463576158,0.551158940397351,0,3,2,21,7,1,0,0,67,13,1,4,2,0,1,6,224,113,38,40,33,13,2,56,14,7,29,3,44,47,52,29,2,0,79,24,5,6,4,90,9,9,12,7,0,16,8,825,278,468,63,21,17,0,90,0,2,3,1,47,53,48,50,2,0
2023-06-22,EURO U21 Grp. C,4051104,Czechia U21,England U21,0.1303347814975722,0.2510861231791464,0.6185790953232814,0,2,2,30,11,2,1,1,72,19,1,6,3,0,6,5,239,117,56,39,33,13,3,69,6,7,21,2,48,46,68,42,3,0,70,16,4,2,0,87,15,6,5,7,1,11,5,582,243,263,48,29,16,0,80,8,3,8,2,47,54,32,60,4,0
2023-06-22,EURO U21 Grp. C,4051105,Germany U21,Israel U21,0.6247585318737927,0.2660978750804894,0.10914359304571797,1,1,1,78,17,5,5,5,88,8,2,8,4,0,10,7,686,229,374,60,27,24,3,86,7,1,2,1,51,59,46,68,2,0,22,3,2,1,1,60,14,0,0,1,0,3,0,205,75,48,25,50,19,2,73,11,4,34,4,41,41,54,35,4,1
2023-06-22,EURO U21 Grp. D,4051115,Norway U21,Switzerland U21,0.4462669683257919,0.3416289592760181,0.21210407239819004,1,2,2,51,17,5,3,3,81,8,3,6,6,0,12,5,426,166,181,38,56,32,1,62,6,7,7,2,67,63,63,72,1,0,49,18,4,0,0,82,15,4,7,7,0,10,8,403,225,104,36,40,16,1,45,7,6,23,4,40,38,37,65,2,0
2023-06-22,EURO U21 Grp. D,4051116,France U21,Italy U21,0.496791707798618,0.25234452122408685,0.2508637709772952,2,1,0,51,10,4,2,1,84,13,8,4,2,0,6,4,425,206,153,64,29,19,2,63,9,4,21,5,47,53,37,71,2,1,49,15,7,2,2,83,7,7,5,3,0,11,4,396,212,116,49,33,24,2,56,13,2,12,2,48,47,63,50,3,0
2023-06-24,EURO U21 Grp. A,4051090,Portugal U21,Netherlands U21,0.45438705662725576,0.27330429371499687,0.27230864965774737,1,1,1,42,7,3,1,0,86,18,2,3,1,0,4,3,433,207,166,43,43,12,2,57,12,2,26,4,32,44,67,50,5,0,58,10,5,2,1,88,16,5,3,2,0,6,4,599,293,233,58,6,21,4,82,8,1,3,2,36,56,33,50,4,0
2023-06-24,EURO U21 Grp. B,4051099,Romania U21,Ukraine U21,0.2623136440837894,0.3189280996414418,0.4187582562747688,0,1,2,27,12,2,2,2,74,7,4,7,3,0,7,5,257,115,74,49,27,17,1,33,11,3,20,6,43,46,47,31,5,0,73,20,6,4,4,92,7,7,11,3,1,11,9,720,265,398,63,12,15,0,59,7,3,23,2,50,54,53,30,0,1
