match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2018-06-14,World Cup Grp. A,2059521,Russia,Saudi Arabia,,,,5,0,0,39,14,7,3,0,73,22,6,3,4,0,11,3,345,100,151,58,20,29,3,63,11,3,16,0,82,46,74,86,1,0,61,6,0,0,0,81,10,2,3,3,0,4,2,557,251,200,44,17,30,1,75,8,4,21,2,65,54,26,35,1,0
2018-06-15,World Cup Grp. A,2059522,Egypt,Uruguay,,,,0,1,2,41,8,3,0,0,74,12,0,3,2,0,4,4,424,141,172,32,18,24,1,48,22,0,18,4,45,44,32,40,0,0,59,15,5,4,4,86,6,5,6,4,0,8,7,588,238,265,64,27,14,1,63,29,0,17,3,67,56,68,69,0,0
2018-06-15,World Cup Grp. B,2059590,Morocco,Iran,,,,0,1,2,68,13,3,0,0,81,22,5,6,4,0,9,4,461,219,155,39,20,19,0,70,4,0,17,2,57,41,58,50,0,0,32,9,2,1,1,58,14,2,6,1,0,5,4,218,68,59,30,0,16,0,50,11,0,26,3,65,59,42,80,0,0
2018-06-15,World Cup Grp. B,2059589,Portugal,Spain,,,,3,3,1,34,9,3,1,0,83,12,4,3,3,0,3,6,372,144,163,58,31,18,1,60,5,2,8,3,49,46,61,58,1,0,66,13,6,1,0,92,10,5,5,2,0,9,4,759,313,387,60,23,21,3,77,10,3,9,0,49,54,39,64,1,0
2018-06-16,World Cup Grp. C,2059595,France,Australia,,,,2,1,0,55,12,5,1,0,84,16,5,5,2,0,6,6,508,182,244,67,13,30,0,73,5,2,22,1,54,48,52,47,0,0,45,6,1,1,0,79,19,1,3,2,0,4,2,407,222,99,37,33,16,0,54,8,2,43,4,56,52,48,63,0,0
2018-06-16,World Cup Grp. D,2059601,Argentina,Iceland,,,,1,1,1,78,27,7,1,1,89,10,10,10,10,0,12,15,752,203,470,57,33,16,0,77,5,1,24,1,65,53,51,74,0,0,22,8,2,2,1,63,15,2,5,1,0,5,3,209,58,74,29,22,12,0,52,23,9,36,6,59,47,49,64,0,0
2018-06-16,World Cup Grp. C,2059596,Peru,Denmark,,,,0,1,2,53,17,6,1,1,82,10,3,9,2,0,13,4,418,143,198,56,31,19,5,62,5,0,21,2,62,53,47,82,0,0,47,10,3,2,1,79,18,7,5,2,0,4,6,364,142,147,43,6,11,3,76,8,0,24,6,61,47,53,67,0,0
2018-06-16,World Cup Grp. D,2059602,Croatia,Nigeria,,,,2,0,0,55,11,2,2,1,79,20,6,7,2,0,7,4,484,214,170,46,23,12,2,36,8,5,31,2,63,37,63,47,0,0,45,14,2,0,0,78,16,5,7,5,0,10,4,398,179,130,36,19,18,1,59,11,2,20,1,74,63,38,74,0,0
2018-06-17,World Cup Grp. E,2059608,Costa Rica,Serbia,,,,0,1,2,52,10,3,1,1,80,18,5,3,4,0,5,5,449,167,192,44,23,22,1,55,15,1,20,2,67,45,47,43,2,0,48,10,3,1,1,78,15,4,6,1,0,5,5,418,149,177,48,33,25,3,68,5,4,22,3,79,55,53,65,2,0
2018-06-17,World Cup Grp. F,2059613,Germany,Mexico,,,,0,1,2,66,26,9,0,0,87,10,8,8,9,1,12,14,596,151,367,64,18,17,1,58,9,0,5,3,46,41,52,64,0,0,34,13,4,1,0,76,16,1,7,2,0,5,8,304,111,121,45,25,16,1,67,19,0,29,9,59,59,48,67,0,0
2018-06-17,World Cup Grp. E,2059607,Brazil,Switzerland,,,,1,1,1,55,21,5,3,3,88,11,7,10,6,0,12,9,544,256,222,52,25,10,1,64,11,0,13,1,58,55,50,62,0,0,45,6,2,1,0,80,19,2,4,0,0,3,3,453,193,169,45,17,16,0,54,13,0,19,3,49,45,50,31,0,0
2018-06-18,World Cup Grp. F,2059614,Sweden,South Korea,,,,1,0,0,56,15,4,3,2,81,20,6,5,6,0,9,6,447,168,194,52,20,28,1,44,10,3,20,0,73,52,56,82,0,0,44,5,0,0,0,78,23,5,2,3,0,3,2,359,131,150,45,23,19,0,92,15,6,31,3,63,48,44,59,0,0
2018-06-18,World Cup Grp. G,2059619,Belgium,Panama,,,,3,0,0,62,15,6,3,1,85,17,9,7,2,0,10,5,568,228,257,42,11,23,1,75,6,1,8,2,56,50,64,53,3,0,38,7,2,1,1,80,18,3,4,1,0,3,4,354,126,157,54,30,9,2,59,12,1,25,3,48,50,36,42,5,0
