match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2021-07-23,First Division A,3604136,Standard Liege,Genk,0.34893184130213634,0.43438453713123093,0.21668362156663276,1,1,1,45,17,4,0,0,77,11,7,7,6,0,9,8,375,148,142,50,24,20,2,54,10,4,16,4,57,54,44,55,1,0,55,17,5,3,2,82,9,3,7,5,0,10,7,481,224,170,64,19,21,1,63,12,6,22,3,55,46,56,39,2,0
2021-07-24,First Division A,3604137,OH Leuven,Zulte Waregem,0.4231943031536114,0.43845371312309256,0.13835198372329605,1,1,1,42,13,4,4,3,80,12,0,8,1,0,9,4,325,136,125,70,28,24,1,56,12,0,16,3,45,55,33,53,4,0,58,10,4,1,1,85,17,4,6,0,1,6,4,455,176,209,59,29,8,0,71,9,1,16,3,43,45,67,40,4,1
2021-07-24,First Division A,3604139,Kortrijk,RFC Seraing,0.5378521126760564,0.37059859154929575,0.09154929577464789,2,0,0,52,9,4,4,3,73,16,2,4,1,0,8,1,381,129,148,59,35,21,2,72,5,2,19,4,70,48,69,20,4,0,48,9,4,0,0,74,15,2,3,2,0,4,5,351,139,122,47,10,23,1,57,6,2,11,1,53,52,31,50,2,0
2021-07-24,First Division A,3604140,Oostende,Sporting Charleroi,0.4232758620689655,0.4043103448275862,0.1724137931034483,0,3,2,54,11,3,0,0,76,13,9,6,2,1,7,4,453,174,172,54,23,21,1,56,9,0,8,3,38,45,34,38,3,0,46,10,6,2,2,75,9,2,4,0,0,8,2,394,182,112,59,29,25,4,77,14,1,19,3,54,55,66,56,1,0
2021-07-25,First Division A,3604141,KV Mechelen,Royal Antwerp,0.3408906882591093,0.42672064777327934,0.23238866396761135,3,2,0,65,18,9,4,3,82,12,13,7,2,0,10,8,559,217,239,62,21,30,2,62,11,0,16,3,50,41,46,63,2,0,35,10,5,0,0,71,10,2,5,0,0,8,2,300,117,95,45,27,20,1,43,11,2,36,7,66,59,54,47,2,0
2021-07-25,First Division A,3604142,Club Brugge,Eupen,0.6266464032421479,0.3090172239108409,0.06433637284701114,2,2,1,62,21,11,4,3,81,9,10,5,5,0,16,5,516,149,269,47,19,25,2,38,7,3,7,3,47,55,51,50,3,0,38,13,5,4,2,70,13,3,5,3,1,9,4,322,119,105,38,31,14,3,50,15,3,36,9,41,45,49,64,8,0
2021-07-25,First Division A,3604143,Anderlecht,Union St.Gilloise,0.608167233835683,0.30967428293631505,0.08215848322800194,1,3,2,60,9,2,3,2,86,11,5,3,4,1,7,2,624,298,238,66,18,26,0,63,6,1,19,2,43,51,45,47,3,0,40,8,5,2,0,76,7,2,2,1,0,5,3,429,181,143,58,13,25,0,57,17,3,14,1,45,49,55,58,3,0
2021-07-25,First Division A,3604144,St.Truiden,Gent,0.23414905450500556,0.43492769744160176,0.3309232480533927,2,1,0,37,6,2,1,0,70,12,1,2,2,1,3,3,355,126,121,42,18,28,5,56,16,4,36,3,44,49,48,80,2,0,63,13,4,1,0,79,6,8,5,4,0,3,10,615,263,224,54,33,40,0,80,13,2,4,0,46,51,52,43,1,0
2021-07-27,First Division A,3604138,Beerschot,Cercle Brugge,0.3972027972027972,0.4083916083916084,0.1944055944055944,0,1,2,52,10,1,1,1,69,8,8,4,5,0,4,6,396,172,102,55,19,42,4,50,13,2,11,1,63,57,44,31,2,0,48,6,2,1,0,72,16,3,2,2,0,4,2,376,140,132,46,23,36,1,69,11,5,38,2,61,43,56,43,1,0
2021-07-30,First Division A,3604145,Genk,Oostende,0.6413841314225796,0.29814750087382036,0.06046836770360014,3,4,2,67,24,10,3,1,81,2,9,8,6,0,19,5,597,249,232,48,33,30,1,81,16,3,14,3,83,62,49,75,0,0,33,18,7,2,0,64,12,5,8,3,0,10,8,291,65,121,40,29,28,1,84,19,5,27,7,59,38,51,57,1,0
