match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-02-19,K-League 2,3817154,Gwangju FC,Gimpo FC,0.6043478260869565,0.23043478260869565,0.16521739130434782,1,2,2,65,12,4,1,1,77,17,4,5,3,0,8,4,506,178,213,36,29,31,2,40,20,2,13,2,74,59,47,56,0,0,35,7,4,1,0,58,22,0,1,2,0,3,4,277,78,84,26,22,21,1,71,15,3,29,3,63,41,53,43,0,0
2022-02-19,K-League 2,3817167,FC Anyang,Jeonnam Dragons,0.4712230215827338,0.3776978417266187,0.1510791366906475,1,0,0,50,7,3,1,0,82,15,8,2,2,0,4,3,473,126,260,53,15,16,4,71,12,1,9,0,41,53,23,53,0,0,50,7,0,0,0,80,8,1,6,1,0,1,6,486,233,158,52,20,24,1,69,17,1,18,2,49,47,77,17,3,0
2022-02-20,K-League 2,3817166,Ansan Greeners,Busan I'Park,0.3380281690140845,0.27230046948356806,0.38967136150234744,1,1,1,47,12,3,2,1,67,13,3,4,5,1,8,4,394,109,154,37,23,30,1,35,17,7,16,2,52,54,50,63,0,0,53,13,3,3,2,74,12,2,3,7,0,9,4,443,147,183,37,15,21,1,67,22,5,20,2,47,46,50,50,0,0
2022-02-20,K-League 2,3817164,Bucheon FC 1995,Chungnam Asan FC,0.3974358974358974,0.4461538461538462,0.1564102564102564,0,0,1,54,10,5,0,0,68,14,3,2,3,0,3,7,450,144,162,35,33,27,0,71,11,3,32,4,55,45,43,37,0,0,46,17,4,2,2,61,16,6,10,3,1,8,9,370,89,138,45,30,26,0,56,16,3,21,5,70,55,57,56,0,0
2022-02-20,K-League 2,3817165,Gyeongnam FC,Seoul E-Land FC,0.4126984126984127,0.4444444444444444,0.14285714285714285,0,1,2,54,12,4,0,0,70,15,7,4,4,0,7,5,333,107,127,47,14,24,0,78,8,4,14,3,47,45,59,27,0,0,46,14,4,1,1,63,13,6,5,5,0,9,5,286,75,106,33,22,25,2,60,12,4,22,4,45,55,41,0,0,0
2022-02-26,K-League 2,3817163,Jeonnam Dragons,Gimpo FC,0.4010989010989011,0.3516483516483517,0.24725274725274726,0,2,2,52,8,3,0,0,77,10,5,4,1,1,5,3,443,200,142,45,21,28,1,71,4,4,10,2,58,52,68,36,0,0,48,11,4,1,1,78,15,2,3,4,0,4,7,425,144,187,32,8,18,2,68,11,1,33,3,44,48,32,50,2,0
2022-02-26,K-League 2,3817162,Bucheon FC 1995,Ansan Greeners,0.3050847457627119,0.4124293785310734,0.2824858757062147,2,1,0,59,11,6,2,0,76,21,4,4,1,0,4,7,501,216,164,41,14,33,2,62,8,3,25,4,55,36,45,46,0,0,41,10,7,2,2,60,10,3,2,1,0,9,1,335,76,126,44,29,21,0,62,12,1,20,4,85,64,55,61,0,0
2022-02-27,K-League 2,3817161,FC Anyang,Chungnam Asan FC,0.6033519553072626,0.3240223463687151,0.07262569832402235,2,0,0,46,13,6,1,0,63,10,5,3,4,0,6,7,345,123,95,31,13,23,4,55,8,7,24,5,51,61,36,63,0,0,54,15,5,2,2,67,12,7,3,7,0,10,5,402,99,172,41,17,23,2,80,8,3,23,4,53,39,64,38,0,0
2022-02-27,K-League 2,3817160,Gwangju FC,Daejeon Hana Citizen,0.34844868735083534,0.4128878281622912,0.2386634844868735,2,0,0,54,20,6,2,1,77,15,4,7,7,1,11,9,432,150,183,47,38,20,1,80,11,0,11,3,68,54,70,45,2,0,46,7,3,0,0,74,17,1,4,0,0,3,4,366,133,138,45,25,34,0,80,10,7,19,4,49,46,30,33,3,0
2022-02-27,K-League 2,3817159,Gyeongnam FC,Busan I'Park,0.3685636856368564,0.4146341463414634,0.21680216802168023,3,2,0,62,24,10,6,3,77,18,7,7,7,0,15,9,430,129,204,45,13,28,3,82,8,2,4,0,64,56,33,67,0,0,38,4,2,2,0,63,19,2,0,2,0,3,1,273,72,101,37,25,17,2,50,10,6,40,7,68,44,67,54,0,0
