match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-12-20,King's Cup,4060522,Damac FC,Al-Wehda,0.4156479217603912,0.38264058679706603,0.2017114914425428,0,1,2,38,15,5,1,1,75,9,4,6,4,1,9,6,318,127,113,43,17,22,3,67,13,0,10,3,40,47,54,50,0,0,62,13,4,5,4,85,11,4,9,0,1,9,4,532,191,263,58,18,26,3,63,10,5,22,4,43,53,46,60,0,0
2022-12-20,King's Cup,4060527,Al-Fayha,Al Khaleej,0.4567901234567901,0.39197530864197533,0.15123456790123457,3,1,0,41,8,4,0,0,79,14,2,3,1,0,6,2,380,211,88,50,20,14,3,68,15,1,15,0,45,47,67,43,3,0,59,8,1,1,0,84,13,3,6,1,0,6,2,546,274,185,44,24,24,4,63,14,1,8,1,45,53,33,63,2,0
2022-12-21,King's Cup,4060521,Abha,Al-Taawoun,0.31363636363636366,0.37532467532467534,0.31103896103896106,4,3,0,42,18,6,7,3,73,25,2,11,1,1,12,6,432,140,177,41,42,37,0,59,20,0,16,1,66,48,46,60,0,0,58,16,4,3,1,78,18,4,11,1,0,9,7,615,265,216,54,25,21,3,70,9,1,12,2,72,52,54,31,0,0
2022-12-21,King's Cup,4060525,Al Hilal,Al-Ettifaq,0.7181932245922208,0.1932245922208281,0.08858218318695106,4,0,0,67,21,8,5,1,90,10,6,7,6,1,13,8,642,293,286,58,8,21,5,67,7,2,13,4,33,42,67,28,0,0,33,8,5,1,1,79,8,2,2,1,0,6,2,314,123,126,41,18,21,2,71,8,6,17,4,40,58,33,27,0,0
2022-12-21,King's Cup,4060524,Al Nassr FC,Al-Adalah,0.7161855335711969,0.17710022705157313,0.10671423937722997,2,0,0,71,26,7,7,5,89,11,10,16,3,3,19,7,685,175,437,64,28,20,2,52,9,0,3,0,44,51,76,38,0,0,29,4,0,1,1,72,8,0,4,0,0,3,1,288,149,59,47,50,14,1,62,14,3,21,5,34,49,24,35,0,0
2022-12-22,King's Cup,4060523,Al Batin,Al-Raed,0.3468286099865047,0.38798920377867746,0.2651821862348178,1,0,0,31,5,1,1,0,60,14,4,1,3,0,4,1,260,95,62,36,45,27,4,77,16,5,29,3,52,39,38,21,0,0,69,13,3,0,0,79,14,6,5,5,0,6,7,560,215,225,49,18,29,3,49,9,3,11,0,82,60,62,45,0,0
2022-12-22,King's Cup,4060520,Al Fateh FC,Al Taee,0.39666872301048733,0.38433066008636646,0.2190006169031462,2,2,1,61,19,8,3,2,83,24,9,7,4,0,13,6,657,258,286,65,22,30,3,59,9,2,13,1,83,49,67,50,0,0,39,10,2,0,0,72,24,5,6,2,0,6,4,422,167,136,27,38,30,2,76,13,3,30,6,67,51,33,35,0,0
2022-12-22,King's Cup,4060526,Al Ittihad,Al Shabab,0.5798319327731093,0.20432172869147658,0.21584633853541416,1,1,1,47,15,6,6,5,80,13,7,8,1,1,9,6,513,231,181,60,41,30,5,54,5,2,19,7,56,54,58,25,0,0,53,16,8,4,3,85,16,10,6,2,0,8,8,569,228,256,58,13,21,3,61,15,1,17,5,46,46,42,27,0,0
2023-03-13,King's Cup,4086116,Al-Fayha,Al Ittihad,0.19458802067497719,0.2175433262389784,0.5878686530860444,1,1,1,48,14,5,0,0,84,20,1,6,3,0,8,6,637,227,306,53,30,26,3,60,13,3,14,1,80,54,52,58,5,0,52,11,2,4,3,86,21,3,6,3,0,9,2,684,247,338,53,40,34,2,61,14,3,8,4,70,46,48,52,4,0
2023-03-14,King's Cup,4086035,Al-Wehda,Al Batin,0.5090706112196484,0.34245046050795425,0.14847892827239742,2,1,0,51,11,4,5,3,76,22,4,5,2,0,10,1,417,188,130,40,45,25,3,73,13,1,15,3,64,46,45,64,0,0,49,11,4,0,0,75,14,4,6,1,1,5,6,395,144,152,46,27,18,2,62,11,2,7,2,76,54,55,74,0,0
