match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-10-31,KNVB Cup,4335171,De Graafschap,FC Emmen,0.3558282208588957,0.38424281562802715,0.25992896351307715,2,0,0,44,15,7,2,1,76,8,4,5,3,0,11,4,387,149,145,42,32,14,0,58,9,2,12,4,51,55,47,43,2,0,56,9,3,0,0,81,11,3,4,2,1,3,6,502,231,175,37,8,18,7,75,11,3,17,6,46,45,53,43,1,0
2023-10-31,KNVB Cup,4335172,Groene Ster,Vitesse,0.22648835202761,0.2657463330457291,0.5077653149266609,0,1,2,23,4,0,1,1,51,9,0,2,2,0,2,2,185,58,37,26,30,22,2,68,19,4,23,7,37,42,41,50,0,0,77,24,8,1,1,84,9,13,12,4,2,16,8,651,253,294,64,29,33,2,56,8,2,13,0,52,58,59,65,0,0
2023-10-31,KNVB Cup,4335179,GVVV Veenendaal,Telstar,0.25034965034965034,0.3561771561771562,0.3934731934731935,1,0,0,43,12,6,2,2,61,14,11,4,2,0,6,6,305,73,112,31,11,24,1,81,19,1,22,4,50,52,38,50,1,0,57,9,4,2,2,72,9,6,4,1,0,4,5,419,148,154,55,14,29,0,67,10,2,19,5,55,48,63,45,1,0
2023-10-31,KNVB Cup,4335164,Koninklijke HFC,Go Ahead Eagles,0.18321747765640517,0.27805362462760674,0.5387288977159881,1,4,2,33,11,4,0,0,56,19,4,5,2,0,4,7,325,105,78,38,27,26,2,80,16,5,39,7,66,58,63,69,2,1,67,22,11,2,0,82,17,14,5,6,2,14,8,645,223,309,49,23,33,2,50,6,2,17,3,46,42,37,40,2,0
2023-10-31,KNVB Cup,4335183,Lisse,FC Dordrecht,0.18443496801705758,0.31023454157782515,0.5053304904051172,1,3,2,43,15,7,1,1,65,16,1,5,3,0,7,8,329,105,109,42,17,24,2,75,14,5,26,3,42,42,39,50,5,0,57,23,6,5,3,75,18,8,12,5,2,17,6,422,163,155,49,29,25,3,67,7,3,14,6,60,58,61,85,1,0
2023-10-31,KNVB Cup,4335170,Noordwijk,ADO Den Haag,0.15113471752776436,0.32689521970062774,0.521970062771608,0,1,2,59,13,4,0,0,70,16,8,7,2,1,10,3,390,142,132,59,24,34,1,86,11,1,17,2,54,44,49,39,1,0,41,6,3,1,0,58,11,1,2,1,0,3,3,278,63,98,34,30,32,0,81,6,2,25,4,63,56,51,47,0,1
2023-10-31,KNVB Cup,4335165,OJC Rosmalen,Almere City FC,0.19227967953386743,0.2942461762563729,0.5134741442097597,1,8,2,24,5,2,1,0,69,12,3,2,1,0,1,4,217,91,58,43,0,19,2,64,10,4,25,4,40,50,43,50,4,0,76,24,12,4,1,88,9,10,8,4,0,21,3,680,185,411,68,33,27,0,76,11,1,9,1,41,50,57,43,3,0
2023-10-31,KNVB Cup,4335181,Quick Boys,NAC Breda,0.19186524239934263,0.32908792111750207,0.4790468364831553,1,0,0,45,13,6,1,1,68,8,6,4,3,0,5,8,379,145,112,41,20,32,1,80,21,8,20,5,26,43,38,63,3,0,55,24,5,1,1,72,8,3,11,8,0,11,13,458,134,195,58,32,33,3,78,15,3,25,5,37,57,62,58,3,0
2023-10-31,KNVB Cup,4335180,SC Heerenveen,VVV-Venlo,0.5128297795446332,0.3379110950487893,0.14925912540657751,5,1,0,59,13,7,3,0,90,12,6,3,3,0,8,5,621,321,235,64,18,17,1,86,4,1,10,3,28,44,54,39,1,0,41,10,4,0,0,84,7,3,5,1,0,5,5,427,242,116,51,33,12,0,71,8,3,23,2,33,56,46,20,2,0
2023-10-31,KNVB Cup,4335162,Spakenburg,Helmond Sport,0.38242169237961665,0.3380084151472651,0.27956989247311825,3,1,0,42,15,7,3,1,75,8,5,6,2,0,10,5,347,109,150,49,22,23,0,85,8,0,16,1,41,57,45,53,2,0,58,5,2,0,0,83,9,3,3,0,0,3,2,486,258,143,54,32,14,1,75,7,3,30,3,35,43,55,78,3,0
