match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-09-15,Liga F,4271090,Valencia Femenino,Real Madrid Femenino,0.14276094276094276,0.18787878787878787,0.6693602693602694,0,2,2,34,4,1,0,0,68,5,2,3,0,0,2,2,302,138,66,35,0,23,0,67,6,7,29,5,36,53,38,100,1,0,66,27,7,3,1,85,14,5,13,7,1,20,7,579,248,244,67,25,21,2,60,15,0,12,1,34,47,63,64,1,0
2023-09-16,Liga F,4271103,Atletico Madrid Femenino,Athletic Bilbao,0.6127659574468085,0.2765957446808511,0.11063829787234042,3,0,0,51,11,5,1,0,85,7,11,2,4,0,7,4,438,217,155,64,19,19,0,74,22,0,16,3,45,54,53,65,0,0,49,7,3,0,0,81,5,4,4,0,0,4,3,423,227,116,54,16,30,1,85,5,3,19,2,39,46,47,21,0,0
2023-09-16,Liga F,4271102,Eibar,Levante Las Planas,0.5263157894736842,0.28421052631578947,0.18947368421052632,1,2,2,39,14,5,3,2,51,9,3,8,1,0,7,7,253,50,80,30,38,28,6,62,8,3,22,2,61,57,38,67,2,0,61,10,4,2,1,65,14,8,3,3,0,7,3,382,141,108,33,33,26,1,69,7,1,15,4,56,43,62,82,1,0
2023-09-16,Liga F,4271101,Real Betis Feminas,Villarreal,0.3888888888888889,0.373015873015873,0.23809523809523808,1,0,0,46,7,2,1,0,70,13,4,1,4,0,3,4,346,120,121,34,9,26,4,73,7,2,13,4,42,43,53,43,0,0,54,10,4,1,1,73,13,5,4,2,0,5,5,407,177,121,42,7,24,1,64,16,4,14,1,52,57,47,69,2,0
2023-09-16,Liga F,4271091,Madrid Femenino,Barcelona,0.0804953560371517,0.09287925696594428,0.826625386996904,0,2,2,36,7,1,0,0,74,5,1,3,3,0,1,6,362,207,61,41,0,23,1,58,7,8,33,2,39,63,29,43,0,0,64,24,4,3,2,89,8,14,12,8,1,20,4,608,168,372,50,31,20,1,73,14,3,6,1,27,37,71,50,1,0
2023-09-17,Liga F,4271089,UDG Tenerife,Huelva,0.47191011235955055,0.38202247191011235,0.14606741573033707,2,0,0,57,13,4,3,1,64,4,7,5,4,0,10,3,406,174,85,39,20,38,3,59,11,1,5,3,50,60,55,63,1,0,43,6,3,0,0,58,13,1,2,1,0,4,2,314,87,94,36,0,43,4,53,12,4,25,3,36,40,45,33,0,0
2023-09-17,Liga F,4271099,Granada Feminino,Real Sociedad,0.20535714285714285,0.3482142857142857,0.44642857142857145,2,1,0,52,13,6,2,0,81,5,4,5,2,1,6,7,499,230,175,45,22,15,4,80,4,3,21,0,50,64,64,100,2,0,48,9,1,0,0,81,3,4,5,3,0,5,4,449,191,173,37,32,22,0,64,8,2,19,4,28,36,36,24,0,1
2023-09-17,Liga F,4271100,Levante,Sevilla,0.38028169014084506,0.39235412474849096,0.22736418511066397,2,0,0,65,19,4,1,1,79,7,4,6,9,0,7,12,477,168,207,46,13,34,6,68,16,3,20,4,50,55,38,69,0,0,35,11,4,0,0,61,12,5,3,4,0,5,6,256,63,94,42,31,32,1,71,9,8,29,2,48,45,62,33,1,0
2023-09-30,Liga F,4271080,Sevilla,Madrid Femenino,0.4189189189189189,0.38288288288288286,0.1981981981981982,1,5,2,43,10,2,0,0,80,15,3,5,3,2,5,5,372,156,142,40,15,21,1,72,6,3,15,9,44,41,71,45,3,0,57,22,14,4,0,86,6,5,5,3,0,10,12,511,236,205,58,21,17,5,68,2,3,16,1,53,59,29,53,1,0
2023-09-30,Liga F,4271083,Granada Feminino,Eibar,0.41935483870967744,0.4112903225806452,0.1693548387096774,1,2,2,73,21,7,0,0,83,12,11,9,5,0,11,10,562,173,292,43,24,36,3,47,9,1,9,3,43,48,65,55,1,0,27,7,5,1,0,47,5,3,1,1,0,5,2,213,55,46,27,30,22,1,57,9,4,39,6,38,52,35,42,2,0
