match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2021-08-07,League Two,3620568,Carlisle United,Colchester United,0.5711422845691383,0.31462925851703405,0.11422845691382766,0,0,1,51,18,6,4,4,58,17,7,7,5,0,12,6,319,81,103,28,41,33,1,57,7,3,10,3,58,53,47,60,2,0,49,10,3,0,0,54,14,7,4,3,0,9,1,301,82,81,35,33,28,2,67,6,5,24,6,59,47,53,22,0,0
2021-08-07,League Two,3620569,Exeter City,Bradford City,0.5121527777777778,0.3315972222222222,0.15625,0,0,1,52,13,4,0,0,68,8,5,7,2,0,7,6,364,74,175,33,27,31,1,63,13,4,24,3,62,53,44,53,2,0,48,13,4,2,2,67,7,5,5,4,0,7,6,352,66,169,38,25,36,1,47,10,2,31,4,67,47,56,50,0,0
2021-08-07,League Two,3620570,Forest Green Rovers,Sutton United,0.654300168634064,0.25463743676222594,0.09106239460370995,2,1,0,57,11,2,2,1,66,11,4,3,6,1,7,4,366,93,149,38,42,39,1,50,10,3,11,1,61,57,38,45,3,0,43,9,2,1,0,57,12,6,4,3,0,5,4,281,85,76,42,19,25,0,78,16,6,21,0,64,43,62,27,0,0
2021-08-07,League Two,3620571,Harrogate Town,Rochdale,0.5013927576601671,0.34818941504178275,0.15041782729805014,3,2,0,46,19,8,2,1,66,12,9,7,4,0,16,3,332,77,142,42,33,23,2,74,7,6,25,3,75,59,52,80,2,0,54,14,5,3,3,74,16,4,3,6,0,10,4,387,118,169,51,30,25,0,58,5,4,21,5,60,41,48,50,2,0
2021-08-07,League Two,3620572,Hartlepool United,Crawley Town,0.5825688073394495,0.30275229357798167,0.11467889908256881,1,0,0,46,12,3,2,2,60,6,4,5,4,0,9,3,325,92,103,28,16,28,5,75,10,1,16,0,48,56,32,20,0,0,54,3,0,0,0,66,15,2,2,1,0,3,0,385,90,163,36,7,27,1,57,9,4,26,2,66,44,68,100,0,0
2021-08-07,League Two,3620573,Mansfield Town,Bristol Rovers,0.546875,0.30580357142857145,0.14732142857142858,2,1,0,56,17,3,2,0,69,14,6,7,7,0,13,4,335,94,136,42,26,42,1,36,7,0,12,1,73,49,56,31,2,0,44,3,2,0,0,63,15,4,1,0,0,2,1,276,102,71,35,9,29,1,48,11,7,29,1,68,51,44,47,3,1
2021-08-07,League Two,3620574,Northampton Town,Port Vale,0.5447368421052632,0.32894736842105265,0.12631578947368421,1,0,0,50,9,2,1,0,61,10,4,3,4,0,5,4,340,107,102,27,9,32,5,63,14,3,30,2,88,55,62,36,4,0,50,9,2,1,1,55,16,2,4,3,0,6,3,330,88,95,21,27,33,1,35,5,3,26,1,62,45,38,40,2,1
2021-08-07,League Two,3621200,Oldham Athletic,Newport County,0.3949367088607595,0.39746835443037976,0.20759493670886076,0,1,2,51,6,0,1,1,75,17,2,6,0,0,4,2,406,175,129,40,29,23,1,50,14,1,18,1,54,45,67,70,3,0,49,4,2,1,0,77,7,2,1,1,0,3,1,380,187,104,47,8,29,2,58,11,0,8,0,47,55,33,62,2,0
2021-08-07,League Two,3620575,Salford City,Leyton Orient,0.698076923076923,0.20961538461538462,0.09230769230769231,1,1,1,52,13,6,1,1,69,11,7,6,1,0,6,7,392,137,133,29,25,26,4,70,8,0,19,4,50,52,57,57,0,0,48,11,5,2,1,67,11,5,6,0,0,8,3,352,134,102,28,25,15,4,75,7,0,20,5,42,48,43,57,0,0
2021-08-07,League Two,3620576,Scunthorpe United,Swindon Town,0.4431818181818182,0.36363636363636365,0.19318181818181818,1,3,2,37,11,4,2,1,61,20,6,3,4,0,6,5,229,61,78,35,18,28,3,48,8,5,20,5,52,46,47,58,0,0,63,17,8,2,0,75,8,4,4,5,0,6,11,411,169,140,42,22,27,2,93,8,4,10,3,61,54,53,45,3,0
