match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2021-07-24,3. Liga,3634064,1860 München,Würzburger Kickers,0.5741056218057922,0.29982964224872233,0.1260647359454855,1,0,0,54,13,6,2,1,81,13,4,4,3,0,10,3,430,220,127,45,28,19,2,50,12,2,20,2,43,52,43,33,1,0,46,9,2,2,2,74,16,6,5,2,0,3,6,369,157,117,44,5,26,4,86,11,3,14,5,45,48,57,25,5,0
2021-07-24,3. Liga,3634061,FSV Zwickau,Borussia Dortmund II,0.2632258064516129,0.3909677419354839,0.34580645161290324,1,2,2,46,26,7,6,5,70,8,10,13,6,2,21,5,327,118,112,49,42,19,2,61,9,5,10,3,68,58,60,50,0,0,54,12,5,4,3,79,15,5,2,5,0,8,4,419,225,104,41,20,25,2,62,15,4,32,6,47,42,40,82,2,1
2021-07-24,3. Liga,3634063,Hallescher FC,Meppen,0.4946524064171123,0.3689839572192513,0.13636363636363635,3,1,0,51,14,6,2,0,78,16,3,4,4,1,8,6,334,164,96,49,21,12,2,79,11,0,21,1,48,53,48,80,0,0,49,12,3,2,1,79,15,8,4,5,0,7,5,312,135,111,59,18,14,2,63,11,0,13,3,45,47,52,64,0,0
2021-07-24,3. Liga,3634060,1.FC Kaiserslautern,Eintracht Braunschweig,0.498960498960499,0.30145530145530147,0.1995841995841996,0,0,1,57,15,7,4,4,68,22,6,3,5,0,7,8,345,131,105,41,15,28,2,100,8,2,15,0,49,45,41,45,3,0,43,9,0,1,1,64,21,4,7,2,1,4,5,264,81,89,44,7,19,1,69,9,5,28,7,63,55,59,50,2,0
2021-07-24,3. Liga,3634059,TSV Havelse,Saarbrücken,0.31868131868131866,0.36813186813186816,0.3131868131868132,0,1,2,53,10,3,0,0,73,11,6,5,2,0,7,3,411,189,113,39,38,19,6,70,10,4,9,2,43,48,43,60,3,0,47,14,3,2,2,72,7,9,7,4,0,11,3,367,133,133,55,38,23,1,63,13,2,14,3,52,52,57,63,0,0
2021-07-24,3. Liga,3634058,Waldhof Mannheim,Magdeburg,0.4601990049751244,0.3208955223880597,0.21890547263681592,0,2,2,54,18,6,0,0,77,21,8,6,6,0,11,7,397,152,155,46,27,20,1,88,9,0,16,4,75,55,68,69,0,0,46,10,6,1,1,77,24,3,4,0,0,4,6,353,150,123,52,18,17,2,55,13,0,29,6,54,45,32,35,0,0
2021-07-25,3. Liga,3634057,FC Viktoria 1889 Berlin,Viktoria Köln 1904,0.3844444444444444,0.37333333333333335,0.24222222222222223,2,1,0,41,13,5,0,0,69,9,4,6,2,0,9,4,288,102,96,56,43,15,2,75,8,3,21,1,42,46,46,41,0,0,59,8,2,1,0,80,8,4,3,3,0,4,4,420,178,157,51,14,24,9,63,12,2,8,3,50,54,54,47,1,0
2021-07-26,3. Liga,3634062,Freiburg II,Wehen Wiesbaden,0.4199772985244041,0.40805902383654935,0.17196367763904655,0,0,1,61,4,1,1,1,80,13,0,3,0,0,3,1,514,311,102,48,0,29,3,75,8,2,14,3,54,57,31,69,3,0,39,16,3,2,2,69,16,10,11,2,2,11,5,315,127,91,56,46,15,3,40,10,0,6,1,63,43,69,29,1,0
2021-07-31,3. Liga,3634074,Borussia Dortmund II,Waldhof Mannheim,0.5687250996015937,0.3147410358565737,0.11653386454183266,1,1,1,52,12,5,0,0,81,17,3,4,3,0,7,5,452,263,101,55,56,11,1,55,6,7,18,2,58,54,50,63,2,0,48,16,3,1,1,78,16,4,6,7,1,8,8,398,165,144,57,28,28,2,73,19,2,6,4,51,46,50,33,5,0
2021-07-31,3. Liga,3634069,Magdeburg,Freiburg II,0.5426356589147286,0.3333333333333333,0.12403100775193798,0,0,1,66,18,11,3,3,79,17,4,2,5,1,12,6,657,284,235,47,23,21,1,81,17,0,8,1,75,55,52,66,0,0,34,4,1,0,0,62,18,0,2,1,0,1,3,341,119,93,37,0,11,3,42,20,0,15,10,63,45,48,58,0,0
