match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2018-08-10,Primeira Liga,2815170,Benfica,Vitoria de Guimaraes,0.8528799444829979,0.10895211658570438,0.03816793893129771,3,2,0,65,13,11,2,1,86,16,5,2,0,0,13,6,577,281,218,73,20,21,3,72,8,0,14,3,58,58,52,45,0,0,35,8,5,2,1,76,25,2,3,0,1,6,3,302,126,105,47,30,11,3,93,14,0,17,8,44,42,48,25,0,0
2018-08-11,Primeira Liga,2815174,Vitoria de Setubal,Aves,0.47126436781609193,0.3448275862068966,0.1839080459770115,2,0,0,59,13,5,3,1,77,16,9,8,0,2,9,6,406,115,196,59,31,22,5,67,14,0,8,1,53,42,59,43,0,0,41,4,1,0,0,68,16,3,3,0,0,4,1,298,109,93,42,21,20,0,62,17,0,25,3,55,58,41,100,0,0
2018-08-11,Primeira Liga,2815175,Tondela,Belenenses SAD,0.5388888888888889,0.36666666666666664,0.09444444444444444,0,1,2,48,13,3,1,1,72,14,10,10,0,2,11,7,324,109,124,58,9,24,0,80,9,0,18,2,53,54,47,22,0,0,52,7,3,0,0,77,13,4,4,0,0,5,3,387,200,98,52,23,21,0,93,23,0,47,3,52,46,53,0,0,0
2018-08-11,Primeira Liga,2815177,FC Porto,Chaves,0.8590814196242171,0.10125260960334029,0.03966597077244259,5,0,0,69,19,6,10,7,86,11,7,11,2,0,16,3,579,211,286,68,24,20,4,74,22,1,8,0,65,58,59,54,0,0,31,3,0,0,0,70,12,0,2,1,0,1,2,261,130,54,35,0,15,0,78,14,2,31,1,47,42,41,50,2,1
2018-08-12,Primeira Liga,2815172,Feirense,Rio Ave,0.35555555555555557,0.34444444444444444,0.3,2,0,0,36,10,4,2,2,72,16,3,6,0,1,7,6,253,76,107,43,55,17,1,100,32,0,33,3,43,41,52,50,0,0,64,9,3,0,0,80,8,4,6,0,0,3,7,455,181,184,59,21,33,0,91,13,0,12,2,55,59,48,50,0,0
2018-08-12,Primeira Liga,2815178,Maritimo,Santa Clara,0.6067073170731707,0.29573170731707316,0.0975609756097561,1,0,0,54,16,3,3,2,84,14,8,7,6,1,8,8,403,152,187,62,26,16,5,78,15,0,13,4,26,53,57,100,0,0,46,12,4,1,1,81,9,2,5,3,1,8,4,354,162,125,43,30,8,1,75,13,0,20,2,22,47,43,0,0,0
2018-08-12,Primeira Liga,2815173,Moreirense,Sporting CP,0.16407185628742516,0.37964071856287424,0.4562874251497006,1,3,2,60,4,3,1,0,76,21,6,1,0,0,5,5,408,163,149,44,15,24,2,56,14,0,25,5,51,43,37,22,0,0,40,10,8,3,1,66,16,4,2,0,0,8,4,270,97,82,39,11,27,3,86,13,0,28,2,74,57,63,50,0,0
2018-08-12,Primeira Liga,2815171,Braga,Nacional,0.775,0.15833333333333333,0.06666666666666667,4,2,0,50,21,11,2,0,80,13,4,9,1,1,18,3,382,157,148,43,39,30,3,75,23,3,16,7,47,56,57,33,1,0,50,16,9,1,0,80,14,2,4,3,0,7,9,384,178,131,62,18,20,2,91,16,3,18,5,37,44,43,80,3,0
2018-08-13,Primeira Liga,2815176,Portimonense,Boavista,0.6009950248756218,0.25671641791044775,0.14228855721393036,0,2,2,55,12,4,1,1,73,19,10,6,2,1,7,5,353,137,119,47,19,41,1,89,13,3,17,0,60,48,41,50,1,0,45,9,2,1,0,67,27,4,4,3,0,3,6,288,91,102,47,16,26,0,67,16,4,42,2,73,52,59,50,3,0
2018-08-17,Primeira Liga,2815180,Aves,Tondela,0.6136865342163356,0.25386313465783666,0.13245033112582782,2,2,1,51,15,6,4,3,70,14,5,9,0,1,9,7,333,113,120,52,25,24,2,86,13,0,32,3,65,56,58,50,0,0,49,9,5,1,0,65,14,9,4,0,0,4,8,330,117,99,42,26,17,0,73,14,0,20,4,49,44,42,50,0,0
2018-08-18,Primeira Liga,2815182,Chaves,Portimonense,0.6129032258064516,0.22043010752688172,0.16666666666666666,2,0,0,42,12,5,2,1,76,16,2,3,4,0,8,4,319,112,129,43,17,20,0,69,15,3,42,2,60,47,61,36,3,0,58,9,2,0,0,80,21,11,4,3,0,1,8,439,173,177,50,17,37,2,67,6,3,13,3,57,53,39,71,4,0
2018-08-18,Primeira Liga,2815183,Boavista,Benfica,0.14858490566037735,0.36556603773584906,0.4858490566037736,0,2,2,38,4,1,1,1,72,12,2,3,0,0,2,2,279,121,79,37,18,19,1,82,20,0,24,6,52,58,27,33,0,0,62,13,8,2,1,78,21,9,5,0,0,9,9,464,164,198,49,40,34,0,69,7,0,10,1,52,42,73,41,0,0
2018-08-18,Primeira Liga,2815187,Sporting CP,Vitoria de Setubal,0.8398384925975774,0.10228802153432032,0.05787348586810229,2,1,0,59,12,5,2,1,80,20,7,7,0,1,9,8,424,163,177,51,31,18,0,74,16,0,15,2,77,56,63,83,0,0,41,5,3,2,1,74,29,3,2,0,0,4,5,298,121,99,41,10,18,1,56,11,0,27,3,55,44,37,29,0,0
2018-08-19,Primeira Liga,2815186,Nacional,Moreirense,0.5043103448275862,0.33620689655172414,0.15948275862068967,1,2,2,64,17,8,4,4,79,10,9,7,2,1,13,4,442,175,173,52,22,32,4,84,13,2,6,6,62,57,52,21,0,0,36,14,8,5,3,67,25,2,4,2,1,11,3,252,93,76,45,29,28,1,63,16,1,23,7,50,43,48,43,5,0
2018-08-19,Primeira Liga,2815185,Rio Ave,Maritimo,0.5577689243027888,0.28286852589641437,0.1593625498007968,3,1,0,50,12,5,3,1,81,11,4,7,0,0,8,5,397,197,126,43,31,17,1,67,6,0,14,3,44,56,43,55,0,0,50,12,4,2,1,80,22,3,8,0,2,9,7,379,163,139,55,35,24,0,89,6,0,10,2,38,44,57,100,0,0
2018-08-19,Primeira Liga,2815181,B-SAD,FC Porto,0.13366336633663367,0.39702970297029705,0.4693069306930693,2,3,2,54,12,5,2,0,77,18,6,4,3,0,9,3,429,205,126,55,6,25,0,80,19,2,12,3,52,45,39,53,2,0,46,16,6,2,0,75,10,5,8,2,2,12,4,360,136,134,57,47,23,1,86,22,2,18,3,69,55,61,46,3,0
2018-08-19,Primeira Liga,2815179,Santa Clara,Braga,0.2028985507246377,0.32065217391304346,0.47644927536231885,3,3,1,42,12,8,1,0,71,13,5,2,2,0,8,4,317,118,106,53,44,12,2,80,9,0,12,5,38,33,55,50,0,0,58,14,8,0,0,79,8,4,3,3,0,9,5,451,216,139,52,36,17,4,76,10,0,17,5,50,67,45,67,0,0
