match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2024-01-13,Liga MX Clausura,4384303,Queretaro FC,Toluca,0.28151606701455645,0.2526778357594068,0.46580609722603683,2,2,1,35,11,4,3,2,72,5,5,5,2,0,7,4,287,98,110,49,29,19,2,25,9,3,29,2,53,53,51,44,3,0,65,17,4,1,0,84,7,8,10,3,0,11,6,553,217,245,68,32,27,0,46,8,2,16,2,48,47,49,57,2,0
2024-01-13,Liga MX Clausura,4384305,Mazatlan FC,Atletico de San Luis,0.3237014103887169,0.24183006535947713,0.434468524251806,0,1,2,53,25,11,5,5,87,10,10,7,7,0,18,7,495,194,236,54,19,20,1,63,8,0,8,2,49,48,50,75,1,0,47,8,3,0,0,86,7,4,5,0,0,6,2,455,267,124,42,36,14,2,50,11,8,33,10,52,52,50,50,1,0
2024-01-14,Liga MX Clausura,4384299,Cruz Azul,Pachuca,0.6029374525196253,0.19574575841985312,0.20131678906052164,0,1,2,59,15,2,3,3,79,15,4,11,2,0,7,8,454,169,188,63,16,21,1,81,8,1,19,5,61,54,49,69,2,0,41,12,6,2,2,71,17,4,5,1,1,6,6,321,108,120,58,29,27,1,85,9,2,28,2,56,46,51,47,2,0
2024-01-14,Liga MX Clausura,4384300,CD Guadalajara,Santos Laguna,0.7316064040295017,0.1266414822809858,0.14175211368951252,1,1,1,68,19,3,3,2,84,10,11,6,10,0,10,9,543,210,246,52,31,26,2,57,6,1,10,2,72,57,63,50,3,0,32,9,3,1,1,68,10,2,3,3,0,5,4,266,100,82,30,29,16,1,71,12,11,28,1,50,43,38,26,3,0
2024-01-14,Liga MX Clausura,4384297,Monterrey,Puebla,0.6850771869639795,0.1914236706689537,0.1234991423670669,2,0,0,54,20,6,3,2,87,8,4,11,3,1,15,5,468,189,217,62,38,16,3,71,8,2,24,3,61,53,56,61,0,0,46,9,3,2,2,81,10,5,4,2,0,6,3,391,180,135,57,39,23,5,40,10,3,22,4,53,47,44,42,3,0
2024-01-14,Liga MX Clausura,4384301,Tijuana,CF America,0.16046773739081432,0.10157790927021697,0.7379543533389687,0,2,2,64,36,8,0,0,86,12,10,16,12,0,24,12,450,168,219,54,29,19,1,60,8,0,8,2,60,49,58,54,2,0,36,6,4,0,0,66,11,1,2,0,0,4,2,263,110,63,32,29,16,0,73,12,12,38,8,55,51,42,64,1,0
2024-01-14,Liga MX Clausura,4384298,Club Universidad Nacional,FC Juarez,0.7087866108786611,0.18410041841004185,0.10711297071129706,1,0,0,57,16,2,3,2,84,7,5,10,4,2,13,3,416,178,172,51,36,17,2,92,8,6,10,2,49,54,55,59,1,1,43,10,3,0,0,78,9,4,2,5,0,6,4,316,134,112,38,27,25,1,56,9,4,18,1,41,46,45,40,3,0
2024-01-15,Liga MX Clausura,4384304,Necaxa,Atlas,0.34309175294537664,0.26847554444841126,0.38843270260621204,2,1,0,54,14,5,2,1,78,16,7,7,2,0,14,0,425,150,183,45,30,21,1,63,15,2,20,3,59,47,47,55,4,0,46,9,4,0,0,78,10,2,3,2,0,5,4,378,182,111,49,18,27,2,56,8,2,30,3,67,53,53,43,0,2
2024-01-18,Liga MX Clausura,4384302,Leon,Tigres,0.3226337448559671,0.22489711934156378,0.4524691358024691,1,2,2,44,19,6,1,0,84,13,9,10,3,1,14,5,394,134,195,56,46,17,1,68,6,2,9,0,51,48,69,53,1,0,56,12,2,3,2,88,4,3,8,2,1,7,5,522,270,188,41,21,26,1,60,6,3,14,5,44,52,31,53,1,0
2024-01-20,Liga MX Clausura,4384403,Puebla,Necaxa,0.493167701863354,0.2587991718426501,0.24803312629399585,1,2,2,60,16,4,3,2,83,7,7,9,3,0,9,7,474,181,212,61,23,22,1,55,8,3,14,2,58,47,48,42,1,0,40,11,4,2,0,75,14,5,4,3,0,8,3,314,125,110,44,38,22,1,71,11,3,20,3,65,53,53,53,3,0
