match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-07-21,1. Division,4198812,Hillerød,HB Køge,0.359518754423213,0.4317055909412597,0.20877565463552725,0,4,2,32,3,1,0,0,74,10,2,1,1,0,2,1,320,163,75,40,13,13,0,75,4,8,23,6,32,57,50,67,1,1,68,28,10,7,4,91,8,5,10,8,1,18,10,704,314,328,76,18,20,0,60,6,0,9,1,26,43,50,46,0,0
2023-07-21,1. Division,4198823,Vendsyssel FF,SønderjyskE,0.2996941896024465,0.4288990825688073,0.2714067278287462,1,1,1,42,7,2,1,1,72,14,2,3,2,1,6,1,387,197,81,41,20,22,5,62,13,4,24,2,71,46,61,36,1,0,58,12,3,1,1,77,16,1,5,4,0,7,5,551,276,150,30,42,36,0,52,4,2,15,1,69,54,39,40,1,0
2023-07-22,1. Division,4198811,B 93,Aalborg BK,0.27282157676348545,0.28112033195020747,0.4460580912863071,0,3,2,39,8,2,1,1,75,13,2,4,2,0,3,5,421,160,156,39,10,21,0,50,10,5,35,7,49,45,48,65,0,0,61,23,10,3,1,83,4,8,7,6,0,17,6,640,330,200,38,34,21,1,62,14,2,7,2,57,55,52,53,3,0
2023-07-23,1. Division,4198809,FC Helsingør,Næstved,0.4044943820224719,0.4396067415730337,0.15589887640449437,2,1,0,48,24,7,3,2,76,18,11,13,4,1,15,9,347,126,139,50,32,29,1,60,6,1,20,5,52,45,52,42,6,0,52,15,6,6,5,79,12,5,8,1,0,9,6,392,164,147,49,22,10,2,71,9,3,26,6,58,55,48,48,3,0
2023-07-23,1. Division,4198810,Fredericia,Hobro,0.400278940027894,0.4435146443514644,0.15620641562064155,0,2,2,64,11,4,1,1,87,13,7,4,3,0,5,6,650,208,360,56,8,23,1,58,4,1,17,1,49,49,64,40,2,0,36,10,3,2,1,81,15,4,6,1,0,8,2,357,147,143,55,16,18,3,68,20,3,26,4,44,51,36,50,2,1
2023-07-23,1. Division,4198808,Kolding IF,Horsens,0.33722438391699094,0.40207522697795073,0.2607003891050584,2,1,0,50,13,4,2,1,66,14,6,5,4,1,8,5,392,130,130,35,43,19,2,71,8,3,19,5,56,46,56,38,2,0,50,14,6,1,1,68,10,6,5,3,0,8,6,384,119,143,36,13,24,4,50,7,4,20,2,56,54,44,57,4,0
2023-07-28,1. Division,4198807,HB Køge,Vendsyssel FF,0.547945205479452,0.3287671232876712,0.1232876712328767,3,1,0,49,15,5,2,1,79,11,1,4,6,0,7,8,460,184,178,26,8,28,2,78,15,0,14,6,45,56,58,78,2,0,51,12,7,0,0,80,11,3,5,0,0,7,5,479,235,147,56,47,24,1,33,12,6,16,2,35,44,42,58,3,0
2023-07-28,1. Division,4198806,Hobro,Næstved,0.417910447761194,0.4783582089552239,0.10373134328358209,3,2,0,54,17,6,2,1,86,12,2,5,6,2,8,9,549,274,197,52,13,22,2,85,12,2,6,0,50,47,65,55,3,0,46,8,2,2,0,82,13,2,3,3,0,4,4,466,214,168,47,20,13,1,65,4,5,28,4,49,53,35,57,2,0
2023-07-28,1. Division,4198805,SønderjyskE,Fredericia,0.45064377682403434,0.45064377682403434,0.09871244635193133,1,3,2,58,25,5,2,1,83,11,9,8,12,0,18,7,532,224,219,40,24,25,0,78,6,1,14,3,52,54,45,53,2,1,42,10,6,3,1,80,16,3,3,1,0,9,1,384,169,139,52,33,19,3,79,7,11,32,4,47,46,55,46,3,0
2023-07-29,1. Division,4198813,Aalborg BK,Horsens,0.5633359559402046,0.3202202989771833,0.11644374508261211,1,0,0,67,24,11,5,4,80,11,5,11,2,0,19,5,571,246,212,46,36,25,1,56,13,3,11,4,80,58,54,74,2,1,33,10,4,0,0,60,19,5,3,3,0,5,5,279,60,108,39,27,19,3,62,16,2,29,10,62,42,46,48,4,0
2023-07-29,1. Division,4198814,Kolding IF,Hillerød,0.4722598105548038,0.41271989174560214,0.11502029769959404,2,1,0,44,9,4,1,0,70,15,10,2,3,0,5,4,362,88,165,37,19,14,1,77,9,2,16,3,59,58,43,77,4,0,56,7,4,2,1,76,14,4,1,2,0,5,2,473,213,148,46,24,31,1,67,9,3,22,2,56,42,57,80,3,0
2023-07-30,1. Division,4198822,FC Helsingør,B 93,0.5,0.37870619946091644,0.12129380053908356,2,0,0,53,23,10,2,2,76,15,2,8,5,0,13,10,479,196,167,39,31,24,1,78,4,4,17,2,58,53,45,63,3,0,47,12,2,2,2,76,11,6,6,4,0,7,5,415,178,139,46,15,25,7,69,10,5,25,8,57,47,55,63,1,0
2023-08-04,1. Division,4198821,Horsens,HB Køge,0.32922824302134646,0.3977832512315271,0.27298850574712646,2,0,0,51,16,7,1,0,80,12,2,6,3,0,9,7,493,225,167,47,36,22,3,50,5,4,18,3,67,54,61,59,3,0,49,11,3,0,0,80,15,3,4,4,1,6,5,460,236,132,44,35,29,1,63,11,3,15,5,53,46,39,63,1,0
2023-08-04,1. Division,4198820,Hillerød,Hobro,0.2391041162227603,0.45460048426150124,0.3062953995157385,0,1,2,57,20,6,2,2,82,13,3,10,4,0,11,9,588,279,206,52,33,18,4,58,7,1,17,2,48,43,50,33,2,0,43,5,3,2,2,76,8,3,1,1,0,2,3,441,206,127,44,0,23,2,69,7,4,19,6,58,57,50,61,1,0
2023-08-05,1. Division,4198819,Vendsyssel FF,FC Helsingør,0.31645569620253167,0.45207956600361665,0.2314647377938517,2,1,0,52,7,4,3,1,79,18,1,3,0,0,4,3,435,218,125,44,29,24,5,69,9,6,34,5,63,50,73,67,6,0,48,21,6,2,1,79,12,7,9,6,0,11,10,382,156,147,46,25,32,0,47,9,0,12,2,48,50,27,44,2,0
2023-08-05,1. Division,4198818,B 93,Kolding IF,0.23938879456706283,0.4074702886247878,0.3531409168081494,1,1,1,59,8,2,1,0,80,16,5,3,3,0,6,2,533,220,204,57,0,35,2,54,13,2,19,3,39,37,33,24,2,0,41,15,4,2,2,72,13,4,9,2,0,12,3,356,136,120,46,40,18,2,63,15,3,20,1,68,63,67,64,1,0
2023-08-06,1. Division,4198817,Næstved,SønderjyskE,0.30194319880418535,0.4289985052316891,0.26905829596412556,1,4,2,46,8,3,1,0,80,18,2,5,0,0,6,2,467,259,114,49,23,32,3,52,8,1,15,4,52,47,41,35,2,0,54,12,8,3,2,81,13,3,3,1,0,9,3,560,293,163,41,23,23,2,54,4,0,13,2,61,53,59,35,1,0
2023-08-06,1. Division,4198816,Aalborg BK,Fredericia,0.5306298533218292,0.362381363244176,0.10698878343399482,4,0,0,55,17,8,4,1,88,16,7,5,4,1,14,3,558,226,263,48,30,15,0,62,19,2,13,2,53,43,58,58,1,0,45,11,3,1,1,82,10,4,7,1,1,7,4,461,219,160,53,26,25,2,50,7,4,18,4,61,57,42,55,3,0
2023-08-11,1. Division,4198815,Fredericia,Hillerød,0.45043830074173974,0.428186109238031,0.12137559002022927,3,2,0,56,20,7,1,0,83,11,12,8,5,0,11,9,519,230,201,60,11,17,1,60,8,3,9,3,55,58,55,55,1,0,44,13,4,2,1,82,18,2,6,3,0,10,3,408,179,155,48,17,22,0,47,8,5,33,4,41,42,45,30,1,0
2023-08-11,1. Division,4198804,FC Helsingør,Aalborg BK,0.22159672466734903,0.3781985670419652,0.4002047082906858,1,1,1,47,14,7,0,0,78,15,2,3,4,0,8,6,422,185,143,47,38,21,2,50,6,4,36,4,56,49,39,53,2,0,53,14,5,0,0,80,12,4,5,4,1,7,7,473,232,146,56,19,21,6,54,7,4,10,7,66,51,61,57,3,1
2023-08-11,1. Division,4198803,HB Køge,B 93,0.4934640522875817,0.40326797385620916,0.10326797385620914,1,7,2,51,6,1,1,0,81,16,7,3,2,0,5,1,485,229,166,49,18,22,2,80,11,3,13,5,37,45,39,35,5,0,49,23,11,6,3,83,9,1,8,4,0,12,11,466,228,161,66,18,25,4,53,11,2,17,0,48,55,61,62,0,0
