match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-03-21,US Open Cup,4118150,West Chester United,Ocean City Nor'easters,0.4230525649145028,0.25902469917669413,0.31792273590880304,1,3,2,53,20,10,4,3,78,9,12,6,4,0,17,3,416,173,153,57,40,29,0,63,11,1,11,1,55,49,35,33,1,0,47,11,4,3,1,73,11,2,6,1,1,8,3,394,157,131,48,30,14,1,41,13,6,28,7,66,51,65,56,3,0
2023-03-22,US Open Cup,4118156,El Farolito SC,International San Francisco,0.41657207718501704,0.3013620885357548,0.28206583427922816,3,0,0,60,19,5,3,1,78,25,11,4,10,0,9,10,496,193,192,55,11,43,3,70,9,5,32,3,91,54,53,67,4,1,40,13,3,0,0,69,23,8,5,5,0,9,4,332,106,122,34,22,24,1,71,16,10,25,2,79,46,47,55,4,0
2023-03-22,US Open Cup,4118147,Appalachian,North Carolina Fusion U23,0.43217665615141954,0.2886435331230284,0.27917981072555204,2,2,1,55,13,6,3,2,74,24,4,5,2,0,9,4,551,269,141,30,18,24,0,80,17,4,23,4,73,44,40,50,6,0,45,20,6,4,3,70,17,6,10,4,0,14,6,454,131,186,42,44,24,0,56,17,2,18,4,97,56,60,76,0,2
2023-03-22,US Open Cup,4125897,Club de Lyon FC 2,NONA FC,0.4072769953051643,0.29107981220657275,0.30164319248826293,0,1,2,58,11,5,0,0,82,11,1,3,3,0,5,6,284,111,123,61,13,13,1,100,4,1,6,1,20,43,25,50,4,0,42,3,2,1,0,73,12,0,0,1,0,2,1,207,105,47,46,17,11,1,60,1,2,12,5,28,57,75,57,4,1
2023-03-22,US Open Cup,4118153,Manhattan SC,FC Motown,0.4489247311827957,0.24193548387096775,0.30913978494623656,2,1,0,45,14,7,1,1,75,16,6,4,3,0,8,6,451,227,113,46,29,33,1,50,16,7,59,6,70,46,54,53,3,0,55,23,7,0,0,76,17,9,8,8,2,11,12,543,233,179,43,18,33,0,61,18,3,21,5,75,54,46,50,3,0
2023-03-23,US Open Cup,4118154,Chicago House,Bavarian SC,0.5071022727272727,0.24289772727272727,0.25,1,0,0,42,9,4,1,0,65,21,4,1,4,0,7,2,356,131,101,36,13,20,1,75,9,1,46,4,42,38,37,11,4,0,58,17,4,0,0,74,9,10,12,1,0,12,5,480,176,177,58,29,36,4,55,23,2,13,3,70,62,63,42,1,0
2023-03-23,US Open Cup,4118155,Beaman United,Des Moines Menace,0.3901639344262295,0.3,0.30983606557377047,0,3,2,49,13,2,2,2,72,16,9,6,5,0,10,3,299,92,123,38,28,40,4,70,13,2,23,3,58,56,62,41,3,0,51,10,6,2,0,72,19,9,2,2,0,6,4,321,119,111,25,30,31,2,55,15,5,23,2,45,44,38,36,4,0
2023-03-23,US Open Cup,4118151,Tulsa Athletics,Twin City Toucans,0.46954813359528486,0.3477406679764244,0.18271119842829076,1,0,0,48,18,5,4,4,72,8,3,5,8,0,7,11,328,158,79,49,11,26,3,57,20,7,30,5,63,58,60,50,0,0,52,20,5,0,0,69,21,5,8,7,0,6,14,343,94,144,34,5,30,0,63,10,7,13,4,45,42,40,47,4,1
2023-03-23,US Open Cup,4118158,UDA Soccer,Park City Red Wolves SC,0.3699788583509514,0.3171247357293869,0.3128964059196617,1,0,0,44,12,3,1,0,72,6,3,7,2,0,3,9,383,137,137,37,18,25,1,69,8,3,24,3,71,56,27,62,2,0,56,15,3,2,2,80,13,7,9,3,0,8,7,483,269,119,54,24,31,3,70,12,2,10,2,68,44,73,71,1,0
2023-03-23,US Open Cup,4118148,Ventura County Fusion,Capo,0.43757292882147025,0.3442240373395566,0.21820303383897316,1,4,2,59,17,5,2,1,70,11,9,9,3,3,11,6,395,151,126,50,33,31,0,41,7,3,17,1,57,52,40,33,2,0,41,12,5,3,0,60,17,2,4,3,0,9,3,283,79,91,33,30,27,6,63,18,3,26,4,58,48,60,50,3,0
2023-03-23,US Open Cup,4118149,Cleveland SC,Lionsbridge,0.4323529411764706,0.3426470588235294,0.225,1,0,0,43,17,6,4,3,68,15,5,7,4,0,12,5,344,153,82,45,50,23,5,65,16,2,20,8,53,42,51,40,4,1,57,22,8,3,3,74,11,6,11,3,0,12,10,439,162,165,58,32,26,3,56,10,4,11,5,64,58,49,61,4,0
2023-03-23,US Open Cup,4118157,Jacksonville Armada U23,Miami United,0.4147952443857332,0.2760898282694848,0.309114927344782,1,1,1,44,8,3,3,2,73,11,4,5,0,0,7,1,418,195,111,39,15,34,1,77,8,5,28,8,65,56,57,79,3,1,56,27,10,0,0,80,12,6,12,5,0,7,20,534,220,206,46,29,28,3,87,4,0,14,2,51,44,43,56,4,0
2023-03-23,US Open Cup,4118145,Hartford City FC,Lansdowne Yonkers,0.43494897959183676,0.3010204081632653,0.26403061224489793,1,2,2,37,6,1,1,0,71,13,3,4,1,0,3,3,266,100,88,33,6,25,1,60,15,1,17,5,47,53,40,25,3,0,63,12,7,4,2,82,21,2,4,1,0,8,4,482,198,195,60,30,27,1,62,6,1,23,0,46,47,60,57,4,0
