match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-01-14,Paulista A1,4066393,Inter de Limeira,Sao Bernardo,,,,0,3,2,50,15,6,1,1,84,13,5,7,2,0,4,11,458,179,204,58,27,18,3,58,14,1,14,2,59,51,67,55,0,0,50,11,5,2,0,80,15,0,4,2,0,7,4,456,233,130,49,17,18,0,75,9,2,12,6,51,49,33,47,0,0
2023-01-14,Paulista A1,4066392,Portuguesa,Botafogo SP,0.48,0.04,0.48,0,2,2,66,13,2,1,1,85,11,4,10,1,0,5,8,492,169,251,58,15,34,1,62,5,3,11,3,72,60,59,44,0,0,34,10,4,1,0,70,16,3,3,3,0,2,8,260,91,92,35,20,28,1,64,15,1,22,2,49,40,41,10,0,0
2023-01-14,Paulista A1,4066394,Santo Andre,Guarani,0.4375,0.1875,0.375,1,0,0,36,12,3,0,0,74,10,7,4,5,0,5,7,326,140,102,44,8,25,4,70,10,0,12,2,39,52,50,25,0,0,64,8,2,2,2,91,8,2,6,0,1,8,0,565,229,283,76,26,26,1,29,10,5,14,2,37,48,50,23,0,0
2023-01-14,Paulista A1,4066416,Palmeiras,Sao Bento,0.9233333333333333,0.04,0.03666666666666667,0,0,1,69,22,3,0,0,87,8,16,9,10,2,12,10,448,151,238,57,23,25,4,67,5,1,15,5,51,48,54,43,0,0,31,8,5,0,0,69,9,4,2,1,0,3,5,208,77,67,36,0,26,1,62,10,10,32,3,50,52,46,75,0,0
2023-01-14,Paulista A1,4066418,Santos FC,Mirassol,0.8690476190476191,0.07142857142857142,0.05952380952380952,2,1,0,50,9,3,3,1,79,16,5,3,3,0,6,3,406,182,137,48,33,19,0,76,8,1,18,4,50,49,46,47,0,0,50,14,5,0,0,79,10,4,8,1,0,5,9,423,166,168,57,25,23,1,53,10,2,13,1,53,51,54,31,0,0
2023-01-15,Paulista A1,4066395,Agua Santa,Ferroviaria,0.38461538461538464,0.23076923076923078,0.38461538461538464,1,3,2,67,26,5,1,1,83,18,11,14,7,1,12,14,456,234,143,50,31,24,2,82,8,3,18,3,47,44,60,38,0,0,33,16,6,5,2,68,14,6,7,3,0,7,9,223,110,42,31,27,19,0,53,9,8,27,3,47,56,40,20,0,0
2023-01-15,Paulista A1,4066417,Red Bull Bragantino,Corinthians,0.09170305676855896,0.04585152838427948,0.8624454148471615,1,0,0,54,19,6,3,2,84,21,6,10,3,1,11,8,389,131,197,58,38,21,1,60,10,2,18,4,37,39,44,20,0,0,46,8,4,0,0,75,12,1,2,2,0,5,3,341,144,112,44,0,35,2,63,2,3,14,5,55,61,56,18,0,0
2023-01-15,Paulista A1,4066419,Sao Paulo,Ituano FC,0.9046563192904656,0.0598669623059867,0.03547671840354767,0,0,1,76,22,4,0,0,91,9,10,7,11,0,11,11,732,247,419,68,27,14,4,91,4,2,14,3,39,55,44,46,0,0,24,6,3,0,0,71,12,3,1,2,0,3,3,224,80,80,36,20,20,2,30,18,11,33,4,37,45,56,30,0,0
2023-01-17,Paulista A1,4066426,Sao Bento,Santo Andre,0.4006488240064882,0.44849959448499593,0.15085158150851583,2,1,0,41,14,5,2,1,74,13,7,5,4,0,4,10,325,130,112,33,29,20,0,57,9,1,12,0,65,61,60,29,0,0,59,6,1,2,1,82,17,0,4,1,0,3,3,493,269,133,33,18,22,2,43,6,4,16,3,42,39,40,17,0,0
2023-01-17,Paulista A1,4066425,Mirassol,Inter de Limeira,0.5235646958011997,0.3787489288774636,0.09768637532133675,0,1,2,75,24,6,0,0,86,16,10,11,7,0,12,12,578,181,315,54,31,23,1,80,4,5,6,3,56,59,51,25,0,0,25,14,4,1,0,56,21,3,5,5,0,8,6,195,33,77,29,33,18,1,50,12,7,25,6,44,41,49,33,0,0
