match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2019-07-12,Premier League,3051803,Arsenal Tula,Dinamo Moscow,0.38187451587916343,0.3718048024786987,0.24632068164213788,1,1,1,53,18,2,2,2,79,15,4,11,5,0,7,11,413,154,174,48,17,26,1,45,9,5,27,5,63,53,50,63,0,0,47,15,6,1,1,74,17,4,4,5,0,9,6,366,107,163,46,22,24,4,82,11,4,31,1,58,47,50,67,3,0
2019-07-13,Premier League,3051805,Ural,FC Ufa,0.5102040816326531,0.3580705009276438,0.13172541743970315,3,2,0,47,13,8,2,0,77,13,8,3,2,0,9,4,350,142,129,64,35,21,0,67,6,3,28,2,59,43,59,40,0,0,53,15,4,2,1,77,9,4,8,3,0,8,7,384,119,178,42,20,27,0,65,4,2,18,5,58,57,41,45,1,0
2019-07-13,Premier League,3051799,Spartak Moscow,PFC Sochi,0.6980306345733042,0.22428884026258206,0.07768052516411379,1,0,0,60,15,5,1,1,78,13,7,4,6,0,7,8,556,221,211,52,24,29,3,64,14,2,21,4,70,47,58,62,4,0,40,16,5,3,3,68,10,5,10,1,0,6,10,361,115,132,29,39,14,0,56,16,6,32,4,67,53,42,53,2,0
2019-07-13,Premier League,3051800,FC Rostov,FC Orenburg,0.5708812260536399,0.2886334610472541,0.140485312899106,2,1,0,54,12,4,2,1,75,16,5,5,3,0,7,5,498,142,232,60,27,24,1,67,11,4,19,0,59,50,41,46,2,0,46,11,1,1,1,73,18,0,6,4,0,5,6,411,132,169,46,11,17,0,70,8,3,28,2,71,50,59,100,3,0
2019-07-14,Premier League,3051804,Krylya Sovetov Samara,CSKA Moscow,0.1896551724137931,0.36853448275862066,0.4418103448275862,2,0,0,31,6,6,1,0,74,14,2,0,0,0,5,4,279,99,107,49,17,6,0,75,17,0,36,2,53,59,46,77,0,0,69,10,2,0,0,84,14,5,8,0,0,11,8,623,154,368,63,25,15,1,63,9,0,10,4,45,41,54,60,0,0
2019-07-14,Premier League,3051798,Zenit St. Petersburg,FC Tambov,0.7160731472569779,0.22329162656400384,0.06063522617901829,2,1,0,64,12,6,3,2,88,16,2,4,2,0,9,3,645,237,329,65,30,24,2,45,11,1,8,2,59,43,64,58,2,0,36,7,3,0,0,77,14,1,3,1,1,3,4,369,172,111,37,0,11,0,61,14,2,27,4,63,57,36,93,2,0
2019-07-14,Premier League,3051802,FK Akhmat,FC Krasnodar,0.28292682926829266,0.3829268292682927,0.33414634146341465,1,0,0,39,10,6,3,3,77,24,4,4,0,0,9,4,339,118,144,42,33,10,2,46,8,0,33,3,67,52,60,63,0,0,61,11,3,1,1,83,21,4,8,0,1,8,9,544,185,265,43,6,18,2,71,9,0,11,5,56,48,40,54,0,0
2019-07-15,Premier League,3051801,Lokomotiv Moscow,Rubin Kazan,0.6598639455782312,0.2572665429808287,0.08286951144094001,1,1,1,49,12,4,4,4,83,19,3,8,0,1,8,8,498,191,222,56,0,25,0,62,14,0,13,4,46,49,40,67,0,0,51,7,5,3,2,81,12,5,2,0,0,8,7,511,228,186,59,50,11,4,76,13,0,13,3,53,51,60,63,0,0
2019-07-20,Premier League,3051812,FC Ufa,FC Krasnodar,0.24653739612188366,0.39058171745152354,0.3628808864265928,2,3,2,26,14,4,0,0,59,11,6,5,5,0,8,6,212,48,77,41,31,17,3,60,4,4,22,3,56,54,56,88,2,0,74,24,5,2,1,89,14,2,15,4,1,8,16,613,198,346,67,33,15,1,50,17,4,17,2,46,46,44,56,2,0
2019-07-20,Premier League,3051811,Krylya Sovetov Samara,Arsenal Tula,0.41855203619909503,0.4276018099547511,0.15384615384615385,2,3,2,46,9,4,1,0,79,17,5,5,0,0,8,2,368,154,135,48,31,14,0,67,12,0,18,4,43,35,45,21,0,0,54,14,7,1,0,81,16,9,7,0,0,7,12,441,157,201,60,22,16,1,56,6,0,17,2,69,65,55,83,0,0
