match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-08-05,Premiership,4220983,Celtic,Ross County,0.7393364928909952,0.16227488151658767,0.09838862559241707,4,2,0,75,18,12,7,3,91,6,4,3,3,0,15,3,806,430,300,75,20,23,0,67,11,1,18,0,46,55,45,27,0,0,25,7,2,1,1,67,14,8,4,1,0,7,0,264,77,99,36,33,24,3,71,16,3,19,8,43,45,55,43,4,0
2023-08-05,Premiership,4220995,Dundee FC,Motherwell,0.35019455252918286,0.30628126737076156,0.3435241801000556,1,1,1,42,17,2,2,1,63,12,7,6,9,1,9,8,289,77,105,28,23,34,0,40,11,4,27,2,59,48,45,38,0,0,58,13,3,1,0,71,12,12,6,4,0,6,7,403,112,176,42,23,24,1,79,7,10,23,0,68,52,55,42,2,0
2023-08-05,Premiership,4220994,Livingston,Aberdeen,0.23542600896860988,0.26121076233183854,0.5033632286995515,0,0,1,47,12,2,1,1,53,22,7,7,3,0,8,4,288,58,96,42,29,29,1,42,11,7,27,0,86,52,60,45,3,0,53,11,0,0,0,55,13,7,4,7,0,9,2,320,54,121,26,16,26,2,91,12,3,28,2,69,48,40,40,4,0
2023-08-05,Premiership,4220993,St. Johnstone,Hearts,0.1963377416073245,0.2451678535096643,0.5584944048830112,0,2,2,32,10,3,1,1,44,14,6,3,4,0,7,3,207,42,49,18,22,18,2,50,15,0,26,7,63,56,53,67,2,0,68,16,9,5,3,77,13,9,7,0,0,12,4,457,163,188,41,27,28,2,80,8,5,17,2,53,44,47,82,3,0
2023-08-05,Premiership,4220992,Kilmarnock,Rangers,0.1796915612545486,0.17622595737307226,0.6440824813723791,1,0,0,32,10,3,1,0,60,7,2,5,2,0,6,4,291,52,124,38,20,17,0,53,14,3,28,4,52,57,50,67,0,0,68,18,4,0,0,82,10,8,11,3,0,14,4,601,207,288,36,21,35,3,53,7,2,11,2,43,43,50,36,0,0
2023-08-06,Premiership,4220991,Hibernian,St. Mirren,0.5637560637560638,0.2872487872487873,0.14899514899514898,2,3,2,59,14,6,3,2,73,14,2,5,3,0,9,5,424,160,150,49,39,32,0,20,9,2,12,1,55,33,59,50,2,0,41,8,4,3,0,62,7,7,2,2,0,7,1,288,83,96,25,27,20,5,87,4,3,29,3,64,67,41,73,2,0
2023-08-12,Premiership,4220987,Rangers,Livingston,0.6821331093848415,0.2015536426621877,0.11631324795297082,4,0,0,68,22,9,7,4,83,9,5,7,6,0,16,6,608,253,254,62,35,23,2,80,9,0,13,3,51,45,56,40,1,0,32,6,2,0,0,64,9,4,4,0,0,3,3,280,107,72,30,21,21,1,50,17,5,17,5,54,55,44,64,1,0
2023-08-12,Premiership,4220986,Ross County,St. Johnstone,0.4681274900398406,0.3237051792828685,0.20816733067729085,2,0,0,44,19,8,7,6,60,11,6,6,5,0,17,2,261,59,97,38,53,33,4,64,11,2,25,3,63,42,47,44,2,0,56,12,3,0,0,66,14,7,6,3,0,5,7,338,119,103,33,19,36,1,67,6,5,26,6,79,58,53,65,2,0
2023-08-12,Premiership,4220985,St. Mirren,Dundee FC,0.5513698630136986,0.2748287671232877,0.1738013698630137,2,1,0,48,15,2,3,3,60,8,4,7,6,1,11,4,322,85,107,33,30,31,0,75,5,1,31,3,67,53,59,44,2,0,52,7,4,3,2,64,8,3,2,1,0,6,1,352,90,135,29,17,50,0,72,10,7,29,0,53,47,41,42,3,0
2023-08-13,Premiership,4220990,Aberdeen,Celtic,0.18757941550190596,0.16740787801778909,0.645012706480305,1,3,2,33,11,2,2,1,53,12,9,6,3,0,8,3,247,49,83,22,8,23,1,70,11,3,25,5,53,58,37,50,0,0,67,16,10,6,4,76,11,9,4,2,0,10,6,528,227,173,38,29,23,1,60,10,3,30,1,54,42,63,50,2,0
