match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2020-08-14,Premier League,3283459,Forge FC,Cavalry FC,0.6063829787234043,0.2712765957446808,0.12234042553191489,2,2,1,48,9,4,1,0,73,17,2,2,3,0,5,4,374,164,108,40,22,25,3,54,12,0,26,4,55,53,38,55,0,0,52,14,6,3,1,74,19,4,4,4,0,8,6,398,166,130,42,29,15,0,80,6,0,13,2,62,47,62,50,0,0
2020-08-15,Premier League,3283461,York 9 FC,Atletico Ottawa,0.4823943661971831,0.3204225352112676,0.19718309859154928,2,2,1,49,16,6,2,0,82,11,7,7,3,0,10,6,391,145,177,73,31,17,0,73,17,0,10,0,58,59,70,56,0,0,51,4,2,2,0,78,19,0,1,1,0,2,2,425,184,147,37,0,18,0,64,13,0,16,4,36,41,30,71,0,0
2020-08-15,Premier League,3283521,HFX Wanderers FC,Pacific FC,0.5208333333333334,0.35,0.12916666666666668,2,2,1,40,9,5,3,1,74,15,8,3,1,0,8,1,325,121,119,43,26,16,3,68,11,0,14,2,59,49,40,73,0,0,60,13,4,2,1,81,14,3,6,3,1,8,5,504,232,174,53,19,27,1,63,8,0,15,2,65,51,60,78,0,0
2020-08-16,Premier League,3283532,Valour FC,Cavalry FC,0.4052044609665427,0.3940520446096654,0.20074349442379183,0,2,2,42,4,0,0,0,76,23,0,3,1,0,2,2,321,138,105,43,13,19,3,55,8,0,11,1,36,38,50,44,0,0,58,8,3,3,1,81,13,5,3,2,0,7,1,436,265,89,41,31,18,2,47,9,0,13,0,52,62,50,58,0,0
2020-08-16,Premier League,3283488,Forge FC,FC Edmonton,0.5846645367412141,0.3194888178913738,0.09584664536741214,2,0,0,64,7,3,0,0,87,9,7,2,2,0,2,5,616,277,261,64,13,20,0,60,7,0,15,2,53,53,58,58,0,0,36,13,2,1,1,85,13,5,8,3,2,8,5,347,169,126,60,12,9,2,67,9,0,26,2,44,47,42,59,0,0
2020-08-19,Premier League,3283524,Pacific FC,York 9 FC,0.4657142857142857,0.3314285714285714,0.20285714285714285,1,1,1,53,13,4,1,1,83,16,10,7,2,0,11,2,355,142,152,67,23,24,2,58,8,0,12,1,44,54,55,50,0,0,47,9,2,1,1,79,10,2,5,2,0,6,3,338,162,106,41,10,26,2,56,19,0,33,4,37,46,45,23,0,0
2020-08-19,Premier League,3283548,Atletico Ottawa,Valour FC,0.5194444444444445,0.36944444444444446,0.1111111111111111,0,4,2,41,10,3,0,0,82,15,1,4,3,1,6,4,313,145,113,47,23,13,0,87,6,0,15,7,38,47,20,50,0,0,59,21,11,2,1,89,9,11,5,5,0,15,6,457,209,198,70,41,16,0,67,10,0,8,3,46,53,80,50,0,0
2020-08-20,Premier League,3283490,HFX Wanderers FC,Forge FC,0.39751552795031053,0.37267080745341613,0.22981366459627328,1,1,1,42,7,1,0,0,74,17,1,4,2,0,2,5,377,153,127,28,0,14,3,79,15,0,19,4,64,58,70,79,0,0,58,10,5,2,1,84,18,3,4,1,0,7,3,512,232,199,59,7,26,0,27,19,0,11,0,44,41,30,62,0,0
2020-08-21,Premier League,3283470,FC Edmonton,Cavalry FC,0.38372093023255816,0.35755813953488375,0.25872093023255816,0,2,2,28,5,0,0,0,70,17,1,5,0,0,3,2,235,82,82,49,25,18,4,64,11,0,28,3,52,47,66,60,0,0,72,13,5,5,3,86,16,9,6,2,0,10,3,592,324,184,55,36,22,0,50,6,0,8,0,46,53,34,60,0,0
2020-08-22,Premier League,3283473,York 9 FC,Valour FC,0.5299539170506913,0.31797235023041476,0.15207373271889402,0,0,1,50,12,3,0,0,77,18,9,4,5,0,7,5,371,136,150,53,25,24,0,82,8,0,13,3,46,50,63,42,0,0,50,11,3,0,0,78,19,4,4,4,0,3,8,381,176,122,46,17,9,1,47,10,0,18,3,41,50,37,0,0,0
2020-08-22,Premier League,3283499,Forge FC,Pacific FC,0.6618705035971223,0.27697841726618705,0.06115107913669065,2,1,0,47,14,6,1,0,76,10,7,6,2,1,8,6,358,166,105,46,17,19,5,80,9,0,18,2,61,53,62,45,0,0,53,21,4,1,0,78,20,5,11,6,1,15,6,405,126,189,36,38,19,2,76,12,0,23,4,50,47,38,67,0,0
2020-08-23,Premier League,3283544,Atletico Ottawa,FC Edmonton,0.5077519379844961,0.38372093023255816,0.10852713178294573,2,2,1,42,11,4,1,0,76,17,4,5,2,1,5,6,344,102,160,39,7,11,3,67,11,0,18,2,52,48,46,36,0,0,58,12,4,3,1,88,17,4,4,4,0,10,2,481,219,203,56,21,24,0,78,9,0,10,2,58,52,54,52,0,0
2020-08-24,Premier League,3283514,Cavalry FC,HFX Wanderers FC,0.6472602739726028,0.23972602739726026,0.11301369863013698,2,1,0,54,8,4,2,2,81,21,5,2,2,0,6,2,498,264,141,47,25,14,2,45,10,0,14,2,62,56,45,60,0,0,46,8,3,2,1,79,18,4,2,3,0,5,3,432,202,138,48,29,24,3,50,6,0,21,2,55,44,55,60,0,0
2020-08-26,Premier League,3283466,Pacific FC,Valour FC,0.49577464788732395,0.3464788732394366,0.15774647887323945,2,0,0,54,15,8,2,0,78,13,4,5,2,0,11,4,413,180,142,46,27,19,3,67,18,0,20,6,43,46,67,69,0,0,46,14,6,2,2,72,11,9,5,3,0,7,7,358,156,101,40,15,22,1,64,11,0,7,6,43,54,33,59,0,0
2020-08-26,Premier League,3283486,York 9 FC,Forge FC,0.3577981651376147,0.43119266055045874,0.21100917431192662,3,2,0,44,13,5,2,0,80,19,6,7,1,1,7,6,305,109,134,38,23,16,0,54,12,0,16,3,61,50,42,65,0,0,56,11,5,4,3,80,19,9,5,1,0,9,2,393,188,128,51,32,20,1,74,5,0,14,2,63,50,58,63,0,0
