match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2020-12-11,Premier League,3491093,ENPPI,Aswan FC,0.52046783625731,0.33723196881091616,0.14230019493177387,0,1,2,57,6,0,0,0,81,14,2,5,1,0,3,3,409,162,168,57,8,19,2,65,11,0,4,0,57,47,61,46,0,0,43,5,1,0,0,66,16,3,4,0,0,4,1,308,116,88,33,40,17,3,76,8,0,13,0,56,53,39,47,0,0
2020-12-11,Premier League,3491095,Tala'ea El Gaish,El Gouna FC,0.5483870967741935,0.3333333333333333,0.11827956989247312,1,1,1,51,11,3,4,3,71,7,5,5,3,0,6,5,394,122,158,48,10,34,1,72,17,2,9,1,65,64,64,70,3,0,49,7,2,2,1,72,18,3,3,2,0,6,1,394,123,159,47,35,24,3,69,12,3,30,2,37,36,36,29,1,0
2020-12-11,Premier League,3491097,El Entag El Harby,Ceramica Cleopatra,0.4923547400611621,0.3211009174311927,0.18654434250764526,0,2,2,49,17,6,0,0,76,17,3,8,3,0,11,6,399,162,142,54,37,20,3,69,17,0,9,2,48,50,64,80,0,0,51,12,4,4,3,77,15,2,7,1,1,9,3,418,149,173,45,33,13,0,86,9,0,13,5,42,50,36,60,0,0
2020-12-12,Premier League,3491096,National Bank,Wadi Degla FC,0.421875,0.2734375,0.3046875,1,1,1,50,16,2,0,0,72,14,5,6,8,0,14,2,374,113,158,43,17,10,3,92,15,0,16,0,38,53,58,20,0,0,50,4,1,0,0,74,11,2,3,0,0,4,0,385,197,87,53,25,13,2,88,13,0,17,1,31,47,42,100,0,0
2020-12-12,Premier League,3491098,Pyramids FC,Al Ittihad Alexandria,0.62109375,0.27734375,0.1015625,1,2,2,65,12,6,2,2,80,14,5,4,2,0,8,4,413,154,175,58,23,23,2,73,12,2,9,1,52,55,59,100,0,0,35,6,3,1,0,64,17,4,0,3,0,3,3,218,63,76,39,20,20,6,80,14,2,7,5,40,45,41,100,0,0
2020-12-12,Premier League,3491091,Al Mokawloon Al Arab,El Zamalek,0.2388663967611336,0.3259109311740891,0.4352226720647773,0,2,2,40,11,0,0,0,72,14,6,5,6,0,8,3,321,89,143,38,20,4,2,71,13,0,17,7,54,54,43,50,0,0,60,11,8,1,1,81,21,7,3,0,0,7,4,493,193,207,62,27,26,0,75,24,0,20,0,53,46,57,64,0,0
2020-12-13,Premier League,3491092,Al Masry SC,Ismaily SC,0.5167464114832536,0.2966507177033493,0.18660287081339713,0,0,1,65,11,0,0,0,78,9,6,6,5,0,3,8,521,231,173,53,20,25,2,82,6,5,5,3,43,49,71,36,1,0,35,12,3,1,1,69,17,1,4,5,0,4,8,286,82,115,40,33,19,0,61,21,5,28,0,37,51,29,60,1,0
2020-12-13,Premier League,3491090,Al Ahly SC,Misr Lel Makkasa SC,0.768177028451001,0.16859852476290832,0.06322444678609063,3,1,0,54,14,7,2,0,80,11,5,6,1,1,10,4,424,228,110,53,33,28,9,67,10,1,9,0,45,61,44,44,0,0,46,4,1,0,0,78,15,4,2,1,0,2,2,375,175,118,51,29,23,0,88,10,1,15,4,34,39,56,41,1,0
2020-12-14,Premier League,3491094,Smouha SC,Ghazl Al Mahalla,0.5334075723830735,0.366369710467706,0.10022271714922049,1,1,1,57,17,5,2,1,70,12,8,7,5,1,12,5,337,103,132,33,24,19,2,68,11,3,15,1,46,53,39,50,0,0,43,10,2,3,2,60,19,5,5,3,0,5,5,253,68,85,39,27,24,0,67,12,5,33,4,45,47,61,67,0,0
2020-12-16,Premier League,3494867,Aswan FC,Tala'ea El Gaish,0.45251396648044695,0.3743016759776536,0.17318435754189945,2,1,0,40,8,5,2,0,63,16,3,2,1,0,5,3,298,87,101,29,21,24,1,69,7,4,21,2,42,49,55,33,0,0,60,15,3,0,0,74,11,7,8,4,1,12,3,449,160,172,52,42,23,2,56,11,1,9,3,40,51,45,33,0,0
