match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2021-08-19,Pro League,3640593,Al Orooba,Al-Wahda,0.26861702127659576,0.4095744680851064,0.32180851063829785,0,4,2,38,8,0,1,1,87,13,1,6,2,0,2,6,384,256,79,40,22,10,2,78,12,0,22,1,34,56,17,53,0,0,62,17,5,3,0,92,14,6,10,2,0,9,8,619,215,354,67,29,12,1,83,2,0,12,0,35,44,83,33,0,0
2021-08-19,Pro League,3640592,Emirates Club,Shabab Al-Ahli Dubai FC,0.23133235724743778,0.3733528550512445,0.3953147877013177,0,1,2,25,3,1,1,1,58,16,4,2,0,0,1,2,166,37,60,35,19,13,0,53,11,0,19,6,46,48,44,62,0,0,75,13,7,4,4,86,10,4,6,0,1,10,3,533,244,213,56,35,15,0,89,6,0,16,1,52,52,56,69,0,0
2021-08-19,Pro League,3640594,Ajman,Al-Nasr SC,0.3162393162393162,0.391025641025641,0.29273504273504275,3,0,0,28,9,5,6,4,71,12,1,4,0,1,6,3,239,102,67,41,0,5,2,62,12,0,19,5,34,48,43,54,0,0,72,16,5,5,5,89,6,10,6,5,0,11,5,595,203,329,76,28,22,2,89,13,0,3,2,39,52,57,47,0,0
2021-08-20,Pro League,3640596,Al-Jazira,Al-Dhafra,0.6318407960199005,0.2935323383084577,0.07462686567164178,2,0,0,79,16,7,2,0,93,14,5,7,2,0,9,7,829,291,477,79,45,15,3,36,8,0,9,0,44,46,70,71,0,0,21,4,0,0,0,66,6,5,2,2,0,2,2,212,70,69,37,29,15,1,69,20,0,9,5,41,54,30,69,0,0
2021-08-20,Pro League,3640595,Khorfakkan,Al-Ain,0.23191489361702128,0.39574468085106385,0.3723404255319149,1,3,2,45,15,2,3,2,82,8,4,8,5,0,10,5,369,205,98,45,20,17,0,50,12,7,19,4,48,60,45,84,3,0,55,22,7,2,0,86,8,6,7,8,0,15,7,441,181,200,54,31,21,1,56,12,5,12,1,39,40,55,67,0,0
2021-08-20,Pro League,3640597,Baniyas,Al-Wasl,0.47530864197530864,0.35802469135802467,0.16666666666666666,0,1,2,47,3,1,0,0,79,9,4,1,1,0,2,1,350,159,118,34,24,20,0,86,13,3,20,3,54,47,50,50,0,0,53,14,4,0,0,85,10,9,7,3,1,11,3,394,166,170,53,27,28,1,56,13,1,19,1,58,53,50,70,1,0
2021-08-20,Pro League,3640598,Sharjah Cultural Club,Al Ittihad Kalba,0.5879828326180258,0.30686695278969955,0.10515021459227468,1,0,0,58,10,3,3,2,85,14,6,4,3,0,4,6,413,158,191,61,16,24,1,86,8,1,15,3,39,49,42,64,1,0,42,9,3,0,0,75,11,4,4,2,0,4,5,304,126,103,52,33,19,0,63,9,3,20,2,45,51,58,67,2,0
2021-08-25,Pro League,3640599,Al Ittihad Kalba,Al-Jazira,0.2812051649928264,0.37589670014347204,0.3428981348637016,0,0,1,38,18,4,3,3,84,16,4,9,5,1,14,4,290,139,106,46,37,9,2,55,9,0,24,5,43,57,55,73,0,0,62,8,5,1,1,88,14,8,2,1,0,5,3,504,197,247,82,25,10,3,100,2,0,17,4,33,43,45,42,0,0
2021-08-25,Pro League,3640602,Shabab Al-Ahli Dubai FC,Ajman,0.6957013574660633,0.23076923076923078,0.07352941176470588,1,0,0,64,14,4,1,1,89,8,4,6,4,0,7,7,547,252,233,57,45,13,1,67,7,0,10,1,55,63,60,67,0,0,36,6,1,0,0,79,20,3,2,3,0,2,4,293,130,102,53,9,15,0,62,11,0,11,3,33,37,40,33,0,0
2021-08-25,Pro League,3640601,Al-Ain,Emirates Club,0.6576879910213244,0.2716049382716049,0.0707070707070707,2,0,0,62,18,12,6,4,86,22,10,5,1,1,15,3,452,214,176,61,33,15,2,50,10,1,9,4,59,47,66,83,2,0,38,8,4,2,2,76,10,1,2,2,0,5,3,280,138,74,50,8,21,0,71,12,1,13,10,55,53,34,75,2,0
