match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-08-25,Saudi Professional League,3993241,Al-Fayha,Damac FC,0.4370044052863436,0.38237885462555066,0.18061674008810572,0,1,2,57,14,3,1,1,84,8,3,9,2,1,8,6,494,189,228,65,17,26,1,47,7,2,16,3,38,46,56,33,0,0,43,8,4,0,0,77,6,2,1,3,0,6,2,363,155,123,37,14,21,1,58,8,2,23,3,39,54,44,69,1,0
2022-08-25,Premier League,3993254,Al Khaleej,Al Hilal,0.12530712530712532,0.1292997542997543,0.7453931203931204,0,2,2,35,13,3,1,1,78,10,4,7,3,0,6,7,260,101,103,45,7,22,2,58,19,4,9,3,28,47,24,18,2,0,65,10,5,4,2,85,11,5,1,4,0,7,3,513,290,147,56,14,24,0,75,6,3,19,3,40,53,76,33,1,0
2022-08-26,Premier League,3993256,Al-Adalah,Al Ittihad,0.15362485615650173,0.20368239355581128,0.642692750287687,0,3,2,57,6,0,0,0,84,12,5,3,3,0,4,2,423,167,188,41,12,22,1,47,13,1,15,5,44,49,29,55,2,0,43,15,8,4,1,79,12,5,6,1,1,13,2,317,152,98,47,31,26,4,47,12,3,20,0,53,51,71,65,1,0
2022-08-26,Premier League,3993255,Al-Ettifaq,Al Taee,0.4330827067669173,0.35639097744360904,0.21052631578947367,1,2,2,53,8,1,0,0,80,11,4,3,4,0,4,4,395,190,127,53,18,13,1,61,12,1,9,4,52,51,54,67,1,0,47,11,6,0,0,77,11,6,4,1,0,8,3,357,178,96,31,27,21,3,79,6,4,16,0,49,49,46,55,2,0
2022-08-26,Saudi Professional League,3993257,Al Shabab,Al Batin,0.6344676180021954,0.2711306256860593,0.09440175631174534,3,0,0,80,19,7,3,2,89,9,8,10,2,1,16,3,628,95,463,72,26,26,1,67,6,1,5,1,33,42,58,45,0,0,20,3,1,0,0,55,4,0,1,1,0,0,3,161,55,33,27,50,15,1,54,8,2,31,4,36,58,42,57,1,0
2022-08-27,Premier League,3993258,Al Fateh FC,Al-Taawoun,0.43874643874643876,0.27635327635327633,0.2849002849002849,0,2,2,48,15,6,4,4,86,14,8,9,0,0,11,4,392,154,183,71,21,13,5,67,14,3,8,2,46,48,53,83,0,0,52,11,4,1,0,83,14,4,4,3,0,8,3,447,224,145,45,50,12,2,80,11,0,25,6,48,52,47,45,0,0
2022-08-27,Saudi Professional League,3993259,Abha,Al-Raed,0.3257328990228013,0.3257328990228013,0.3485342019543974,2,1,0,50,11,5,2,1,81,14,7,4,2,0,8,3,367,146,150,43,14,23,1,53,8,2,13,1,46,45,57,40,2,0,50,9,2,1,0,80,11,8,5,2,0,7,2,378,139,162,58,24,27,1,59,6,2,16,3,48,55,43,50,1,0
2022-08-27,Saudi Professional League,3993260,Al Nassr FC,Al-Wehda,0.7266187050359713,0.12390087929656275,0.14948041566746603,1,0,0,60,8,2,0,0,87,9,4,2,4,0,5,3,498,268,166,57,25,16,1,71,11,2,11,2,49,54,61,53,1,0,40,7,2,1,1,80,11,2,2,3,0,4,3,335,155,114,47,13,22,0,58,12,4,16,1,40,46,39,42,1,0
2022-08-31,Saudi Professional League,3993261,Al Batin,Al Fateh FC,0.3313840155945419,0.38791423001949316,0.2807017543859649,0,5,2,26,1,0,0,0,61,10,0,1,0,0,1,0,194,82,36,36,0,8,1,56,10,2,26,6,47,59,36,50,1,1,74,19,11,6,4,88,16,10,6,2,0,13,6,519,123,336,80,26,12,2,58,5,0,0,0,41,41,64,36,2,0
2022-08-31,Saudi Professional League,3993262,Al Hilal,Al-Fayha,0.7770237518177412,0.13523994183228308,0.08773630634997576,2,0,0,68,16,6,1,0,87,11,11,5,5,0,10,6,553,217,265,78,21,16,0,83,11,1,11,2,40,44,73,60,2,0,32,6,3,1,1,75,12,5,2,1,0,5,1,275,103,104,43,22,18,1,58,18,5,29,4,37,56,27,80,2,0
