match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2021-05-29,Serie A,3564290,Cuiaba,Juventude,0.5038335158817087,0.3647316538882804,0.13143483023001096,2,2,1,59,14,2,1,0,85,14,9,8,4,0,8,6,490,254,163,55,35,20,0,63,5,0,6,1,63,55,48,57,0,0,41,7,3,4,2,78,14,1,3,1,0,4,3,342,173,93,41,30,14,1,69,9,0,18,0,58,45,52,73,0,0
2021-05-29,Serie A,3564293,Bahia,Santos FC,0.4068241469816273,0.3700787401574803,0.2230971128608924,3,0,0,34,5,3,3,0,76,18,4,2,0,0,4,1,304,133,97,46,38,23,2,69,9,3,33,4,41,46,45,56,3,0,66,12,4,0,0,89,9,11,5,3,0,3,9,563,202,299,54,14,19,2,75,12,0,14,0,49,54,55,47,3,0
2021-05-30,Serie A,3564297,Sao Paulo,Fluminense,0.6039525691699604,0.2909090909090909,0.10513833992094862,0,0,1,71,7,3,1,1,87,10,4,2,2,0,6,1,636,262,292,48,28,25,2,63,11,2,14,5,47,48,48,33,1,0,29,11,5,2,2,71,12,5,4,2,0,9,2,251,84,94,55,21,24,2,60,10,2,23,3,50,52,52,50,2,0
2021-05-30,Serie A,3564296,Atletico MG,Fortaleza,0.5725429017160687,0.3166926677067083,0.11076443057722309,1,2,2,54,13,4,3,2,82,16,5,5,4,0,5,8,398,181,145,55,25,18,2,56,6,0,2,3,42,50,39,64,0,0,46,18,5,1,0,83,19,4,8,5,0,9,9,329,135,137,49,38,17,3,60,12,0,11,3,46,50,61,69,0,0
2021-05-30,Serie A,3564294,Ceara,Gremio,0.2957639939485628,0.40998487140695916,0.29425113464447805,3,2,0,35,12,6,1,1,71,17,5,5,1,1,9,3,277,94,102,47,50,16,2,30,6,0,22,1,58,43,49,60,0,0,65,12,3,3,1,83,18,4,5,4,0,8,4,520,231,203,68,29,21,0,45,6,0,8,3,70,57,51,73,0,0
2021-05-30,Serie A,3564289,Flamengo,Palmeiras,0.5328425821064553,0.3114382785956965,0.15571913929784825,1,0,0,62,14,10,4,3,87,25,3,3,1,0,9,5,503,191,249,61,7,20,0,69,10,1,4,5,61,49,79,55,2,0,38,12,5,1,1,81,21,4,6,1,0,4,8,300,157,87,52,23,11,3,65,18,2,8,8,51,51,21,38,3,0
2021-05-30,Serie A,3564292,Athletico Paranaense,America MG,0.532777115613826,0.3432657926102503,0.12395709177592372,1,0,0,56,11,5,1,1,83,18,3,5,1,1,6,5,557,283,180,65,42,22,0,80,7,0,10,4,44,42,65,88,0,0,44,14,4,1,1,82,9,1,6,4,0,5,9,429,195,156,49,24,15,0,71,20,0,13,4,41,58,35,67,0,0
2021-05-30,Serie A,3564291,Chapecoense AF,Red Bull Bragantino,0.4406779661016949,0.3050847457627119,0.2542372881355932,0,3,2,44,10,2,1,1,80,9,5,6,2,0,5,5,428,220,122,38,19,21,0,80,11,0,17,5,36,48,20,73,0,0,56,18,8,4,3,88,12,7,8,2,2,12,6,552,214,269,75,28,16,2,42,14,0,18,2,50,52,80,70,0,0
2021-05-30,Serie A,3564298,Corinthians,Atletico GO,0.6058763931104356,0.292806484295846,0.10131712259371833,0,1,2,60,15,6,3,3,83,18,10,5,4,0,9,6,518,207,224,54,0,14,1,63,9,0,10,1,47,45,47,33,0,0,40,7,2,1,0,72,14,3,3,2,0,1,6,351,166,88,41,29,11,5,55,8,0,34,6,56,55,53,44,0,0
2021-05-30,Serie A,3564295,Internacional,Sport Recife,0.6093073593073594,0.2813852813852814,0.10930735930735931,2,2,1,57,11,4,1,0,87,24,6,6,1,1,8,3,485,226,194,41,23,18,0,42,6,0,10,3,49,43,48,57,0,0,43,8,5,4,2,83,15,1,2,1,0,5,3,362,185,114,45,15,14,2,57,7,0,10,2,63,57,52,47,0,0
2021-06-05,Serie A,3564302,Atletico GO,Sao Paulo,0.35878962536023057,0.38976945244956773,0.25144092219020175,2,0,0,38,9,4,2,1,75,16,3,2,3,0,3,6,291,148,70,36,33,18,1,56,3,4,26,3,38,41,53,71,4,0,62,14,3,1,1,85,14,12,6,5,0,10,4,459,205,187,56,33,16,1,67,9,3,10,2,49,59,47,83,5,0
2021-06-06,Serie A,3564304,Red Bull Bragantino,Bahia,0.5204081632653061,0.3554421768707483,0.12414965986394558,3,3,1,61,24,6,1,0,83,12,9,9,9,0,14,10,442,162,205,70,15,28,1,69,11,3,5,0,66,48,82,59,0,0,39,9,3,1,0,73,13,2,3,3,0,4,5,295,143,72,34,50,26,3,59,15,9,44,3,49,52,18,50,0,0
2021-06-06,Serie A,3564309,Santos FC,Ceara,0.5578284815106216,0.33123524783634933,0.1109362706530291,3,1,0,57,15,5,2,1,85,18,4,6,4,0,7,8,548,284,180,47,33,20,1,33,8,1,9,2,52,47,50,54,3,0,43,6,3,1,0,82,19,1,1,2,0,4,2,419,138,206,49,13,16,3,69,9,4,12,2,57,53,50,60,1,0
2021-06-06,Serie A,3564299,Fluminense,Cuiaba,0.5536568694463432,0.34518113465481887,0.10116199589883801,1,0,0,45,8,3,1,0,85,22,0,2,3,0,2,6,394,143,190,57,7,17,0,31,12,1,7,4,42,43,44,56,2,0,55,10,4,0,0,84,15,1,5,1,0,5,5,489,252,161,68,25,14,4,80,8,3,14,2,55,57,56,64,1,0
