match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-08-19,Serie A,4230531,Empoli,Hellas Verona,0.41228165346642076,0.40425301074102205,0.18346533579255722,0,1,2,47,10,4,1,1,64,17,2,5,1,0,4,6,314,122,78,25,0,37,2,50,5,1,11,3,45,47,26,24,2,0,53,10,4,1,1,71,18,4,5,1,0,6,4,351,147,102,56,21,24,3,60,11,1,20,4,70,53,74,36,2,0
2023-08-19,Serie A,4230532,Frosinone,Napoli,0.1293632572740477,0.24045354448765402,0.6301831982382983,1,3,2,48,4,1,1,0,88,14,4,2,1,1,3,1,440,274,112,38,29,15,3,100,2,7,17,5,32,42,31,29,3,0,52,19,8,1,0,89,17,6,4,7,0,13,6,473,208,212,56,22,11,3,55,3,1,7,0,47,58,69,63,3,0
2023-08-19,Serie A,4230537,Genoa,Fiorentina,0.1954827280779451,0.32391496899911426,0.48060230292294065,1,4,2,32,4,2,2,1,75,14,3,2,0,0,4,0,291,135,83,50,31,20,2,64,9,2,13,1,43,50,48,64,2,0,68,9,5,2,0,88,13,4,2,2,1,5,4,656,336,239,71,8,22,1,73,7,0,14,1,44,50,52,63,3,0
2023-08-19,Serie A,4230533,Inter,Monza,0.704898828541001,0.21448349307774228,0.08061767838125665,2,0,0,48,22,3,2,0,90,8,8,12,7,0,14,8,474,184,242,73,52,9,1,76,9,4,12,2,45,57,60,43,1,0,52,12,2,2,2,90,13,3,6,4,0,7,5,528,235,242,70,50,15,1,77,13,7,10,1,33,43,40,38,1,0
2023-08-20,Serie A,4230534,Roma,Salernitana,0.6539640173981811,0.25879794385132465,0.08723803875049427,2,2,1,60,13,3,3,1,82,12,9,7,3,1,9,4,475,205,184,43,33,28,1,87,9,0,5,0,54,59,63,53,0,0,40,3,2,1,0,73,9,1,1,0,0,2,1,332,128,113,23,0,17,1,67,10,3,18,1,35,41,37,30,4,0
2023-08-20,Serie A,4230535,Sassuolo,Atalanta,0.2122818175393965,0.34789060843756625,0.43982757402303724,0,2,2,50,11,3,0,0,87,9,7,4,4,1,4,7,491,237,190,44,21,12,0,60,12,4,17,2,46,51,53,64,0,0,50,16,6,3,2,86,13,7,8,2,1,10,6,480,211,202,52,28,17,2,54,9,4,9,3,43,49,47,87,0,0
2023-08-20,Serie A,4230539,Lecce,Lazio,0.1638110072689512,0.28589044652128764,0.5502985462097612,2,1,0,48,23,7,2,2,86,12,5,8,8,0,13,10,458,195,197,53,25,19,2,38,8,3,12,3,49,51,53,57,3,0,52,10,4,4,3,85,16,2,3,3,1,6,4,516,241,200,46,25,12,1,57,10,8,20,5,46,49,47,63,2,0
2023-08-20,Serie A,4230538,Udinese,Juventus,0.13551887858919284,0.21116888989373728,0.6533122315170699,0,3,2,48,18,5,2,2,88,12,7,6,7,0,6,12,429,176,202,58,25,17,3,55,7,2,10,1,35,43,39,35,1,0,52,9,4,2,0,82,10,3,3,2,0,6,3,476,231,161,38,63,9,4,67,5,7,19,5,48,57,61,64,3,0
2023-08-21,Serie A,4230536,Torino,Cagliari,0.5277598639854605,0.3372808817494284,0.1349592542651111,0,0,1,57,11,2,1,1,79,8,8,6,3,0,7,4,447,193,161,50,15,22,1,60,8,1,14,2,53,48,51,58,1,0,43,8,2,0,0,72,12,3,5,1,0,4,4,338,142,101,35,7,17,2,72,10,3,14,2,54,52,49,100,1,0
2023-08-21,Serie A,4230530,Bologna,Milan,0.12066219892508792,0.20333753566452126,0.6760002654103908,0,2,2,53,17,5,0,0,89,10,3,7,5,2,13,4,543,242,239,75,31,13,2,38,4,3,11,3,38,44,69,30,2,0,47,9,6,2,1,85,4,6,1,2,1,6,3,481,250,159,33,36,13,2,62,9,5,11,5,40,56,31,52,2,0
2023-08-26,Serie A,4230547,Frosinone,Atalanta,0.15688585607940447,0.30936724565756824,0.5337468982630273,2,1,0,37,13,5,1,0,73,10,3,4,4,0,7,6,372,165,105,30,25,21,1,46,15,4,27,5,53,50,51,53,1,0,63,18,6,4,4,84,10,7,8,4,0,12,6,622,241,281,44,17,28,1,31,9,3,8,3,52,50,49,60,2,0
2023-08-26,Serie A,4230549,Monza,Empoli,0.43251981643721316,0.3924697538589904,0.1750104297037964,2,0,0,54,20,5,3,2,85,14,6,9,6,1,11,9,486,202,211,58,55,27,2,52,7,4,16,6,45,51,35,31,1,0,46,18,6,1,1,82,7,5,8,4,1,12,6,417,189,154,48,29,19,1,60,3,6,15,3,50,49,65,47,2,0
