match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2021-05-28,Serie B,3564673,Brasil de Pelotas,Londrina EC,0.44510978043912175,0.41916167664670656,0.13572854291417166,0,0,1,54,18,5,2,2,84,22,7,9,4,0,10,8,327,155,120,59,17,13,2,75,9,0,27,3,49,49,36,33,0,0,46,10,3,0,0,73,21,6,2,5,0,3,7,279,96,108,54,5,8,0,67,6,0,22,4,59,51,64,43,0,0
2021-05-28,Serie B,3564665,Guarani,Vitoria,0.4706477732793522,0.3734817813765182,0.15587044534412955,1,1,1,49,19,5,2,1,79,8,9,9,5,0,9,10,401,174,143,43,18,23,1,56,10,0,14,2,57,53,50,59,0,0,51,9,3,0,0,80,13,5,4,2,2,2,7,438,239,112,51,14,35,1,62,11,0,18,4,52,47,50,37,0,0
2021-05-29,Serie B,3564664,Nautico,CSA,0.46464646464646464,0.37806637806637805,0.15728715728715728,1,0,0,46,18,6,0,0,79,32,5,7,5,0,7,11,329,138,123,53,18,14,0,67,8,0,8,1,53,38,69,56,0,0,54,5,1,0,0,81,14,0,3,1,0,3,2,407,233,96,44,11,21,4,70,14,0,20,5,64,62,31,42,0,0
2021-05-29,Serie B,3564666,Vila Nova,Botafogo,0.3448275862068966,0.3983353151010702,0.2568370986920333,1,1,1,44,5,4,0,0,75,22,2,1,0,0,1,4,327,152,94,37,17,18,1,60,6,0,18,3,42,39,54,55,0,0,56,15,4,1,1,81,14,4,8,3,0,6,9,413,111,222,49,33,11,2,90,6,0,11,3,56,61,46,74,0,0
2021-05-29,Serie B,3564667,Vasco da Gama,Operario Ferroviario,0.5229591836734694,0.3647959183673469,0.11224489795918367,0,2,2,55,13,4,0,0,84,10,7,2,7,0,4,9,455,226,154,54,29,18,2,79,8,0,9,4,35,49,22,58,0,0,45,19,6,3,2,83,10,7,8,5,2,6,13,386,140,180,56,7,12,2,73,8,0,28,4,49,51,78,40,0,0
2021-05-29,Serie B,3564674,CRB,Remo,0.5280269058295964,0.35874439461883406,0.1132286995515695,2,2,1,51,16,2,3,2,78,15,8,6,8,0,9,7,404,183,133,43,25,20,3,55,17,0,13,2,49,45,46,60,0,0,49,11,4,1,0,78,17,3,6,1,0,8,3,391,173,131,44,31,13,3,50,14,0,15,0,59,55,54,77,0,0
2021-05-29,Serie B,3564681,Confianca,Cruzeiro,0.3769123783031989,0.37273991655076494,0.25034770514603616,3,1,0,52,13,5,4,1,84,20,2,3,5,1,6,7,434,159,204,53,0,11,8,60,11,0,19,0,42,41,70,33,0,0,48,10,1,1,0,80,10,2,6,3,1,3,7,398,140,180,34,25,22,1,30,8,0,16,2,41,59,30,63,0,0
2021-05-29,Serie B,3564683,Coritiba,Avai FC,0.4883303411131059,0.36983842010771995,0.14183123877917414,2,0,0,62,10,5,1,1,89,17,2,3,2,0,3,7,603,302,237,74,18,20,1,88,13,0,16,4,52,47,47,60,0,0,38,15,4,2,2,83,15,6,7,4,0,8,7,357,140,155,71,21,15,0,56,7,0,20,2,59,53,53,67,0,0
2021-05-30,Serie B,3564682,Brusque,Ponte Preta,0.38848920863309355,0.40047961630695444,0.21103117505995203,2,1,0,53,15,3,3,1,80,21,9,10,2,0,7,8,475,208,174,49,16,17,0,83,19,0,11,0,40,38,47,50,0,0,47,6,1,1,1,76,17,2,2,3,0,4,2,426,192,133,38,23,19,1,71,8,0,18,1,59,62,53,64,0,0
2021-05-31,Serie B,3564680,Sampaio Correa,Goias,0.3873649210307564,0.38902743142144636,0.22360764754779716,0,0,1,54,9,0,0,0,77,12,2,6,3,1,4,5,435,232,103,41,25,25,2,74,13,0,16,4,64,57,45,45,0,0,46,14,4,0,0,79,20,6,7,3,0,6,8,353,142,136,53,23,19,3,69,11,0,10,0,57,43,55,44,0,0
