match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2019-08-23,Serie B,3144819,Pisa,Benevento,0.2939024390243902,0.4024390243902439,0.30365853658536585,0,0,1,45,11,1,1,1,71,15,7,8,2,0,7,4,316,101,123,51,36,24,2,85,11,2,9,2,65,60,57,42,4,0,55,11,2,0,0,78,19,1,7,2,0,6,5,407,181,138,49,38,23,2,90,9,2,18,1,46,40,43,50,1,0
2019-08-24,Serie B,3144816,Crotone,Cosenza,0.5541666666666667,0.36666666666666664,0.07916666666666666,0,0,1,67,15,3,3,3,81,13,6,9,3,0,9,6,492,195,204,57,36,34,3,67,9,0,14,4,60,58,63,85,0,0,33,6,4,2,2,62,18,4,2,0,0,3,3,246,69,84,32,10,9,4,92,9,0,27,3,41,42,37,63,0,0
2019-08-24,Serie B,3144821,Salernitana,Pescara,0.33532934131736525,0.40119760479041916,0.2634730538922156,3,1,0,47,20,10,1,1,81,19,4,6,4,1,12,8,379,187,119,69,37,17,1,91,1,5,18,1,54,54,55,73,2,0,53,10,2,0,0,83,14,5,3,5,0,7,3,440,198,169,53,23,20,1,63,8,4,16,7,46,46,45,33,2,0
2019-08-24,Serie B,3144814,Ascoli,Trapani,0.5480225988700564,0.3389830508474576,0.11299435028248588,3,1,0,49,11,6,2,1,75,14,3,2,3,0,3,8,399,165,136,42,8,24,4,58,16,2,21,2,51,60,44,83,0,1,51,11,3,1,0,78,22,4,6,2,0,9,2,400,148,163,37,14,28,3,67,8,3,13,4,39,40,56,41,4,1
2019-08-24,Serie B,3144822,Venezia,Cremonese,0.4632352941176471,0.375,0.16176470588235295,1,2,2,65,15,3,2,1,82,9,6,7,5,0,10,5,585,310,171,64,20,23,1,61,6,2,17,3,62,65,39,86,3,0,35,14,5,4,3,71,18,5,7,2,1,9,5,306,129,87,36,7,20,2,80,15,4,23,2,50,35,61,37,3,0
2019-08-24,Serie B,3144823,Virtus Entella,Livorno,0.4166666666666667,0.358974358974359,0.22435897435897437,1,0,0,48,7,3,1,0,65,18,4,3,1,0,3,4,383,150,99,41,19,27,1,63,8,1,24,1,62,51,49,40,2,0,52,5,1,0,0,71,20,4,3,1,1,0,5,424,145,157,46,0,30,4,58,6,1,20,2,61,49,51,33,3,0
2019-08-24,Serie B,3144815,Cittadella,Spezia,0.4968152866242038,0.3503184713375796,0.15286624203821655,0,3,2,44,11,2,0,0,72,14,5,5,4,0,6,5,352,127,126,46,11,32,5,76,7,2,7,0,56,56,48,56,2,0,56,9,3,2,1,77,21,3,4,2,1,8,1,488,201,174,52,33,26,3,80,6,4,21,2,47,44,52,45,1,0
2019-08-25,Serie B,3144817,Empoli,Juve Stabia,0.6300309597523219,0.28173374613003094,0.08823529411764706,2,1,0,56,16,5,2,1,83,14,1,6,5,0,9,7,514,232,196,52,31,24,1,62,10,1,8,2,41,45,45,83,1,0,44,6,3,1,0,81,12,0,2,1,0,2,4,393,206,111,37,17,20,3,69,11,4,14,3,50,55,55,56,1,0
2019-08-25,Serie B,3144818,Perugia,Chievo Verona,0.36069651741293535,0.41044776119402987,0.22885572139303484,2,1,0,50,16,4,2,0,74,16,4,8,4,0,7,9,411,171,135,53,38,25,1,69,16,1,23,2,54,54,43,79,3,0,50,11,3,4,3,72,12,8,7,1,0,9,2,391,106,177,53,19,26,2,54,4,4,24,2,52,46,57,64,2,0
2019-08-26,Serie B,3144820,Pordenone,Frosinone,0.3,0.42283464566929135,0.27716535433070866,3,0,0,35,16,5,2,0,66,15,3,5,6,0,11,5,287,91,99,36,36,24,4,73,9,5,18,5,60,58,44,64,1,0,65,16,5,1,1,83,23,4,6,5,0,5,11,532,225,218,74,24,29,4,82,13,6,12,2,53,42,56,50,3,0
