match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-08-19,Super League,3975075,NFC Volos,Asteras Tripolis,0.375886524822695,0.40189125295508277,0.2222222222222222,3,3,1,52,9,6,2,1,79,11,3,3,0,0,5,4,383,186,118,49,30,19,2,40,5,1,10,1,29,39,60,75,0,0,48,13,4,1,0,76,16,3,8,1,1,11,2,342,163,98,52,39,22,1,60,6,0,4,3,37,61,40,0,0,0
2022-08-20,Super League,3975076,Atromitos,OFI Crete,0.3879093198992443,0.41309823677581864,0.19899244332493704,3,1,0,43,11,5,3,2,77,9,2,5,1,1,6,5,344,173,93,42,46,14,0,100,11,4,13,1,42,60,80,40,0,0,57,9,2,1,1,80,21,5,3,4,0,6,3,457,169,195,65,11,23,0,100,4,1,1,2,25,41,20,25,0,0
2022-08-20,Super League,3975071,Lamia,AEK Athens,0.1577261809447558,0.24419535628502803,0.5980784627702161,0,3,2,35,7,0,2,2,60,14,0,3,4,2,3,4,247,81,68,36,0,29,1,100,12,1,4,0,37,51,50,17,1,0,65,9,3,3,1,83,18,1,5,1,0,5,4,471,253,140,64,33,27,4,81,8,4,12,0,36,49,50,50,1,0
2022-08-20,Super League,3975072,PAOK Thessaloniki FC,Panetolikos,0.6430594900849859,0.2698300283286119,0.08711048158640226,1,0,0,78,15,7,5,4,91,10,7,4,4,0,9,6,829,276,479,65,25,16,0,71,10,1,12,2,27,41,59,100,0,0,22,5,2,0,0,64,9,4,2,1,0,3,2,235,81,69,46,13,18,0,53,11,4,23,6,31,59,41,50,2,0
2022-08-21,Super League,3975073,Panathinaikos,Ionikos,0.6356245380635624,0.2609016999260902,0.10347376201034737,1,0,0,63,12,3,3,2,86,10,6,5,4,0,9,3,527,242,211,65,24,12,1,75,13,0,6,1,34,65,67,75,0,0,37,4,1,0,0,78,19,1,3,0,0,2,2,309,150,92,62,18,25,1,75,26,4,18,2,18,35,33,0,0,0
2022-08-21,Super League,3975067,Aris Thessaloniki FC,Levadiakos,0.5711229946524065,0.3176470588235294,0.11122994652406418,3,0,0,59,12,6,2,2,85,14,7,3,3,0,9,3,524,260,186,59,25,19,1,83,15,4,8,5,34,48,43,75,1,0,41,13,5,0,0,79,19,3,4,4,0,6,7,360,171,112,48,0,12,1,73,10,3,10,3,38,52,57,100,3,0
2022-08-21,Super League,3975074,Olympiacos,PAS Giannina,0.6617344841759145,0.25195232223592273,0.08631319358816276,2,0,0,65,15,3,1,1,91,11,6,7,5,1,11,4,594,191,352,73,30,12,3,58,14,2,6,1,31,51,36,50,0,0,35,10,1,0,0,82,6,2,7,2,0,3,7,325,170,96,53,14,18,2,57,6,5,16,1,33,49,64,80,0,0
2022-08-26,Super League,3975068,Ionikos,Levadiakos,0.42359249329758714,0.3780160857908847,0.19839142091152814,0,0,1,54,12,4,0,0,73,19,6,4,4,1,5,7,325,127,111,46,17,23,3,100,6,3,8,2,34,44,54,30,0,0,46,13,2,0,0,77,18,2,8,3,0,6,7,296,134,94,40,33,18,3,71,7,4,11,4,41,56,46,50,0,0
2022-08-27,Super League,3975108,PAS Giannina,Lamia,0.5150753768844221,0.34673366834170855,0.13819095477386933,1,1,1,55,12,3,0,0,76,14,6,7,2,0,7,5,411,170,142,51,29,24,0,80,4,2,5,4,52,58,48,50,2,0,45,11,5,1,1,75,22,8,4,2,0,7,4,325,112,131,41,33,24,5,77,7,2,20,2,42,42,52,18,4,0
2022-08-27,Super League,3975070,AEK Athens,NFC Volos,0.683991683991684,0.23076923076923078,0.08523908523908524,0,1,2,71,16,4,1,1,81,11,8,5,7,0,12,4,500,161,242,68,21,33,4,67,10,1,2,2,44,53,70,13,3,0,29,5,3,0,0,53,18,1,1,1,0,2,3,221,67,51,19,50,13,1,64,17,7,23,4,32,47,30,50,5,0
