match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2020-07-25,Super League Grp. A,3367994,Guangzhou FC,Shanghai Shenhua,0.6858457997698504,0.23590333716915995,0.07825086306098965,2,0,0,60,9,3,3,2,84,17,0,6,0,0,7,2,488,238,170,55,71,8,1,64,6,7,23,2,54,50,51,50,3,0,40,16,2,2,2,76,22,7,7,7,0,8,8,292,103,120,56,29,19,2,67,11,0,5,1,53,50,49,70,3,0
2020-07-25,Super League Grp. B,3367790,Wuhan FC,Qingdao FC,0.65625,0.171875,0.171875,2,0,0,46,10,3,1,1,75,15,8,3,4,0,7,3,345,152,107,45,21,20,1,64,8,0,14,0,43,50,50,56,0,0,54,5,0,1,1,78,12,3,5,0,1,4,1,407,202,117,52,27,21,0,29,5,4,23,2,43,50,50,57,0,0
2020-07-26,Super League Grp. A,3367995,Dalian Professional FC,Shandong Taishan,0.4330708661417323,0.35039370078740156,0.21653543307086615,2,3,2,44,11,3,5,3,79,11,6,6,2,0,7,4,409,164,161,44,21,19,1,70,7,0,21,1,43,54,40,57,0,0,56,15,4,2,1,85,16,6,7,4,0,7,8,543,220,242,52,33,16,3,78,2,0,21,1,47,46,60,80,0,0
2020-07-26,Super League Grp. B,3367787,Hebei CFFC,Shijiazhuang Ever Bright,0.4056338028169014,0.4112676056338028,0.18309859154929578,2,2,1,51,11,4,2,0,78,11,6,5,2,1,7,4,340,156,109,51,62,12,0,100,9,0,26,2,47,46,60,30,0,0,49,10,4,0,0,78,14,10,3,3,0,5,5,310,92,150,51,26,12,2,50,5,0,21,2,41,54,40,80,0,0
2020-07-26,Super League Grp. A,3367996,Shenzhen FC,Guangzhou City,0.33002481389578164,0.4267990074441687,0.24317617866004962,3,0,0,35,15,5,3,1,83,24,4,5,5,0,10,5,308,125,130,55,29,15,0,79,12,3,17,3,51,48,61,45,0,0,65,10,3,0,0,89,17,3,4,3,0,6,4,595,299,232,66,0,21,1,83,5,5,19,3,51,52,39,54,2,0
2020-07-26,Super League Grp. B,3367788,Chongqing Liangjiang Athletic,Beijing Guoan,0.24793388429752067,0.3526170798898072,0.39944903581267216,1,2,2,44,16,1,0,0,58,20,6,6,9,0,7,9,265,60,95,35,18,21,1,50,10,2,13,1,51,51,46,50,3,0,56,7,3,1,0,70,16,2,2,2,0,4,3,342,144,94,37,40,27,5,29,7,8,29,1,54,49,54,40,2,1
2020-07-26,Super League Grp. A,3367997,Henan Songshan Longmen,Jiangsu FC,0.358974358974359,0.3504273504273504,0.2905982905982906,3,4,2,38,9,3,1,0,77,22,4,5,1,0,3,6,257,87,110,49,31,16,1,75,8,1,23,3,39,42,28,58,0,0,62,13,7,4,0,81,16,3,5,1,0,7,6,440,160,198,58,22,8,2,85,1,1,20,0,67,58,73,82,0,0
2020-07-27,Super League Grp. B,3367789,Tianjin Teda,Shanghai SIPG FC,0.22068403908794787,0.3933224755700326,0.38599348534201955,1,3,2,31,12,4,0,0,70,16,3,5,3,0,4,8,261,90,93,36,19,15,1,55,10,0,18,8,34,39,31,57,0,0,69,24,11,7,4,88,12,7,9,4,0,16,8,593,197,322,61,32,15,1,64,7,0,11,3,60,61,69,71,0,0
2020-07-30,Super League Grp. A,3367998,Shanghai Shenhua,Shenzhen FC,0.5482374768089053,0.2857142857142857,0.1660482374768089,3,2,0,32,8,5,5,2,61,14,4,2,1,0,6,2,210,55,74,33,30,5,1,73,7,0,26,5,49,52,47,69,0,0,68,17,7,5,3,82,17,7,6,4,0,12,5,428,121,228,52,20,16,1,80,4,0,9,2,49,48,53,80,0,0
2020-07-30,Super League Grp. A,3367999,Guangzhou City,Guangzhou FC,0.23207401696222052,0.36700077101002315,0.4009252120277564,0,5,2,48,18,5,0,0,89,14,6,7,6,0,8,10,472,207,213,76,26,15,0,63,5,3,11,2,42,52,53,64,3,0,52,15,7,2,0,90,8,5,4,4,0,8,7,512,288,171,62,36,11,0,54,8,6,12,5,39,48,47,60,1,0
