match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2019-10-20,Indian Super League,3166957,Kerala Blasters FC,Mohun Bagan SG,0.6233538191395961,0.14574187884108866,0.2309043020193152,2,1,0,59,11,3,1,0,78,16,2,8,0,1,5,6,375,181,111,43,21,25,0,89,8,7,16,2,36,49,48,50,2,0,41,18,2,1,1,73,14,6,9,7,0,13,5,259,110,78,47,40,16,1,71,16,0,17,1,38,51,52,56,3,0
2019-10-21,Indian Super League,3166970,Bengaluru FC,Northeast United FC,0.6,0.22105263157894736,0.17894736842105263,0,0,1,63,14,2,2,2,78,13,10,9,3,0,9,5,432,185,151,52,37,15,2,45,12,0,11,1,56,47,63,63,0,0,37,10,1,3,3,64,11,0,5,4,1,5,5,256,91,74,36,0,20,3,56,8,0,30,1,50,53,38,60,0,0
2019-10-22,Indian Super League,3166971,Jamshedpur FC,Odisha FC,0.5087719298245614,0.32280701754385965,0.16842105263157894,2,1,0,37,15,4,1,0,63,10,4,8,3,0,6,9,251,80,79,44,29,32,1,69,8,2,17,2,51,49,59,23,0,0,63,14,3,1,1,79,20,2,9,2,1,9,5,438,167,181,62,31,27,2,79,9,3,11,3,48,51,41,67,0,0
2019-10-23,Indian Super League,3166972,FC Goa,Chennaiyin FC,0.5157728706624606,0.2744479495268139,0.20977917981072555,3,0,0,52,14,8,5,2,83,18,3,5,1,0,9,5,439,218,147,50,25,14,0,58,11,0,30,3,59,55,52,67,0,0,48,11,3,0,0,80,10,12,6,2,0,10,1,384,156,151,56,15,23,1,56,10,0,10,5,50,45,48,77,0,0
2019-10-24,Indian Super League,3166973,Kerala Blasters FC,Mumbai City FC,0.6078680203045685,0.21573604060913706,0.17639593908629442,0,1,2,53,8,3,0,0,75,16,5,4,1,0,5,3,339,158,97,34,25,11,2,65,10,0,16,2,73,54,55,47,0,0,47,10,3,3,3,73,20,6,7,0,0,5,5,287,101,109,41,13,16,7,46,8,0,15,3,62,46,45,45,0,0
2019-10-25,Indian Super League,3168272,Mohun Bagan SG,Hyderabad FC,0.5244755244755245,0.27972027972027974,0.1958041958041958,5,0,0,44,20,12,5,1,74,10,2,4,4,1,8,12,314,104,127,31,33,31,1,69,12,2,17,1,53,50,61,64,1,0,56,8,1,1,1,76,9,6,5,2,0,2,6,389,145,151,39,28,24,1,59,6,5,18,6,46,50,39,64,3,0
2019-10-26,Indian Super League,3166975,Northeast United FC,Odisha FC,0.5736677115987461,0.30094043887147337,0.12539184952978055,2,1,0,39,13,5,2,1,78,13,4,6,2,0,6,7,275,85,130,56,22,13,3,70,14,0,21,4,62,57,59,36,0,0,61,13,5,0,0,85,20,6,5,3,0,10,3,422,162,196,60,37,26,1,80,7,0,16,3,46,43,41,70,0,0
2019-10-27,Indian Super League,3166976,Chennaiyin FC,Mumbai City FC,0.36235955056179775,0.33146067415730335,0.3061797752808989,0,0,1,50,18,7,0,0,71,11,5,6,5,0,13,5,325,88,144,53,27,18,2,100,14,0,16,2,48,54,63,50,0,0,50,7,2,2,2,76,15,7,4,1,0,3,4,314,109,129,51,16,23,6,64,10,0,17,7,36,46,37,44,0,0
2019-10-28,Indian Super League,3166977,FC Goa,Bengaluru FC,0.44324324324324327,0.3210810810810811,0.23567567567567568,1,1,1,50,8,1,1,0,82,19,1,5,2,0,6,2,374,210,96,52,33,19,4,53,15,0,25,0,54,49,65,58,0,0,50,5,1,1,0,79,14,8,3,1,0,4,1,364,143,145,61,13,19,0,71,8,0,7,0,47,51,35,58,0,0
2019-10-29,Indian Super League,3168288,Jamshedpur FC,Hyderabad FC,,,,3,1,0,52,25,10,6,3,77,10,3,9,6,0,16,9,429,208,124,42,58,18,2,62,18,1,22,0,68,59,63,67,0,0,48,8,1,0,0,75,17,6,6,1,0,4,4,379,123,160,37,19,23,1,67,12,5,16,7,45,41,37,67,0,0
2019-10-30,Indian Super League,3166969,Chennaiyin FC,Mohun Bagan SG,0.34615384615384615,0.3190045248868778,0.334841628959276,0,1,2,61,19,5,1,1,79,15,4,12,2,0,9,10,433,162,180,54,33,29,0,82,8,4,14,1,53,46,52,67,1,0,39,9,2,1,0,66,18,5,3,4,0,5,4,279,93,90,30,10,12,2,47,12,2,20,6,58,54,48,56,0,0
2019-10-31,Indian Super League,3166968,Mumbai City FC,Odisha FC,0.5877342419080068,0.313458262350937,0.09880749574105621,2,4,2,57,14,2,5,4,77,14,8,10,2,0,13,1,342,127,135,56,31,24,3,82,4,0,19,3,37,53,34,57,0,0,43,15,7,3,1,73,13,6,3,5,0,9,6,285,107,101,44,36,15,4,100,8,0,41,1,43,47,66,25,0,0
2019-11-01,Indian Super League,3166967,Northeast United FC,FC Goa,0.3547854785478548,0.3613861386138614,0.2838283828382838,2,2,1,38,11,7,3,2,72,17,4,3,1,0,7,4,278,100,100,43,12,12,2,85,15,0,22,6,52,44,46,90,0,0,62,15,8,1,0,83,13,3,5,2,2,10,5,479,201,198,58,27,21,5,62,11,0,18,5,66,56,54,68,0,0
2019-11-02,Indian Super League,3168287,Hyderabad FC,Kerala Blasters FC,,,,2,1,0,45,10,5,1,0,65,13,3,3,2,1,4,6,285,81,104,42,33,11,0,75,6,0,18,3,38,39,50,38,0,0,55,18,4,3,2,75,9,4,10,4,0,6,12,329,102,145,46,4,24,3,67,5,0,8,3,52,61,50,60,0,0
2019-11-03,Indian Super League,3166959,Jamshedpur FC,Bengaluru FC,0.4175084175084175,0.31986531986531985,0.26262626262626265,0,0,1,52,11,3,0,0,78,14,8,5,3,2,6,5,371,183,108,52,32,19,3,85,11,4,18,8,45,35,62,43,0,0,48,21,8,3,3,78,9,5,9,4,0,10,11,346,123,148,52,35,26,2,67,14,3,11,3,55,65,38,70,0,0
2019-11-06,Indian Super League,3168286,Hyderabad FC,Northeast United FC,,,,0,1,2,50,12,3,1,1,75,18,5,8,1,0,6,6,358,124,145,50,20,17,3,42,11,0,18,2,51,47,61,70,0,0,50,8,3,2,1,70,6,5,3,2,0,5,3,358,114,138,31,16,22,1,60,12,0,14,3,49,53,39,29,0,0
2019-11-07,Indian Super League,3166961,Mumbai City FC,FC Goa,0.3269230769230769,0.35,0.3230769230769231,2,4,2,33,10,4,1,1,76,11,5,5,1,0,4,6,285,106,110,51,24,14,1,50,16,0,17,1,42,49,50,60,0,0,67,13,5,2,0,87,12,8,5,3,0,7,6,591,287,225,57,29,18,4,64,6,0,16,2,43,51,50,58,0,0
2019-11-08,Indian Super League,3166962,Kerala Blasters FC,Odisha FC,0.5413669064748201,0.29136690647482016,0.1672661870503597,0,0,1,51,6,1,0,0,76,3,4,3,2,0,4,2,416,184,133,46,29,26,0,69,12,0,14,1,57,60,59,68,0,0,49,6,1,1,1,77,12,5,4,1,0,1,5,398,198,109,39,7,20,3,92,5,0,28,1,38,40,41,75,0,0
2019-11-09,Indian Super League,3166963,Mohun Bagan SG,Jamshedpur FC,0.5379746835443038,0.3322784810126582,0.12974683544303797,3,1,0,45,13,3,3,0,69,21,0,7,3,0,8,5,303,96,114,33,50,29,1,59,13,5,22,1,78,47,64,59,2,0,55,9,2,2,1,68,20,5,2,5,1,6,3,354,138,101,37,28,38,0,59,12,3,7,0,69,53,36,69,4,0
2019-11-10,Indian Super League,3166964,Bengaluru FC,Chennaiyin FC,0.5161290322580645,0.26881720430107525,0.21505376344086022,3,0,0,49,17,9,3,2,75,11,6,3,5,1,15,2,368,138,137,41,44,20,5,73,13,0,8,2,47,49,50,47,0,0,51,12,2,1,1,78,14,3,6,4,0,9,3,398,176,136,57,17,12,2,61,10,0,17,6,48,51,50,47,0,0
2019-11-23,Indian Super League,3166965,Bengaluru FC,Kerala Blasters FC,0.38694638694638694,0.17715617715617715,0.4358974358974359,1,0,0,51,11,3,1,1,70,9,6,4,4,0,8,3,323,106,120,36,33,24,4,0,4,0,8,0,44,45,49,73,0,0,49,5,0,0,0,75,19,4,5,0,0,5,0,313,164,71,43,43,14,2,47,12,0,36,2,50,55,51,100,0,0
2019-11-24,Indian Super League,3166966,Odisha FC,Mohun Bagan SG,0.24434389140271492,0.3167420814479638,0.43891402714932126,0,0,1,61,14,3,0,0,77,6,7,7,4,0,5,9,486,238,135,36,17,26,0,77,7,7,11,4,53,65,55,77,1,0,39,13,5,0,0,69,17,10,2,6,0,7,6,297,100,106,44,35,21,0,91,11,4,24,3,33,35,45,33,2,0
2019-11-25,Indian Super League,3168285,Chennaiyin FC,Hyderabad FC,0.5742574257425742,0.26732673267326734,0.15841584158415842,2,1,0,57,23,8,2,1,76,12,12,7,8,1,15,8,377,112,174,54,38,15,2,70,7,0,12,2,49,48,46,90,0,0,43,14,3,1,1,69,14,4,9,2,0,4,10,287,97,102,43,24,8,4,53,11,0,29,5,55,52,54,60,0,0
2019-11-26,Indian Super League,3166980,FC Goa,Jamshedpur FC,0.5356489945155393,0.3619744058500914,0.10237659963436929,0,1,2,65,20,6,1,1,87,14,5,7,7,0,10,10,564,240,251,56,25,25,2,53,6,0,10,2,47,46,55,60,0,0,35,8,3,1,0,77,9,5,5,0,0,4,4,304,129,106,55,21,13,0,71,13,7,22,6,50,54,45,90,0,0
2019-11-27,Indian Super League,3166988,Northeast United FC,Mumbai City FC,0.44680851063829785,0.35933806146572106,0.1938534278959811,2,2,1,41,14,7,0,0,69,12,3,5,2,0,7,7,305,73,137,42,17,20,0,75,6,0,18,3,54,52,53,78,0,0,59,15,5,2,0,77,17,7,8,2,0,11,4,440,177,161,38,27,18,1,64,13,0,16,4,49,48,47,79,0,0
2019-11-28,Indian Super League,3166989,Chennaiyin FC,Odisha FC,0.4036281179138322,0.3832199546485261,0.21315192743764172,2,2,1,45,18,4,1,0,76,17,5,6,8,0,9,9,343,110,150,45,20,18,1,35,11,0,17,1,49,48,58,53,0,0,55,17,3,2,2,83,12,6,7,7,0,12,5,420,195,153,52,16,17,3,59,11,0,14,2,48,52,42,38,0,0
2019-11-29,Indian Super League,3168284,Hyderabad FC,Bengaluru FC,0.2577565632458234,0.3460620525059666,0.39618138424821003,1,1,1,39,9,2,1,0,65,14,2,5,2,0,5,4,300,107,89,30,17,22,1,71,7,0,23,5,49,56,45,100,0,0,61,23,6,1,0,80,8,13,8,9,0,17,6,469,204,173,41,24,25,1,56,6,0,19,1,44,44,55,36,0,0
2019-11-30,Indian Super League,3166991,Mohun Bagan SG,Mumbai City FC,0.5521885521885522,0.29292929292929293,0.15488215488215487,2,2,1,47,13,3,2,0,65,12,4,8,2,0,6,7,310,100,101,39,6,34,0,100,12,1,14,1,57,57,52,67,1,0,53,11,3,3,2,75,14,4,7,1,0,7,4,347,133,126,49,22,20,2,33,9,2,26,1,48,43,48,88,2,0
2019-12-01,Indian Super League,3166992,Kerala Blasters FC,FC Goa,0.509478672985782,0.1990521327014218,0.2914691943127962,2,2,1,55,17,4,3,2,85,15,7,9,4,0,7,10,413,211,139,61,27,7,2,67,6,0,20,2,34,40,36,56,0,0,45,12,4,2,0,79,9,3,4,4,1,7,5,338,166,101,51,38,19,2,43,3,0,15,2,54,60,64,90,0,0
2019-12-02,Indian Super League,3166987,Jamshedpur FC,Northeast United FC,0.4361493123772102,0.3693516699410609,0.1944990176817289,1,1,1,54,9,2,3,2,76,20,3,5,2,0,7,2,431,203,125,47,35,21,0,70,21,1,18,1,52,49,48,71,0,0,46,8,2,3,2,70,12,3,5,1,0,5,3,354,139,109,36,29,37,1,63,12,2,22,1,55,51,52,53,0,0
2019-12-04,Indian Super League,3166986,Odisha FC,Bengaluru FC,0.2653061224489796,0.38095238095238093,0.35374149659863946,0,1,2,57,11,6,2,2,81,13,5,4,1,1,8,3,461,244,128,47,10,24,1,82,9,0,17,4,40,44,49,75,0,0,43,11,5,0,0,75,11,4,3,3,0,9,2,350,158,106,42,27,15,0,50,7,0,26,6,47,56,51,62,0,0
2019-12-05,Indian Super League,3166985,Mumbai City FC,Kerala Blasters FC,0.44661654135338347,0.3157894736842105,0.23759398496240602,1,1,1,43,11,5,4,3,79,14,2,6,0,0,6,5,343,139,131,47,32,18,7,75,16,0,21,3,37,45,52,38,0,0,57,12,4,1,1,83,8,5,4,4,0,8,4,458,216,162,59,33,17,0,75,6,0,19,4,41,55,48,88,0,0
