match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-07-16,Super League,3905393,Young Boys,FC Zürich,0.4525377760557923,0.3649748159628051,0.18248740798140256,4,0,0,62,12,7,4,2,81,14,2,3,2,0,9,3,465,194,181,48,17,18,0,77,8,2,13,5,40,47,46,67,4,0,38,14,5,2,2,69,13,3,6,3,0,10,4,292,116,86,36,25,22,0,40,13,2,21,3,45,53,54,67,3,0
2022-07-16,Super League,3905401,Winterthur,Basel,0.22321428571428573,0.340625,0.4361607142857143,1,1,1,34,15,5,3,2,65,21,11,6,4,0,9,6,250,62,101,36,33,30,0,41,7,2,8,4,41,45,15,43,3,0,66,15,5,2,1,84,10,3,8,2,0,11,4,517,265,171,56,57,24,0,75,11,5,18,3,63,55,85,61,4,0
2022-07-17,Super League,3905400,Lugano,Sion,0.41831238779174146,0.4500299222022741,0.13165769000598443,2,3,2,57,19,6,3,1,83,8,9,6,7,0,10,9,452,188,185,60,24,16,1,47,1,0,14,3,48,56,50,71,0,1,43,14,5,4,2,80,12,7,9,0,1,9,5,343,152,121,44,31,17,2,50,4,7,32,4,40,44,50,59,0,0
2022-07-17,Super League,3905399,Servette,St. Gallen,0.2942840973401245,0.432937181663837,0.2727787209960385,1,0,0,36,8,3,0,0,65,12,6,1,4,0,6,2,294,88,102,27,15,18,0,66,12,6,33,2,78,58,58,71,1,0,64,16,2,2,2,79,10,4,8,6,1,12,4,536,166,257,48,19,37,2,74,11,4,15,1,56,42,42,61,2,0
2022-07-23,Super League,3905397,FC Zürich,Luzern,0.4647507858105074,0.38616973506960034,0.14907947911989222,0,0,1,60,14,3,2,2,77,9,3,9,2,0,7,7,444,213,128,47,44,27,0,46,4,2,13,6,42,56,41,60,1,0,40,17,6,2,2,70,13,7,9,2,1,11,6,284,98,102,45,29,25,5,64,13,2,12,3,40,44,59,44,2,1
2022-07-23,Super League,3905396,St. Gallen,Winterthur,0.46002386634844866,0.3943914081145585,0.14558472553699284,2,0,0,54,16,3,3,1,70,8,4,7,6,1,11,5,368,93,163,35,18,30,3,65,13,5,21,1,67,58,56,61,1,1,46,12,1,0,0,64,11,3,6,5,0,6,6,301,85,109,36,29,37,1,59,18,6,25,1,50,42,44,62,4,0
2022-07-24,Super League,3905395,Basel,Servette,0.7037037037037037,0.1111111111111111,0.18518518518518517,1,1,1,64,21,10,1,1,86,8,6,8,3,2,11,10,535,203,258,57,20,22,0,71,2,2,9,0,43,46,60,52,3,0,36,13,1,1,0,76,6,2,10,2,0,8,5,295,133,92,41,42,16,1,56,8,4,28,8,45,54,40,61,5,0
2022-07-24,Super League,3905394,Grasshopper,Lugano,0.36963097398669087,0.44888082274652147,0.18148820326678766,2,1,0,38,13,6,2,0,74,10,3,6,1,0,11,2,320,158,80,51,67,18,1,46,14,5,24,3,49,48,57,47,1,0,62,19,4,2,1,83,10,7,10,5,0,12,7,503,170,248,58,32,26,2,58,13,1,5,4,47,52,43,70,0,0
2022-07-24,Super League,3905402,Sion,Young Boys,0.288,0.152,0.56,0,3,2,50,14,6,0,0,81,10,4,7,1,1,10,4,394,152,166,56,15,27,1,62,3,5,13,2,55,60,52,57,2,0,50,14,5,2,1,81,14,6,3,6,0,10,4,407,216,115,46,46,20,1,75,9,1,23,6,40,40,48,50,3,0
2022-07-30,Super League,3905403,St. Gallen,FC Zürich,0.3713592233009709,0.36529126213592233,0.2633495145631068,2,0,0,42,16,7,2,1,73,7,6,5,4,0,11,5,297,86,131,43,32,16,0,65,15,8,26,11,52,53,52,61,1,1,58,21,11,1,1,78,14,8,2,8,1,12,9,414,173,149,54,21,34,5,14,12,4,20,5,47,47,48,61,4,0
2022-07-30,Super League,3905450,Sion,Servette,0.3935361216730038,0.41920152091254753,0.18726235741444866,0,0,1,47,18,5,2,2,76,15,6,10,3,0,10,8,380,165,125,58,28,21,4,53,7,4,21,1,52,48,54,58,4,0,53,12,1,1,1,80,9,7,7,4,1,6,6,422,175,162,56,25,17,0,18,9,3,12,5,52,52,46,50,2,0
2022-07-31,Super League,3905437,Winterthur,Lugano,0.33522324592487596,0.446491849751949,0.21828490432317504,1,4,2,46,12,2,2,1,83,15,4,6,4,0,8,4,408,164,175,52,31,17,1,68,14,1,16,2,55,55,67,81,4,0,54,14,6,5,1,83,7,3,7,1,1,12,2,496,187,225,49,42,25,2,63,9,4,9,1,40,45,33,50,1,0
2022-07-31,Super League,3905436,Young Boys,Grasshopper,0.5615220483641536,0.335348506401138,0.10312944523470839,1,1,1,59,22,7,4,3,87,14,8,12,3,0,13,9,404,138,212,62,21,32,5,77,7,2,12,1,42,46,43,60,1,0,41,7,2,1,0,74,8,5,3,2,0,4,3,290,142,72,52,31,19,1,67,7,3,37,6,51,54,57,54,4,0
