match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2020-09-11,Super Lig,3419278,Rizespor,Fenerbahçe,0.22874015748031495,0.40433070866141735,0.3669291338582677,1,2,2,49,9,3,4,3,78,11,3,4,2,1,6,3,389,211,91,63,56,22,1,58,8,3,29,6,53,59,54,73,1,0,51,17,8,2,1,82,12,11,6,3,0,14,3,381,161,151,66,22,28,0,78,14,2,7,2,40,41,46,50,2,0
2020-09-12,Super Lig,3419273,Fatih Karagümrük,Yeni Malatyaspor,0.400990099009901,0.38613861386138615,0.21287128712871287,3,0,0,35,7,6,3,0,70,19,8,1,0,1,6,1,303,112,99,41,17,11,2,54,21,6,22,6,50,44,48,75,4,0,65,20,7,0,0,84,10,6,8,5,0,11,9,556,155,310,71,35,26,2,69,7,0,6,3,61,56,52,68,3,0
2020-09-12,Super Lig,3419266,Sivasspor,Alanyaspor,0.5429616087751371,0.3235831809872029,0.13345521023765997,0,2,2,49,10,4,3,3,77,14,7,3,3,0,7,3,393,158,145,38,24,19,2,44,13,2,20,4,49,47,46,64,4,0,51,13,6,3,1,78,11,6,5,2,0,10,3,436,210,132,46,35,19,2,63,13,4,34,3,56,53,54,65,2,0
2020-09-12,Super Lig,3419275,Galatasaray,Gaziantep,0.7028639618138425,0.22315035799522673,0.07398568019093078,3,1,0,61,23,12,8,5,84,13,8,8,3,1,17,6,544,244,214,54,39,14,3,71,12,3,19,1,69,57,69,63,2,0,39,9,2,1,1,75,12,6,4,3,0,3,6,347,145,114,44,13,26,1,76,7,2,21,9,45,43,31,31,3,0
2020-09-12,Super Lig,3419280,Göztepe,Denizlispor,0.5152129817444219,0.3509127789046653,0.13387423935091278,5,1,0,42,11,6,4,1,83,15,4,5,0,1,7,4,338,181,99,57,31,12,0,62,13,3,23,0,43,48,61,50,0,0,58,8,1,2,2,85,13,6,4,3,0,6,2,465,209,188,44,23,22,3,62,11,0,10,1,41,52,39,50,3,0
2020-09-13,Super Lig,3419274,Ankaragucu,Erzurum BB,0.43204868154158216,0.45030425963488846,0.11764705882352941,1,2,2,49,8,5,1,0,72,16,6,2,1,0,6,2,314,107,120,47,24,16,3,63,6,0,7,2,42,46,50,50,0,0,51,12,5,2,1,71,12,3,6,1,1,10,2,330,138,97,31,46,19,0,75,6,0,20,3,46,54,50,64,0,0
2020-09-13,Super Lig,3419263,Kayserispor,Kasımpaşa,0.3213675213675214,0.48376068376068376,0.19487179487179487,1,0,0,34,6,2,0,0,74,12,1,4,0,1,5,1,279,128,78,44,27,22,1,85,13,4,24,3,45,49,58,50,3,0,66,12,3,4,4,87,16,6,5,4,0,8,4,521,176,277,52,21,26,3,56,7,0,6,1,42,51,42,50,2,0
2020-09-13,Super Lig,3419277,Antalyaspor,Gençlerbirliği,0.5340751043115438,0.36856745479833103,0.09735744089012517,2,0,0,38,9,5,2,0,78,12,2,3,1,0,6,3,312,141,101,44,19,26,2,75,17,2,24,0,54,53,54,69,1,0,62,6,1,0,0,84,18,3,4,1,0,2,4,514,205,225,61,5,26,3,57,10,1,12,3,47,47,46,67,1,0
2020-09-13,Super Lig,3419279,Trabzonspor,Beşiktaş,0.48094170403587444,0.3480941704035874,0.1709641255605381,1,3,2,49,8,4,0,0,85,7,4,2,2,0,2,6,444,197,182,64,20,19,0,53,7,1,10,2,56,61,61,58,1,1,51,12,5,4,2,88,17,3,6,1,0,8,4,460,192,213,57,50,18,1,67,8,2,12,3,36,39,39,45,2,0
2020-09-14,Super Lig,3419276,Hatayspor,Istanbul Başakşehir,0.2413793103448276,0.40454163162321277,0.3540790580319596,2,0,0,37,12,6,1,0,73,12,1,6,0,0,6,6,334,154,89,38,14,24,2,50,13,5,29,2,56,56,52,64,1,0,63,15,2,0,0,84,14,6,7,6,0,10,5,538,177,273,57,25,22,0,80,15,0,6,4,47,44,48,42,2,0
