match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2019-07-12,Superligaen,3049992,Midtjylland,Esbjerg fB,0.6128822381262199,0.302537410540013,0.08458035133376708,1,0,0,54,11,5,3,2,80,16,6,6,0,0,9,6,460,153,215,61,35,14,4,67,10,0,20,3,79,51,62,60,0,0,46,7,3,2,2,73,12,5,4,0,0,7,3,394,167,119,43,10,19,0,60,9,0,33,4,66,49,38,58,0,0
2019-07-14,Superligaen,3049991,SønderjyskE,Randers FC,0.5056179775280899,0.3797752808988764,0.1146067415730337,2,1,0,57,17,6,3,2,79,12,3,6,5,0,9,8,501,246,148,35,29,20,1,63,13,4,28,2,57,47,58,55,0,0,43,11,3,1,0,68,17,0,4,4,0,6,5,361,134,112,30,10,31,4,61,15,5,14,4,53,53,42,50,4,0
2019-07-14,Superligaen,3049995,Horsens,Nordsjælland,0.34125636672325976,0.41765704584040747,0.24108658743633277,0,3,2,42,10,2,0,0,70,13,4,4,4,0,7,3,363,125,130,45,33,24,4,48,18,4,12,7,49,44,45,50,2,0,58,18,10,6,3,80,10,5,4,4,0,15,3,511,247,162,42,17,24,1,50,6,2,24,2,62,56,55,57,0,0
2019-07-14,Superligaen,3049997,Lyngby,Aalborg BK,0.35020242914979755,0.39878542510121456,0.25101214574898784,2,0,0,41,10,6,1,0,75,17,1,4,0,0,4,7,365,201,74,34,36,19,3,65,8,0,33,7,48,46,45,53,0,0,59,11,6,0,0,83,12,9,5,0,0,8,10,526,190,245,53,40,16,2,59,5,0,15,4,56,54,55,59,0,0
2019-07-14,Superligaen,3049994,Odense,FC København,0.25512934879571814,0.42194469223907227,0.32292595896520965,2,3,2,42,19,9,3,2,69,11,7,8,2,0,14,5,375,114,146,38,26,12,1,38,12,0,8,3,39,48,41,29,0,0,58,16,6,4,1,79,11,2,7,3,1,14,2,533,171,248,37,75,8,4,42,6,0,22,7,47,52,59,71,0,0
2019-07-14,Superligaen,3049993,Brøndby IF,Silkeborg,0.6284722222222222,0.3012152777777778,0.0703125,3,0,0,60,15,7,2,1,89,9,6,8,0,1,13,6,709,336,294,59,22,25,1,62,14,0,11,2,26,33,33,44,0,0,40,4,2,0,0,80,5,1,2,0,0,1,3,491,201,192,41,0,20,0,80,9,0,27,4,52,67,67,83,0,0
2019-07-15,Superligaen,3049996,Hobro,AGF Aarhus,0.3320373250388802,0.4331259720062208,0.23483670295489892,1,1,1,33,12,2,1,0,70,10,4,7,3,0,8,4,307,82,133,45,8,14,2,62,16,4,23,3,43,46,44,60,2,0,67,18,4,4,3,84,7,4,10,4,0,10,8,601,219,287,47,24,20,1,62,2,3,22,1,52,54,56,75,3,0
2019-07-19,Superligaen,3049998,FC København,AGF Aarhus,0.6709021601016518,0.25984752223634056,0.06925031766200762,2,1,0,49,11,5,0,0,78,13,5,5,1,0,8,3,409,182,137,47,33,17,0,67,10,4,17,1,68,57,69,82,2,0,51,11,2,2,1,77,20,4,5,4,0,7,4,422,157,168,41,17,22,4,63,5,1,14,3,41,43,31,70,2,0
2019-07-21,Superligaen,3050004,Silkeborg,Horsens,0.6120689655172413,0.3232758620689655,0.06465517241379311,0,3,2,62,11,1,0,0,89,6,12,6,4,0,1,10,639,222,347,73,14,12,0,45,5,3,23,7,45,47,64,91,2,0,38,19,10,3,1,82,7,10,6,3,0,11,8,397,138,186,40,30,19,2,71,11,4,24,1,40,53,36,83,0,0
2019-07-21,Superligaen,3050000,Aalborg BK,SønderjyskE,0.5340425531914894,0.3702127659574468,0.09574468085106383,1,1,1,50,25,6,3,3,77,11,8,9,10,1,15,10,413,133,184,49,29,29,3,70,7,0,16,2,55,59,57,43,0,0,50,12,3,2,2,77,14,3,4,5,0,6,6,419,196,126,34,33,15,0,79,11,0,38,5,39,41,43,22,0,0
2019-07-21,Superligaen,3050003,Esbjerg fB,Hobro,0.5782312925170068,0.3219954648526077,0.09977324263038549,1,1,1,55,14,9,1,1,75,13,5,3,2,0,5,9,454,175,166,49,26,28,3,60,19,0,10,2,56,56,39,59,2,0,45,6,3,1,0,75,17,3,3,0,0,5,1,371,118,160,54,29,22,3,67,19,2,20,8,51,44,61,33,3,0
2019-07-21,Superligaen,3050001,Randers FC,Brøndby IF,0.27058823529411763,0.4310160427807487,0.2983957219251337,2,2,1,32,16,6,3,1,68,7,2,7,3,1,10,6,298,111,93,36,15,18,3,63,13,4,37,2,40,47,46,56,2,0,68,19,4,1,0,86,6,6,11,4,0,13,6,625,286,249,57,28,23,4,85,7,3,21,4,45,53,54,56,0,1
2019-07-21,Superligaen,3049999,Midtjylland,Nordsjælland,0.58758109360519,0.33178869323447635,0.08063021316033364,2,1,0,39,16,8,3,2,79,6,5,8,0,0,11,6,330,107,155,57,42,7,4,63,16,0,23,0,63,58,65,83,0,0,61,7,1,1,1,83,11,9,6,0,1,4,4,513,257,169,60,8,21,0,45,6,0,14,6,43,42,35,61,0,0
2019-07-22,Superligaen,3050002,Odense,Lyngby,0.5305574210879785,0.3559435862995299,0.1134989926124916,4,1,0,68,19,7,3,0,84,10,5,4,8,0,10,9,683,328,249,37,35,14,1,67,14,0,4,1,46,52,67,71,0,0,32,6,2,1,0,64,13,1,2,2,0,4,2,315,119,82,36,25,22,2,57,11,0,20,3,34,48,33,78,0,0
2019-07-26,Superligaen,3050012,Lyngby,SønderjyskE,0.45652173913043476,0.38558352402745993,0.15789473684210525,0,3,2,50,7,1,2,2,82,10,5,6,0,2,7,6,435,239,116,48,30,30,1,78,9,0,14,5,44,43,44,47,0,0,50,15,8,1,0,84,15,3,7,0,0,12,6,435,232,132,56,47,12,0,68,12,0,17,1,58,57,56,87,0,0
2019-07-27,Superligaen,3050008,Horsens,FC København,0.1919934640522876,0.4305555555555556,0.37745098039215685,0,2,2,31,7,1,0,0,69,10,2,6,0,0,4,3,293,80,122,42,25,13,0,79,5,7,22,4,50,48,52,86,3,0,69,19,5,4,2,87,7,10,7,7,1,15,4,669,228,356,49,32,20,0,55,6,0,21,1,50,52,48,57,0,0
2019-07-28,Superligaen,3050011,Hobro,Randers FC,0.3497536945812808,0.3891625615763547,0.26108374384236455,2,2,1,55,13,4,2,1,79,7,2,7,2,0,8,5,430,153,185,44,8,13,3,50,8,2,29,3,58,56,54,79,1,0,45,10,5,2,0,72,14,4,3,2,0,5,5,350,123,129,41,7,25,4,77,14,2,13,2,47,44,46,73,1,1
2019-07-28,Superligaen,3050009,Nordsjælland,Esbjerg fB,0.5545454545454546,0.3109090909090909,0.13454545454545455,2,0,0,61,6,3,3,1,84,15,8,3,0,0,9,1,523,235,202,52,24,13,3,59,5,0,14,5,42,49,31,47,0,0,39,11,5,4,4,76,8,3,6,0,0,7,6,336,149,108,52,21,19,2,69,6,0,20,1,55,51,69,40,0,0
2019-07-28,Superligaen,3050010,AGF Aarhus,Midtjylland,0.25766283524904215,0.38697318007662834,0.3553639846743295,0,1,2,58,16,4,1,1,78,11,7,6,6,0,10,6,438,192,150,52,25,26,1,48,14,4,18,1,60,48,49,50,3,0,42,9,3,2,1,73,16,3,3,3,0,6,3,315,82,147,42,18,21,1,75,9,6,20,4,64,52,51,65,5,0
2019-07-28,Superligaen,3050006,Brøndby IF,Odense,0.5506607929515418,0.34449339207048457,0.10484581497797357,3,2,0,59,13,8,1,0,80,8,3,5,0,0,10,6,583,251,217,44,15,21,7,64,15,0,13,3,43,47,63,47,0,0,41,6,5,2,1,67,7,1,1,0,0,5,5,406,159,113,38,29,21,7,69,14,0,13,5,40,53,38,69,0,0
2019-07-29,Superligaen,3050007,Aalborg BK,Silkeborg,0.5327573794096472,0.34989200863930886,0.11735061195104392,3,1,0,44,10,6,3,1,79,7,3,4,0,0,12,3,404,160,160,56,36,17,6,62,7,0,11,2,48,56,46,65,0,0,56,5,3,1,1,83,12,7,2,0,1,4,2,527,237,200,48,27,18,0,61,12,0,20,3,43,44,54,44,0,0
2019-08-02,Superligaen,3050019,Silkeborg,Hobro,0.4329004329004329,0.41125541125541126,0.15584415584415584,2,3,2,58,22,5,3,2,85,10,6,8,9,0,12,10,559,244,232,46,35,21,3,67,10,1,2,1,45,45,39,52,0,0,42,9,4,1,0,78,5,4,4,1,1,8,1,418,163,165,47,50,16,1,71,9,9,26,2,60,55,61,83,3,0
2019-08-03,Superligaen,3050013,SønderjyskE,FC København,0.18240146654445463,0.384051329055912,0.43354720439963335,1,2,2,48,7,2,1,0,74,22,4,5,0,0,4,4,417,162,145,45,33,12,2,73,12,0,15,2,46,36,44,50,0,0,52,12,4,2,2,77,13,3,8,0,1,10,6,462,211,145,36,20,11,1,56,12,0,18,1,73,64,56,85,0,0
