match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2023-08-11,Thai League,4239295,Nakhon Pathom,Port FC,0.21971252566735114,0.3942505133470226,0.3860369609856263,2,2,1,37,9,3,2,1,75,13,3,5,1,0,6,3,256,132,59,52,13,21,0,67,6,6,21,5,42,47,39,71,3,0,63,25,7,1,1,83,12,7,11,7,1,16,9,418,195,153,54,45,24,0,69,10,1,13,1,53,53,61,67,1,0
2023-08-11,Thai League,4239296,Police Tero FC,BG Pathum United,0.25406661502711075,0.39039504260263364,0.3555383423702556,2,2,1,50,14,6,4,2,81,10,6,3,5,0,8,6,371,200,102,54,33,25,0,57,12,2,17,1,51,63,43,76,1,0,50,13,3,1,1,82,15,5,8,2,0,8,5,372,152,153,61,25,27,1,100,8,5,12,4,37,37,57,46,1,0
2023-08-12,Thai League,4239299,Khonkaen United FC,Buriram United,0.18814432989690721,0.29381443298969073,0.5180412371134021,0,0,1,30,5,1,1,1,68,16,1,3,1,0,2,3,201,91,45,30,38,18,1,73,8,12,33,2,42,53,61,45,1,0,70,23,4,5,5,82,12,12,9,10,1,16,7,445,159,207,52,27,32,0,50,4,1,9,1,34,47,39,20,3,0
2023-08-12,Thai League,4239298,Uthai Thani FC,Bangkok United,0.2396551724137931,0.3293103448275862,0.43103448275862066,1,4,2,48,14,9,0,0,84,7,9,3,2,0,8,6,316,149,117,63,29,19,1,46,11,2,8,2,40,51,62,50,3,0,52,10,6,4,1,83,13,3,2,2,0,9,1,348,169,119,62,40,14,2,59,10,3,13,7,36,49,38,58,3,0
2023-08-13,Thai League,4239297,Prachuap FC,Ratchaburi FC,0.36989795918367346,0.4260204081632653,0.20408163265306123,1,0,0,43,10,3,2,1,75,9,2,7,0,2,7,3,341,130,126,45,15,22,0,62,8,5,23,4,41,52,52,36,2,0,57,17,4,1,1,83,14,8,6,7,0,13,4,447,185,185,40,17,26,0,70,11,0,12,2,38,48,48,53,2,0
2023-08-13,Thai League,4239300,Muang Thong United,Chiangrai United,0.48282442748091603,0.40076335877862596,0.11641221374045801,0,1,2,75,14,2,3,3,91,15,6,7,5,1,8,6,605,233,315,68,33,23,1,87,5,0,4,0,46,62,50,62,0,0,25,1,1,1,0,69,20,1,0,0,0,1,0,212,91,55,41,0,12,2,80,18,5,22,2,29,38,50,13,4,0
2023-08-13,Thai League,4239301,Trat FC,Chonburi FC,0.18787878787878787,0.3787878787878788,0.43333333333333335,2,2,1,42,8,4,2,1,82,14,3,2,2,0,6,2,341,121,160,61,25,15,3,70,11,3,11,5,45,47,57,62,2,0,58,13,7,3,1,86,16,2,3,3,0,9,4,476,210,197,63,18,18,0,63,10,2,14,2,46,53,43,54,4,0
2023-08-14,Thai League,4239302,Lamphun Warrior,Sukhothai FC,0.4957446808510638,0.3943262411347518,0.1099290780141844,1,2,2,48,17,4,3,2,71,15,6,9,4,0,13,4,256,90,93,50,22,24,0,54,4,3,17,3,46,54,56,71,2,0,52,13,5,1,0,74,10,6,5,3,0,7,6,287,108,105,34,27,15,0,57,8,3,20,3,38,46,44,36,4,0
2023-08-18,Thai League,4246529,BG Pathum United,Prachuap FC,0.5008787346221442,0.39103690685413006,0.10808435852372583,0,0,1,60,16,2,1,1,91,11,7,6,8,0,7,9,495,181,268,64,26,12,0,65,9,4,14,3,57,57,56,70,2,1,40,12,3,1,1,79,16,2,5,4,0,6,6,324,132,124,49,40,22,1,63,8,8,22,2,43,43,44,59,2,0
2023-08-18,Thai League,4246527,Port FC,Police Tero FC,0.4137638062871708,0.44774851316907394,0.13848768054375532,3,1,0,54,20,7,6,4,87,13,10,8,5,0,11,9,375,127,199,72,38,14,0,83,7,2,18,2,48,62,35,68,4,0,46,8,3,1,0,81,19,2,2,3,0,4,4,332,200,70,49,11,19,0,75,5,5,28,4,37,38,65,70,1,0
2023-08-19,Thai League,4246545,Bangkok United,Muang Thong United,0.5072463768115942,0.32367149758454106,0.16908212560386474,0,0,1,47,14,5,1,1,87,18,5,7,2,0,8,6,364,186,132,68,44,16,0,70,11,1,8,4,30,38,50,50,1,0,53,8,4,0,0,85,11,0,3,1,0,5,3,431,240,127,66,50,17,2,82,9,2,8,5,45,62,50,43,2,0
2023-08-19,Thai League,4246532,Ratchaburi FC,Nakhon Pathom,0.3898916967509025,0.41155234657039713,0.19855595667870035,0,1,2,54,17,5,3,3,88,21,4,8,4,1,9,8,437,163,222,61,24,22,1,93,11,0,9,2,44,41,55,43,3,0,46,5,3,1,0,79,12,0,2,0,0,2,3,403,243,77,31,0,17,3,74,9,3,32,5,57,59,45,54,3,0
2023-08-19,Thai League,4246530,Chiangrai United,Uthai Thani FC,0.5049019607843137,0.3235294117647059,0.1715686274509804,3,0,0,46,10,7,3,1,77,19,3,2,1,1,7,3,290,136,88,64,10,23,0,61,10,4,21,1,53,43,79,58,3,0,54,11,1,1,1,84,13,6,6,4,0,4,7,324,114,158,59,11,21,2,75,9,1,6,4,54,57,21,71,1,0
2023-08-20,Thai League,4246531,Buriram United,Lamphun Warrior,0.5155601659751037,0.3620331950207469,0.12240663900414937,3,0,0,58,9,5,2,0,87,16,7,2,2,0,7,2,480,206,212,57,25,19,3,57,5,2,15,1,58,58,58,54,2,0,42,9,1,1,1,79,17,4,6,2,0,8,1,344,157,115,49,23,12,1,100,4,2,24,2,42,42,42,22,2,0
2023-08-20,Thai League,4246526,Sukhothai FC,Trat FC,0.42168674698795183,0.43614457831325304,0.14216867469879518,0,0,1,55,18,7,1,1,76,14,11,5,6,0,15,3,299,129,99,41,32,26,2,86,3,2,8,4,50,59,57,42,2,0,45,12,4,0,0,77,18,4,6,2,0,8,4,252,90,105,41,36,16,1,78,8,5,38,7,36,41,43,50,3,0
2023-08-21,Thai League,4246528,Chonburi FC,Khonkaen United FC,0.44818304172274565,0.43405114401076716,0.11776581426648722,0,0,1,62,24,10,2,2,88,17,10,8,6,0,12,12,424,130,243,53,15,18,3,89,3,2,10,1,52,53,59,80,4,0,38,8,1,1,1,77,9,2,5,2,0,3,5,278,137,77,44,17,11,0,45,8,6,27,10,44,47,41,60,2,0
2023-08-25,Thai League,4246533,Lamphun Warrior,Bangkok United,0.23824701195219122,0.398406374501992,0.3633466135458167,0,2,2,41,9,2,0,0,76,18,6,2,5,0,6,3,279,113,98,52,13,16,3,78,4,3,7,1,37,45,50,64,3,0,59,9,3,1,0,85,14,4,3,3,0,5,4,406,195,152,45,35,19,2,83,4,4,23,2,44,55,50,67,1,0
2023-08-26,Thai League,4246542,Sukhothai FC,Buriram United,0.1811320754716981,0.33584905660377357,0.4830188679245283,0,1,2,46,9,1,0,0,75,21,6,5,3,0,5,4,342,127,128,42,38,18,1,92,13,5,14,1,37,39,33,38,2,0,54,15,3,1,0,80,8,3,8,4,1,8,7,407,150,176,47,13,24,1,69,7,3,22,1,63,61,67,33,4,0
2023-08-26,Thai League,4246525,Trat FC,Chiangrai United,0.19154929577464788,0.36901408450704226,0.4394366197183099,0,0,1,44,11,3,0,0,88,20,5,6,2,1,9,2,362,144,173,55,32,11,0,70,6,5,19,2,32,42,60,38,0,0,56,9,2,0,0,89,10,3,2,5,0,5,4,476,243,180,53,9,16,1,83,5,2,15,3,40,58,40,40,2,0
2023-08-26,Thai League,4246534,Police Tero FC,Chonburi FC,0.3368421052631579,0.3719298245614035,0.2912280701754386,3,2,0,42,11,4,0,0,76,15,3,6,1,0,9,2,286,139,77,48,35,14,2,82,6,5,20,3,36,43,57,50,3,0,58,14,5,1,0,83,11,6,4,5,1,12,2,390,122,200,55,35,23,1,75,4,1,8,1,41,57,43,56,0,0
2023-08-27,Thai League,4246523,Prachuap FC,Nakhon Pathom,0.41346153846153844,0.3942307692307692,0.19230769230769232,2,2,1,53,15,4,3,2,79,10,5,4,7,0,10,5,391,150,159,61,20,30,0,63,3,0,13,5,70,53,61,67,2,0,47,12,6,2,2,84,14,1,5,1,0,7,5,370,178,134,60,33,22,1,60,9,7,31,2,57,47,39,67,3,0
2023-08-27,Thai League,4246543,Khonkaen United FC,Ratchaburi FC,0.4013377926421405,0.3979933110367893,0.20066889632107024,2,2,1,53,13,4,1,0,81,9,7,6,3,0,7,6,381,180,130,52,27,17,1,50,13,2,14,7,45,50,48,62,1,0,47,24,9,3,2,80,18,6,13,2,3,17,7,330,100,165,50,32,16,2,67,10,3,18,2,46,50,52,67,4,0
2023-08-28,Thai League,4246544,Uthai Thani FC,BG Pathum United,0.21481481481481482,0.37777777777777777,0.4074074074074074,0,2,2,53,21,3,0,0,87,9,7,9,9,0,7,14,453,129,266,70,30,22,0,58,15,1,9,1,56,51,53,53,1,0,47,8,3,2,1,83,10,5,4,1,0,5,3,407,185,151,51,25,17,2,56,12,9,22,3,53,49,47,47,2,0
