match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2020-09-03,UEFA Nations League A Grp. 4,3287078,Germany,Spain,0.5861365210102409,0.2203433069718284,0.19352017201793068,1,1,1,41,10,7,2,2,83,12,6,3,0,1,9,1,471,250,143,50,29,15,4,80,17,1,18,4,49,52,50,64,0,0,59,12,5,2,1,90,10,4,6,1,0,8,4,670,243,358,75,32,15,3,70,12,0,4,7,46,48,50,60,0,0
2020-09-03,UEFA Nations League A Grp. 4,3287079,Ukraine,Switzerland,0.4322387421114558,0.3463472029094021,0.22141405497914216,2,1,0,44,14,4,2,1,84,7,2,8,2,1,9,5,449,229,147,56,0,10,1,65,11,2,34,0,57,64,67,79,1,0,56,9,1,1,1,88,17,5,6,2,1,5,4,543,203,276,73,10,25,5,92,5,2,2,2,31,36,33,29,2,0
2020-09-04,UEFA Nations League A Grp. 1,3287017,Italy,Bosnia and Herzegovina,0.74017996193113,0.18913306800484514,0.07068697006402491,1,1,1,61,20,4,1,1,86,7,7,12,4,1,10,10,614,220,305,62,21,18,2,71,13,1,2,3,43,56,64,50,3,0,39,9,4,2,1,77,12,2,4,1,1,5,4,396,207,97,43,33,19,0,60,18,4,28,3,31,44,36,61,2,0
2020-09-04,UEFA Nations League A Grp. 1,3287018,Netherlands,Poland,0.6689132266217355,0.21406908171861835,0.11701769165964616,1,0,0,64,14,4,4,3,88,13,5,6,4,1,6,8,624,193,355,52,23,17,4,54,14,0,15,1,70,67,64,75,3,0,36,2,1,0,0,77,23,4,1,0,0,1,1,353,179,92,38,14,16,4,38,19,4,21,3,36,33,36,67,5,0
2020-09-05,UEFA Nations League A Grp. 2,3287042,Iceland,England,0.17076358205239903,0.42759350301823384,0.4016429149293671,0,1,2,22,2,0,1,1,67,12,1,2,0,0,1,1,212,73,69,39,15,17,3,65,12,2,32,3,44,45,44,33,0,1,78,13,4,2,1,89,8,7,6,3,0,10,3,770,259,425,63,36,25,4,67,6,0,10,0,55,55,56,63,1,1
2020-09-05,UEFA Nations League A Grp. 2,3287041,Denmark,Belgium,0.19165364463645557,0.3957165180623219,0.41262983730122255,0,2,2,51,8,1,0,0,84,13,7,4,3,0,3,5,518,249,188,55,32,20,2,63,19,2,8,3,33,38,52,43,2,0,49,11,5,3,1,84,10,4,4,2,0,8,3,514,301,131,53,22,18,2,83,7,3,21,1,45,62,48,64,1,0
2020-09-05,UEFA Nations League A Grp. 3,3287065,Portugal,Croatia,0.6822681168275694,0.19491628986924112,0.12281559330318954,4,1,0,57,27,11,3,1,89,11,8,11,5,2,14,13,588,214,308,57,36,14,2,58,16,1,19,1,59,52,67,55,0,0,43,5,2,1,0,83,8,4,2,1,0,2,3,430,224,132,40,10,13,1,53,14,4,21,7,48,48,33,81,2,0
2020-09-05,UEFA Nations League A Grp. 3,3287066,Sweden,France,0.20083016868321116,0.3855868586063764,0.41358297271041244,0,1,2,51,9,2,0,0,84,14,5,5,2,0,4,5,548,292,168,56,19,23,0,73,12,2,15,0,39,43,42,71,1,0,49,7,1,2,1,83,9,5,4,2,0,6,1,528,200,240,57,28,15,5,64,13,2,17,3,53,57,58,57,1,0
2020-09-06,UEFA Nations League A Grp. 4,3287080,Spain,Ukraine,0.7281773319310736,0.18865787557640967,0.08316479249251679,4,0,0,70,25,10,4,3,94,15,9,12,3,0,16,9,771,346,376,79,24,16,3,64,7,0,2,2,29,46,57,50,1,0,30,4,2,0,0,81,8,2,2,0,0,3,1,336,218,55,35,20,12,1,70,11,3,15,6,32,54,43,44,2,0
2020-09-06,UEFA Nations League A Grp. 4,3287081,Switzerland,Germany,0.16382710206657203,0.3921754219908503,0.4439974759425777,1,1,1,47,20,6,5,4,82,11,4,12,2,1,8,12,503,244,169,50,35,20,2,50,19,5,12,3,56,53,78,50,1,0,53,14,4,1,1,86,19,4,5,5,0,8,6,566,240,244,44,7,8,2,59,11,2,15,5,42,48,22,63,2,0
