match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2020-09-03,UEFA Nations League B Grp. 4,3287126,Bulgaria,Ireland,0.2753886867350314,0.4144889182930863,0.3101223949718822,1,1,1,38,10,4,1,0,80,15,1,4,2,0,5,5,363,180,112,38,20,17,2,54,9,3,20,2,41,44,42,20,0,0,62,14,3,1,1,87,16,5,8,3,0,7,7,581,281,226,72,27,28,2,63,5,2,2,3,53,56,58,60,1,0
2020-09-03,UEFA Nations League B Grp. 4,3287127,Finland,Wales,0.2397840046701693,0.4077641564506713,0.3524518388791594,0,1,2,54,7,0,1,1,86,14,3,5,2,1,5,2,560,344,136,40,26,16,1,56,4,0,8,1,40,45,44,43,3,0,46,3,1,2,1,86,14,0,2,0,0,2,1,483,227,189,58,0,18,0,62,13,1,22,0,49,55,56,67,4,0
2020-09-03,UEFA Nations League B Grp. 3,3287114,Russia,Serbia,0.5781879630833225,0.28974392304692576,0.13206811386975173,3,1,0,38,9,4,3,2,75,16,3,1,4,0,5,4,358,120,149,41,13,15,3,67,14,3,15,5,43,43,46,75,0,0,62,15,6,2,1,85,12,4,6,3,0,8,7,614,321,199,49,20,20,1,56,8,4,28,1,55,57,54,73,2,0
2020-09-03,UEFA Nations League B Grp. 3,3287115,Türkiye,Hungary,0.6961416998489633,0.22051352464643692,0.08334477550459975,0,1,2,60,10,4,0,0,86,13,3,5,1,0,4,6,577,311,183,63,27,18,3,60,5,4,15,4,59,53,54,63,2,0,40,14,5,2,2,81,19,5,4,5,2,4,10,378,153,154,59,47,18,2,65,12,1,9,4,51,47,46,67,3,0
2020-09-04,UEFA Nations League B Grp. 1,3287090,Norway,Austria,0.5637551990493167,0.2718954248366013,0.16434937611408199,1,2,2,40,3,1,2,1,71,18,1,2,0,0,3,0,382,193,78,49,36,31,3,33,17,4,16,4,60,40,56,67,4,0,60,17,6,3,1,80,13,4,6,5,0,10,7,566,240,212,48,29,21,0,50,14,0,11,0,68,60,44,60,2,0
2020-09-04,UEFA Nations League B Grp. 1,3287091,Romania,Northern Ireland,0.5643776824034334,0.3088177916504097,0.12680452594615685,1,1,1,73,18,9,4,3,86,19,4,7,2,2,14,4,619,300,232,60,35,23,2,43,6,2,10,2,45,50,32,46,2,0,27,7,3,1,0,62,18,0,2,2,0,6,1,224,69,69,35,23,16,1,63,7,2,17,8,55,50,68,13,1,1
2020-09-04,UEFA Nations League B Grp. 2,3287102,Scotland,Israel,0.6745141412545426,0.2343182177279191,0.09116764101753831,1,1,1,49,10,2,1,0,86,13,5,2,6,0,3,7,513,222,217,49,29,26,2,67,10,1,11,2,40,44,70,55,1,0,51,5,3,1,1,86,12,4,0,2,0,3,2,543,295,171,60,19,21,5,38,10,6,16,1,39,56,30,78,1,0
2020-09-04,UEFA Nations League B Grp. 2,3287103,Slovakia,Czechia,0.3904455672944419,0.3759761139182361,0.233578318787322,1,3,2,41,5,2,1,1,80,19,0,1,2,0,2,3,396,216,102,50,0,23,2,67,13,3,37,2,48,53,52,60,3,0,59,21,5,3,0,88,22,6,13,3,1,19,2,538,193,279,65,24,25,0,70,12,2,0,1,43,47,48,67,1,0
2020-09-06,UEFA Nations League B Grp. 4,3287128,Wales,Bulgaria,0.6657841457716867,0.23578881794113066,0.09842703628718268,1,0,0,51,8,3,1,0,89,16,5,3,2,1,4,4,534,261,213,67,11,23,0,50,11,0,6,0,42,54,44,71,2,0,49,2,0,0,0,87,13,1,2,0,0,2,0,529,329,131,42,30,15,2,73,5,2,11,2,39,46,56,64,1,0
2020-09-06,UEFA Nations League B Grp. 3,3287116,Hungary,Russia,0.2314337466908179,0.4018392085829734,0.3667270447262087,2,3,2,60,10,6,3,1,84,13,7,2,2,0,6,4,579,230,254,64,22,29,2,78,10,0,12,0,41,42,47,43,1,0,40,6,3,3,1,76,10,0,3,0,0,4,2,393,169,128,49,17,15,3,76,9,1,26,4,52,58,53,63,1,0
