match_date,league_name,matchid,home_team,away_team,home_probability_win,draw_probability,away_probability_win,home_goals,away_goals,ftr,home_ball_possession,home_total_shots,home_shots_on_target,home_big_chances,home_big_misses,home_accurate_passes,home_fouls_commited,home_corners,home_shots_off_target,home_blocked_shots,home_hit_woodwork,home_shots_inside_box,home_shots_outside_box,home_passes,home_own_half,home_opposition_half,home_accurate_long_balls,home_accurate_crosses,home_throws,home_offsides,home_tackles_won,home_interceptions,home_blocks,home_clearances,home_keeper_save,home_duels_won,home_geround_duels_won,home_aerial_duels_won,home_successful_dribbles,home_yellow_cards,home_red_cards,away_ball_possession,away_total_shots,away_shots_on_target,away_big_chances,away_big_misses,away_accurate_passes,away_fouls_commited,away_corners,away_shots_off_target,away_blocked_shots,away_hit_woodwork,away_shots_inside_box,away_shots_outside_box,away_passes,away_own_half,away_opposition_half,away_accurate_long_balls,away_axxurate_crosses,away_throws,away_offsides,away_tackles_won,away_interceptions,away_blocks,away_clearances,away_keeper_save,away_duels_won,away_geround_duels_won,away_aerial_duels_won,away_successful_dribbles,away_yellow_cards,away_red_cards
2022-06-02,UEFA Nations League C Grp. 4,3784650,Bulgaria,North Macedonia,0.7405857740585774,0.18131101813110181,0.07810320781032078,1,1,1,44,4,1,1,0,70,14,1,1,2,0,2,2,361,127,124,47,14,15,3,65,14,5,21,4,63,54,66,57,2,0,56,15,5,1,0,75,12,5,5,5,0,8,7,451,169,169,41,13,38,3,63,5,2,3,0,43,46,34,42,2,0
2022-06-02,UEFA Nations League C Grp. 2,3784588,Cyprus,Kosovo,0.7183833116036505,0.20990873533246415,0.07170795306388526,0,2,2,46,8,0,0,0,82,8,5,4,4,0,2,6,443,239,126,41,0,11,1,47,7,2,19,5,51,56,43,67,1,0,54,16,7,2,2,85,13,5,7,2,1,10,6,514,241,197,63,26,14,2,50,12,4,13,0,45,44,57,85,4,0
2022-06-02,UEFA Nations League C Grp. 4,3784649,Georgia,Gibraltar,0.6858513189448441,0.2446043165467626,0.06954436450839328,4,0,0,69,28,13,5,1,89,12,8,10,5,2,19,9,667,191,403,74,29,25,3,75,15,0,5,0,42,48,61,60,2,0,31,1,0,0,0,72,7,0,1,0,0,1,0,290,177,31,38,0,16,0,53,7,6,24,8,41,52,39,55,3,0
2022-06-02,UEFA Nations League C Grp. 2,3784589,Northern Ireland,Greece,0.314845751197238,0.27775921594832387,0.4073950328544381,0,1,2,46,8,2,0,0,76,14,2,3,3,0,5,3,375,137,149,38,12,35,0,75,4,0,7,1,44,46,46,55,2,0,54,4,2,2,2,78,15,1,2,0,0,4,0,452,234,117,48,33,29,0,50,13,3,18,2,52,54,54,55,2,0
2022-06-03,UEFA Nations League C Grp. 3,3784612,Kazakhstan,Azerbaijan,0.4692838967648128,0.32666909002786865,0.20404701320731855,2,0,0,40,5,2,1,0,73,12,2,2,1,0,2,3,370,165,106,42,18,18,3,58,12,0,23,7,60,47,50,50,3,0,60,15,7,0,0,83,10,4,7,1,0,7,8,556,272,189,47,24,31,0,63,11,1,14,0,65,53,50,55,1,0
2022-06-03,UEFA Nations League C Grp. 3,3784623,Belarus,Slovakia,0.2361773949482016,0.27889651961354905,0.48492608543824933,0,1,2,32,7,1,0,0,74,9,3,4,2,0,4,3,306,117,109,44,17,16,0,50,14,3,15,2,53,59,45,67,1,0,68,13,3,0,0,85,13,9,7,3,0,5,8,667,302,267,43,30,18,1,38,7,2,9,1,44,41,55,58,2,0
2022-06-04,UEFA Nations League C Grp. 1,3784540,Lithuania,Luxembourg,0.3232528589580686,0.33786531130876746,0.3388818297331639,0,2,2,45,11,2,0,0,80,20,6,6,3,0,9,2,359,142,145,54,32,16,2,62,10,7,22,3,39,37,41,46,4,0,55,17,5,2,1,82,5,10,5,7,0,7,10,441,175,188,50,35,25,2,55,6,3,10,2,65,63,59,56,1,0
2022-06-04,UEFA Nations League C Grp. 1,3784541,Türkiye,Faroe Islands,0.6693469132493522,0.21960153667470741,0.11105155007594032,4,0,0,77,17,9,4,2,87,9,4,5,3,0,8,9,698,244,362,79,32,25,4,76,4,2,7,0,57,62,64,39,2,0,23,4,0,0,0,57,15,0,2,2,0,3,1,206,73,44,22,25,11,2,35,8,3,19,5,34,38,36,13,2,0
2022-06-05,UEFA Nations League C Grp. 2,3784590,Cyprus,Northern Ireland,0.6494117647058824,0.2541176470588235,0.09647058823529411,0,0,1,42,10,2,1,1,77,4,2,6,2,1,3,7,368,174,111,37,19,25,1,40,7,3,21,2,39,42,49,29,1,0,58,13,2,1,1,82,11,4,8,3,0,10,3,516,208,217,57,35,17,2,47,9,2,15,2,49,58,51,80,2,0
2022-06-05,UEFA Nations League C Grp. 4,3784651,Gibraltar,North Macedonia,0.20202966432474628,0.2908665105386417,0.507103825136612,0,2,2,28,5,0,1,1,73,12,2,4,1,0,4,1,273,126,72,58,17,12,2,58,7,6,15,2,37,48,58,67,0,0,72,14,4,1,0,88,10,5,4,6,1,6,8,696,343,268,43,8,26,5,63,3,1,2,0,37,52,42,67,1,0
